Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,28.25,28.74,27.68,28.40,54800,28.40
2012-05-03,28.01,28.40,27.72,28.34,41000,28.34
2012-05-02,27.36,28.49,27.15,28.20,65900,28.20
2012-05-01,26.31,28.29,26.31,28.06,81000,28.06
2012-04-30,26.11,27.00,25.69,26.88,77000,26.88
2012-04-27,25.53,26.34,25.02,26.17,60600,26.17
2012-04-26,24.42,25.71,24.41,25.66,89600,25.66
2012-04-25,24.39,25.12,23.90,24.48,76700,24.48
2012-04-24,23.62,24.19,23.62,24.10,40700,24.10
2012-04-23,23.51,23.78,22.92,23.67,36000,23.67
2012-04-20,24.04,24.11,23.45,23.98,30800,23.98
2012-04-19,23.90,24.39,23.63,23.94,38400,23.94
2012-04-18,22.75,24.30,22.75,23.82,58900,23.82
2012-04-17,22.77,23.73,22.54,22.70,73600,22.70
2012-04-16,22.46,23.04,21.79,22.64,55400,22.64
2012-04-13,22.22,22.37,21.46,22.32,97400,22.32
2012-04-12,22.20,22.41,22.03,22.21,54000,22.21
2012-04-11,22.32,22.68,22.18,22.25,70400,22.25
2012-04-10,22.38,22.80,21.90,22.31,55700,22.31
2012-04-09,22.81,22.81,22.08,22.62,31500,22.62
2012-04-05,22.98,23.37,22.68,23.22,54700,23.22
2012-04-04,24.06,24.12,22.23,22.98,187600,22.98
2012-04-03,24.58,24.97,24.14,24.30,20200,24.30
2012-04-02,24.21,24.75,24.14,24.75,15100,24.75
2012-03-30,24.73,24.91,24.11,24.31,16800,24.31
2012-03-29,24.50,24.69,23.94,24.60,29100,24.60
2012-03-28,24.59,24.86,24.17,24.45,42300,24.45
2012-03-27,24.55,25.25,24.33,24.55,68200,24.55
2012-03-26,24.21,24.92,24.20,24.60,37800,24.60
2012-03-23,24.05,24.21,23.79,23.96,39300,23.96
2012-03-22,24.42,24.59,24.00,24.16,40700,24.16
2012-03-21,24.62,25.00,24.27,24.50,34600,24.50
2012-03-20,25.15,25.35,24.50,24.68,90000,24.68
2012-03-19,26.43,26.67,25.07,25.07,96500,25.07
2012-03-16,26.00,26.44,25.68,26.44,135600,26.44
2012-03-15,26.12,26.40,26.06,26.07,126700,26.07
2012-03-14,26.06,26.50,25.60,26.13,218200,26.13
2012-03-13,26.30,27.00,25.60,25.95,224700,25.95
2012-03-12,24.29,24.74,23.87,24.55,110600,24.55
2012-03-09,23.76,24.40,23.15,24.25,64800,24.25
2012-03-08,23.09,24.18,22.53,23.55,83400,23.55
2012-03-07,24.31,24.31,22.69,23.02,76700,23.02
2012-03-06,24.79,24.79,23.91,24.26,138000,24.26
2012-03-05,24.04,25.00,23.94,24.88,57200,24.88
2012-03-02,23.30,24.25,23.04,24.21,97500,24.21
2012-03-01,22.69,23.25,22.42,23.21,28900,23.21
2012-02-29,22.67,22.72,22.18,22.47,27300,22.47
2012-02-28,23.00,23.10,22.59,22.87,24000,22.87
2012-02-27,23.19,23.65,22.55,22.99,70100,22.99
2012-02-24,22.95,23.37,22.88,23.20,36500,23.20
2012-02-23,22.71,22.93,22.37,22.90,29700,22.90
2012-02-22,22.12,22.99,21.83,22.67,49500,22.67
2012-02-21,21.85,22.24,21.66,22.08,38700,22.08
2012-02-17,21.96,22.25,21.75,21.78,24600,21.78
2012-02-16,21.40,22.51,21.36,21.81,69300,21.81
2012-02-15,21.35,21.75,21.03,21.43,43300,21.43
2012-02-14,21.07,21.72,20.80,21.25,40100,21.25
2012-02-13,21.02,21.38,20.69,21.25,37000,21.25
2012-02-10,21.29,22.01,20.90,21.05,35200,21.05
2012-02-09,21.84,22.68,21.35,21.49,36600,21.49
2012-02-08,21.21,21.38,21.00,21.34,19400,21.34
2012-02-07,21.10,21.39,20.75,21.16,45400,21.16
2012-02-06,21.04,21.36,20.90,21.08,39300,21.08
2012-02-03,21.28,21.47,20.53,21.12,33100,21.12
2012-02-02,20.81,21.93,20.81,21.04,37000,21.04
2012-02-01,22.12,22.12,20.27,20.90,61900,20.90
2012-01-31,23.08,23.13,21.76,21.95,57300,21.95
2012-01-30,22.96,23.13,22.60,23.01,39700,23.01
2012-01-27,22.00,23.18,21.62,23.18,110000,23.18
2012-01-26,22.16,22.20,21.34,21.75,50800,21.75
2012-01-25,21.20,22.10,21.00,21.97,65200,21.97
2012-01-24,21.01,21.39,21.00,21.17,119200,21.17
2012-01-23,21.36,21.65,20.50,21.20,66900,21.20
2012-01-20,21.15,21.37,20.86,21.09,33200,21.09
2012-01-19,21.17,21.24,20.84,21.13,57400,21.13
2012-01-18,21.01,21.10,20.53,21.07,46000,21.07
2012-01-17,21.20,21.20,20.76,21.09,43600,21.09
2012-01-13,21.19,21.45,20.41,21.25,82400,21.25
2012-01-12,21.58,21.85,20.80,21.37,105100,21.37
2012-01-11,20.99,21.90,20.93,21.48,53100,21.48
2012-01-10,21.79,22.20,20.52,21.16,91300,21.16
2012-01-09,22.75,22.75,21.87,22.33,45900,22.33
2012-01-06,22.29,23.18,22.16,22.73,49200,22.73
2012-01-05,22.34,22.66,22.00,22.43,49800,22.43
2012-01-04,22.55,22.91,22.44,22.49,35800,22.49
2012-01-03,22.86,22.89,22.12,22.49,90100,22.49
2011-12-30,22.90,22.97,22.20,22.64,52300,22.64
2011-12-29,22.69,22.90,22.26,22.86,73800,22.86
2011-12-28,22.92,23.00,21.58,22.29,52700,22.29
2011-12-27,22.84,23.20,21.96,22.93,86300,22.93
2011-12-23,21.95,22.68,21.85,22.61,32700,22.61
2011-12-22,22.68,23.21,21.68,21.99,134400,21.99
2011-12-21,22.99,23.00,22.20,22.68,73900,22.68
2011-12-20,22.61,23.41,22.38,22.91,84200,22.91
2011-12-19,20.21,23.15,20.21,22.10,343400,22.10
2011-12-16,20.00,20.05,19.41,19.99,97000,19.99
2011-12-15,19.32,20.16,19.20,19.98,59700,19.98
2011-12-14,19.55,19.58,18.54,19.06,106400,19.06
2011-12-13,19.65,20.00,19.50,19.78,73000,19.78
2011-12-12,19.91,19.91,19.42,19.57,42700,19.57
2011-12-09,19.51,20.09,19.10,19.99,77700,19.99
2011-12-08,19.45,20.32,19.26,19.39,43800,19.39
2011-12-07,20.03,20.06,19.63,19.69,111000,19.69
2011-12-06,20.45,20.49,19.92,20.10,108900,20.10
2011-12-05,20.45,20.76,20.15,20.31,77700,20.31
2011-12-02,20.97,20.97,20.10,20.44,56500,20.44
2011-12-01,20.62,20.79,20.19,20.48,87700,20.48
2011-11-30,19.90,20.75,19.51,20.53,123800,20.53
2011-11-29,18.44,19.43,18.03,19.10,186300,19.10
2011-11-28,18.20,18.61,17.63,18.36,75100,18.36
2011-11-25,17.96,18.17,17.42,17.80,17900,17.80
2011-11-23,17.86,18.20,17.32,18.01,81700,18.01
2011-11-22,16.70,18.11,16.24,17.92,176600,17.92
2011-11-21,15.92,16.84,15.60,16.67,64200,16.67
2011-11-18,15.25,16.09,15.20,15.94,127500,15.94
2011-11-17,15.40,15.40,15.15,15.25,45000,15.25
2011-11-16,15.10,15.28,14.99,15.22,43200,15.22
2011-11-15,16.20,16.20,15.06,15.11,277800,15.11
2011-11-14,15.33,15.33,15.00,15.27,37900,15.27
2011-11-11,15.34,15.35,15.04,15.20,28400,15.20
2011-11-10,14.90,15.46,14.90,15.27,64200,15.27
2011-11-09,15.01,15.56,14.71,15.19,59800,15.19
2011-11-08,14.99,15.48,14.99,15.28,116000,15.28
2011-11-07,15.25,15.30,14.89,15.05,36600,15.05
2011-11-04,15.06,15.30,14.65,15.23,75100,15.23
2011-11-03,15.40,15.40,14.25,15.19,55300,15.19
2011-11-02,15.25,15.33,15.10,15.26,107100,15.26
2011-11-01,15.13,15.28,14.85,15.20,65400,15.20
2011-10-31,15.26,15.44,14.99,15.28,139400,15.28
2011-10-28,15.26,15.36,15.19,15.27,50300,15.27
2011-10-27,15.59,15.59,15.20,15.30,101400,15.30
2011-10-26,15.39,15.40,15.21,15.24,135300,15.24
2011-10-25,15.90,16.00,15.23,15.24,757900,15.24
2011-10-24,17.75,17.75,17.09,17.40,22900,17.40
2011-10-21,16.50,17.75,16.43,17.53,40800,17.53
2011-10-20,15.56,16.41,15.56,16.34,13400,16.34
2011-10-19,15.46,15.90,15.22,15.78,16500,15.78
2011-10-18,14.39,15.63,14.29,15.38,25800,15.38
2011-10-17,15.01,15.01,14.41,14.59,21600,14.59
2011-10-14,15.08,15.15,14.90,14.94,17100,14.94
2011-10-13,15.21,15.26,14.93,14.93,27400,14.93
2011-10-12,15.29,15.39,15.16,15.23,32500,15.23
2011-10-11,15.20,15.34,14.89,14.98,36700,14.98
2011-10-10,14.70,15.48,14.70,15.16,34600,15.16
2011-10-07,14.80,15.01,14.54,14.58,29800,14.58
2011-10-06,15.26,15.27,14.80,14.90,33400,14.90
2011-10-05,13.75,15.99,13.75,15.18,105600,15.18
2011-10-04,14.23,14.46,13.52,14.15,45300,14.15
2011-10-03,15.10,17.10,14.06,14.26,75500,14.26
2011-09-30,16.49,16.49,14.74,15.27,60600,15.27
2011-09-29,17.98,17.98,16.39,16.51,45000,16.51
2011-09-28,18.76,19.14,17.39,17.71,76200,17.71
2011-09-27,18.48,19.37,17.90,19.14,201700,19.14
2011-09-26,18.00,18.60,16.80,18.42,72000,18.42
2011-09-23,14.50,18.39,13.64,17.76,137600,17.76
2011-09-22,13.60,13.68,13.31,13.50,82100,13.50
2011-09-21,14.70,14.70,13.60,13.61,27400,13.61
2011-09-20,13.96,14.70,13.95,14.01,55300,14.01
2011-09-19,14.08,15.48,13.96,13.99,9500,13.99
2011-09-16,14.29,14.50,14.07,14.30,49300,14.30
2011-09-15,15.10,15.10,14.01,14.36,32300,14.36
2011-09-14,15.25,15.42,15.00,15.03,14900,15.03
2011-09-13,15.40,15.58,15.34,15.50,69700,15.50
2011-09-12,15.54,15.69,15.14,15.36,35200,15.36
2011-09-09,16.09,16.30,15.50,15.70,32900,15.70
2011-09-08,15.09,16.36,15.09,16.14,38800,16.14
2011-09-07,14.21,15.88,13.89,15.67,93800,15.67
2011-09-06,14.44,14.67,14.05,14.39,44000,14.39
2011-09-02,15.00,15.19,14.55,14.65,51600,14.65
2011-09-01,15.00,15.40,14.85,15.19,49700,15.19
2011-08-31,16.00,17.24,13.77,15.19,134700,15.19
2011-08-30,13.82,14.81,13.35,13.74,25400,13.74
2011-08-29,13.61,13.93,13.61,13.86,4700,13.86
2011-08-26,13.75,13.78,13.37,13.47,22400,13.47
2011-08-25,14.00,14.06,13.42,13.78,8100,13.78
2011-08-24,14.45,14.91,13.78,13.98,28800,13.98
2011-08-23,14.41,14.95,14.24,14.53,22300,14.53
2011-08-22,14.57,14.66,14.18,14.30,38600,14.30
2011-08-19,13.97,14.49,13.77,14.25,30100,14.25
2011-08-18,14.69,14.69,13.76,13.98,35700,13.98
2011-08-17,14.94,15.22,14.79,14.86,13200,14.86
2011-08-16,14.71,15.00,14.71,14.81,17600,14.81
2011-08-15,15.27,15.27,14.76,14.86,48600,14.86
2011-08-12,15.00,17.48,14.21,15.22,58300,15.22
2011-08-11,14.25,15.14,13.26,14.83,109900,14.83
2011-08-10,16.64,17.04,15.70,15.70,31800,15.70
2011-08-09,15.25,16.96,15.10,16.75,35600,16.75
2011-08-08,15.92,15.92,14.78,14.99,50200,14.99
2011-08-05,16.67,17.10,15.90,15.98,58300,15.98
2011-08-04,18.28,18.46,16.50,16.85,54600,16.85
2011-08-03,18.39,18.88,18.05,18.34,31200,18.34
2011-08-02,18.34,18.89,18.02,18.36,40000,18.36
2011-08-01,18.47,18.88,17.98,18.36,34000,18.36
2011-07-29,17.72,18.89,17.72,18.31,32600,18.31
2011-07-28,18.21,18.64,18.14,18.39,15500,18.39
2011-07-27,18.60,18.60,18.00,18.42,22200,18.42
2011-07-26,17.81,18.80,17.50,18.60,44800,18.60
2011-07-25,17.97,18.25,17.70,17.92,33200,17.92
2011-07-22,18.00,18.00,17.70,17.96,8000,17.96
2011-07-21,18.21,18.43,17.50,18.09,36900,18.09
2011-07-20,17.00,18.38,16.71,18.22,63500,18.22
