Date,Open,High,Low,Close,Volume,Adj Close
2012-04-23,10.49,10.51,10.49,10.50,1322300,10.50
2012-04-20,10.50,10.50,10.49,10.50,604600,10.50
2012-04-19,10.48,10.50,10.48,10.50,878200,10.50
2012-04-18,10.48,10.49,10.48,10.48,534100,10.48
2012-04-17,10.48,10.49,10.47,10.49,909700,10.49
2012-04-16,10.48,10.49,10.47,10.48,1483700,10.48
2012-04-13,10.47,10.48,10.44,10.47,1440700,10.47
2012-04-12,10.46,10.48,10.45,10.48,2397400,10.48
2012-04-11,10.46,10.48,10.44,10.48,2343900,10.48
2012-04-10,10.45,10.46,10.43,10.45,2407200,10.45
2012-04-09,10.44,10.46,10.44,10.44,332300,10.44
2012-04-05,10.45,10.46,10.44,10.46,480700,10.46
2012-04-04,10.44,10.45,10.44,10.44,811200,10.44
2012-04-03,10.45,10.46,10.43,10.45,2069000,10.45
2012-04-02,10.49,10.49,10.48,10.49,467200,10.49
2012-03-30,10.49,10.50,10.46,10.49,897200,10.49
2012-03-29,10.46,10.48,10.46,10.46,257900,10.46
2012-03-28,10.45,10.48,10.44,10.47,1545200,10.47
2012-03-27,10.48,10.49,10.45,10.45,434600,10.45
2012-03-26,10.51,10.51,10.48,10.48,1014600,10.48
2012-03-23,10.44,10.45,10.44,10.45,483900,10.45
2012-03-22,10.45,10.46,10.44,10.45,310500,10.45
2012-03-21,10.44,10.46,10.43,10.45,689900,10.45
2012-03-20,10.44,10.45,10.42,10.42,718400,10.42
2012-03-19,10.43,10.45,10.42,10.44,783400,10.44
2012-03-16,10.46,10.46,10.42,10.42,1098400,10.42
2012-03-15,10.46,10.47,10.44,10.46,772800,10.46
2012-03-14,10.46,10.48,10.45,10.45,654200,10.45
2012-03-13,10.44,10.47,10.43,10.47,771000,10.47
2012-03-12,10.42,10.44,10.41,10.44,830800,10.44
2012-03-09,10.42,10.42,10.39,10.41,1112800,10.41
2012-03-08,10.41,10.42,10.40,10.42,676400,10.42
2012-03-07,10.39,10.41,10.38,10.40,782400,10.40
2012-03-06,10.39,10.40,10.37,10.38,2175500,10.38
2012-03-05,10.39,10.41,10.38,10.39,1861700,10.39
2012-03-02,10.40,10.41,10.38,10.38,1009200,10.38
2012-03-01,10.39,10.42,10.39,10.40,1239600,10.40
2012-02-29,10.44,10.45,10.37,10.37,1689400,10.37
2012-02-28,10.44,10.45,10.42,10.43,1515000,10.43
2012-02-27,10.46,10.46,10.43,10.44,2007100,10.44
2012-02-24,10.41,10.50,10.41,10.46,2722700,10.46
2012-02-23,10.42,10.45,10.38,10.41,3343600,10.41
2012-02-22,10.41,10.42,10.40,10.42,1944400,10.36
2012-02-21,10.39,10.44,10.38,10.39,4457700,10.33
2012-02-17,10.45,10.46,10.32,10.38,16514700,10.32
2012-02-16,10.51,10.55,10.42,10.44,45541800,10.38
2012-02-15,8.09,8.15,7.81,7.91,319700,7.86
2012-02-14,8.13,8.16,7.98,8.02,297600,7.97
2012-02-13,8.13,8.25,8.05,8.15,267600,8.10
2012-02-10,8.03,8.13,7.95,8.03,227900,7.98
2012-02-09,8.33,8.33,8.09,8.11,333400,8.06
2012-02-08,8.28,8.35,8.17,8.31,311300,8.26
2012-02-07,8.32,8.39,8.20,8.23,241700,8.18
2012-02-06,8.51,8.53,8.27,8.36,290000,8.31
2012-02-03,8.32,8.59,8.32,8.56,547500,8.51
2012-02-02,8.18,8.35,8.10,8.26,298300,8.21
2012-02-01,7.94,8.20,7.90,8.16,406900,8.11
2012-01-31,7.99,8.00,7.84,7.87,272800,7.82
2012-01-30,7.75,7.95,7.70,7.92,352700,7.87
2012-01-27,7.80,7.87,7.70,7.82,340100,7.77
2012-01-26,7.90,7.96,7.74,7.79,423200,7.74
2012-01-25,8.00,8.09,7.79,7.83,483900,7.78
2012-01-24,7.73,8.08,7.73,7.98,443500,7.93
2012-01-23,7.90,7.90,7.60,7.78,389000,7.73
2012-01-20,7.65,7.97,7.65,7.89,727500,7.84
2012-01-19,7.88,7.88,7.57,7.64,766700,7.59
2012-01-18,8.23,8.23,7.73,7.84,870600,7.79
2012-01-17,8.24,8.38,8.18,8.29,531000,8.24
2012-01-13,8.31,8.41,8.16,8.19,401000,8.14
2012-01-12,8.70,8.70,8.33,8.35,600200,8.30
2012-01-11,8.39,8.66,8.25,8.66,457900,8.61
2012-01-10,8.66,8.70,8.31,8.41,828300,8.36
2012-01-09,8.45,8.56,8.32,8.55,605600,8.50
2012-01-06,8.39,8.43,8.23,8.35,574200,8.30
2012-01-05,8.31,8.45,7.95,8.36,1040600,8.31
2012-01-04,9.14,9.14,8.11,8.30,1861400,8.25
2012-01-03,9.13,9.25,9.10,9.18,420600,9.12
2011-12-30,8.96,9.05,8.88,8.95,171700,8.90
2011-12-29,8.87,8.99,8.86,8.96,180400,8.91
2011-12-28,9.00,9.02,8.79,8.84,324800,8.79
2011-12-27,9.07,9.07,8.97,9.02,517100,8.97
2011-12-23,8.85,9.09,8.85,9.02,221300,8.97
2011-12-22,8.95,9.00,8.75,8.80,224500,8.75
2011-12-21,8.82,8.98,8.66,8.93,266000,8.88
2011-12-20,8.74,8.89,8.69,8.86,348000,8.81
2011-12-19,8.74,8.85,8.57,8.58,424700,8.53
2011-12-16,8.49,8.79,8.44,8.69,708900,8.64
2011-12-15,8.77,8.78,8.44,8.49,545700,8.44
2011-12-14,8.90,8.95,8.43,8.68,810400,8.63
2011-12-13,9.13,9.34,8.86,8.95,508900,8.90
2011-12-12,9.00,9.06,8.75,9.04,474300,8.99
2011-12-09,8.84,9.13,8.77,9.09,419300,9.04
2011-12-08,9.18,9.25,8.76,8.80,723000,8.75
2011-12-07,9.28,9.34,9.10,9.25,815000,9.19
2011-12-06,9.16,9.44,9.11,9.33,774900,9.27
2011-12-05,8.99,9.13,8.92,9.13,828100,9.07
2011-12-02,8.72,8.92,8.60,8.90,827400,8.85
2011-12-01,8.46,8.70,8.41,8.59,438400,8.54
2011-11-30,8.36,8.54,8.28,8.52,615400,8.47
2011-11-29,8.19,8.25,8.01,8.14,440100,8.09
2011-11-28,7.94,8.23,7.88,8.19,434700,8.14
2011-11-25,7.84,7.96,7.67,7.70,217700,7.65
2011-11-23,7.77,7.96,7.72,7.87,395500,7.82
2011-11-22,7.70,7.90,7.65,7.86,429300,7.81
2011-11-21,7.72,7.90,7.63,7.71,301100,7.66
2011-11-18,7.91,8.02,7.76,7.88,312600,7.83
2011-11-17,7.85,8.18,7.85,7.95,596600,7.84
2011-11-16,8.15,8.21,7.79,7.81,502800,7.70
2011-11-15,8.26,8.36,8.11,8.27,264000,8.15
2011-11-14,8.33,8.42,8.24,8.31,520400,8.19
2011-11-11,8.52,8.55,8.33,8.34,319900,8.22
2011-11-10,8.29,8.46,8.10,8.42,365000,8.30
2011-11-09,8.37,8.42,8.13,8.15,323400,8.04
2011-11-08,8.31,8.59,8.13,8.54,461900,8.42
2011-11-07,8.75,8.79,8.23,8.25,446700,8.14
2011-11-04,8.47,8.85,8.31,8.79,543200,8.67
2011-11-03,8.35,8.67,8.22,8.54,761500,8.42
2011-11-02,8.37,8.44,8.12,8.24,581100,8.13
2011-11-01,8.14,8.41,8.06,8.22,705800,8.11
2011-10-31,8.53,8.61,8.36,8.43,498400,8.31
2011-10-28,8.72,8.88,8.47,8.53,851000,8.41
2011-10-27,8.12,8.75,8.08,8.70,988000,8.58
2011-10-26,7.71,7.94,7.42,7.91,461300,7.80
2011-10-25,7.94,7.94,7.56,7.56,360500,7.45
2011-10-24,7.79,8.00,7.75,8.00,393500,7.89
2011-10-21,7.77,7.84,7.60,7.79,427200,7.68
2011-10-20,7.56,7.64,7.26,7.64,418800,7.53
2011-10-19,7.88,8.07,7.48,7.51,394900,7.41
2011-10-18,7.78,8.01,7.69,7.92,353000,7.81
2011-10-17,8.13,8.13,7.70,7.72,353800,7.61
2011-10-14,8.15,8.22,8.00,8.19,355800,8.08
2011-10-13,7.92,8.12,7.81,8.06,337100,7.95
2011-10-12,7.79,8.05,7.79,7.97,444900,7.86
2011-10-11,7.87,8.00,7.58,7.70,566800,7.59
2011-10-10,7.70,7.99,7.65,7.92,410900,7.81
2011-10-07,7.37,7.70,7.33,7.52,562300,7.42
2011-10-06,7.45,7.50,7.29,7.35,653400,7.25
2011-10-05,7.71,7.73,7.35,7.48,390500,7.38
2011-10-04,7.01,7.74,7.00,7.72,1100000,7.61
2011-10-03,7.28,7.64,7.10,7.12,677800,7.02
2011-09-30,7.36,7.57,7.28,7.36,653800,7.26
2011-09-29,7.52,7.54,7.23,7.48,528900,7.38
2011-09-28,7.46,7.56,7.28,7.37,479500,7.27
2011-09-27,7.68,7.72,7.38,7.46,471900,7.36
2011-09-26,7.49,7.57,7.15,7.57,619200,7.46
2011-09-23,7.68,7.88,7.31,7.41,1006700,7.31
2011-09-22,7.66,7.91,7.46,7.73,1038600,7.62
2011-09-21,7.78,8.23,7.77,7.84,733500,7.73
2011-09-20,8.33,8.33,7.75,7.77,688500,7.66
2011-09-19,8.08,8.40,8.08,8.29,379900,8.17
2011-09-16,8.18,8.36,8.05,8.26,559400,8.14
2011-09-15,8.15,8.26,7.99,8.11,401200,8.00
2011-09-14,8.20,8.26,7.88,8.08,542500,7.97
2011-09-13,8.00,8.19,7.97,8.12,346700,8.01
2011-09-12,7.75,8.10,7.66,7.98,525700,7.87
2011-09-09,8.05,8.07,7.79,7.80,485000,7.69
2011-09-08,8.15,8.36,8.07,8.16,371000,8.05
2011-09-07,8.38,8.38,8.11,8.21,672000,8.10
2011-09-06,7.65,8.38,7.64,8.37,1387600,8.25
2011-09-02,7.88,7.97,7.60,7.71,825200,7.60
2011-09-01,8.38,8.57,8.03,8.05,585400,7.94
2011-08-31,8.71,8.82,8.22,8.36,624100,8.24
2011-08-30,8.69,8.81,8.45,8.62,1261600,8.50
2011-08-29,8.75,8.87,8.58,8.75,582700,8.63
2011-08-26,8.17,8.66,8.07,8.64,949700,8.52
2011-08-25,8.50,8.54,8.13,8.20,414100,8.09
2011-08-24,8.26,8.56,8.09,8.33,450500,8.21
2011-08-23,7.90,8.25,7.85,8.21,755800,8.10
2011-08-22,8.03,8.04,7.70,7.86,643200,7.75
2011-08-19,7.69,8.07,7.54,7.81,937400,7.70
2011-08-18,7.86,7.90,7.56,7.79,1346400,7.62
2011-08-17,8.30,8.36,8.04,8.13,692900,7.95
2011-08-16,8.07,8.25,7.98,8.22,709800,8.04
2011-08-15,7.93,8.13,7.85,8.13,782500,7.95
2011-08-12,7.71,7.85,7.61,7.79,580500,7.62
2011-08-11,7.68,7.85,7.57,7.71,1713600,7.54
2011-08-10,7.56,7.77,7.43,7.53,1684700,7.37
2011-08-09,7.73,7.88,7.47,7.85,2279900,7.68
2011-08-08,7.42,7.65,7.22,7.50,2785400,7.34
2011-08-05,7.17,7.61,7.02,7.60,2423200,7.43
2011-08-04,7.18,7.26,6.96,7.07,996900,6.92
2011-08-03,7.26,7.35,7.01,7.26,622300,7.10
2011-08-02,7.57,7.82,7.24,7.24,798500,7.08
2011-08-01,7.33,7.68,7.03,7.61,1197600,7.44
2011-07-29,7.16,7.28,7.02,7.05,577900,6.90
2011-07-28,8.00,8.20,7.01,7.28,1469200,7.12
2011-07-27,8.73,8.75,8.23,8.42,1040000,8.24
2011-07-26,8.49,8.77,8.38,8.76,690700,8.57
2011-07-25,8.27,8.51,8.11,8.47,670000,8.28
2011-07-22,8.49,8.54,8.26,8.34,566700,8.16
2011-07-21,8.64,8.71,8.46,8.52,695900,8.33
2011-07-20,8.65,8.75,8.47,8.55,687000,8.36
2011-07-19,8.26,8.63,8.23,8.55,672300,8.36
2011-07-18,8.23,8.37,7.82,8.10,736400,7.92
2011-07-15,8.41,8.68,8.13,8.31,893800,8.13
2011-07-14,9.18,9.32,7.90,8.32,2542700,8.14
2011-07-13,8.80,9.14,8.76,9.08,1999100,8.88
2011-07-12,8.10,8.73,8.10,8.63,1258600,8.44
2011-07-11,7.92,8.44,7.90,8.14,1284400,7.96
2011-07-08,7.78,8.05,7.78,8.03,674100,7.85
2011-07-07,7.68,7.92,7.61,7.92,608500,7.75
2011-07-06,7.48,7.65,7.41,7.56,1027300,7.39
2011-07-05,7.24,7.57,7.22,7.46,646600,7.30
2011-07-01,6.89,7.29,6.89,7.24,480700,7.08
2011-06-30,6.77,6.97,6.77,6.89,316100,6.74
2011-06-29,6.94,6.95,6.69,6.70,479600,6.55
2011-06-28,6.77,6.95,6.73,6.90,444800,6.75
2011-06-27,6.83,6.91,6.66,6.71,478400,6.56
2011-06-24,6.80,6.80,6.60,6.70,1056300,6.55
2011-06-23,6.18,6.65,6.11,6.53,440800,6.39
2011-06-22,6.15,6.48,6.10,6.27,727500,6.13
2011-06-21,5.98,6.23,5.91,6.22,339300,6.08
2011-06-20,5.78,5.99,5.78,5.89,186500,5.76
2011-06-17,5.75,5.95,5.72,5.82,390900,5.69
2011-06-16,5.66,5.83,5.58,5.68,276600,5.56
2011-06-15,5.77,5.81,5.66,5.66,334800,5.54
2011-06-14,5.76,5.90,5.76,5.85,159500,5.72
