Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,23.19,23.25,22.98,23.15,221500,23.15
2012-05-03,23.34,23.41,23.22,23.31,436300,23.31
2012-05-02,23.14,23.33,22.91,23.33,161000,23.33
2012-05-01,23.11,23.51,22.98,23.20,353300,23.20
2012-04-30,23.28,23.29,22.90,23.18,365500,23.18
2012-04-27,23.21,23.34,22.94,23.27,238700,23.27
2012-04-26,22.77,23.10,22.74,23.07,265600,23.07
2012-04-25,22.46,22.92,22.33,22.89,243700,22.89
2012-04-24,22.09,22.56,22.09,22.48,196200,22.48
2012-04-23,22.21,22.21,22.00,22.13,225200,22.13
2012-04-20,22.44,22.63,22.19,22.47,135500,22.47
2012-04-19,22.19,22.27,22.01,22.20,297100,22.20
2012-04-18,22.35,22.38,22.16,22.22,205700,22.22
2012-04-17,22.37,22.61,22.09,22.41,244400,22.41
2012-04-16,22.08,22.49,21.98,22.24,139900,22.24
2012-04-13,21.89,22.01,21.79,21.96,273500,21.96
2012-04-12,21.71,22.03,21.66,22.00,544800,22.00
2012-04-11,21.69,21.77,21.49,21.74,543500,21.74
2012-04-10,21.97,22.04,21.50,21.56,463200,21.56
2012-04-09,21.92,22.15,21.87,21.98,190000,21.98
2012-04-05,22.31,22.38,22.16,22.26,188600,22.26
2012-04-04,22.41,22.50,22.30,22.39,151000,22.39
2012-04-03,22.69,22.82,22.57,22.62,199800,22.62
2012-04-02,22.54,22.82,22.45,22.77,242800,22.77
2012-03-30,22.54,22.63,22.48,22.54,378000,22.54
2012-03-29,22.40,22.60,22.17,22.51,302400,22.51
2012-03-28,22.61,22.79,22.46,22.74,492000,22.56
2012-03-27,22.62,22.79,22.51,22.66,121200,22.48
2012-03-26,22.55,22.77,22.46,22.58,302900,22.40
2012-03-23,22.34,22.46,22.23,22.31,414500,22.13
2012-03-22,22.42,22.47,22.21,22.38,217000,22.20
2012-03-21,22.62,22.73,22.48,22.57,185900,22.39
2012-03-20,22.50,22.70,22.47,22.61,385900,22.43
2012-03-19,22.19,22.94,22.14,22.68,289900,22.50
2012-03-16,22.17,22.34,22.09,22.27,741300,22.09
2012-03-15,22.02,22.18,21.86,22.17,484500,21.99
2012-03-14,22.19,22.19,21.82,21.97,327400,21.80
2012-03-13,21.87,22.27,21.84,22.18,384600,22.00
2012-03-12,21.48,21.84,21.36,21.72,219100,21.55
2012-03-09,21.30,21.64,21.20,21.46,178600,21.29
2012-03-08,21.45,21.45,21.20,21.32,236400,21.15
2012-03-07,21.35,21.39,21.11,21.37,292700,21.20
2012-03-06,21.15,21.44,21.15,21.27,414500,21.10
2012-03-05,21.24,21.65,21.24,21.39,323000,21.22
2012-03-02,21.36,21.51,21.22,21.27,346600,21.10
2012-03-01,21.22,21.43,21.18,21.38,209800,21.21
2012-02-29,21.37,21.52,21.15,21.19,211400,21.02
2012-02-28,21.52,21.55,21.16,21.31,124200,21.14
2012-02-27,21.43,21.63,21.20,21.53,126000,21.36
2012-02-24,21.56,21.75,21.42,21.61,77600,21.44
2012-02-23,21.39,21.61,21.36,21.59,271800,21.42
2012-02-22,21.51,21.63,21.32,21.36,165900,21.19
2012-02-21,21.90,22.03,21.43,21.59,154900,21.42
2012-02-17,21.97,22.16,21.85,21.96,473600,21.79
2012-02-16,21.61,22.01,21.58,21.90,282700,21.73
2012-02-15,21.90,21.95,21.59,21.59,247000,21.42
2012-02-14,22.03,22.04,21.75,21.82,423500,21.65
2012-02-13,22.00,22.09,21.84,22.03,352800,21.86
2012-02-10,21.60,22.02,21.55,21.83,233200,21.66
2012-02-09,22.15,22.31,21.69,21.83,332600,21.66
2012-02-08,21.90,22.16,21.76,22.06,163300,21.89
2012-02-07,21.92,22.20,21.86,21.92,104900,21.75
2012-02-06,22.14,22.24,21.95,22.11,166000,21.93
2012-02-03,22.05,22.18,21.83,22.17,227700,21.99
2012-02-02,21.39,21.75,21.39,21.70,210400,21.53
2012-02-01,21.18,21.47,21.10,21.42,284900,21.25
2012-01-31,21.03,21.15,20.91,21.02,304600,20.85
2012-01-30,20.96,21.04,20.80,20.90,250100,20.73
2012-01-27,20.99,21.19,20.95,21.15,192900,20.98
2012-01-26,20.94,21.26,20.88,21.12,176000,20.95
2012-01-25,20.70,21.02,20.61,20.84,177100,20.68
2012-01-24,20.38,20.77,20.32,20.73,266800,20.57
2012-01-23,20.12,20.49,20.04,20.49,273900,20.33
2012-01-20,19.86,20.12,19.79,20.12,256400,19.96
2012-01-19,19.94,20.05,19.85,19.91,333900,19.75
2012-01-18,19.77,19.99,19.68,19.90,406100,19.74
2012-01-17,19.79,19.85,19.65,19.75,296800,19.59
2012-01-13,19.59,19.74,19.53,19.66,128500,19.50
2012-01-12,19.92,19.92,19.70,19.77,122500,19.61
2012-01-11,19.68,20.18,19.67,19.98,202100,19.82
2012-01-10,19.65,19.80,19.63,19.78,148900,19.62
2012-01-09,19.57,19.60,19.39,19.46,204300,19.31
2012-01-06,19.76,19.80,19.46,19.55,412500,19.40
2012-01-05,19.60,19.90,19.40,19.71,302000,19.55
2012-01-04,20.00,20.06,19.62,19.66,291200,19.50
2012-01-03,20.51,20.58,20.01,20.11,424200,19.95
2011-12-30,20.04,20.24,20.04,20.14,347300,19.98
2011-12-29,19.89,20.15,19.88,20.10,467800,19.94
2011-12-28,20.08,20.11,19.77,19.86,410600,19.70
2011-12-27,20.21,20.48,20.12,20.35,99100,20.01
2011-12-23,20.27,20.29,20.07,20.23,98100,19.89
2011-12-22,20.12,20.49,20.12,20.18,160100,19.84
2011-12-21,20.06,20.24,20.02,20.09,322900,19.75
2011-12-20,19.77,20.13,19.75,20.08,312100,19.74
2011-12-19,19.70,19.82,19.42,19.46,240800,19.14
2011-12-16,19.49,19.79,19.25,19.59,715400,19.26
2011-12-15,19.23,19.47,18.98,19.41,281200,19.09
2011-12-14,18.94,19.26,18.93,19.02,216000,18.70
2011-12-13,19.39,19.61,18.93,19.01,246300,18.69
2011-12-12,19.10,19.28,18.94,19.28,206000,18.96
2011-12-09,18.96,19.44,18.85,19.35,232900,19.03
2011-12-08,19.37,19.37,18.77,18.90,383300,18.58
2011-12-07,19.38,19.55,19.06,19.49,218800,19.16
2011-12-06,19.57,19.62,19.27,19.43,167200,19.11
2011-12-05,19.54,19.58,19.29,19.58,202400,19.25
2011-12-02,19.63,19.91,19.24,19.27,261300,18.95
2011-12-01,19.58,19.60,19.29,19.40,223700,19.08
2011-11-30,19.34,19.61,19.14,19.58,539900,19.25
2011-11-29,18.77,18.81,18.50,18.70,148200,18.39
2011-11-28,18.77,18.94,18.60,18.74,247600,18.43
2011-11-25,18.38,18.69,18.28,18.28,73200,17.97
2011-11-23,18.80,18.83,18.41,18.46,178400,18.15
2011-11-22,19.06,19.24,18.86,19.00,175300,18.68
2011-11-21,19.18,19.32,18.94,19.03,332000,18.71
2011-11-18,19.43,19.54,19.30,19.53,180900,19.20
2011-11-17,19.45,19.67,19.30,19.41,193000,19.09
2011-11-16,19.57,19.86,19.44,19.46,127000,19.14
2011-11-15,19.37,19.86,19.27,19.71,274200,19.38
2011-11-14,19.89,19.89,19.28,19.47,388400,19.15
2011-11-11,19.72,20.07,19.54,20.05,201400,19.72
2011-11-10,19.68,19.71,19.27,19.57,290600,19.24
2011-11-09,19.96,20.09,19.33,19.45,365100,19.13
2011-11-08,20.32,20.50,19.78,20.42,158000,20.08
2011-11-07,20.19,20.49,19.89,20.26,132700,19.92
2011-11-04,20.33,20.35,19.92,20.22,275000,19.88
2011-11-03,20.75,20.90,20.23,20.48,1415800,20.14
2011-11-02,20.14,20.64,19.96,20.61,363500,20.27
2011-11-01,20.42,20.61,19.80,19.86,365900,19.53
2011-10-31,20.29,20.92,20.25,20.72,408100,20.37
2011-10-28,20.49,20.81,20.32,20.61,413200,20.27
2011-10-27,20.78,20.81,20.07,20.59,516400,20.25
2011-10-26,19.25,19.78,19.25,19.61,265600,19.28
2011-10-25,19.63,19.76,19.26,19.51,261500,19.18
2011-10-24,19.32,19.92,19.24,19.82,178400,19.49
2011-10-21,19.18,19.34,18.94,19.33,218100,19.01
2011-10-20,18.81,18.92,18.37,18.90,193900,18.58
2011-10-19,19.09,19.26,18.69,18.81,141100,18.50
2011-10-18,18.50,19.25,18.39,19.10,260900,18.78
2011-10-17,18.66,18.69,18.38,18.44,317300,18.13
2011-10-14,18.79,18.92,18.65,18.82,807300,18.51
2011-10-13,18.87,18.98,18.36,18.61,593900,18.30
2011-10-12,18.95,19.25,18.76,19.03,259700,18.71
2011-10-11,19.14,19.29,18.71,18.80,487300,18.49
2011-10-10,18.85,19.39,18.79,19.34,326300,19.02
2011-10-07,18.97,19.07,18.26,18.46,442100,18.15
2011-10-06,18.21,18.98,18.15,18.94,318600,18.62
2011-10-05,18.65,18.74,17.59,18.29,314700,17.98
2011-10-04,17.66,18.72,17.42,18.63,606900,18.32
2011-10-03,18.61,18.97,17.84,17.85,455300,17.55
2011-09-30,18.89,19.34,18.67,18.70,325300,18.39
2011-09-29,19.21,19.34,18.91,19.23,242500,18.91
2011-09-28,19.69,19.87,18.81,18.87,240600,18.56
2011-09-27,20.05,20.25,19.64,19.82,323500,19.31
2011-09-26,19.54,19.70,19.24,19.59,321000,19.09
2011-09-23,19.15,19.38,18.80,19.38,273100,18.88
2011-09-22,18.86,19.42,18.78,19.17,659700,18.68
2011-09-21,20.14,20.40,19.34,19.38,332000,18.88
2011-09-20,20.18,20.37,20.02,20.19,414000,19.67
2011-09-19,20.29,20.43,20.05,20.13,184200,19.61
2011-09-16,21.20,21.20,20.39,20.60,421300,20.07
