Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,14.50,14.60,13.99,14.52,466900,14.52
2012-05-03,14.76,15.23,14.52,14.61,353300,14.61
2012-05-02,14.41,14.80,14.31,14.73,461800,14.73
2012-05-01,14.75,15.41,14.44,14.44,585900,14.44
2012-04-30,15.20,15.20,14.70,14.73,276000,14.73
2012-04-27,15.03,15.27,14.78,15.26,307400,15.26
2012-04-26,14.92,15.51,14.91,15.01,493600,15.01
2012-04-25,14.51,15.05,14.51,15.03,690100,15.03
2012-04-24,14.24,14.34,14.00,14.29,538400,14.29
2012-04-23,14.15,14.40,13.42,14.26,986100,14.26
2012-04-20,13.52,14.27,13.42,13.75,878400,13.75
2012-04-19,13.35,13.65,13.18,13.36,261200,13.36
2012-04-18,13.70,13.70,13.27,13.37,187500,13.37
2012-04-17,13.33,13.91,13.33,13.75,238600,13.75
2012-04-16,13.34,13.48,13.09,13.19,290800,13.19
2012-04-13,13.67,13.86,13.22,13.31,189900,13.31
2012-04-12,13.44,13.94,13.34,13.75,320900,13.75
2012-04-11,13.07,13.54,13.07,13.39,431100,13.39
2012-04-10,13.60,13.60,12.70,12.90,643700,12.90
2012-04-09,13.82,13.85,13.42,13.62,344200,13.62
2012-04-05,14.06,14.11,13.95,14.05,329300,14.05
2012-04-04,14.08,14.15,13.59,14.07,347400,14.07
2012-04-03,14.19,14.45,14.04,14.17,379000,14.17
2012-04-02,14.45,14.49,13.99,14.28,490500,14.28
2012-03-30,14.48,14.70,14.28,14.46,334800,14.46
2012-03-29,14.06,14.47,13.98,14.40,300800,14.40
2012-03-28,14.30,14.52,14.04,14.18,312000,14.18
2012-03-27,14.64,14.73,14.24,14.30,327100,14.30
2012-03-26,14.28,14.72,14.07,14.66,400500,14.66
2012-03-23,14.04,14.26,13.86,14.15,153500,14.15
2012-03-22,14.10,14.18,13.93,14.07,377900,14.07
2012-03-21,14.20,14.33,13.95,14.22,410700,14.22
2012-03-20,14.08,14.21,13.69,14.06,481500,14.06
2012-03-19,14.36,14.47,13.91,14.19,382400,14.19
2012-03-16,14.18,14.39,14.03,14.37,683400,14.37
2012-03-15,14.01,14.23,13.88,14.18,677300,14.18
2012-03-14,13.44,14.10,13.44,14.00,734900,14.00
2012-03-13,13.05,13.48,12.81,13.39,493200,13.39
2012-03-12,13.04,13.25,12.89,12.94,412700,12.94
2012-03-09,12.31,13.19,12.31,13.05,959300,13.05
2012-03-08,12.51,12.66,12.07,12.37,512300,12.37
2012-03-07,12.69,12.75,12.21,12.41,599700,12.41
2012-03-06,12.24,12.79,12.24,12.68,759800,12.68
2012-03-05,12.42,12.70,12.29,12.45,544000,12.45
2012-03-02,12.62,12.82,12.39,12.49,471300,12.49
2012-03-01,12.88,13.13,12.64,12.66,546000,12.66
2012-02-29,12.55,13.30,12.52,12.85,1443900,12.85
2012-02-28,13.60,14.49,11.79,12.45,2509200,12.45
2012-02-27,12.02,13.25,12.00,12.93,1434000,12.93
2012-02-24,11.51,12.02,11.51,11.99,667000,11.99
2012-02-23,11.60,11.71,11.25,11.51,323200,11.51
2012-02-22,11.40,11.82,11.39,11.56,381300,11.56
2012-02-21,11.34,11.70,11.21,11.40,589300,11.40
2012-02-17,11.49,11.70,11.15,11.29,401700,11.29
2012-02-16,11.41,11.56,11.12,11.48,237500,11.48
2012-02-15,11.81,12.41,11.33,11.41,773900,11.41
2012-02-14,11.31,11.69,11.00,11.65,691200,11.65
2012-02-13,11.42,11.62,11.24,11.41,367400,11.41
2012-02-10,11.58,11.59,11.33,11.33,224600,11.33
2012-02-09,12.09,12.20,11.67,11.77,257400,11.77
2012-02-08,11.68,12.09,11.68,12.08,579000,12.08
2012-02-07,11.64,11.93,11.50,11.67,466000,11.67
2012-02-06,11.67,11.80,11.46,11.64,297300,11.64
2012-02-03,11.70,11.95,11.63,11.70,601700,11.70
2012-02-02,11.52,11.64,11.09,11.57,914700,11.57
2012-02-01,10.60,11.59,10.55,11.43,1149300,11.43
2012-01-31,10.40,10.58,10.15,10.50,747100,10.50
2012-01-30,9.93,10.48,9.82,10.33,940200,10.33
2012-01-27,9.54,10.17,9.51,10.04,1206200,10.04
2012-01-26,9.61,9.90,9.45,9.60,1189700,9.60
2012-01-25,9.65,9.68,9.35,9.56,978500,9.56
2012-01-24,9.72,9.81,9.61,9.65,709100,9.65
2012-01-23,9.90,9.95,9.73,9.81,657100,9.81
2012-01-20,9.74,9.92,9.74,9.92,1046100,9.92
2012-01-19,9.89,9.94,9.72,9.80,1364300,9.80
2012-01-18,9.92,10.02,9.71,9.85,872400,9.85
2012-01-17,10.12,10.38,9.91,9.95,483400,9.95
2012-01-13,10.06,10.23,9.81,10.06,540800,10.06
2012-01-12,10.41,10.50,10.02,10.19,426900,10.19
2012-01-11,10.19,10.41,10.11,10.34,432900,10.34
2012-01-10,10.44,10.61,10.00,10.23,529300,10.23
2012-01-09,10.86,10.93,10.66,10.67,318900,10.67
2012-01-06,10.52,10.92,10.23,10.85,417200,10.85
2012-01-05,10.52,10.77,10.11,10.50,903700,10.50
2012-01-04,11.11,11.25,10.49,10.53,507100,10.53
2012-01-03,11.22,11.42,10.88,11.18,405400,11.18
2011-12-30,10.61,11.04,10.61,10.91,180000,10.91
2011-12-29,10.57,10.89,10.51,10.66,251700,10.66
2011-12-28,11.06,11.11,10.54,10.55,255600,10.55
2011-12-27,10.86,11.32,10.81,11.10,272900,11.10
2011-12-23,11.57,11.57,10.82,10.91,334400,10.91
2011-12-22,10.56,11.59,10.37,11.56,511600,11.56
2011-12-21,10.30,10.56,10.09,10.54,281000,10.54
2011-12-20,10.20,10.62,10.02,10.33,549700,10.33
2011-12-19,10.44,10.55,9.98,10.02,331500,10.02
2011-12-16,10.57,10.75,10.19,10.39,643800,10.39
2011-12-15,10.52,10.94,10.32,10.49,585300,10.49
2011-12-14,9.98,10.40,9.83,10.38,449700,10.38
2011-12-13,10.43,10.60,9.95,10.06,470500,10.06
2011-12-12,10.50,10.56,10.15,10.32,548100,10.32
2011-12-09,10.63,11.18,10.55,10.67,792000,10.67
2011-12-08,11.33,11.74,10.46,10.48,494600,10.48
2011-12-07,11.52,11.54,11.20,11.45,645900,11.45
2011-12-06,11.97,12.02,11.51,11.60,318100,11.60
2011-12-05,12.50,12.50,11.71,11.93,428600,11.93
2011-12-02,12.00,12.45,11.83,12.28,970800,12.28
2011-12-01,11.74,12.11,11.36,11.82,445700,11.82
