Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,40.43,40.65,40.01,40.57,207600,40.57
2012-05-03,40.45,40.68,40.30,40.45,198300,40.45
2012-05-02,40.66,40.66,40.25,40.44,185000,40.44
2012-05-01,40.59,40.78,40.40,40.66,254100,40.66
2012-04-30,40.70,40.74,40.39,40.52,241000,40.52
2012-04-27,40.20,40.72,40.20,40.61,359400,40.61
2012-04-26,39.40,40.20,39.13,40.20,227300,40.20
2012-04-25,39.34,39.47,38.78,39.38,164600,39.38
2012-04-24,39.13,39.56,39.02,39.12,182800,39.12
2012-04-23,39.49,39.49,38.62,38.81,242000,38.81
2012-04-20,38.86,39.58,38.78,39.50,200600,39.50
2012-04-19,38.44,38.62,38.28,38.59,220400,38.59
2012-04-18,37.95,38.33,37.95,38.32,158600,38.32
2012-04-17,38.01,38.33,37.71,38.09,251500,38.09
2012-04-16,38.36,38.36,37.65,37.78,403600,37.78
2012-04-13,38.79,38.84,38.08,38.10,328500,38.10
2012-04-12,39.18,39.18,38.75,38.79,222400,38.79
2012-04-11,39.43,39.60,38.92,39.10,290500,39.10
2012-04-10,39.98,40.00,39.25,39.36,333200,39.36
2012-04-09,40.00,40.11,39.53,39.93,250600,39.93
2012-04-05,40.35,40.44,40.10,40.17,177000,40.17
2012-04-04,40.35,40.62,40.35,40.40,208900,40.40
2012-04-03,40.48,40.69,40.34,40.57,185700,40.57
2012-04-02,40.72,40.72,40.35,40.40,207900,40.40
2012-03-30,40.58,40.90,40.39,40.52,304500,40.52
2012-03-29,40.75,40.75,40.35,40.58,202200,40.58
2012-03-28,40.50,40.86,40.35,40.80,364700,40.80
2012-03-27,41.00,41.00,40.59,40.60,355300,40.60
2012-03-26,40.60,40.96,40.40,40.82,932800,40.82
2012-03-23,39.75,40.55,39.60,40.25,597800,40.25
2012-03-22,40.20,40.36,39.73,39.79,503100,39.79
2012-03-21,40.50,40.50,40.25,40.25,360900,40.25
2012-03-20,40.30,40.48,40.17,40.40,413900,40.40
2012-03-19,40.30,40.51,40.06,40.45,1087500,40.45
2012-03-16,40.85,40.85,39.99,40.00,6133800,40.00
2012-03-15,44.39,44.39,41.25,41.25,865900,41.25
2012-03-14,45.00,45.36,44.72,44.88,70400,44.88
2012-03-13,45.20,45.50,45.06,45.22,79000,45.22
2012-03-12,45.52,45.52,45.18,45.20,64900,45.20
2012-03-09,45.52,45.57,45.18,45.52,65400,45.52
2012-03-08,45.38,45.54,45.18,45.40,50600,45.40
2012-03-07,45.00,45.50,44.98,45.43,58100,45.43
2012-03-06,45.20,45.20,44.63,44.89,58100,44.89
2012-03-05,44.79,45.32,44.37,45.19,59700,45.19
2012-03-02,44.87,45.30,44.44,44.60,105300,44.60
2012-03-01,45.05,45.30,44.70,45.00,44000,45.00
2012-02-29,44.51,45.88,44.40,45.22,165300,45.22
2012-02-28,46.05,46.20,44.25,44.60,134600,44.60
2012-02-27,46.16,46.46,45.87,46.05,80400,46.05
2012-02-24,46.00,46.21,45.54,46.21,98800,46.21
2012-02-23,44.87,45.84,44.75,45.80,77600,45.80
2012-02-22,45.00,45.14,44.51,44.69,63000,44.69
2012-02-21,46.11,46.11,45.00,45.02,121700,45.02
2012-02-17,45.74,46.45,44.98,46.00,254900,46.00
2012-02-16,44.50,45.00,44.30,44.85,209400,44.85
2012-02-15,44.47,44.50,44.04,44.49,115500,44.49
2012-02-14,43.68,44.50,43.16,44.25,140100,44.25
2012-02-13,43.18,43.62,42.85,43.44,111100,43.44
2012-02-10,44.00,44.00,42.32,43.15,100100,43.15
2012-02-09,43.63,43.65,42.75,43.11,75000,43.11
2012-02-08,43.00,43.75,42.76,43.62,124400,43.62
2012-02-07,43.69,44.55,43.34,44.15,205800,43.39
2012-02-06,43.35,43.67,42.83,43.24,161000,42.49
2012-02-03,42.71,43.27,42.44,43.06,105100,42.32
2012-02-02,42.35,42.52,42.27,42.29,116300,41.56
2012-02-01,42.50,42.65,42.22,42.41,127000,41.68
2012-01-31,42.07,42.50,41.90,42.20,128400,41.47
2012-01-30,42.67,42.88,41.97,41.98,237700,41.25
2012-01-27,44.06,44.25,42.63,42.78,164600,42.04
2012-01-26,44.61,44.61,43.85,44.02,127500,43.26
2012-01-25,43.50,44.40,42.75,43.99,140800,43.23
2012-01-24,43.94,44.42,43.55,43.65,167300,42.90
2012-01-23,43.20,44.00,43.03,43.79,135700,43.03
2012-01-20,42.48,43.28,42.35,42.78,147900,42.04
2012-01-19,42.15,42.49,41.80,42.32,164900,41.59
2012-01-18,41.75,41.93,41.40,41.78,161500,41.06
2012-01-17,41.63,41.93,41.51,41.69,204700,40.97
2012-01-13,41.28,41.50,40.80,41.18,199300,40.47
2012-01-12,42.05,42.43,41.19,41.19,246800,40.48
2012-01-11,43.02,43.28,42.00,42.01,240400,41.28
2012-01-10,44.00,44.00,43.00,43.25,171200,42.50
2012-01-09,44.98,45.00,43.75,43.82,133600,43.06
2012-01-06,45.60,45.62,44.25,44.68,114900,43.91
2012-01-05,46.05,46.05,45.46,45.84,59400,45.05
2012-01-04,45.29,45.66,45.09,45.40,61500,44.62
2012-01-03,46.24,46.31,45.35,45.42,87200,44.64
2011-12-30,45.55,46.01,45.37,45.91,75100,45.12
2011-12-29,44.88,45.75,44.71,45.60,97000,44.81
2011-12-28,44.56,45.00,44.56,44.94,62400,44.16
2011-12-27,44.50,44.74,44.14,44.69,106800,43.92
2011-12-23,44.11,44.60,44.11,44.34,97400,43.57
2011-12-22,44.42,44.46,44.01,44.14,52100,43.38
2011-12-21,43.75,44.69,43.53,44.46,84700,43.69
2011-12-20,44.30,44.52,43.84,43.92,95600,43.16
2011-12-19,43.91,44.08,43.60,44.08,97700,43.32
2011-12-16,44.10,44.30,43.50,43.63,98300,42.88
2011-12-15,43.73,44.00,43.64,44.00,70900,43.24
2011-12-14,43.88,43.88,43.50,43.61,72800,42.86
2011-12-13,44.06,44.10,43.73,43.88,40400,43.12
2011-12-12,43.83,44.10,42.88,44.07,87200,43.31
2011-12-09,43.15,44.00,43.15,43.97,53400,43.21
2011-12-08,43.75,44.05,43.13,43.14,74300,42.39
2011-12-07,43.70,44.17,43.70,43.76,51400,43.00
2011-12-06,44.00,44.60,43.70,44.00,50500,43.24
2011-12-05,44.10,44.10,43.90,44.07,66400,43.31
2011-12-02,43.99,44.20,43.57,43.95,65100,43.19
2011-12-01,43.75,44.10,43.59,43.87,81700,43.11
2011-11-30,44.39,44.39,43.76,43.88,65300,43.12
2011-11-29,43.99,44.13,43.75,43.99,65300,43.23
2011-11-28,43.37,44.11,43.20,43.95,53500,43.19
2011-11-25,43.00,43.50,42.88,42.88,10000,42.14
2011-11-23,43.57,43.66,42.79,43.30,39900,42.55
2011-11-22,44.09,44.15,43.56,43.71,39300,42.95
2011-11-21,43.55,44.25,43.12,44.02,90700,43.26
2011-11-18,43.49,43.91,42.92,43.68,97600,42.93
2011-11-17,43.33,43.49,42.53,43.04,74800,42.30
2011-11-16,43.12,43.48,42.50,43.20,37100,42.45
2011-11-15,42.78,43.44,41.69,43.16,118200,42.41
2011-11-14,42.75,43.47,42.57,43.17,77700,42.42
2011-11-11,42.59,43.58,42.59,42.94,67100,42.20
2011-11-10,42.75,43.09,41.96,42.45,68800,41.72
2011-11-09,42.40,42.87,42.01,42.14,91600,41.41
2011-11-08,44.00,44.00,42.97,43.02,96400,42.28
2011-11-07,44.52,44.70,43.78,44.15,72000,43.39
2011-11-04,45.00,45.15,44.92,44.98,155300,43.48
2011-11-03,45.35,45.35,44.90,44.94,85300,43.44
2011-11-02,45.00,45.26,44.45,44.99,77800,43.49
2011-11-01,46.28,46.28,44.26,44.45,105400,42.96
2011-10-31,44.85,44.85,44.60,44.72,58600,43.22
2011-10-28,44.70,44.93,44.52,44.82,67000,43.32
2011-10-27,45.00,45.32,44.47,45.00,110900,43.49
2011-10-26,44.85,45.00,44.40,44.61,77500,43.12
2011-10-25,45.05,45.23,44.63,44.78,81900,43.28
2011-10-24,45.00,45.32,45.00,45.20,80000,43.69
2011-10-21,44.62,45.00,44.58,44.92,51100,43.42
2011-10-20,44.02,44.49,44.00,44.43,50900,42.94
2011-10-19,44.84,44.95,44.06,44.21,167100,42.73
2011-10-18,44.40,45.43,44.37,45.10,97200,43.59
2011-10-17,45.98,46.47,44.00,44.00,120500,42.53
2011-10-14,45.32,46.00,45.11,45.92,53800,44.38
2011-10-13,45.13,45.37,44.40,45.18,55800,43.67
2011-10-12,45.00,45.44,44.95,45.44,54500,43.92
2011-10-11,44.70,45.00,44.60,44.97,53700,43.47
2011-10-10,44.70,44.99,44.25,44.94,67600,43.44
2011-10-07,44.88,44.99,44.16,44.42,96000,42.93
2011-10-06,43.58,44.75,43.58,44.48,56000,42.99
2011-10-05,44.25,44.55,43.62,44.27,60300,42.79
2011-10-04,42.95,44.11,42.10,44.11,106000,42.63
2011-10-03,44.09,44.15,43.14,43.41,74300,41.96
2011-09-30,43.46,44.13,43.16,43.99,62600,42.52
2011-09-29,42.60,43.70,42.60,43.63,45200,42.17
2011-09-28,43.90,44.22,42.30,42.31,78700,40.89
2011-09-27,43.93,44.63,43.34,44.16,65700,42.68
2011-09-26,43.66,44.29,42.99,43.20,47000,41.75
2011-09-23,43.00,43.99,42.75,43.14,67700,41.70
2011-09-22,43.00,43.86,42.77,42.87,70800,41.44
2011-09-21,44.31,44.46,43.58,43.58,56700,42.12
2011-09-20,43.98,44.63,43.75,44.31,86900,42.83
2011-09-19,43.10,43.84,42.86,43.75,75600,42.29
2011-09-16,43.93,44.00,43.31,43.32,102900,41.87
2011-09-15,43.44,43.96,43.15,43.90,94700,42.43
2011-09-14,43.31,43.67,42.45,43.26,70900,41.81
2011-09-13,42.90,43.33,42.32,42.95,69200,41.51
2011-09-12,42.56,43.49,42.08,42.76,109800,41.33
2011-09-09,43.10,43.25,42.30,42.74,85000,41.31
2011-09-08,43.30,43.75,43.09,43.31,111800,41.86
2011-09-07,43.15,43.55,42.90,43.44,89000,41.99
2011-09-06,42.10,42.35,41.30,42.28,120000,40.87
2011-09-02,42.49,42.91,42.31,42.47,40800,41.05
2011-09-01,43.03,43.40,42.77,42.95,61000,41.51
2011-08-31,43.49,43.70,43.11,43.30,52900,41.85
2011-08-30,43.07,43.46,42.78,43.24,44800,41.79
2011-08-29,43.00,43.49,42.56,43.30,104800,41.85
2011-08-26,41.96,42.63,41.10,42.62,90200,41.19
2011-08-25,42.57,42.57,41.75,42.18,46400,40.77
2011-08-24,41.58,42.74,41.33,42.47,72900,41.05
2011-08-23,40.77,41.84,40.01,41.69,78200,40.30
2011-08-22,41.96,42.31,40.80,40.82,89800,39.45
2011-08-19,41.94,42.78,40.99,41.32,140200,39.94
2011-08-18,42.60,43.50,41.60,42.05,97600,40.64
2011-08-17,42.69,43.42,42.62,42.87,105900,41.44
2011-08-16,42.49,42.49,41.98,42.30,57700,40.89
2011-08-15,42.12,42.63,41.82,42.58,104100,41.16
2011-08-12,42.31,42.34,41.25,41.59,90900,40.20
2011-08-11,42.00,42.50,41.61,42.16,106800,40.75
2011-08-10,41.85,43.16,41.15,41.60,148100,40.21
2011-08-09,38.06,42.27,37.52,42.07,235300,40.66
2011-08-08,37.27,38.65,36.76,38.06,440900,36.79
2011-08-05,41.77,42.83,40.21,41.42,222400,39.32
2011-08-04,42.46,42.92,41.11,41.60,172000,39.49
2011-08-03,43.94,44.00,42.31,42.68,166100,40.52
2011-08-02,43.58,44.18,43.52,43.82,94700,41.60
2011-08-01,44.24,44.24,43.36,43.60,98800,41.39
2011-07-29,42.00,43.17,42.00,42.72,82200,40.55
2011-07-28,42.89,43.05,42.00,42.45,119400,40.30
2011-07-27,43.05,43.20,41.53,41.96,155100,39.83
2011-07-26,44.01,44.01,43.05,43.24,132100,41.05
2011-07-25,44.32,44.44,44.00,44.05,64400,41.82
2011-07-22,44.94,44.97,44.34,44.54,51000,42.28
2011-07-21,44.60,45.09,44.25,44.85,95600,42.58
2011-07-20,44.55,45.00,44.28,44.63,55000,42.37
2011-07-19,44.18,44.50,43.98,44.30,62000,42.05
2011-07-18,44.56,44.67,43.70,43.98,59200,41.75
2011-07-15,44.91,45.06,44.50,44.59,85300,42.33
2011-07-14,45.30,45.41,44.75,44.86,59500,42.58
2011-07-13,45.31,45.46,45.10,45.20,46500,42.91
2011-07-12,45.27,45.53,45.10,45.28,55300,42.98
2011-07-11,45.21,45.58,45.21,45.27,57800,42.97
2011-07-08,45.81,46.00,45.00,45.68,77900,43.36
2011-07-07,46.00,46.03,45.40,46.02,41800,43.69
2011-07-06,45.22,45.87,45.16,45.80,66600,43.48
2011-07-05,45.80,45.80,45.52,45.72,45000,43.40
2011-07-01,45.27,45.78,45.24,45.73,48100,43.41
2011-06-30,45.57,45.57,45.00,45.03,63200,42.75
2011-06-29,44.99,45.40,44.75,45.36,67400,43.06
2011-06-28,44.66,44.90,44.55,44.89,47200,42.61
2011-06-27,44.57,44.73,44.26,44.46,40200,42.21
2011-06-24,44.28,44.65,44.25,44.46,39800,42.21
2011-06-23,43.84,44.41,43.77,44.23,51700,41.99
2011-06-22,44.40,45.00,44.29,44.41,43100,42.16
2011-06-21,44.05,44.47,43.83,44.35,50400,42.10
2011-06-20,43.10,43.98,43.10,43.93,107500,41.70
2011-06-17,43.26,43.50,43.01,43.01,123700,40.83
2011-06-16,42.90,43.47,42.89,42.93,69300,40.75
2011-06-15,43.54,43.75,42.89,43.15,78300,40.96
2011-06-14,43.86,43.95,43.12,43.70,110700,41.48
2011-06-13,43.05,43.31,42.71,43.05,87100,40.87
2011-06-10,42.56,43.17,42.00,43.05,119200,40.87
2011-06-09,42.86,43.10,42.53,42.75,123000,40.58
2011-06-08,43.49,43.61,42.77,42.87,106700,40.70
2011-06-07,43.72,43.93,43.50,43.53,65500,41.32
2011-06-06,44.20,44.20,43.66,43.66,64300,41.45
2011-06-03,44.18,44.49,43.82,44.23,56900,41.99
2011-06-02,44.70,44.82,44.11,44.49,68000,42.23
2011-06-01,45.24,45.45,44.72,44.76,70500,42.49
