Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,18.53,18.72,17.48,17.96,5136100,17.96
2012-05-03,19.95,19.96,18.45,18.74,6884800,18.74
2012-05-02,20.10,20.32,19.48,19.75,5380100,19.75
2012-05-01,21.05,21.05,20.39,20.39,1909300,20.39
2012-04-30,21.63,21.64,21.05,21.12,1270900,21.12
2012-04-27,20.92,21.70,20.92,21.63,1836900,21.63
2012-04-26,20.88,21.39,20.72,20.93,1498600,20.93
2012-04-25,20.57,21.00,20.33,20.99,2075900,20.99
2012-04-24,19.33,20.41,19.33,20.20,4012900,20.20
2012-04-23,19.71,19.71,19.20,19.38,2592100,19.38
2012-04-20,21.53,21.53,19.98,20.06,4608100,20.06
2012-04-19,21.00,22.38,20.99,21.52,3266100,21.52
2012-04-18,21.36,21.51,20.75,21.03,1929700,21.03
2012-04-17,21.14,21.91,21.06,21.58,1585200,21.58
2012-04-16,21.24,21.41,20.72,20.89,1668500,20.89
2012-04-13,21.21,21.42,21.05,21.13,1682200,21.13
2012-04-12,21.32,21.68,21.05,21.43,1617400,21.43
2012-04-11,21.28,21.38,20.92,21.15,2477900,21.15
2012-04-10,21.16,21.50,20.67,20.76,2583100,20.76
2012-04-09,20.80,21.32,20.68,21.19,1967900,21.19
2012-04-05,21.71,21.82,21.19,21.54,2812100,21.54
2012-04-04,22.50,22.51,21.20,21.56,3920200,21.56
2012-04-03,22.63,23.21,22.54,22.78,2647300,22.78
2012-04-02,22.08,22.73,21.95,22.67,2597200,22.67
2012-03-30,22.45,22.45,21.82,22.28,3648200,22.28
2012-03-29,22.29,22.43,21.67,22.15,4440400,22.15
2012-03-28,23.69,23.74,22.21,22.47,5270000,22.47
2012-03-27,24.16,24.57,23.55,23.72,2561800,23.72
2012-03-26,24.07,24.41,23.70,24.11,2410000,24.11
2012-03-23,23.69,23.95,23.25,23.94,1370100,23.94
2012-03-22,23.32,23.98,23.32,23.70,2091400,23.70
2012-03-21,24.10,24.35,23.66,23.72,2301800,23.72
