Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,17.09,17.14,16.34,16.65,330700,16.65
2012-05-03,18.04,18.30,17.07,17.25,235700,17.25
2012-05-02,17.74,18.16,17.17,18.05,254800,18.05
2012-05-01,18.72,18.96,17.84,18.00,428100,18.00
2012-04-30,19.07,19.17,18.59,18.71,383900,18.71
2012-04-27,18.05,19.37,17.80,18.98,727900,18.98
2012-04-26,17.32,17.93,17.14,17.53,220100,17.53
2012-04-25,16.86,17.52,16.74,17.30,317500,17.30
2012-04-24,16.69,16.89,16.42,16.52,253800,16.52
2012-04-23,17.03,17.16,16.58,16.71,320800,16.71
2012-04-20,17.67,17.93,17.20,17.41,232100,17.41
2012-04-19,17.78,17.87,17.30,17.33,132500,17.33
2012-04-18,17.69,17.91,17.45,17.84,158900,17.84
2012-04-17,17.65,18.18,17.64,17.77,140100,17.77
2012-04-16,17.81,17.89,17.29,17.42,135200,17.42
2012-04-13,17.66,17.83,17.45,17.73,175000,17.73
2012-04-12,17.50,18.06,17.50,17.82,351600,17.82
2012-04-11,17.29,17.67,17.16,17.51,205200,17.51
2012-04-10,17.90,17.94,16.67,17.03,480100,17.03
2012-04-09,18.05,18.05,17.58,17.88,178000,17.88
2012-04-05,17.97,18.62,17.91,18.50,138800,18.50
2012-04-04,18.36,18.58,17.90,18.13,224000,18.13
2012-04-03,18.19,18.93,17.95,18.74,559000,18.74
2012-04-02,17.45,18.20,17.37,18.18,389000,18.18
2012-03-30,17.70,17.86,17.29,17.47,282200,17.47
2012-03-29,17.38,17.83,17.22,17.52,251600,17.52
2012-03-28,17.32,17.61,17.29,17.44,256900,17.44
2012-03-27,17.76,17.76,17.29,17.31,582700,17.31
2012-03-26,17.30,18.05,17.30,17.80,775700,17.80
2012-03-23,17.06,17.24,16.83,17.09,524500,17.09
2012-03-22,17.25,17.42,17.05,17.06,541300,17.06
2012-03-21,17.25,18.25,17.12,17.32,2745700,17.32
2012-03-20,14.14,14.29,13.62,13.68,124500,13.68
2012-03-19,13.97,14.34,13.85,14.26,170000,14.26
2012-03-16,13.63,14.05,13.60,14.00,307300,14.00
2012-03-15,13.72,13.72,13.18,13.58,157500,13.58
2012-03-14,13.68,13.78,13.49,13.68,136900,13.68
2012-03-13,13.55,13.75,13.43,13.74,136900,13.74
2012-03-12,13.53,13.66,13.33,13.40,104700,13.40
2012-03-09,13.55,13.68,13.39,13.55,194500,13.55
2012-03-08,13.63,13.69,13.28,13.52,143100,13.52
2012-03-07,13.40,13.51,13.13,13.48,130400,13.48
2012-03-06,13.81,13.83,13.13,13.29,346000,13.29
2012-03-05,13.75,14.05,13.65,13.95,126500,13.95
2012-03-02,14.32,14.32,13.63,13.83,282500,13.83
2012-03-01,14.00,14.50,13.69,14.36,383900,14.36
2012-02-29,14.09,14.14,13.74,13.88,230200,13.88
2012-02-28,14.20,14.20,13.81,14.06,190500,14.06
2012-02-27,13.81,14.32,13.66,14.15,123600,14.15
2012-02-24,13.94,14.08,13.90,14.00,183600,14.00
2012-02-23,13.81,13.95,13.61,13.93,173800,13.93
2012-02-22,13.70,13.95,13.46,13.75,101900,13.75
2012-02-21,13.87,14.34,13.77,13.77,298900,13.77
2012-02-17,13.89,14.06,13.69,13.80,286400,13.80
2012-02-16,13.59,14.00,13.53,13.91,347300,13.91
2012-02-15,13.78,13.95,13.31,13.53,436500,13.53
2012-02-14,12.75,13.94,12.11,13.67,1281000,13.67
2012-02-13,12.04,12.39,11.87,11.94,254700,11.94
2012-02-10,11.81,12.06,11.80,11.85,93400,11.85
2012-02-09,11.88,12.15,11.79,11.92,74400,11.92
2012-02-08,12.05,12.17,11.80,11.86,101900,11.86
2012-02-07,12.14,12.25,11.78,12.01,177300,12.01
2012-02-06,12.10,12.43,12.03,12.19,151600,12.19
2012-02-03,11.55,12.28,11.50,12.19,262100,12.19
2012-02-02,12.08,12.10,11.07,11.32,378800,11.32
2012-02-01,11.33,12.10,11.24,12.05,292300,12.05
2012-01-31,11.40,11.42,11.01,11.21,113500,11.21
2012-01-30,11.46,11.50,11.08,11.31,64700,11.31
2012-01-27,11.48,11.79,11.38,11.60,96100,11.60
2012-01-26,11.89,12.19,11.46,11.56,169500,11.56
2012-01-25,11.99,11.99,11.63,11.83,129700,11.83
2012-01-24,11.37,12.18,11.02,11.97,603500,11.97
2012-01-23,11.28,11.49,11.10,11.44,139500,11.44
2012-01-20,11.04,11.33,10.91,11.32,77800,11.32
2012-01-19,11.28,11.28,10.99,11.07,63100,11.07
2012-01-18,11.11,11.26,10.85,11.25,93200,11.25
2012-01-17,11.29,11.29,10.94,11.11,124300,11.11
2012-01-13,11.12,11.28,11.11,11.16,102100,11.16
2012-01-12,11.31,11.33,11.11,11.30,89600,11.30
2012-01-11,11.15,11.40,11.12,11.30,160100,11.30
2012-01-10,11.22,11.30,11.06,11.20,176400,11.20
2012-01-09,11.12,11.17,10.73,11.02,150200,11.02
2012-01-06,11.09,11.23,10.95,11.08,131800,11.08
2012-01-05,10.95,11.16,10.65,11.09,109900,11.09
2012-01-04,10.91,11.16,10.66,11.05,154700,11.05
2012-01-03,11.53,11.65,10.90,11.02,265100,11.02
2011-12-30,11.51,11.55,11.16,11.18,154800,11.18
2011-12-29,11.30,11.54,11.30,11.47,90000,11.47
2011-12-28,11.65,11.68,11.23,11.25,71200,11.25
2011-12-27,11.51,11.81,11.31,11.65,188400,11.65
2011-12-23,11.81,11.81,11.47,11.60,127600,11.60
2011-12-22,11.48,11.94,11.48,11.74,355700,11.74
2011-12-21,10.90,11.55,10.81,11.42,286900,11.42
2011-12-20,10.61,10.99,10.42,10.96,188500,10.96
2011-12-19,10.48,10.88,10.23,10.30,155500,10.30
2011-12-16,10.50,10.76,10.28,10.35,425300,10.35
2011-12-15,10.52,10.63,10.31,10.37,197600,10.37
2011-12-14,10.47,10.62,10.12,10.30,210100,10.30
2011-12-13,10.68,10.90,10.53,10.63,219700,10.63
2011-12-12,10.39,10.57,10.05,10.54,156100,10.54
2011-12-09,10.17,10.69,10.11,10.62,161500,10.62
2011-12-08,10.30,10.36,10.06,10.13,200600,10.13
2011-12-07,10.55,10.77,10.18,10.46,238300,10.46
2011-12-06,10.63,10.77,10.45,10.66,203100,10.66
2011-12-05,10.64,10.72,10.41,10.60,242800,10.60
2011-12-02,10.25,10.62,10.18,10.34,164500,10.34
2011-12-01,10.31,10.40,9.97,10.01,300900,10.01
2011-11-30,10.44,10.93,10.10,10.42,1429200,10.42
2011-11-29,10.07,10.09,9.69,9.88,143200,9.88
2011-11-28,9.77,10.07,9.56,10.06,257100,10.06
2011-11-25,9.87,10.05,9.34,9.35,83400,9.35
2011-11-23,10.35,10.40,9.92,9.94,182100,9.94
2011-11-22,10.33,10.70,10.33,10.48,137500,10.48
2011-11-21,10.46,10.59,10.00,10.37,207400,10.37
2011-11-18,10.46,10.93,10.38,10.75,212400,10.75
