Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,34.95,35.17,34.78,34.89,53500,34.89
2012-05-03,36.22,36.41,35.92,36.14,44000,36.14
2012-05-02,34.98,35.22,34.89,35.05,11900,35.05
2012-05-01,35.28,35.97,35.28,35.78,21000,35.78
2012-04-30,35.65,35.66,35.28,35.47,6600,35.47
2012-04-27,36.12,36.25,35.81,36.03,20000,36.03
2012-04-26,35.56,35.96,35.53,35.84,37600,35.84
2012-04-25,35.79,35.86,35.31,35.57,18700,35.57
2012-04-24,35.16,35.56,35.13,35.38,12200,35.38
2012-04-23,35.77,35.83,35.00,35.37,44600,35.37
2012-04-20,37.67,37.71,37.24,37.24,10100,37.24
2012-04-19,38.03,38.49,37.90,38.01,6500,38.01
2012-04-18,37.67,38.32,37.67,38.08,9400,38.08
2012-04-17,37.18,37.94,37.12,37.74,16200,37.74
2012-04-16,37.40,37.44,36.98,37.17,11900,37.17
2012-04-13,38.06,38.06,37.38,37.71,7000,37.71
2012-04-12,38.28,38.70,38.28,38.65,15000,38.65
2012-04-11,37.58,37.99,37.47,37.48,7300,37.48
2012-04-10,38.09,38.28,37.43,37.54,9700,37.54
2012-04-09,37.94,37.94,37.57,37.88,3400,37.88
2012-04-05,37.77,38.37,37.75,38.04,16900,38.04
2012-04-04,38.50,38.79,38.25,38.79,22100,38.79
2012-04-03,39.94,40.35,39.71,39.84,12600,39.84
2012-04-02,38.22,39.11,38.00,39.00,22000,39.00
2012-03-30,38.75,38.76,38.28,38.41,21800,38.41
2012-03-29,38.90,38.98,38.42,38.84,35400,38.84
2012-03-28,38.30,38.43,38.05,38.24,10500,38.24
2012-03-27,37.81,37.94,37.57,37.60,82800,37.60
2012-03-26,36.57,37.02,36.53,37.02,11800,37.02
2012-03-23,36.12,36.45,35.99,36.29,11500,36.29
2012-03-22,35.58,35.92,35.58,35.89,17800,35.89
2012-03-21,36.20,36.31,35.86,35.86,14000,35.86
2012-03-20,36.60,36.91,36.38,36.84,18000,36.84
2012-03-19,37.45,38.19,37.41,37.97,35500,37.97
2012-03-16,37.28,37.63,37.25,37.43,59600,37.43
2012-03-15,36.56,37.21,36.51,37.06,13200,37.06
2012-03-14,36.26,36.45,36.10,36.10,9500,36.10
2012-03-13,35.76,35.99,35.71,35.85,11100,35.85
2012-03-12,35.15,35.28,34.89,35.16,18300,35.16
2012-03-09,35.36,35.59,35.20,35.50,16600,35.50
2012-03-08,35.34,36.12,35.32,35.98,21900,35.98
2012-03-07,34.29,34.29,33.85,34.20,29400,34.20
2012-03-06,35.05,35.19,34.37,34.57,59000,34.57
2012-03-05,36.75,36.96,36.55,36.79,60200,36.79
2012-03-02,37.41,37.56,37.10,37.44,47300,37.44
2012-03-01,37.01,37.15,36.78,37.05,40400,37.05
2012-02-29,38.13,38.36,37.26,37.54,19500,37.54
2012-02-28,37.94,38.48,37.85,38.33,21500,38.33
2012-02-27,36.81,37.54,36.62,37.45,42500,37.45
2012-02-24,38.01,38.23,37.78,37.88,39500,37.88
2012-02-23,37.68,37.68,37.00,37.50,11400,37.50
2012-02-22,37.83,37.93,37.66,37.76,19700,37.76
2012-02-21,37.84,37.96,37.47,37.66,29700,37.66
2012-02-17,37.79,37.79,37.37,37.58,44400,37.58
2012-02-16,35.95,37.44,35.91,37.38,32800,37.38
2012-02-15,35.90,36.09,35.53,35.53,4600,35.53
2012-02-14,36.21,36.24,35.63,35.83,10800,35.83
2012-02-13,36.29,36.44,35.87,36.06,14100,36.06
2012-02-10,36.78,36.79,36.17,36.25,21000,36.25
2012-02-09,37.35,37.74,37.23,37.61,31900,37.61
2012-02-08,36.46,36.81,36.25,36.60,20400,36.60
2012-02-07,35.95,36.22,35.67,36.20,37400,36.20
2012-02-06,35.41,35.64,35.27,35.43,16800,35.43
2012-02-03,34.59,35.05,34.38,35.05,41200,35.05
2012-02-02,33.95,34.10,33.76,33.94,49600,33.94
2012-02-01,34.64,34.94,34.54,34.64,43500,34.64
2012-01-31,33.37,33.58,32.63,33.31,71500,33.31
2012-01-30,33.96,34.11,33.38,33.63,35800,33.63
2012-01-27,34.35,35.00,34.35,34.88,42800,34.88
2012-01-26,34.83,34.99,34.48,34.48,28700,34.48
2012-01-25,34.42,35.01,34.15,34.94,13600,34.94
2012-01-24,33.92,34.20,33.85,34.08,42700,34.08
2012-01-23,34.54,34.75,34.35,34.57,6600,34.57
2012-01-20,34.20,34.77,34.13,34.64,22800,34.64
2012-01-19,34.31,34.70,34.21,34.63,47300,34.63
2012-01-18,33.19,33.56,32.91,33.56,113900,33.56
2012-01-17,31.88,32.30,31.78,31.93,85900,31.93
2012-01-13,31.11,31.30,30.46,30.79,79100,30.79
2012-01-12,32.96,33.10,32.71,33.03,101600,33.03
2012-01-11,31.90,32.36,31.76,32.35,101900,32.35
2012-01-10,31.35,31.40,31.06,31.40,23900,31.40
2012-01-09,30.05,30.09,29.73,30.05,84700,30.05
