Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,12.61,12.62,12.28,12.36,13207100,12.36
2012-05-03,12.86,12.89,12.64,12.66,3520200,12.66
2012-05-02,12.79,12.88,12.68,12.84,3822100,12.84
2012-05-01,12.82,13.00,12.80,12.82,7113100,12.82
2012-04-30,12.83,12.95,12.81,12.88,6170800,12.88
2012-04-27,12.82,12.92,12.77,12.83,5758300,12.83
2012-04-26,12.61,12.94,12.55,12.76,10453700,12.76
2012-04-25,12.46,12.64,12.42,12.57,7556600,12.57
2012-04-24,12.36,12.61,12.27,12.44,17415400,12.44
2012-04-23,12.15,12.39,11.99,12.36,13198200,12.36
2012-04-20,12.31,12.39,12.18,12.20,6499400,12.20
2012-04-19,12.18,12.43,12.15,12.25,7814100,12.25
2012-04-18,12.26,12.38,12.21,12.25,7681900,12.25
2012-04-17,12.27,12.43,12.24,12.27,8556200,12.27
2012-04-16,12.44,12.48,12.23,12.26,6887200,12.26
2012-04-13,12.48,12.51,12.38,12.42,8462300,12.42
2012-04-12,12.40,12.52,12.38,12.48,6652200,12.48
2012-04-11,12.41,12.49,12.32,12.37,9199200,12.37
2012-04-10,12.75,12.85,12.35,12.37,11062300,12.37
2012-04-09,12.55,12.77,12.53,12.72,6937200,12.72
2012-04-05,12.76,12.80,12.57,12.69,5776100,12.69
2012-04-04,12.79,12.93,12.73,12.81,10161300,12.81
2012-04-03,12.75,12.91,12.70,12.83,15571100,12.83
2012-04-02,12.78,12.83,12.70,12.82,8648600,12.82
2012-03-30,12.84,12.88,12.70,12.82,9029100,12.82
2012-03-29,12.66,12.77,12.58,12.77,11343500,12.77
2012-03-28,12.86,12.88,12.63,12.69,8064700,12.69
2012-03-27,12.78,12.92,12.76,12.86,12966100,12.86
2012-03-26,12.81,12.83,12.63,12.77,9750000,12.77
2012-03-23,12.73,12.86,12.66,12.71,13140000,12.71
2012-03-22,12.50,12.95,12.50,12.73,15532200,12.73
2012-03-21,12.51,12.59,12.44,12.53,6021000,12.53
2012-03-20,12.46,12.56,12.26,12.52,10756400,12.52
2012-03-19,12.45,12.63,12.34,12.52,14165600,12.52
2012-03-16,12.44,12.71,12.44,12.65,12248100,12.47
2012-03-15,12.28,12.54,12.23,12.46,14892900,12.28
2012-03-14,12.00,12.33,11.99,12.33,20617200,12.15
2012-03-13,11.99,12.09,11.91,12.02,10427100,11.85
2012-03-12,11.87,12.08,11.87,11.94,12017200,11.77
2012-03-09,11.94,12.16,11.76,11.91,17707600,11.74
2012-03-08,11.87,12.05,11.80,12.01,12047100,11.84
2012-03-07,11.76,11.88,11.70,11.80,8818000,11.63
2012-03-06,11.62,11.82,11.62,11.73,13670200,11.56
2012-03-05,11.71,11.82,11.60,11.71,12564100,11.54
2012-03-02,11.68,11.73,11.58,11.67,12544800,11.50
2012-03-01,12.00,12.00,11.54,11.68,26602900,11.51
2012-02-29,12.03,12.14,11.89,11.95,17231100,11.78
2012-02-28,11.94,12.10,11.87,12.06,13595400,11.89
2012-02-27,12.09,12.09,11.89,11.91,12587100,11.74
2012-02-24,12.22,12.29,11.97,12.12,10545900,11.95
2012-02-23,12.07,12.20,12.06,12.17,6702600,12.00
2012-02-22,12.02,12.14,12.00,12.10,6634000,11.93
2012-02-21,12.24,12.26,11.91,12.02,11798300,11.85
2012-02-17,12.50,12.55,12.21,12.23,7397200,12.06
2012-02-16,12.47,12.55,12.33,12.52,8758700,12.34
2012-02-15,12.52,12.52,12.34,12.40,12346900,12.22
2012-02-14,12.25,12.49,12.23,12.48,10611400,12.30
2012-02-13,12.39,12.40,12.13,12.25,13062500,12.08
2012-02-10,12.63,12.73,12.28,12.33,23187400,12.15
2012-02-09,12.81,12.82,12.38,12.66,14879300,12.48
2012-02-08,12.48,12.60,12.44,12.55,7435400,12.37
2012-02-07,12.36,12.50,12.30,12.44,5737600,12.26
2012-02-06,12.29,12.40,12.17,12.32,7099900,12.14
2012-02-03,12.27,12.48,12.25,12.28,9518500,12.11
2012-02-02,12.23,12.36,11.99,12.18,11529000,12.01
2012-02-01,12.29,12.41,12.13,12.16,8991000,11.99
2012-01-31,12.19,12.35,12.18,12.34,7502400,12.16
2012-01-30,12.04,12.23,11.93,12.17,9336000,12.00
2012-01-27,12.02,12.20,11.98,12.15,5363900,11.98
2012-01-26,12.07,12.13,11.87,11.95,7560400,11.78
2012-01-25,12.20,12.24,11.90,11.95,10855700,11.78
2012-01-24,12.08,12.37,12.06,12.28,10181500,12.11
2012-01-23,12.25,12.30,12.04,12.07,7630600,11.90
2012-01-20,12.32,12.34,12.06,12.22,14941400,12.05
2012-01-19,12.22,12.45,12.19,12.34,6772800,12.16
2012-01-18,12.02,12.27,11.87,12.21,8262000,12.04
2012-01-17,12.37,12.38,11.96,11.99,15108700,11.82
2012-01-13,12.50,12.53,12.17,12.24,10131400,12.07
2012-01-12,12.62,12.67,12.51,12.56,5077000,12.38
2012-01-11,12.46,12.70,12.44,12.61,9253000,12.43
2012-01-10,12.28,12.55,12.21,12.45,6011300,12.27
2012-01-09,12.23,12.24,12.03,12.20,5827500,12.03
2012-01-06,12.09,12.31,11.98,12.24,9625000,12.07
2012-01-05,12.12,12.21,11.94,12.11,8809800,11.94
2012-01-04,12.21,12.27,12.07,12.11,8551600,11.94
2012-01-03,12.46,12.49,12.19,12.20,10330200,12.03
2011-12-30,12.27,12.39,12.25,12.32,3054100,12.14
2011-12-29,12.14,12.35,12.10,12.30,4062200,12.12
2011-12-28,12.18,12.25,12.11,12.13,5061900,11.96
2011-12-27,12.19,12.19,12.02,12.17,5480200,12.00
2011-12-23,11.91,12.22,11.90,12.20,5621400,12.03
2011-12-22,11.95,12.00,11.80,11.90,8600200,11.73
2011-12-21,11.85,11.96,11.72,11.93,9022900,11.76
2011-12-20,11.78,12.00,11.78,11.87,9781600,11.70
2011-12-19,11.92,11.97,11.62,11.65,8952800,11.48
2011-12-16,11.93,12.04,11.78,11.88,10388100,11.71
2011-12-15,11.83,11.94,11.76,11.86,8127100,11.69
2011-12-14,12.00,12.00,11.73,11.76,10361900,11.59
2011-12-13,12.23,12.30,11.93,11.98,8336200,11.81
2011-12-12,12.20,12.24,11.97,12.12,6555500,11.95
2011-12-09,11.99,12.31,11.97,12.24,10545500,12.07
2011-12-08,12.15,12.28,11.92,11.93,10323100,11.76
2011-12-07,12.32,12.38,12.21,12.27,10342600,12.10
2011-12-06,12.49,12.52,12.35,12.38,10028800,12.20
2011-12-05,12.39,12.59,12.35,12.44,9878600,12.26
2011-12-02,12.51,12.55,12.25,12.27,8867100,12.10
2011-12-01,12.36,12.48,12.25,12.41,9519500,12.23
2011-11-30,12.30,12.43,12.22,12.42,11788100,12.24
2011-11-29,12.09,12.24,11.94,12.09,7555500,11.92
2011-11-28,12.03,12.18,11.92,12.16,14166600,11.99
2011-11-25,11.69,12.03,11.69,11.75,5187800,11.58
2011-11-23,11.83,12.00,11.75,11.75,12543100,11.58
2011-11-22,11.87,12.01,11.60,11.90,18589200,11.73
2011-11-21,11.87,11.96,11.78,11.88,13803700,11.71
2011-11-18,12.14,12.20,11.96,12.05,11120900,11.88
2011-11-17,12.23,12.39,12.05,12.13,14703500,11.96
2011-11-16,12.11,12.45,12.10,12.28,14679400,12.11
2011-11-15,12.18,12.43,12.11,12.22,39436400,12.05
2011-11-14,12.77,12.95,12.71,12.80,16403100,12.62
2011-11-11,13.17,13.18,12.69,12.71,15104100,12.53
2011-11-10,13.15,13.20,12.80,12.98,14213800,12.80
2011-11-09,13.42,13.51,12.90,13.02,25290800,12.83
2011-11-08,14.26,14.40,13.76,13.93,26650000,13.73
