Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,35.75,36.00,35.63,35.80,77300,35.80
2012-05-03,35.98,36.50,35.74,35.83,144600,35.83
2012-05-02,36.05,36.08,35.63,35.94,108000,35.94
2012-05-01,36.38,36.87,36.11,36.15,58300,36.15
2012-04-30,36.82,36.82,36.33,36.44,110000,36.44
2012-04-27,36.46,36.95,36.17,36.89,69100,36.89
2012-04-26,36.27,36.40,36.00,36.32,71100,36.32
2012-04-25,36.27,36.45,36.01,36.34,124000,36.34
2012-04-24,35.19,35.97,35.19,35.96,115900,35.96
2012-04-23,35.27,35.47,34.97,35.22,95800,35.22
2012-04-20,35.32,35.79,35.15,35.63,127700,35.63
2012-04-19,35.30,35.49,35.00,35.05,65600,35.05
2012-04-18,35.45,35.71,35.09,35.25,64000,35.25
2012-04-17,35.58,35.97,35.37,35.69,46200,35.69
2012-04-16,35.12,35.59,35.01,35.32,120800,35.32
2012-04-13,35.30,35.55,35.05,35.16,65900,35.16
2012-04-12,35.28,35.80,35.19,35.44,105000,35.44
2012-04-11,35.40,35.59,35.01,35.34,107100,35.34
2012-04-10,35.73,36.06,34.90,35.11,168400,35.11
2012-04-09,35.96,36.13,35.60,35.73,83300,35.73
2012-04-05,36.45,36.97,36.25,36.36,135900,36.36
2012-04-04,36.65,36.74,36.42,36.48,98200,36.48
2012-04-03,36.83,37.06,36.68,36.91,117500,36.91
2012-04-02,36.17,37.06,36.00,36.95,152000,36.95
2012-03-30,36.64,36.64,36.10,36.14,113800,36.14
2012-03-29,36.37,36.63,36.14,36.47,78300,36.47
2012-03-28,36.97,37.02,36.38,36.46,159300,36.46
2012-03-27,37.20,37.30,36.37,36.97,129900,36.97
2012-03-26,37.02,37.38,36.87,37.08,101900,37.08
2012-03-23,36.38,36.98,36.31,36.69,78500,36.69
2012-03-22,36.11,36.29,35.85,36.29,56500,36.29
2012-03-21,36.69,36.78,36.28,36.28,84500,36.28
2012-03-20,36.76,37.05,36.55,36.67,83400,36.67
2012-03-19,36.74,37.40,36.58,36.93,85500,36.93
2012-03-16,36.91,37.08,36.73,36.95,196300,36.95
2012-03-15,37.10,37.27,36.68,36.93,83900,36.93
2012-03-14,37.94,38.00,36.80,37.05,163800,37.05
2012-03-13,36.89,38.00,36.85,38.00,196200,38.00
2012-03-12,37.03,37.67,36.52,36.65,110500,36.65
2012-03-09,37.19,37.59,36.98,37.47,111300,37.47
2012-03-08,37.22,37.29,36.68,37.13,83600,37.13
2012-03-07,36.83,37.31,36.38,37.12,163400,37.12
2012-03-06,36.84,37.15,36.50,36.71,149400,36.71
2012-03-05,36.33,37.07,36.11,37.06,98400,37.06
2012-03-02,36.45,36.92,36.28,36.46,197600,36.46
2012-03-01,37.06,37.27,36.27,36.38,118000,36.38
2012-02-29,37.01,37.66,36.77,36.86,212700,36.86
2012-02-28,37.32,37.43,36.68,36.86,77700,36.86
2012-02-27,37.09,37.32,36.73,37.19,80500,37.19
2012-02-24,37.38,37.39,36.40,37.21,115900,37.21
2012-02-23,36.85,37.88,36.85,37.46,124800,37.46
2012-02-22,36.87,37.18,36.73,36.86,52400,36.86
2012-02-21,37.12,37.35,36.75,37.05,64400,37.05
2012-02-17,37.47,37.51,36.52,37.04,152500,37.04
2012-02-16,36.70,37.74,36.65,37.34,122300,37.34
2012-02-15,36.80,36.96,36.41,36.63,86200,36.63
2012-02-14,37.00,37.03,36.40,36.76,77000,36.76
2012-02-13,36.74,37.49,36.74,37.05,90400,37.05
2012-02-10,37.27,37.38,36.53,36.54,99500,36.54
2012-02-09,37.84,37.91,37.40,37.64,126900,37.64
2012-02-08,37.50,37.81,37.24,37.70,92900,37.70
2012-02-07,37.11,37.49,37.11,37.48,88100,37.48
2012-02-06,37.19,37.41,36.90,37.04,136500,37.04
2012-02-03,37.49,37.49,36.92,37.06,166600,37.06
2012-02-02,36.75,37.37,36.75,37.10,82500,37.10
2012-02-01,36.31,37.00,35.96,36.87,188800,36.87
2012-01-31,35.51,36.33,35.44,36.17,184800,36.17
2012-01-30,35.59,35.72,35.36,35.41,101100,35.41
2012-01-27,36.27,36.27,35.52,35.68,123800,35.68
2012-01-26,35.88,36.40,35.75,36.28,111800,36.28
2012-01-25,35.50,35.87,35.40,35.82,102300,35.82
2012-01-24,35.58,35.64,35.30,35.57,77300,35.57
2012-01-23,35.74,35.79,35.41,35.61,97900,35.61
2012-01-20,35.19,35.73,35.19,35.68,126800,35.68
2012-01-19,35.30,35.39,34.87,35.11,67100,35.11
2012-01-18,35.38,35.40,34.45,35.22,148700,35.22
2012-01-17,34.67,35.54,34.67,35.26,171400,35.26
2012-01-13,34.35,34.57,34.21,34.47,44300,34.47
2012-01-12,34.60,34.73,34.31,34.62,85500,34.62
2012-01-11,34.29,34.76,34.29,34.57,157300,34.57
2012-01-10,34.60,34.60,34.18,34.29,102500,34.29
2012-01-09,34.58,34.73,34.19,34.34,192200,34.34
2012-01-06,34.39,34.49,34.07,34.37,83500,34.37
2012-01-05,34.38,34.56,34.11,34.34,96000,34.34
2012-01-04,34.93,35.13,34.39,34.40,97900,34.40
2012-01-03,35.41,35.41,34.90,34.95,112300,34.95
2011-12-30,35.27,35.45,34.84,34.90,38300,34.90
2011-12-29,35.19,35.40,34.94,35.22,67600,35.22
2011-12-28,35.67,35.67,34.93,35.05,71100,35.05
2011-12-27,35.25,35.72,34.72,35.59,71400,35.59
2011-12-23,34.98,35.35,34.79,35.21,35700,35.21
2011-12-22,34.96,35.10,34.71,34.88,67100,34.88
2011-12-21,34.90,35.21,34.66,34.90,82400,34.90
2011-12-20,34.50,35.20,34.48,35.04,115600,35.04
2011-12-19,34.66,35.11,34.12,34.15,68900,34.15
2011-12-16,34.50,34.71,34.25,34.50,251900,34.50
2011-12-15,34.74,34.75,34.27,34.50,94100,34.50
2011-12-14,34.33,34.75,34.33,34.41,89300,34.41
2011-12-13,35.23,35.32,34.31,34.56,109300,34.56
2011-12-12,34.47,34.98,34.41,34.98,116700,34.98
2011-12-09,34.22,34.91,34.21,34.73,111400,34.73
2011-12-08,35.31,35.31,34.20,34.27,105600,34.27
2011-12-07,35.58,35.76,35.11,35.55,66700,35.55
2011-12-06,35.85,35.90,34.98,35.64,109000,35.64
2011-12-05,35.67,36.12,35.50,35.77,134800,35.77
2011-12-02,35.70,35.79,35.15,35.23,60200,35.23
2011-12-01,35.15,35.86,35.01,35.36,121600,35.36
2011-11-30,35.06,35.36,34.61,35.28,276300,35.28
2011-11-29,34.26,34.66,34.16,34.29,63900,34.29
2011-11-28,34.02,34.27,33.62,34.25,159400,34.25
2011-11-25,33.70,34.22,33.56,33.57,60100,33.57
2011-11-23,34.34,34.83,33.77,33.80,86300,33.80
2011-11-22,35.47,35.67,34.60,34.64,99200,34.64
2011-11-21,35.82,35.96,35.33,35.42,66300,35.42
2011-11-18,35.90,36.27,35.80,36.19,75600,36.19
2011-11-17,35.55,36.14,35.31,35.80,143300,35.80
2011-11-16,35.33,35.98,35.33,35.46,448800,35.46
2011-11-15,35.46,35.50,35.32,35.50,308600,35.50
2011-11-14,35.20,35.50,35.18,35.49,158800,35.49
2011-11-11,35.20,35.39,35.18,35.35,82500,35.35
2011-11-10,35.19,35.20,34.74,34.99,54500,34.99
2011-11-09,34.85,35.38,34.73,34.80,127900,34.80
2011-11-08,33.90,35.38,33.90,35.32,146000,35.32
2011-11-07,35.39,35.45,34.76,35.43,121900,35.15
2011-11-04,35.20,35.27,34.83,35.24,100500,34.96
2011-11-03,35.11,35.39,34.61,35.36,84200,35.08
2011-11-02,34.47,35.08,34.47,34.80,70400,34.52
2011-11-01,33.86,34.77,33.86,34.22,130400,33.95
2011-10-31,34.54,35.22,34.54,34.94,84800,34.66
2011-10-28,35.10,35.34,34.80,34.84,91000,34.56
2011-10-27,34.76,35.32,34.50,35.32,247600,35.04
2011-10-26,34.68,34.82,33.77,33.99,176600,33.72
2011-10-25,35.40,35.40,34.22,34.24,125200,33.97
2011-10-24,35.35,35.44,35.09,35.44,112700,35.16
2011-10-21,35.29,35.34,35.02,35.27,106800,34.99
2011-10-20,35.17,35.17,34.37,34.86,75400,34.58
2011-10-19,34.80,35.34,34.71,35.01,121100,34.73
2011-10-18,34.83,35.12,34.25,34.86,73100,34.58
2011-10-17,34.91,35.02,34.37,34.63,62000,34.36
