Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,60.68,60.71,60.04,60.10,6152100,60.10
2012-05-03,61.13,61.33,60.38,60.86,6919500,60.86
2012-05-02,60.50,61.42,60.33,61.05,8132000,61.05
2012-05-01,59.95,61.17,59.67,60.97,10332800,60.97
2012-04-30,60.05,60.31,59.75,60.21,7902500,60.21
2012-04-27,59.85,60.96,59.83,60.17,13975100,60.17
2012-04-26,58.85,59.72,58.75,59.59,6168400,59.59
2012-04-25,57.94,59.00,57.83,58.91,8184700,58.91
2012-04-24,57.24,57.76,57.09,57.63,5401100,57.63
2012-04-23,56.96,57.39,56.50,57.32,6168200,57.32
2012-04-20,57.52,57.81,57.18,57.45,7844600,57.45
2012-04-19,57.72,58.31,57.10,57.57,7207800,57.57
2012-04-18,58.16,58.70,57.95,58.04,5669900,58.04
2012-04-17,57.96,58.39,57.65,58.18,5197600,58.18
2012-04-16,57.73,58.06,57.06,57.83,6443700,57.83
2012-04-13,58.01,58.09,57.18,57.28,5574900,57.28
2012-04-12,57.04,58.07,56.73,58.04,4881200,58.04
2012-04-11,56.80,57.16,56.65,56.95,6449700,56.95
2012-04-10,57.10,57.59,56.14,56.18,6739600,56.18
2012-04-09,57.22,57.37,56.82,57.16,4259500,57.16
2012-04-05,57.23,58.20,57.21,58.10,4411800,58.10
2012-04-04,57.98,58.09,57.21,57.37,5107700,57.37
2012-04-03,57.89,58.50,57.75,58.39,5782800,58.39
2012-04-02,57.90,58.33,57.47,58.01,6674200,57.81
2012-03-30,58.18,58.31,57.54,57.86,5779700,57.66
2012-03-29,58.28,58.44,57.24,57.89,7397600,57.69
2012-03-28,58.38,59.26,58.38,59.06,7925900,58.86
2012-03-27,59.00,59.18,58.21,58.22,5683000,58.02
2012-03-26,57.75,58.75,57.60,58.66,6341600,58.46
2012-03-23,57.28,57.53,56.87,57.25,4420500,57.05
2012-03-22,56.78,57.55,56.45,57.29,6047600,57.09
2012-03-21,57.08,57.50,56.91,57.05,6034100,56.85
2012-03-20,56.72,57.24,56.53,56.91,5450400,56.71
2012-03-19,56.60,57.50,56.41,57.27,5605000,57.07
2012-03-16,57.31,57.38,56.43,56.55,11287500,56.36
2012-03-15,56.06,56.76,55.66,56.72,7985300,56.52
2012-03-14,54.66,56.28,54.46,56.15,12001900,55.96
2012-03-13,53.17,54.25,52.75,54.25,6954000,54.06
2012-03-12,53.20,53.24,52.51,52.77,3983200,52.59
2012-03-09,53.03,53.47,52.81,53.20,4329800,53.02
2012-03-08,52.74,53.09,52.49,52.95,4341000,52.77
2012-03-07,51.84,52.41,51.76,52.27,5116100,52.09
2012-03-06,52.42,52.54,51.54,51.74,6109800,51.56
2012-03-05,52.65,53.01,52.31,52.97,6074700,52.79
2012-03-02,53.56,53.58,52.83,52.99,4751300,52.81
2012-03-01,53.03,53.88,52.93,53.57,5398900,53.39
2012-02-29,53.46,53.84,52.57,52.89,10159700,52.71
2012-02-28,53.57,53.97,53.07,53.76,7067600,53.57
2012-02-27,52.93,54.45,52.62,54.18,6781500,53.99
2012-02-24,52.93,53.42,52.79,53.33,4985300,53.15
2012-02-23,52.79,53.03,52.46,52.67,4345900,52.49
2012-02-22,52.77,53.09,52.71,52.79,4829500,52.61
2012-02-21,52.72,52.99,52.53,52.85,5082700,52.67
2012-02-17,53.31,53.31,52.68,52.86,5158000,52.68
2012-02-16,51.54,53.03,51.50,52.87,8042800,52.69
2012-02-15,52.42,52.42,51.38,51.52,5480500,51.34
2012-02-14,52.02,52.17,51.50,51.96,4794700,51.78
2012-02-13,52.24,52.30,51.85,52.07,3631800,51.89
2012-02-10,51.82,52.20,51.53,51.81,4077400,51.63
2012-02-09,51.85,52.60,51.83,52.31,7259300,52.13
2012-02-08,51.84,52.09,51.42,51.64,6073300,51.46
2012-02-07,51.53,52.61,51.53,52.13,5944800,51.95
2012-02-06,51.88,52.12,51.36,51.81,5664300,51.63
2012-02-03,51.85,52.45,51.78,52.25,8171900,52.07
2012-02-02,50.72,51.43,50.60,51.16,6457200,50.98
2012-02-01,50.37,50.94,50.27,50.62,6105800,50.45
2012-01-31,49.50,50.19,49.17,50.14,6896300,49.97
2012-01-30,49.43,49.46,48.90,49.12,5490100,48.95
2012-01-27,49.67,50.28,49.67,49.85,5398100,49.68
2012-01-26,50.37,50.68,49.72,49.98,6221000,49.81
2012-01-25,49.40,50.50,49.25,50.17,6667400,50.00
2012-01-24,49.10,49.60,48.90,49.23,5475800,49.06
2012-01-23,50.02,50.64,49.24,49.44,7326800,49.27
2012-01-20,49.13,50.08,48.84,50.04,12745800,49.87
2012-01-19,50.71,51.00,50.46,50.95,6423200,50.77
2012-01-18,50.13,50.97,49.95,50.56,7301300,50.39
2012-01-17,49.59,50.45,49.59,50.22,6533900,50.05
2012-01-13,49.13,49.80,48.82,49.76,5741700,49.59
2012-01-12,49.19,49.69,48.95,49.65,5693400,49.48
2012-01-11,48.45,49.08,48.20,48.95,4497700,48.78
2012-01-10,48.96,49.12,48.28,48.67,6838600,48.50
2012-01-09,48.32,48.70,48.12,48.39,5273000,48.22
2012-01-06,48.87,48.97,48.05,48.27,4894300,48.10
2012-01-05,47.84,49.25,47.70,48.80,6095100,48.63
2012-01-04,48.02,48.38,47.40,48.24,4847600,48.07
2012-01-03,48.30,48.96,48.14,48.39,6955400,48.04
2011-12-30,47.65,47.69,47.16,47.17,3333000,46.83
2011-12-29,47.17,47.57,46.99,47.52,2898500,47.18
2011-12-28,47.73,47.80,46.84,46.97,3829800,46.63
2011-12-27,47.96,48.17,47.60,47.66,2660800,47.32
2011-12-23,47.73,47.96,47.36,47.95,3125600,47.61
2011-12-22,47.74,48.00,47.29,47.63,5872000,47.29
2011-12-21,48.12,48.49,47.23,47.49,6236400,47.15
2011-12-20,46.69,48.10,46.63,47.92,7589100,47.58
2011-12-19,46.87,47.08,45.89,46.04,5271000,45.71
2011-12-16,46.84,47.37,46.64,46.88,11976000,46.54
2011-12-15,47.62,47.72,46.34,46.42,7172700,46.09
2011-12-14,46.84,47.49,46.81,47.08,6965700,46.74
2011-12-13,48.57,48.64,46.94,47.39,7377000,47.05
2011-12-12,48.19,48.26,47.41,47.89,5167900,47.55
2011-12-09,48.54,49.04,48.14,48.80,7020100,48.45
2011-12-08,48.83,49.01,47.63,47.81,6940400,47.47
2011-12-07,48.17,49.39,47.67,49.16,6523000,48.81
2011-12-06,48.88,48.98,48.42,48.56,5531600,48.21
2011-12-05,49.16,49.31,48.36,48.78,6106600,48.43
2011-12-02,48.34,49.02,48.14,48.23,7006700,47.88
2011-12-01,47.70,48.09,47.38,47.79,6534000,47.45
2011-11-30,47.11,48.07,46.80,48.04,12252500,47.70
2011-11-29,46.15,46.26,45.49,45.55,6688600,45.22
2011-11-28,46.07,46.56,45.55,46.01,9046300,45.68
2011-11-25,44.86,45.40,44.70,45.00,2748000,44.68
2011-11-23,45.50,45.69,44.95,45.10,7220000,44.78
2011-11-22,46.01,46.31,45.53,46.00,5975000,45.67
2011-11-21,46.15,46.39,45.50,46.06,8207400,45.73
2011-11-18,46.95,47.10,46.38,46.88,5316200,46.54
2011-11-17,48.03,48.21,46.36,46.70,9222800,46.37
2011-11-16,49.29,49.52,48.01,48.12,7570000,47.78
2011-11-15,49.23,50.39,49.02,49.95,5465800,49.59
2011-11-14,49.79,50.11,49.04,49.45,4319800,49.10
2011-11-11,49.97,50.58,49.72,50.37,5314300,50.01
2011-11-10,49.85,49.94,48.73,49.09,6265800,48.74
2011-11-09,50.39,50.64,49.05,49.21,8037800,48.86
2011-11-08,51.56,51.60,50.70,51.34,6586400,50.97
2011-11-07,50.87,51.33,50.28,51.25,4458000,50.88
2011-11-04,51.27,51.42,50.51,51.18,5287800,50.81
2011-11-03,50.78,51.82,50.05,51.68,7777000,51.31
2011-11-02,49.87,50.86,49.74,50.32,7349200,49.96
2011-11-01,49.58,50.13,48.91,48.99,9820100,48.64
2011-10-31,51.32,52.04,50.59,50.62,8020300,50.26
2011-10-28,51.48,52.21,51.41,52.10,7379700,51.73
2011-10-27,51.57,52.35,51.06,52.06,12093600,51.69
2011-10-26,50.00,50.84,49.42,50.45,10908300,50.09
2011-10-25,49.51,50.30,49.24,49.42,12728700,49.07
2011-10-24,48.32,50.24,48.32,49.92,11165700,49.56
2011-10-21,46.86,48.47,46.86,48.46,14151400,48.11
2011-10-20,45.50,46.29,44.69,46.19,12221800,45.86
2011-10-19,46.71,46.99,46.01,46.13,9097500,45.80
2011-10-18,45.21,47.04,45.00,46.68,9095700,46.35
2011-10-17,45.87,46.15,45.02,45.12,7611400,44.80
2011-10-14,47.18,47.22,44.98,46.10,9612300,45.77
2011-10-13,46.40,46.71,45.91,46.33,7283900,46.00
2011-10-12,46.11,47.65,45.99,47.03,10596200,46.69
2011-10-11,45.27,46.11,44.77,45.76,6348600,45.43
2011-10-10,44.45,45.49,44.45,45.45,7589300,45.12
2011-10-07,44.67,44.89,43.27,43.43,11193200,43.12
2011-10-06,43.30,44.52,42.66,44.43,10198000,44.11
2011-10-05,43.45,43.62,42.59,43.41,12080700,43.10
2011-10-04,42.51,43.56,41.30,43.43,17890900,42.94
2011-10-03,44.52,45.48,43.47,43.48,9185500,42.99
2011-09-30,46.08,46.15,44.87,44.90,7858200,44.39
2011-09-29,47.59,47.80,45.43,46.72,8372300,46.19
2011-09-28,47.45,48.03,46.45,46.47,8672700,45.95
2011-09-27,48.65,48.66,46.75,47.08,9141400,46.55
2011-09-26,46.85,47.62,45.86,47.56,8518700,47.02
2011-09-23,46.19,46.62,45.58,46.45,9061500,45.93
2011-09-22,47.25,48.12,45.84,46.63,12460600,46.10
2011-09-21,49.39,50.35,48.18,48.23,8661200,47.69
2011-09-20,48.98,49.98,48.76,49.27,6045100,48.71
2011-09-19,49.26,49.44,48.22,48.68,8114600,48.13
2011-09-16,49.63,50.18,49.45,50.12,9312300,49.56
2011-09-15,49.62,49.75,48.61,49.36,7059000,48.80
2011-09-14,48.16,49.61,47.24,48.99,7407100,48.44
2011-09-13,47.56,48.09,46.99,47.90,6061300,47.36
2011-09-12,46.34,47.63,46.13,47.46,9713400,46.93
2011-09-09,49.08,49.24,47.14,47.28,11081200,46.75
2011-09-08,49.22,50.53,49.10,49.53,7798200,48.97
2011-09-07,48.73,49.98,48.69,49.98,7805700,49.42
2011-09-06,47.25,48.17,47.13,48.06,8360900,47.52
2011-09-02,48.67,49.23,48.11,48.51,8755600,47.96
2011-09-01,49.64,49.99,49.31,49.50,10278400,48.94
2011-08-31,49.00,49.98,48.82,49.71,7974800,49.15
2011-08-30,48.37,49.06,47.63,48.66,7456200,48.11
2011-08-29,49.21,49.35,48.32,48.55,9207700,48.00
2011-08-26,47.93,48.79,47.04,48.48,7169500,47.93
2011-08-25,48.74,49.28,47.20,48.09,10955300,47.55
2011-08-24,46.42,48.24,46.23,48.08,8589000,47.54
2011-08-23,44.70,46.43,44.16,46.42,9316100,45.90
2011-08-22,45.20,45.46,44.40,44.60,7936200,44.10
2011-08-19,43.86,45.15,43.78,44.47,12829400,43.97
2011-08-18,44.30,44.44,43.65,44.28,14953200,43.78
2011-08-17,45.27,45.90,45.11,45.86,7766100,45.34
2011-08-16,45.19,45.86,44.53,44.89,8114700,44.38
2011-08-15,45.16,45.98,45.02,45.82,7285400,45.30
2011-08-12,45.92,46.74,44.62,44.89,9956900,44.38
2011-08-11,43.22,45.78,43.00,45.07,13960700,44.56
2011-08-10,44.70,45.04,42.73,42.80,16766100,42.32
2011-08-09,43.58,46.13,42.03,46.10,21212600,45.58
2011-08-08,45.85,46.77,42.78,43.04,21466400,42.55
2011-08-05,47.42,48.28,46.46,47.21,18172400,46.68
2011-08-04,48.05,48.41,46.75,46.84,13242700,46.31
2011-08-03,48.49,48.94,47.53,48.86,6956200,48.31
2011-08-02,49.39,49.97,48.50,48.52,7069900,47.97
2011-08-01,50.49,50.61,49.28,50.02,4934600,49.46
2011-07-29,50.13,50.37,49.54,50.04,6893900,49.48
2011-07-28,50.60,51.28,50.44,50.55,4037600,49.98
2011-07-27,51.24,51.26,50.41,50.48,5804400,49.91
2011-07-26,51.71,51.89,51.15,51.57,3911500,50.99
2011-07-25,51.66,52.30,51.43,51.81,3730400,51.23
2011-07-22,52.99,53.03,52.04,52.24,6064800,51.65
2011-07-21,52.23,53.28,51.92,52.58,10794600,51.99
2011-07-20,52.17,52.70,51.61,52.09,7104500,51.50
2011-07-19,51.74,52.62,51.19,51.81,8132900,51.23
2011-07-18,51.50,51.67,50.54,51.33,5099300,50.75
2011-07-15,51.60,52.08,51.02,51.81,6399900,51.23
2011-07-14,52.24,52.43,51.30,51.38,6636900,50.80
2011-07-13,52.57,53.10,51.88,51.95,6654800,51.36
2011-07-12,52.92,53.36,52.38,52.40,6905700,51.81
2011-07-11,52.50,52.86,52.11,52.27,5342400,51.68
2011-07-08,52.95,53.10,52.56,53.07,5228100,52.47
2011-07-07,52.78,53.80,52.74,53.59,5951700,52.99
2011-07-06,52.21,52.86,51.82,52.76,5926100,52.17
2011-07-05,52.27,52.63,52.23,52.33,5406900,51.74
2011-07-01,51.69,52.50,51.57,52.34,6348500,51.75
2011-06-30,50.97,51.82,50.17,51.70,7579000,51.12
2011-06-29,49.84,51.04,49.30,50.92,9854600,50.35
2011-06-28,49.67,49.99,49.41,49.82,5472200,49.08
2011-06-27,48.49,49.78,48.37,49.54,5625900,48.80
