Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,88.01,88.11,87.93,88.09,255300,88.09
2012-05-03,87.76,87.93,87.72,87.86,205900,87.86
2012-05-02,87.82,87.90,87.75,87.85,236000,87.85
2012-05-01,87.92,87.92,87.61,87.72,322600,87.72
2012-04-30,87.95,88.00,87.89,87.89,212000,87.66
2012-04-27,87.83,87.93,87.75,87.93,257500,87.70
2012-04-26,87.83,87.91,87.73,87.80,336000,87.57
2012-04-25,87.64,87.68,87.38,87.59,351000,87.36
2012-04-24,87.76,87.78,87.65,87.71,328400,87.48
2012-04-23,87.88,87.90,87.79,87.81,229500,87.58
2012-04-20,87.60,87.72,87.46,87.67,301200,87.44
2012-04-19,87.72,87.76,87.65,87.72,351900,87.49
2012-04-18,87.61,87.68,87.54,87.65,257700,87.42
2012-04-17,87.48,87.56,87.37,87.55,373200,87.32
2012-04-16,87.66,87.75,87.41,87.41,630100,87.18
2012-04-13,87.60,87.71,87.49,87.65,369800,87.42
2012-04-12,87.50,87.50,87.24,87.32,457900,87.09
2012-04-11,87.41,87.47,87.31,87.40,510900,87.17
2012-04-10,87.45,87.64,87.31,87.56,1307000,87.33
2012-04-09,87.45,87.45,87.16,87.25,229300,87.02
2012-04-05,86.65,86.69,86.49,86.66,132300,86.43
2012-04-04,86.31,86.44,86.24,86.36,144700,86.13
2012-04-03,86.67,86.80,86.09,86.13,187000,85.91
2012-04-02,86.55,86.77,86.52,86.66,395600,86.43
2012-03-30,87.18,87.27,86.85,86.96,167600,86.23
2012-03-29,87.08,87.10,86.92,87.07,115500,86.33
2012-03-28,86.90,87.07,86.82,86.82,200100,86.09
2012-03-27,86.68,87.00,86.68,86.95,134700,86.22
2012-03-26,86.72,86.79,86.54,86.59,271500,85.86
2012-03-23,86.62,86.81,86.58,86.75,110300,86.02
2012-03-22,86.63,86.63,86.46,86.53,141500,85.80
2012-03-21,86.25,86.46,86.25,86.45,177300,85.72
2012-03-20,86.35,86.38,85.90,86.02,226300,85.29
2012-03-19,86.45,86.45,86.04,86.13,159900,85.40
2012-03-16,86.37,86.60,86.26,86.56,263100,85.83
2012-03-15,86.53,86.76,86.50,86.60,283800,85.87
2012-03-14,87.05,87.05,86.46,86.53,234600,85.80
2012-03-13,87.57,87.57,87.23,87.26,209800,86.52
2012-03-12,87.83,87.83,87.68,87.69,518500,86.95
2012-03-09,87.65,87.70,87.51,87.69,140900,86.95
2012-03-08,87.84,87.87,87.65,87.71,188300,86.97
2012-03-07,87.91,87.92,87.75,87.85,242900,87.11
2012-03-06,87.93,88.02,87.87,87.92,159500,87.18
2012-03-05,87.88,87.91,87.71,87.73,184600,86.99
2012-03-02,87.77,87.98,87.70,87.93,221700,87.19
2012-03-01,87.47,87.69,87.44,87.62,291100,86.88
2012-02-29,88.20,88.20,87.90,88.05,224400,87.08
2012-02-28,88.25,88.29,88.12,88.13,234100,87.16
2012-02-27,88.06,88.19,88.02,88.13,224500,87.16
2012-02-24,87.74,87.86,87.74,87.82,246200,86.85
2012-02-23,87.67,87.86,87.55,87.78,209000,86.81
2012-02-22,87.51,87.72,87.44,87.69,238900,86.72
2012-02-21,87.50,87.50,87.25,87.38,265900,86.41
2012-02-17,87.40,87.58,87.30,87.57,210000,86.60
2012-02-16,87.78,87.83,87.48,87.59,515100,86.62
2012-02-15,87.87,88.08,87.82,87.95,226400,86.98
2012-02-14,87.84,87.99,87.76,87.90,228900,86.93
2012-02-13,87.70,87.85,87.58,87.76,234000,86.79
2012-02-10,87.76,87.86,87.60,87.78,189000,86.81
2012-02-09,87.49,87.55,87.29,87.51,653000,86.54
2012-02-08,87.62,87.67,87.30,87.35,408300,86.38
2012-02-07,87.74,87.74,87.52,87.64,207200,86.67
2012-02-06,87.93,87.93,87.72,87.80,393200,86.83
2012-02-03,87.92,87.92,87.65,87.83,349800,86.86
2012-02-02,88.08,88.17,87.95,88.16,233500,87.19
2012-02-01,88.04,88.07,87.90,88.01,493300,87.04
2012-01-31,88.09,88.36,88.07,88.30,283500,87.07
2012-01-30,88.00,88.20,87.91,88.07,510500,86.85
2012-01-27,87.71,87.88,87.61,87.80,147300,86.58
2012-01-26,87.51,87.69,87.38,87.65,240900,86.43
2012-01-25,86.83,87.31,86.80,87.12,654000,85.91
2012-01-24,86.74,86.86,86.55,86.77,185300,85.57
2012-01-23,86.80,86.85,86.63,86.82,155700,85.62
2012-01-20,87.05,87.05,86.85,86.93,160300,85.72
2012-01-19,87.34,87.37,86.90,86.96,766200,85.75
2012-01-18,87.52,87.53,87.20,87.32,332900,86.11
2012-01-17,87.40,87.51,87.31,87.36,366400,86.15
2012-01-13,87.38,87.50,87.19,87.34,166800,86.13
2012-01-12,87.27,87.28,86.95,87.05,154800,85.84
2012-01-11,87.01,87.20,86.83,87.17,260300,85.96
2012-01-10,86.96,87.05,86.73,86.95,216700,85.74
2012-01-09,87.00,87.14,86.91,87.03,340600,85.82
2012-01-06,86.86,87.04,86.79,86.96,232100,85.75
2012-01-05,86.73,86.88,86.65,86.75,214200,85.55
2012-01-04,86.92,86.95,86.55,86.69,200100,85.49
2012-01-03,86.62,87.01,86.62,86.90,379600,85.69
2011-12-30,87.02,87.14,86.89,86.97,126700,85.76
2011-12-29,86.84,86.98,86.64,86.93,183500,85.72
2011-12-28,86.32,86.76,86.32,86.70,187100,85.50
2011-12-27,86.31,86.56,86.16,86.28,154300,85.08
2011-12-23,86.44,86.91,86.31,86.47,178600,85.27
2011-12-22,87.82,87.85,87.63,87.77,124700,86.55
2011-12-21,87.73,87.82,87.51,87.58,155700,86.36
2011-12-20,87.84,88.05,87.75,87.79,266000,86.57
2011-12-19,88.07,88.29,88.02,88.29,120600,87.06
2011-12-16,87.94,88.07,87.79,88.05,122400,86.83
2011-12-15,87.64,87.80,87.61,87.75,169900,86.53
2011-12-14,87.51,87.76,87.43,87.74,253600,86.52
2011-12-13,87.19,87.68,87.04,87.57,267600,86.35
2011-12-12,87.08,87.31,87.07,87.18,202000,85.97
2011-12-09,87.52,87.52,87.00,87.08,384800,85.87
2011-12-08,87.33,87.51,87.25,87.40,524400,86.19
