Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,43.46,44.21,43.19,44.08,728900,44.08
2012-05-03,43.14,43.58,43.00,43.25,388600,43.25
2012-05-02,42.54,43.69,42.34,43.39,540400,43.39
2012-05-01,43.51,44.55,42.74,42.79,675700,42.79
2012-04-30,45.00,45.17,42.72,43.19,726800,43.19
2012-04-27,45.25,46.50,43.88,45.03,1599800,45.03
2012-04-26,47.28,48.45,47.21,48.14,382100,48.14
2012-04-25,47.04,47.98,46.76,47.21,305400,47.21
2012-04-24,46.21,47.21,45.98,46.45,368500,46.45
2012-04-23,46.50,46.72,45.86,46.28,560500,46.28
2012-04-20,48.15,48.17,46.75,46.80,523500,46.80
2012-04-19,48.25,48.60,47.32,47.69,437100,47.69
2012-04-18,48.54,49.06,47.80,48.40,389000,48.40
2012-04-17,49.00,49.20,48.51,48.78,289300,48.78
2012-04-16,49.00,49.00,48.19,48.71,239700,48.71
2012-04-13,49.10,49.48,48.75,48.84,212400,48.84
2012-04-12,48.58,49.57,48.17,49.15,290000,49.15
2012-04-11,47.86,48.74,47.81,47.90,431300,47.90
2012-04-10,48.92,49.02,47.26,47.67,460300,47.67
2012-04-09,48.75,48.99,48.56,48.93,197100,48.93
2012-04-05,49.47,49.96,48.34,49.61,362000,49.61
2012-04-04,50.29,50.34,49.12,49.71,211000,49.71
2012-04-03,50.87,51.23,50.54,50.88,249500,50.88
2012-04-02,50.46,51.19,50.32,51.00,377100,51.00
2012-03-30,50.25,51.00,49.97,50.35,484700,50.35
2012-03-29,49.21,49.57,48.95,49.32,168300,49.32
2012-03-28,50.25,50.86,49.00,49.41,167800,49.41
2012-03-27,50.43,50.75,49.99,50.29,248200,50.29
2012-03-26,48.08,50.89,47.92,50.39,856900,50.39
2012-03-23,47.73,47.73,46.42,47.24,291100,47.24
2012-03-22,47.08,47.92,46.87,47.85,221200,47.85
2012-03-21,47.94,48.48,47.31,47.34,303100,47.34
2012-03-20,48.03,48.10,47.41,47.68,298000,47.68
2012-03-19,48.47,48.76,48.05,48.39,268400,48.39
2012-03-16,49.99,50.00,48.53,48.58,323100,48.58
2012-03-15,49.61,50.22,49.05,50.16,288200,50.16
2012-03-14,49.86,50.14,49.16,49.43,178200,49.43
2012-03-13,50.05,50.12,49.42,50.12,328200,50.12
2012-03-12,50.16,50.42,49.62,49.90,251800,49.90
2012-03-09,49.62,50.38,49.52,50.00,213200,50.00
2012-03-08,49.16,49.54,48.26,49.43,259700,49.43
2012-03-07,48.10,48.85,48.06,48.76,227100,48.76
2012-03-06,48.35,48.68,48.02,48.09,312800,48.09
2012-03-05,48.11,49.01,48.01,48.80,237400,48.80
2012-03-02,48.86,49.17,47.70,48.43,543600,48.43
2012-03-01,49.51,49.96,48.71,48.80,374500,48.80
2012-02-29,50.26,50.66,49.64,49.65,261500,49.65
