Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,18.59,18.71,18.12,18.38,1618800,18.38
2012-05-03,19.47,19.47,17.95,18.61,5025400,18.61
2012-05-02,19.22,19.76,19.16,19.55,1224000,19.55
2012-05-01,19.00,19.78,18.96,19.20,1373200,19.20
2012-04-30,19.25,19.32,18.81,19.01,521200,19.01
2012-04-27,19.14,19.41,18.94,19.33,988100,19.33
2012-04-26,18.90,19.24,18.73,19.03,1013200,19.03
2012-04-25,18.61,19.00,18.59,18.96,1084500,18.96
2012-04-24,18.20,18.48,18.11,18.33,854300,18.33
2012-04-23,18.13,18.29,18.05,18.18,793300,18.18
2012-04-20,18.60,18.66,18.42,18.48,791100,18.48
2012-04-19,18.55,18.84,18.29,18.46,1266200,18.46
2012-04-18,18.56,18.79,18.43,18.59,863800,18.59
2012-04-17,18.29,18.96,18.25,18.76,1357800,18.76
2012-04-16,17.97,18.19,17.66,18.08,839200,18.08
2012-04-13,18.07,18.09,17.58,17.91,506000,17.91
2012-04-12,17.57,18.33,17.50,18.11,1550000,18.11
2012-04-11,17.63,17.70,17.32,17.48,1341400,17.48
2012-04-10,18.16,18.39,17.39,17.44,695600,17.44
2012-04-09,18.21,18.27,17.85,18.14,597900,18.14
2012-04-05,18.58,18.73,18.48,18.60,386400,18.60
2012-04-04,18.78,18.87,18.49,18.67,713700,18.67
2012-04-03,19.01,19.36,18.90,19.08,1386500,19.08
2012-04-02,18.70,19.14,18.63,18.97,1043900,18.97
2012-03-30,18.59,18.87,18.20,18.72,1455100,18.72
2012-03-29,18.22,18.45,18.12,18.34,1504600,18.34
2012-03-28,18.60,18.73,18.25,18.41,919900,18.41
2012-03-27,19.03,19.11,18.62,18.62,563700,18.62
2012-03-26,18.32,19.04,18.32,19.03,1113700,19.03
2012-03-23,18.20,18.31,18.05,18.17,705800,18.17
2012-03-22,18.67,18.76,18.12,18.23,1342700,18.23
2012-03-21,18.97,19.02,18.74,18.87,1250000,18.87
2012-03-20,19.32,19.39,18.89,18.92,1018800,18.92
2012-03-19,19.39,19.78,19.27,19.50,1503700,19.50
2012-03-16,18.75,19.51,18.73,19.47,2903500,19.47
2012-03-15,18.40,18.74,18.23,18.71,1048100,18.71
2012-03-14,18.16,18.56,18.07,18.41,1465900,18.41
2012-03-13,17.62,18.27,17.55,18.19,1265400,18.19
2012-03-12,17.78,17.82,17.30,17.47,773300,17.47
2012-03-09,17.63,18.09,17.63,17.79,919600,17.79
2012-03-08,17.55,17.90,17.37,17.63,1043400,17.63
2012-03-07,17.32,17.58,17.24,17.37,789800,17.37
2012-03-06,17.66,17.77,17.10,17.23,1757200,17.23
2012-03-05,18.14,18.30,17.87,17.93,1090500,17.93
2012-03-02,18.46,18.62,18.06,18.22,695600,18.22
2012-03-01,18.73,18.84,18.35,18.45,1375800,18.45
2012-02-29,18.92,18.96,18.50,18.64,1301700,18.64
2012-02-28,18.96,19.06,18.75,18.79,3027400,18.79
2012-02-27,18.66,19.07,18.65,18.99,1594600,18.99
