Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,80.41,84.20,78.82,79.81,57800,79.81
2012-05-03,82.96,82.96,81.72,81.87,40000,81.87
2012-05-02,83.95,84.14,82.98,83.31,12000,83.31
2012-05-01,83.86,84.62,83.65,84.31,9800,84.31
2012-04-30,84.22,84.27,83.82,84.20,17000,84.20
2012-04-27,84.35,84.35,84.13,84.22,1900,84.22
2012-04-26,84.35,84.73,84.29,84.53,11200,84.53
2012-04-25,83.17,84.02,82.95,83.89,13400,83.89
2012-04-24,83.80,83.80,83.24,83.28,21600,83.28
2012-04-23,82.90,83.73,82.71,83.69,28900,83.69
2012-04-20,84.12,84.12,83.51,83.80,10500,83.80
2012-04-19,83.83,84.00,83.10,83.28,81100,83.28
2012-04-18,83.10,83.37,82.32,83.27,27900,83.27
2012-04-17,83.72,84.03,83.43,83.70,19400,83.70
2012-04-16,84.54,84.60,83.43,83.49,46100,83.49
2012-04-13,85.49,85.64,84.98,85.64,20900,85.64
2012-04-12,84.32,85.81,84.31,85.76,28500,85.76
2012-04-11,84.16,84.76,83.99,84.36,22200,84.36
2012-04-10,85.56,85.96,84.15,84.29,67900,84.29
2012-04-09,85.48,86.23,85.02,86.10,65500,86.10
2012-04-05,85.59,86.73,85.57,86.72,15100,86.72
2012-04-04,87.30,87.56,86.05,86.19,48400,86.19
2012-04-03,88.38,88.50,87.50,87.77,23200,87.77
2012-04-02,85.68,88.25,85.61,88.16,33100,88.16
2012-03-30,86.56,87.14,86.21,86.30,24900,86.30
2012-03-29,87.23,87.36,85.37,86.07,31100,86.07
2012-03-28,87.09,87.31,86.84,87.31,62100,87.31
2012-03-27,88.42,88.61,87.85,87.95,13700,87.95
2012-03-26,88.10,88.40,87.94,88.25,38300,88.25
2012-03-23,87.14,89.00,87.07,87.86,68000,87.86
2012-03-22,86.20,86.52,85.90,86.42,57200,86.42
2012-03-21,87.32,87.64,87.00,87.04,63000,87.04
2012-03-20,86.86,87.57,86.58,87.24,31600,87.24
2012-03-19,88.41,88.41,87.89,88.15,24600,88.15
2012-03-16,86.98,88.60,86.98,88.56,85600,88.56
2012-03-15,87.09,87.16,85.43,86.08,317100,86.08
2012-03-14,88.18,89.04,87.41,87.49,79800,87.49
2012-03-13,87.80,88.68,87.50,88.22,35200,88.22
2012-03-12,87.14,87.80,86.93,87.62,47800,87.62
2012-03-09,87.53,88.39,87.31,88.09,27200,88.09
2012-03-08,87.53,88.32,87.41,87.70,37300,87.70
2012-03-07,85.64,87.08,85.45,86.83,27000,86.83
2012-03-06,85.13,85.90,85.07,85.36,66800,85.36
2012-03-05,86.70,87.00,86.01,86.68,22800,86.68
2012-03-02,87.09,87.20,86.15,86.47,43400,86.47
2012-03-01,86.12,89.55,86.01,88.58,79000,88.58
2012-02-29,85.42,85.89,84.23,85.83,46400,85.83
2012-02-28,86.07,86.30,84.79,84.95,50200,84.95
2012-02-27,86.68,86.93,85.88,86.11,82600,86.11
2012-02-24,86.26,87.60,86.13,87.48,104100,87.48
2012-02-23,86.22,86.54,85.22,86.40,115000,86.40
2012-02-22,85.12,85.96,85.05,85.74,71000,85.74
2012-02-21,84.05,85.06,83.80,84.57,159300,84.57
2012-02-17,83.58,83.59,82.97,83.44,64200,83.44
2012-02-16,83.50,84.01,83.20,83.81,47700,83.81
2012-02-15,83.02,83.15,82.59,83.13,63000,83.13
2012-02-14,81.80,82.19,81.66,82.08,53900,82.08
2012-02-13,82.16,82.29,81.59,81.77,41300,81.77
2012-02-10,81.17,81.70,81.00,81.70,62300,81.70
2012-02-09,82.25,82.56,81.70,82.54,72500,82.54
2012-02-08,81.05,81.81,80.59,81.69,42800,81.69
2012-02-07,81.21,81.72,80.45,80.90,142900,80.90
2012-02-06,79.81,81.14,79.70,81.00,69800,81.00
2012-02-03,79.15,79.85,78.55,79.70,103200,79.70
2012-02-02,77.93,78.25,77.29,78.20,31500,78.20
2012-02-01,78.05,78.37,77.45,77.79,44100,77.79
2012-01-31,78.46,78.46,77.00,77.29,37400,77.29
2012-01-30,77.47,77.80,76.82,77.20,18000,77.20
2012-01-27,77.63,77.90,77.36,77.64,39400,77.64
2012-01-26,77.61,77.79,76.95,77.27,13500,77.27
2012-01-25,76.25,77.15,75.91,76.88,53000,76.88
2012-01-24,76.45,76.79,76.42,76.73,38800,76.73
2012-01-23,76.96,77.52,76.83,77.15,34300,77.15
2012-01-20,77.29,77.29,76.23,76.68,51000,76.68
2012-01-19,77.44,77.69,76.97,77.68,41400,77.68
2012-01-18,77.49,77.59,76.83,77.22,58800,77.22
2012-01-17,77.55,77.89,77.00,77.57,52900,77.57
2012-01-13,76.84,77.30,76.44,77.26,62400,77.26
2012-01-12,79.11,79.89,76.73,76.91,233700,76.91
2012-01-11,78.39,78.56,77.90,78.26,56900,78.26
2012-01-10,78.81,78.86,78.34,78.68,24700,78.68
2012-01-09,78.79,78.82,77.83,78.09,37400,78.09
2012-01-06,78.58,78.85,77.90,78.85,112200,78.85
2012-01-05,78.60,79.41,78.15,78.25,395200,78.25
2012-01-04,77.78,79.04,77.78,78.96,155000,78.96
2012-01-03,76.92,77.99,76.65,77.91,28300,77.91
2011-12-30,74.28,75.08,74.10,74.64,23500,74.64
2011-12-29,74.47,74.97,74.00,74.93,22600,74.93
2011-12-28,75.24,75.31,74.18,74.52,33100,74.52
2011-12-27,75.03,75.89,75.03,75.72,13000,75.72
2011-12-23,75.02,75.09,74.70,74.70,8300,74.70
2011-12-22,75.00,75.19,74.70,74.70,21700,74.70
2011-12-21,74.31,75.00,73.92,74.86,56900,74.86
2011-12-20,74.00,74.41,73.79,74.26,16400,74.26
2011-12-19,72.39,72.52,71.66,71.81,41700,71.81
2011-12-16,72.10,72.37,71.23,72.05,34700,72.05
2011-12-15,72.95,73.01,71.62,71.68,91400,71.68
2011-12-14,74.12,74.13,71.95,72.24,98800,72.24
2011-12-13,74.87,76.84,74.87,75.56,98700,75.56
2011-12-12,74.54,74.79,74.31,74.48,18000,74.48
2011-12-09,74.90,75.44,74.73,75.44,4800,75.44
2011-12-08,75.51,75.62,74.41,74.41,25700,74.41
2011-12-07,76.47,76.47,75.73,75.92,13800,75.92
2011-12-06,76.00,76.71,75.91,76.54,7600,76.54
2011-12-05,77.10,77.15,75.74,76.00,20700,76.00
2011-12-02,75.94,76.41,75.47,76.35,14600,76.35
2011-12-01,75.84,76.58,75.05,75.51,46200,75.51
2011-11-30,77.22,77.46,76.40,76.45,82300,76.45
2011-11-29,76.42,76.90,76.25,76.75,40600,76.75
2011-11-28,75.47,75.71,74.69,75.32,37500,75.32
2011-11-25,73.97,74.57,73.38,73.38,39000,73.38
2011-11-23,74.48,74.57,74.11,74.37,35500,74.37
2011-11-22,74.67,75.85,74.66,75.70,131400,75.70
2011-11-21,74.22,74.38,73.31,74.28,35100,74.28
2011-11-18,75.50,75.77,74.24,74.60,37000,74.60
2011-11-17,75.74,76.08,74.72,74.89,136100,74.89
2011-11-16,76.52,77.91,76.43,76.83,315000,76.83
2011-11-15,77.37,78.02,76.98,77.97,54000,77.97
2011-11-14,77.78,77.81,76.60,76.95,101000,76.95
2011-11-11,78.19,78.67,78.10,78.29,15000,78.29
2011-11-10,77.70,78.30,76.86,77.67,160900,77.67
2011-11-09,77.71,78.96,76.87,76.99,65300,76.99
2011-11-08,79.50,79.52,78.46,79.10,59100,79.10
2011-11-07,78.32,78.83,77.54,78.79,49600,78.79
2011-11-04,76.45,76.98,75.77,76.96,21800,76.96
2011-11-03,75.73,76.19,74.77,75.89,295200,75.89
2011-11-02,76.02,76.33,74.48,74.97,38300,74.97
2011-11-01,72.90,75.14,72.90,74.42,70600,74.42
2011-10-31,74.63,75.39,74.35,75.00,78200,75.00
2011-10-28,75.39,76.13,75.26,75.53,39900,75.53
2011-10-27,76.95,77.29,76.45,76.80,190300,76.80
2011-10-26,75.51,75.55,74.65,74.92,69500,74.92
2011-10-25,75.94,76.30,75.18,76.08,62400,76.08
2011-10-24,75.53,76.53,75.53,76.31,70700,76.31
2011-10-21,76.50,76.65,75.08,75.45,149400,75.45
2011-10-20,74.90,75.47,73.66,75.31,104200,75.31
2011-10-19,75.76,76.65,74.24,74.52,115800,74.52
2011-10-18,75.18,76.53,74.38,76.31,131800,76.31
