Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,9.07,9.20,8.92,9.07,586400,9.07
2012-05-03,9.20,9.34,8.97,9.08,424400,9.08
2012-05-02,9.20,9.32,9.13,9.22,446800,9.22
2012-05-01,9.30,9.50,9.22,9.23,1330000,9.23
2012-04-30,9.44,9.44,9.22,9.32,438400,9.32
2012-04-27,9.23,9.50,9.19,9.50,813400,9.50
2012-04-26,9.42,9.60,9.25,9.56,536800,9.56
2012-04-25,9.63,9.83,9.53,9.69,378700,9.69
2012-04-24,9.26,9.53,9.23,9.45,399800,9.45
2012-04-23,9.23,9.38,9.18,9.22,431500,9.22
2012-04-20,9.50,9.52,9.32,9.40,438800,9.40
2012-04-19,9.42,9.55,9.25,9.30,249300,9.30
2012-04-18,9.54,9.61,9.36,9.38,319900,9.38
2012-04-17,9.54,9.62,9.49,9.57,345400,9.57
2012-04-16,9.49,9.50,9.34,9.43,277700,9.43
2012-04-13,9.57,9.63,9.37,9.40,430800,9.40
2012-04-12,9.41,9.60,9.35,9.59,694900,9.59
2012-04-11,9.15,9.40,9.15,9.40,555400,9.40
2012-04-10,9.22,9.36,8.97,9.07,527600,9.07
2012-04-09,9.26,9.39,9.17,9.24,348500,9.24
2012-04-05,9.57,9.61,9.41,9.50,215400,9.50
2012-04-04,9.67,9.83,9.51,9.61,309500,9.61
2012-04-03,9.99,10.00,9.76,9.82,388900,9.82
2012-04-02,9.86,10.01,9.74,10.00,323500,10.00
2012-03-30,10.00,10.00,9.78,9.91,608600,9.91
2012-03-29,9.88,9.95,9.68,9.89,239300,9.89
2012-03-28,9.99,10.03,9.78,9.99,318400,9.99
2012-03-27,10.05,10.10,9.97,9.99,433700,9.99
2012-03-26,10.10,10.14,9.96,10.07,572700,10.07
2012-03-23,9.99,10.07,9.91,9.99,468000,9.99
2012-03-22,10.18,10.25,9.94,10.00,469000,10.00
2012-03-21,10.40,10.40,10.21,10.29,261500,10.29
2012-03-20,10.36,10.50,10.20,10.35,303900,10.35
2012-03-19,10.32,10.68,10.06,10.48,527100,10.48
2012-03-16,10.48,10.53,10.29,10.33,1257900,10.33
2012-03-15,10.37,10.56,10.25,10.43,620500,10.43
2012-03-14,10.50,10.50,10.09,10.35,702300,10.35
2012-03-13,9.85,10.75,9.80,10.50,1320800,10.50
2012-03-12,9.66,9.83,9.60,9.80,434800,9.80
2012-03-09,9.55,9.75,9.52,9.63,282300,9.63
2012-03-08,9.40,9.52,9.30,9.50,221500,9.50
2012-03-07,9.21,9.36,9.04,9.30,208000,9.30
