Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,15.65,15.81,15.34,15.50,438300,15.50
2012-05-03,16.05,16.25,15.65,15.80,384500,15.80
2012-05-02,16.09,16.26,15.70,16.14,727300,16.14
2012-05-01,15.41,17.10,15.26,16.07,1766000,16.07
2012-04-30,14.88,15.03,14.67,15.03,438200,15.03
2012-04-27,14.79,15.00,14.61,14.93,413800,14.93
2012-04-26,14.59,14.78,14.56,14.73,411200,14.73
2012-04-25,14.04,14.90,14.04,14.61,1407400,14.61
2012-04-24,14.13,14.18,13.62,13.81,1353500,13.81
2012-04-23,14.25,14.41,14.12,14.36,174300,14.36
2012-04-20,14.51,14.66,14.45,14.48,146900,14.48
2012-04-19,14.61,14.81,14.38,14.47,212700,14.47
2012-04-18,14.74,14.83,14.58,14.70,308200,14.70
2012-04-17,14.46,14.88,14.45,14.86,323200,14.86
2012-04-16,14.65,14.65,14.31,14.36,301200,14.36
2012-04-13,14.75,14.77,14.39,14.55,453300,14.55
2012-04-12,14.45,14.83,14.44,14.77,386100,14.77
2012-04-11,14.42,14.48,13.89,14.43,766400,14.43
2012-04-10,14.89,14.97,14.23,14.26,421900,14.26
2012-04-09,15.22,15.23,14.91,14.95,201700,14.95
2012-04-05,15.52,15.59,15.23,15.50,481400,15.50
2012-04-04,15.90,15.94,15.44,15.54,1148200,15.54
2012-04-03,16.26,16.41,15.90,16.04,564400,16.04
2012-04-02,15.31,16.14,15.11,15.97,762100,15.97
2012-03-30,15.50,15.50,15.17,15.31,541900,15.31
2012-03-29,15.47,15.48,14.98,15.43,502000,15.43
2012-03-28,15.77,15.97,15.26,15.52,686900,15.52
2012-03-27,15.78,15.91,15.36,15.54,775200,15.54
2012-03-26,15.31,15.74,15.31,15.73,657500,15.73
2012-03-23,15.05,15.50,14.85,15.18,752200,15.18
2012-03-22,15.02,15.15,14.91,15.00,475700,15.00
2012-03-21,15.35,15.62,15.07,15.11,389500,15.11
2012-03-20,15.71,15.74,15.29,15.31,421600,15.31
2012-03-19,15.69,15.94,15.69,15.79,326500,15.79
2012-03-16,15.65,15.84,15.54,15.77,451000,15.77
2012-03-15,15.58,15.72,15.45,15.68,202500,15.68
2012-03-14,15.75,15.77,15.47,15.53,212600,15.53
2012-03-13,15.57,15.74,15.47,15.70,261300,15.70
2012-03-12,15.64,15.71,15.50,15.52,165900,15.52
2012-03-09,15.60,15.77,15.58,15.64,335200,15.64
2012-03-08,15.42,15.67,15.38,15.62,271000,15.62
2012-03-07,15.35,15.45,15.27,15.32,280500,15.32
2012-03-06,15.47,15.65,15.21,15.27,453200,15.27
2012-03-05,15.90,15.96,15.63,15.65,595600,15.65
2012-03-02,16.02,16.14,15.84,15.97,523600,15.97
