Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,79.39,79.56,77.51,77.98,1133000,77.98
2012-05-03,81.61,81.74,79.48,79.71,1710900,79.71
2012-05-02,79.79,82.15,79.10,81.75,1543400,81.75
2012-05-01,79.01,80.88,78.76,80.25,1305600,80.25
2012-04-30,79.12,79.12,78.28,79.04,1566700,79.04
2012-04-27,80.86,81.22,79.26,79.72,1393700,79.72
2012-04-26,80.02,80.80,78.09,79.99,3490200,79.99
2012-04-25,80.72,82.97,80.72,82.51,1521400,82.51
2012-04-24,80.32,80.52,79.21,79.59,1099900,79.59
2012-04-23,79.36,80.50,78.37,80.06,1212900,80.06
2012-04-20,82.11,82.31,80.34,80.59,1485400,80.59
2012-04-19,83.61,84.16,81.30,81.45,1222900,81.45
2012-04-18,83.09,84.13,82.39,83.83,1057900,83.83
2012-04-17,83.24,84.40,82.35,83.59,1364700,83.59
2012-04-16,82.46,83.06,81.12,82.60,952000,82.60
2012-04-13,83.12,83.93,81.72,81.80,1113800,81.80
2012-04-12,81.79,83.77,81.61,83.68,1148300,83.68
2012-04-11,81.16,82.66,80.65,81.42,1524400,81.42
2012-04-10,81.81,82.17,79.30,79.58,1976200,79.58
2012-04-09,82.99,82.99,81.44,81.81,971100,81.81
2012-04-05,83.66,84.67,83.15,84.35,1086100,84.35
2012-04-04,84.29,84.53,83.18,84.14,1130500,84.14
2012-04-03,85.61,87.00,84.75,85.07,1313500,85.07
2012-04-02,84.01,85.98,83.37,85.46,937900,85.46
2012-03-30,84.66,84.78,83.58,84.34,703600,84.34
2012-03-29,83.49,84.09,82.99,83.97,840800,83.97
2012-03-28,85.75,86.10,82.75,83.98,887400,83.98
2012-03-27,85.58,87.16,85.46,85.99,1640800,85.99
2012-03-26,84.55,85.39,83.03,85.31,892200,85.31
2012-03-23,83.12,84.30,82.33,83.84,830300,83.84
2012-03-22,83.36,83.75,82.28,83.33,967100,83.33
2012-03-21,84.07,84.94,83.25,84.46,855400,84.46
2012-03-20,84.08,84.08,82.49,83.43,1525000,83.43
2012-03-19,85.22,85.43,83.96,84.87,1899600,84.87
2012-03-16,87.45,87.45,85.27,85.74,1059600,85.74
2012-03-15,86.48,87.05,85.88,87.05,824000,87.05
2012-03-14,85.25,86.70,85.02,86.66,1438300,86.66
2012-03-13,83.82,85.58,83.17,85.47,1142300,85.47
2012-03-12,83.76,84.00,82.37,83.03,1059800,83.03
2012-03-09,82.43,84.20,82.04,83.85,1118100,83.85
2012-03-08,81.29,83.09,81.11,82.34,1080900,82.34
2012-03-07,80.00,80.63,79.47,79.76,883700,79.76
2012-03-06,81.55,81.55,79.06,79.55,1626000,79.55
2012-03-05,85.21,85.27,82.56,82.91,1156300,82.91
2012-03-02,84.00,86.98,83.88,85.42,2993400,85.42
2012-03-01,83.05,84.49,82.81,84.19,1226600,84.19
2012-02-29,83.42,84.09,82.45,82.84,1602400,82.84
2012-02-28,82.54,83.31,82.18,83.26,1262400,83.26
2012-02-27,81.43,83.00,80.84,82.64,1257400,82.64
2012-02-24,81.03,83.45,80.79,82.43,1418100,82.43
