Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,15.99,16.05,15.48,15.90,2650600,15.90
2012-05-03,16.77,16.96,15.96,16.11,3116800,16.11
2012-05-02,15.46,16.97,15.37,16.85,6017300,16.85
2012-05-01,14.62,15.98,14.61,15.67,9208900,15.67
2012-04-30,13.09,13.25,12.85,13.16,1508000,13.16
2012-04-27,12.93,13.16,12.81,13.14,1066700,13.14
2012-04-26,12.30,13.08,12.30,12.93,1569700,12.93
2012-04-25,12.38,12.58,12.14,12.34,884900,12.34
2012-04-24,12.13,12.34,12.02,12.14,601500,12.14
2012-04-23,12.13,12.18,11.93,12.10,1461000,12.10
2012-04-20,12.43,12.54,12.24,12.29,992800,12.29
2012-04-19,12.61,12.64,12.15,12.26,2099700,12.26
2012-04-18,12.58,12.64,12.47,12.55,1373700,12.55
2012-04-17,12.67,12.83,12.65,12.67,733800,12.67
2012-04-16,12.69,12.81,12.48,12.58,1093600,12.58
2012-04-13,12.95,13.01,12.59,12.66,1009400,12.66
2012-04-12,12.77,13.09,12.77,13.00,962300,13.00
2012-04-11,12.88,13.00,12.61,12.79,1594900,12.79
2012-04-10,13.49,13.50,12.63,12.70,2742400,12.70
2012-04-09,13.67,13.92,13.48,13.51,1208900,13.51
2012-04-05,13.51,14.02,13.40,14.01,1958100,14.01
2012-04-04,13.71,13.80,13.42,13.51,1928700,13.51
2012-04-03,14.25,14.37,13.76,13.87,2141000,13.87
2012-04-02,14.11,14.33,13.90,14.26,1505200,14.26
2012-03-30,14.03,14.20,13.75,14.15,1566500,14.15
2012-03-29,13.91,14.03,13.58,13.93,1526900,13.93
2012-03-28,14.15,14.19,13.85,13.98,1346800,13.98
2012-03-27,14.48,14.57,14.07,14.08,1549600,14.08
2012-03-26,14.30,14.55,14.29,14.45,1406400,14.45
2012-03-23,14.45,14.47,14.08,14.15,1702000,14.15
2012-03-22,14.24,14.52,14.13,14.46,1555200,14.46
2012-03-21,14.26,14.52,13.99,14.36,2347600,14.36
2012-03-20,14.14,14.41,14.04,14.24,1212900,14.24
2012-03-19,14.32,14.57,14.17,14.23,1642900,14.23
2012-03-16,14.17,14.41,14.11,14.29,3541200,14.29
2012-03-15,13.73,14.17,13.71,14.14,2303900,14.14
2012-03-14,13.71,13.84,13.50,13.75,1165500,13.75
2012-03-13,13.42,13.82,13.40,13.79,1508000,13.79
2012-03-12,13.57,13.67,13.25,13.29,991800,13.29
2012-03-09,13.58,13.75,13.38,13.61,1239500,13.61
2012-03-08,13.54,13.73,13.44,13.59,1564800,13.59
2012-03-07,12.83,13.69,12.74,13.50,2985200,13.50
2012-03-06,12.96,13.06,12.56,12.79,3366600,12.79
2012-03-05,12.77,13.13,12.74,13.12,2028000,13.12
2012-03-02,13.07,13.17,12.75,12.79,2096200,12.79
2012-03-01,13.02,13.17,12.90,13.05,1905600,13.05
2012-02-29,12.94,13.18,12.89,12.90,1805700,12.90
2012-02-28,13.30,13.30,12.75,12.92,2267300,12.92
2012-02-27,13.17,13.32,12.94,13.22,3163600,13.22
2012-02-24,13.03,13.40,13.02,13.28,2136500,13.28
2012-02-23,12.80,13.09,12.73,13.00,2608800,13.00
2012-02-22,12.78,13.01,12.68,12.76,3324000,12.76
2012-02-21,13.03,13.21,12.68,12.86,4836500,12.86
2012-02-17,12.67,13.09,12.57,13.09,4489100,13.09
2012-02-16,13.45,13.54,11.96,12.58,12903800,12.58
2012-02-15,14.66,14.76,14.40,14.59,2437700,14.59
2012-02-14,15.05,15.09,14.50,14.64,2116300,14.64
2012-02-13,15.18,15.31,14.95,15.08,1384200,15.08
2012-02-10,14.82,15.23,14.53,14.95,1524400,14.95
2012-02-09,15.23,15.37,14.91,14.99,1405300,14.99
2012-02-08,15.34,15.47,14.77,15.17,2057100,15.17
2012-02-07,15.00,15.52,15.00,15.27,2005700,15.27
2012-02-06,14.77,15.09,14.71,15.05,1368500,15.05
2012-02-03,14.60,14.86,14.40,14.86,2948700,14.86
2012-02-02,14.62,14.68,14.21,14.27,2271600,14.27
2012-02-01,14.54,14.80,14.40,14.57,2198100,14.57
2012-01-31,14.52,14.68,14.21,14.35,1220500,14.35
2012-01-30,14.35,14.60,14.17,14.44,1300700,14.44
2012-01-27,14.15,14.65,14.09,14.60,1064400,14.60
2012-01-26,14.41,14.62,14.10,14.19,1566100,14.19
2012-01-25,13.92,14.59,13.91,14.40,1890400,14.40
2012-01-24,13.37,14.19,13.30,14.07,2326000,14.07
2012-01-23,13.28,13.63,13.24,13.54,1698800,13.54
2012-01-20,13.44,13.44,12.89,13.34,1984300,13.34
2012-01-19,12.99,13.63,12.94,13.42,2278800,13.42
2012-01-18,12.66,13.06,12.63,12.98,1352000,12.98
2012-01-17,12.59,12.75,12.39,12.67,1607700,12.67
2012-01-13,12.49,12.60,12.30,12.50,1496600,12.50
2012-01-12,12.36,12.75,12.10,12.63,2506000,12.63
2012-01-11,11.90,12.30,11.88,12.25,1606700,12.25
2012-01-10,11.64,12.02,11.64,12.01,2618000,12.01
2012-01-09,11.23,11.54,11.05,11.44,2226800,11.44
2012-01-06,10.99,11.31,10.84,11.17,1484600,11.17
2012-01-05,10.84,11.17,10.59,10.97,1998800,10.97
2012-01-04,11.06,11.24,10.84,10.85,1791800,10.85
2012-01-03,11.10,11.24,10.97,11.15,1248700,11.15
2011-12-30,10.75,10.86,10.62,10.72,974500,10.72
2011-12-29,10.69,10.81,10.65,10.73,1191500,10.73
2011-12-28,11.16,11.18,10.68,10.69,1166900,10.69
2011-12-27,11.23,11.38,11.12,11.17,800900,11.17
2011-12-23,11.18,11.39,11.09,11.33,873700,11.33
2011-12-22,11.10,11.28,10.92,11.15,1092000,11.15
2011-12-21,10.93,11.15,10.75,11.08,927100,11.08
2011-12-20,10.67,11.06,10.62,10.97,1461900,10.97
2011-12-19,11.02,11.14,10.39,10.40,1817500,10.40
2011-12-16,10.66,10.99,10.66,10.96,1869500,10.96
2011-12-15,10.78,10.83,10.50,10.55,1707900,10.55
2011-12-14,10.84,10.95,10.51,10.58,2745100,10.58
2011-12-13,11.53,11.59,10.89,10.96,1617900,10.96
2011-12-12,11.48,11.58,11.22,11.39,1513700,11.39
2011-12-09,11.31,11.70,11.31,11.70,1806400,11.70
2011-12-08,11.80,11.80,11.18,11.21,2519400,11.21
2011-12-07,11.85,12.15,11.67,11.97,2181800,11.97
2011-12-06,12.13,12.16,11.86,11.94,2444000,11.94
2011-12-05,12.35,12.50,11.97,12.15,2177900,12.15
2011-12-02,12.01,12.28,11.90,12.18,4661500,12.18
2011-12-01,11.80,11.90,11.62,11.78,1809100,11.78
2011-11-30,11.70,11.85,11.64,11.80,4106300,11.80
2011-11-29,11.55,11.80,11.19,11.21,2906200,11.21
2011-11-28,11.84,11.90,11.41,11.49,2137700,11.49
2011-11-25,11.38,11.69,11.25,11.26,552400,11.26
2011-11-23,11.99,12.12,11.44,11.45,1758000,11.45
2011-11-22,12.43,12.51,12.02,12.10,2144900,12.10
2011-11-21,12.26,12.60,12.17,12.46,2331700,12.46
2011-11-18,12.85,13.09,12.50,12.59,1363200,12.59
2011-11-17,13.24,13.34,12.68,12.77,2560400,12.77
2011-11-16,13.61,13.82,13.19,13.24,1404300,13.24
2011-11-15,13.54,13.93,13.36,13.73,1257700,13.73
2011-11-14,13.81,13.91,13.49,13.70,1772600,13.70
2011-11-11,13.30,13.85,13.17,13.82,2370300,13.82
2011-11-10,13.12,13.23,12.77,13.05,1549900,13.05
2011-11-09,13.37,13.40,12.80,12.88,2114800,12.88
2011-11-08,13.63,13.91,13.32,13.85,1138500,13.85
2011-11-07,13.66,13.79,13.17,13.54,1330500,13.54
2011-11-04,13.19,13.76,12.94,13.71,1715000,13.71
2011-11-03,14.12,14.20,13.06,13.34,3890300,13.34
2011-11-02,13.94,13.94,13.33,13.89,2110000,13.89
2011-11-01,13.40,13.66,13.01,13.28,4099100,13.28
2011-10-31,14.02,14.56,14.00,14.10,2297700,14.10
2011-10-28,14.34,15.01,14.20,14.62,3359300,14.62
2011-10-27,13.65,15.21,13.60,14.35,4332300,14.35
2011-10-26,12.80,13.35,12.57,13.25,3854500,13.25
2011-10-25,12.72,12.77,12.37,12.57,2349600,12.57
2011-10-24,12.23,13.07,12.20,12.90,2428300,12.90
2011-10-21,12.25,12.29,11.80,12.22,1878400,12.22
2011-10-20,11.84,12.05,11.50,11.85,1220400,11.85
2011-10-19,12.24,12.44,11.82,11.91,2832300,11.91
2011-10-18,11.78,12.37,11.39,12.23,2151900,12.23
2011-10-17,12.09,12.16,11.47,11.51,1601000,11.51
2011-10-14,11.88,12.24,11.75,12.19,1240300,12.19
2011-10-13,11.85,11.85,11.43,11.74,1657100,11.74
2011-10-12,11.87,12.25,11.54,12.00,2464400,12.00
2011-10-11,11.03,11.53,11.00,11.30,1536200,11.30
2011-10-10,10.93,11.40,10.86,11.22,2288100,11.22
2011-10-07,10.64,11.20,10.54,10.61,4034700,10.61
2011-10-06,9.80,10.28,9.65,10.27,2137900,10.27
2011-10-05,9.56,9.89,9.42,9.78,2609700,9.78
2011-10-04,8.82,9.60,8.45,9.49,3000700,9.49
2011-10-03,9.53,9.74,8.89,8.89,2674300,8.89
2011-09-30,9.97,10.07,9.66,9.67,1667500,9.67
2011-09-29,10.60,10.80,9.76,10.08,2877000,10.08
2011-09-28,10.93,11.08,10.26,10.27,1757900,10.27
2011-09-27,11.00,11.35,10.72,10.84,1599800,10.84
2011-09-26,10.66,10.78,10.16,10.70,1102100,10.70
2011-09-23,10.39,10.67,10.20,10.51,1306100,10.51
2011-09-22,10.77,11.00,10.11,10.34,2856600,10.34
2011-09-21,11.87,12.09,11.11,11.13,1751400,11.13
2011-09-20,12.62,12.70,11.91,11.91,2014600,11.91
2011-09-19,12.57,12.72,12.25,12.53,1980200,12.53
2011-09-16,12.96,13.04,12.60,12.83,2118200,12.83
2011-09-15,12.59,13.01,12.34,12.93,2783300,12.93
2011-09-14,11.90,12.62,11.78,12.48,3450800,12.48
2011-09-13,11.55,11.78,11.37,11.74,2119000,11.74
2011-09-12,11.53,11.89,11.16,11.45,3312200,11.45
2011-09-09,12.07,12.77,11.55,11.74,1521000,11.74
2011-09-08,12.65,12.83,12.10,12.23,1282300,12.23
2011-09-07,12.59,12.79,12.41,12.74,1437600,12.74
2011-09-06,11.95,12.40,11.92,12.31,1570800,12.31
2011-09-02,12.62,12.82,12.19,12.35,1552800,12.35
2011-09-01,13.03,13.39,12.92,12.97,1897600,12.97
2011-08-31,13.15,13.47,13.00,13.15,2646800,13.15
2011-08-30,12.46,13.15,12.43,13.03,2438800,13.03
2011-08-29,12.08,12.65,12.06,12.61,2034600,12.61
2011-08-26,11.25,11.98,11.03,11.92,2675400,11.92
