Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,12.23,12.56,12.00,12.05,247700,12.05
2012-05-03,12.47,12.47,12.13,12.36,215200,12.36
2012-05-02,12.61,12.74,12.33,12.50,211000,12.50
2012-05-01,14.20,14.20,12.76,12.80,396100,12.80
2012-04-30,12.95,13.40,12.95,13.39,251000,13.39
2012-04-27,13.72,13.90,13.48,13.75,117800,13.75
2012-04-26,13.38,13.75,13.25,13.68,166700,13.68
2012-04-25,13.50,13.88,13.33,13.47,136100,13.47
2012-04-24,13.07,13.34,12.87,13.27,113100,13.27
2012-04-23,13.23,13.25,12.92,13.04,115800,13.04
2012-04-20,13.47,13.72,13.46,13.55,108100,13.55
2012-04-19,13.34,13.44,13.13,13.30,128000,13.30
2012-04-18,13.23,13.45,13.13,13.38,91900,13.38
2012-04-17,13.12,13.45,13.09,13.35,136400,13.35
2012-04-16,13.17,13.42,12.95,12.98,215100,12.98
2012-04-13,13.08,13.15,12.80,13.10,132600,13.10
2012-04-12,12.38,13.40,12.38,13.21,172000,13.21
2012-04-11,12.17,12.50,12.08,12.38,150000,12.38
2012-04-10,12.49,12.52,11.98,11.99,334000,11.99
2012-04-09,12.50,12.70,12.47,12.47,242000,12.47
2012-04-05,12.90,13.00,12.74,12.78,174800,12.78
2012-04-04,12.90,13.15,12.72,12.97,290000,12.97
2012-04-03,13.05,13.50,13.00,13.14,724300,13.14
2012-04-02,12.64,13.45,12.63,13.01,442100,13.01
2012-03-30,12.90,12.90,12.51,12.65,119000,12.65
2012-03-29,12.71,12.80,12.47,12.76,113900,12.76
2012-03-28,12.29,12.82,12.01,12.81,245500,12.81
2012-03-27,12.46,12.56,12.24,12.29,164400,12.29
2012-03-26,12.25,12.80,12.25,12.43,151000,12.43
2012-03-23,12.08,12.25,11.94,12.19,102700,12.19
2012-03-22,11.83,12.13,11.77,12.11,257000,12.11
2012-03-21,11.96,12.10,11.69,12.02,521200,12.02
2012-03-20,11.26,12.13,11.02,11.91,518000,11.91
