Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,18.78,18.93,18.70,18.83,1434400,18.83
2012-05-03,19.00,19.11,18.81,18.93,1119700,18.93
2012-05-02,18.84,19.03,18.61,19.02,1804500,19.02
2012-05-01,18.99,19.43,18.67,19.00,1829500,19.00
2012-04-30,18.67,18.71,18.47,18.63,1088300,18.63
2012-04-27,18.82,18.82,18.45,18.63,2151600,18.63
2012-04-26,18.78,18.91,18.70,18.72,1136300,18.72
2012-04-25,18.90,19.09,18.73,18.80,1224800,18.80
2012-04-24,18.39,18.75,18.36,18.65,840300,18.65
2012-04-23,18.36,18.44,18.11,18.34,1183800,18.34
2012-04-20,18.42,18.72,18.28,18.63,1537800,18.63
2012-04-19,18.39,18.39,17.86,18.21,2122900,18.21
2012-04-18,18.73,18.78,18.29,18.33,1877200,18.33
2012-04-17,19.00,19.00,18.75,18.81,1856200,18.81
2012-04-16,18.62,18.86,18.43,18.80,1278800,18.80
2012-04-13,18.30,18.57,18.12,18.44,1657400,18.44
2012-04-12,18.21,18.43,18.12,18.33,1368900,18.33
2012-04-11,18.10,18.23,17.98,18.15,911200,18.15
2012-04-10,18.33,18.40,17.80,17.87,2343600,17.87
2012-04-09,18.23,18.39,18.13,18.27,1373500,18.27
2012-04-05,18.67,18.82,18.54,18.57,865500,18.57
2012-04-04,18.92,19.01,18.71,18.74,965200,18.74
2012-04-03,19.12,19.27,19.06,19.09,1534000,19.09
2012-04-02,18.92,19.16,18.84,19.09,1277800,19.09
2012-03-30,19.11,19.13,18.88,18.92,1215200,18.92
2012-03-29,18.80,19.08,18.61,18.98,1632500,18.98
2012-03-28,18.96,19.29,18.84,18.96,1510800,18.96
2012-03-27,19.05,19.50,18.96,19.32,2268000,19.10
2012-03-26,18.89,19.01,18.80,19.01,1353900,18.79
2012-03-23,18.66,18.73,18.47,18.69,1684600,18.48
2012-03-22,18.52,18.71,18.26,18.63,1869400,18.42
2012-03-21,18.75,18.91,18.63,18.67,821200,18.46
2012-03-20,18.64,18.85,18.57,18.74,1063300,18.53
2012-03-19,18.57,18.94,18.51,18.79,1170400,18.58
2012-03-16,18.46,18.75,18.32,18.64,2360000,18.43
2012-03-15,18.28,18.47,18.15,18.40,1190000,18.19
2012-03-14,17.88,18.25,17.80,18.21,1817700,18.00
2012-03-13,17.57,17.94,17.47,17.86,1807700,17.66
2012-03-12,17.69,17.72,17.40,17.42,1229700,17.22
2012-03-09,17.79,17.98,17.64,17.67,1017800,17.47
2012-03-08,18.01,18.01,17.75,17.80,1226300,17.60
2012-03-07,17.71,17.96,17.59,17.94,1249300,17.74
2012-03-06,17.80,17.96,17.59,17.64,1499000,17.44
2012-03-05,17.76,18.06,17.64,18.04,891900,17.83
2012-03-02,17.86,17.99,17.72,17.81,1201800,17.61
2012-03-01,17.72,18.02,17.54,17.86,1646300,17.66
2012-02-29,17.73,17.93,17.53,17.63,1617800,17.43
2012-02-28,17.83,17.94,17.50,17.72,1483800,17.52
2012-02-27,17.69,17.92,17.44,17.85,1450600,17.65
2012-02-24,17.23,17.93,17.22,17.80,2449600,17.60
2012-02-23,17.01,17.27,16.82,17.21,2287300,17.01
2012-02-22,17.32,17.40,16.92,16.99,1469100,16.80
2012-02-21,17.66,17.79,17.25,17.40,1505600,17.20
2012-02-17,17.76,17.76,17.49,17.54,1276900,17.34
2012-02-16,17.56,17.85,17.47,17.75,1899600,17.55
2012-02-15,18.06,18.26,17.62,17.80,2957000,17.60
2012-02-14,18.47,18.51,17.93,18.02,2346800,17.81
2012-02-13,18.38,18.69,18.32,18.55,2314000,18.34
2012-02-10,17.92,18.26,17.76,18.13,2830400,17.92
