Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,21.16,21.16,21.04,21.15,4300,21.15
2012-05-03,21.20,21.25,21.13,21.15,6500,21.15
2012-05-02,21.32,21.32,21.22,21.22,800,21.22
2012-05-01,21.25,21.36,21.25,21.32,9100,21.32
2012-04-30,21.41,21.42,21.29,21.29,8400,21.29
2012-04-27,21.33,21.42,21.33,21.41,7800,21.41
2012-04-26,21.29,21.42,21.26,21.42,9700,21.42
2012-04-25,21.27,21.34,21.27,21.34,26400,21.34
2012-04-24,21.27,21.33,21.17,21.27,34900,21.27
2012-04-23,21.22,21.29,21.14,21.29,7200,21.29
2012-04-20,21.31,21.37,21.26,21.27,1000,21.27
2012-04-19,21.09,21.27,21.09,21.27,3200,21.27
2012-04-18,21.24,21.27,21.17,21.27,1500,21.27
2012-04-17,21.30,21.41,21.30,21.41,3900,21.41
2012-04-16,21.20,21.22,21.14,21.22,3100,21.22
2012-04-13,21.37,21.37,21.25,21.33,3100,21.33
2012-04-12,21.28,21.44,21.28,21.44,11600,21.44
2012-04-11,21.14,21.25,21.11,21.22,7300,21.22
2012-04-10,21.15,21.20,21.09,21.12,5600,21.12
2012-04-09,21.19,21.32,21.18,21.31,10100,21.31
2012-04-05,21.19,21.29,21.17,21.28,5600,21.28
2012-04-04,21.25,21.30,21.18,21.30,2000,21.30
2012-04-03,21.49,21.49,21.35,21.35,6500,21.35
2012-04-02,21.31,21.53,21.31,21.48,20800,21.48
2012-03-30,21.30,21.41,21.30,21.38,10000,21.38
2012-03-29,21.25,21.30,21.25,21.28,5500,21.28
2012-03-28,21.37,21.37,21.26,21.31,8200,21.31
2012-03-27,21.48,21.55,21.42,21.52,39600,21.52
2012-03-26,21.49,21.55,21.44,21.55,26800,21.55
2012-03-23,21.25,21.38,21.25,21.35,16600,21.35
2012-03-22,21.25,21.28,21.25,21.28,23700,21.28
2012-03-21,21.33,21.45,21.06,21.41,16900,21.41
2012-03-20,21.34,21.46,21.31,21.42,29600,21.42
2012-03-19,21.48,21.60,21.48,21.60,4600,21.60
2012-03-16,21.46,21.58,21.46,21.58,2300,21.58
2012-03-15,21.49,21.50,21.36,21.42,22100,21.42
2012-03-14,21.40,21.40,21.25,21.29,13900,21.29
2012-03-13,21.42,21.55,21.42,21.54,12700,21.54
2012-03-12,21.47,21.47,21.42,21.45,4500,21.45
2012-03-09,21.52,21.61,21.52,21.58,7300,21.58
2012-03-08,21.56,21.72,21.56,21.70,12200,21.70
2012-03-07,21.45,21.47,21.45,21.47,3200,21.47
2012-03-06,21.51,21.51,21.39,21.41,21400,21.41
2012-03-05,21.67,21.67,21.61,21.65,14000,21.65
2012-03-02,21.74,21.82,21.74,21.74,2300,21.74
2012-03-01,21.86,21.92,21.85,21.85,1400,21.85
2012-02-29,22.03,22.03,21.83,21.89,8800,21.89
2012-02-28,21.80,21.95,21.80,21.95,6900,21.95
2012-02-27,21.70,21.80,21.70,21.80,4700,21.80
2012-02-24,21.73,21.84,21.69,21.82,33100,21.82
2012-02-23,21.65,21.66,21.51,21.66,21300,21.66
2012-02-22,21.55,21.61,21.50,21.54,4500,21.54
2012-02-21,21.61,21.65,21.57,21.57,3400,21.57
2012-02-17,21.55,21.61,21.52,21.59,3800,21.59
2012-02-16,21.40,21.57,21.40,21.52,18200,21.52
2012-02-15,21.55,21.58,21.47,21.55,2900,21.55
2012-02-14,21.54,21.54,21.43,21.48,10600,21.48
2012-02-13,21.55,21.62,21.49,21.57,8400,21.57
2012-02-10,21.45,21.51,21.45,21.51,4400,21.51
2012-02-09,21.63,21.69,21.62,21.65,27600,21.65
2012-02-08,21.60,21.69,21.60,21.67,35400,21.67
2012-02-07,21.55,21.66,21.55,21.63,56800,21.63
2012-02-06,21.50,21.58,21.45,21.56,34900,21.56
2012-02-03,21.59,21.63,21.54,21.58,13500,21.58
2012-02-02,21.41,21.52,21.41,21.50,15300,21.50
2012-02-01,21.37,21.45,21.37,21.41,3900,21.41
2012-01-31,21.31,21.33,21.20,21.27,3000,21.27
2012-01-30,21.18,21.23,21.18,21.22,5700,21.22
2012-01-27,21.27,21.38,21.24,21.36,14900,21.36
2012-01-26,21.27,21.37,21.20,21.22,28000,21.22
2012-01-25,20.90,21.13,20.90,21.13,6500,21.13
2012-01-24,20.89,20.98,20.86,20.97,9400,20.97
2012-01-23,20.98,21.05,20.98,21.01,2400,21.01
2012-01-20,20.86,20.93,20.83,20.93,5800,20.93
2012-01-19,20.88,20.91,20.83,20.84,5600,20.84
2012-01-18,20.61,20.87,20.61,20.86,53200,20.86
2012-01-17,20.65,20.69,20.58,20.58,30300,20.58
2012-01-13,20.46,20.53,20.39,20.45,8400,20.45
2012-01-12,20.60,20.63,20.56,20.60,9000,20.60
2012-01-11,20.49,20.49,20.47,20.47,3400,20.47
2012-01-10,20.55,20.57,20.49,20.51,4900,20.51
2012-01-09,20.34,20.38,20.31,20.34,8300,20.34
2012-01-06,20.40,20.40,20.24,20.26,39700,20.26
2012-01-05,20.29,20.42,20.29,20.33,3500,20.33
2012-01-04,20.53,20.53,20.50,20.51,4300,20.51
2012-01-03,20.52,20.63,20.49,20.58,22700,20.58
2011-12-30,20.18,20.31,20.18,20.31,53100,20.31
2011-12-29,20.05,20.19,20.04,20.15,48700,20.15
2011-12-28,20.26,20.30,20.08,20.10,52100,20.10
2011-12-27,20.25,20.36,20.25,20.36,124800,20.36
2011-12-23,20.24,20.30,20.22,20.27,36500,20.27
2011-12-22,20.12,20.27,20.12,20.24,16100,20.24
2011-12-21,20.27,20.27,20.10,20.18,38200,20.18
2011-12-20,25.24,25.30,25.18,25.23,13900,25.23
2011-12-19,25.00,25.05,24.95,24.96,7700,24.96
2011-12-16,25.05,25.05,25.00,25.04,30900,25.04
2011-12-15,24.99,25.03,24.92,24.96,9300,24.96
2011-12-14,25.00,25.00,24.84,24.88,43700,24.88
2011-12-13,25.35,25.35,25.04,25.04,14200,25.04
2011-12-12,25.39,25.39,25.28,25.29,3700,25.29
2011-12-09,25.49,25.65,25.49,25.63,62800,25.63
2011-12-08,25.65,25.69,25.41,25.53,55300,25.53
2011-12-07,25.79,25.79,25.76,25.76,2300,25.76
2011-12-06,25.67,25.77,25.67,25.70,6800,25.70
2011-12-05,25.79,25.89,25.78,25.78,7900,25.78
2011-12-02,25.85,25.85,25.69,25.71,8000,25.71
2011-12-01,25.69,25.69,25.66,25.69,6500,25.69
2011-11-30,25.57,25.78,25.57,25.73,16800,25.73
2011-11-29,25.07,25.20,24.74,25.16,10200,25.16
2011-11-28,25.10,25.14,24.97,25.02,21100,25.02
2011-11-25,24.75,24.78,24.75,24.76,6500,24.76
2011-11-23,24.95,24.95,24.72,24.78,19300,24.78
2011-11-22,25.12,25.19,25.08,25.08,19900,25.08
2011-11-21,25.17,25.18,25.12,25.17,14800,25.17
2011-11-18,25.53,25.53,25.40,25.47,16500,25.47
2011-11-17,25.50,25.53,25.39,25.44,2300,25.44
2011-11-16,25.64,25.67,25.49,25.58,88000,25.58
2011-11-15,25.66,25.69,25.57,25.67,50400,25.67
2011-11-14,25.80,25.88,25.80,25.85,1100,25.85
2011-11-11,25.99,26.16,25.99,26.08,22500,26.08
2011-11-10,25.86,25.88,25.77,25.85,24400,25.85
2011-11-09,25.89,25.94,25.79,25.83,27600,25.83
2011-11-08,26.19,26.32,26.16,26.30,10300,26.30
2011-11-07,26.25,26.33,26.12,26.20,9400,26.20
2011-11-04,26.21,26.24,26.07,26.14,36700,26.14
2011-11-03,26.05,26.32,26.05,26.32,3300,26.32
2011-11-02,26.05,26.18,25.95,26.06,58600,26.06
2011-11-01,26.00,26.14,25.98,26.08,10200,26.08
2011-10-31,26.65,26.65,26.47,26.47,14100,26.47
2011-10-28,26.77,26.95,26.77,26.92,54000,26.92
2011-10-27,26.67,26.84,26.63,26.80,36500,26.80
2011-10-26,26.25,26.25,26.03,26.15,46200,26.15
2011-10-25,26.14,26.18,26.08,26.11,20200,26.11
2011-10-24,26.02,26.27,26.02,26.24,15300,26.24
2011-10-21,25.91,25.95,25.77,25.86,23200,25.86
2011-10-20,25.59,25.68,25.55,25.63,7100,25.63
2011-10-19,25.90,25.93,25.66,25.69,137000,25.69
2011-10-18,25.65,25.96,25.60,25.92,12400,25.92
2011-10-17,26.10,26.10,25.79,25.81,6100,25.81
2011-10-14,26.10,26.22,26.07,26.22,21200,26.22
2011-10-13,25.73,25.93,25.73,25.93,16200,25.93
2011-10-12,25.73,25.96,25.73,25.91,40200,25.91
2011-10-11,25.22,25.65,25.21,25.65,15400,25.65
2011-10-10,25.50,25.65,25.50,25.54,10600,25.54
2011-10-07,25.41,25.42,25.12,25.23,7900,25.23
2011-10-06,24.95,25.25,24.81,25.15,36000,25.15
2011-10-05,24.83,24.92,24.65,24.88,27500,24.88
2011-10-04,24.32,24.55,24.01,24.54,50300,24.54
2011-10-03,24.71,24.76,24.51,24.59,63200,24.59
2011-09-30,25.23,25.23,24.84,24.86,90000,24.86
2011-09-29,25.27,25.34,25.07,25.17,18900,25.17
2011-09-28,25.50,25.51,25.22,25.23,12700,25.23
2011-09-27,25.57,25.63,25.45,25.49,12800,25.49
2011-09-26,24.96,25.18,24.84,25.18,47900,25.18
2011-09-23,24.95,25.01,24.36,24.98,136900,24.98
2011-09-22,24.90,25.01,24.72,24.90,538000,24.90
2011-09-21,25.91,25.93,25.54,25.54,80500,25.54
2011-09-20,26.06,26.22,26.02,26.10,101200,26.10
2011-09-19,26.30,26.30,26.08,26.20,12900,26.20
2011-09-16,26.67,26.75,26.60,26.61,34000,26.61
2011-09-15,26.65,26.76,26.62,26.66,53500,26.66
2011-09-14,26.59,26.60,26.38,26.52,48900,26.52
2011-09-13,26.61,26.78,26.61,26.73,17000,26.73
2011-09-12,26.70,26.84,26.47,26.58,38400,26.58
2011-09-09,27.01,27.02,26.86,26.89,33600,26.89
2011-09-08,27.35,27.43,27.27,27.34,40100,27.34
2011-09-07,27.31,27.43,27.31,27.43,26000,27.43
2011-09-06,27.34,27.39,27.11,27.15,50800,27.15
2011-09-02,27.68,27.68,27.52,27.56,44500,27.56
2011-09-01,27.81,27.85,27.68,27.77,17800,27.77
2011-08-31,27.78,27.91,27.75,27.85,26700,27.85
2011-08-30,27.73,27.81,27.65,27.69,41400,27.69
2011-08-29,27.69,27.78,27.69,27.78,38400,27.78
2011-08-26,27.45,27.61,27.40,27.53,20100,27.53
2011-08-25,27.46,27.50,27.34,27.40,24100,27.40
2011-08-24,27.31,27.53,27.31,27.34,15200,27.34
2011-08-23,27.32,27.40,27.32,27.38,6500,27.38
2011-08-22,27.39,27.40,27.20,27.29,14100,27.29
2011-08-19,27.26,27.36,27.19,27.19,14500,27.19
2011-08-18,27.31,27.31,27.11,27.23,22100,27.23
2011-08-17,27.67,27.67,27.50,27.55,29700,27.55
2011-08-16,27.72,27.72,27.34,27.44,64300,27.44
2011-08-15,27.28,27.45,27.28,27.45,33900,27.45
2011-08-12,27.21,27.23,27.06,27.14,23100,27.14
2011-08-11,26.81,27.11,26.79,27.08,54300,27.08
2011-08-10,27.16,27.16,26.75,26.79,79000,26.79
2011-08-09,26.86,27.23,26.57,27.23,670800,27.23
