Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,11.94,11.97,11.61,11.74,234200,11.74
2012-05-03,12.00,12.02,11.81,11.87,133600,11.87
2012-05-02,12.24,12.25,11.94,11.99,239000,11.99
2012-05-01,12.45,12.49,12.27,12.31,214900,12.31
2012-04-30,12.38,12.50,12.26,12.49,287100,12.49
2012-04-27,12.30,12.41,12.29,12.40,342900,12.21
2012-04-26,12.15,12.33,12.00,12.30,266300,12.11
2012-04-25,12.24,12.30,11.99,12.13,230200,11.94
2012-04-24,12.15,12.34,12.01,12.08,269100,11.89
2012-04-23,11.87,11.96,11.76,11.91,257900,11.73
2012-04-20,11.90,12.00,11.77,11.81,182200,11.63
2012-04-19,12.30,12.30,11.79,11.82,205600,11.64
2012-04-18,12.15,12.24,12.02,12.20,533500,12.01
2012-04-17,11.49,11.69,11.49,11.65,253800,11.47
2012-04-16,11.41,11.47,11.26,11.43,266000,11.25
2012-04-13,11.50,11.56,11.35,11.35,189800,11.18
2012-04-12,11.48,11.59,11.46,11.58,192700,11.40
2012-04-11,11.54,11.59,11.30,11.43,230400,11.25
2012-04-10,11.63,11.72,11.29,11.46,314500,11.28
2012-04-09,12.06,12.06,11.61,11.68,408000,11.50
2012-04-05,12.20,12.30,12.11,12.23,236600,12.04
2012-04-04,12.14,12.18,12.05,12.18,220300,11.99
2012-04-03,12.33,12.37,12.13,12.17,279900,11.98
2012-04-02,12.39,12.42,12.28,12.32,212200,12.13
2012-03-30,12.50,12.62,12.30,12.39,254000,12.20
2012-03-29,12.83,12.86,12.41,12.46,328600,12.27
2012-03-28,13.10,13.19,12.88,12.98,232500,12.78
2012-03-27,13.07,13.15,13.02,13.05,244200,12.85
2012-03-26,12.96,13.17,12.94,13.12,340000,12.92
2012-03-23,13.00,13.00,12.82,12.89,266700,12.69
2012-03-22,12.98,13.10,12.82,12.83,417700,12.63
2012-03-21,12.87,12.89,12.73,12.78,214700,12.58
2012-03-20,12.60,13.00,12.55,12.70,485000,12.51
2012-03-19,12.60,12.65,12.49,12.49,192000,12.30
2012-03-16,12.60,12.71,12.58,12.62,181400,12.43
2012-03-15,12.67,12.67,12.46,12.59,270900,12.40
2012-03-14,12.76,13.04,12.64,12.74,563800,12.54
2012-03-13,12.30,12.46,12.18,12.39,376800,12.20
2012-03-12,12.53,12.55,12.26,12.28,332700,12.09
2012-03-09,12.65,12.68,12.36,12.59,449200,12.40
2012-03-08,12.37,12.75,12.30,12.62,370600,12.43
2012-03-07,12.65,12.76,12.25,12.30,493300,12.11
2012-03-06,12.85,12.85,12.62,12.70,398300,12.51
2012-03-05,13.17,13.17,12.87,12.94,351900,12.74
2012-03-02,13.24,13.29,13.18,13.18,197400,12.98
2012-03-01,13.25,13.35,13.19,13.23,355500,13.03
2012-02-29,13.52,13.58,13.15,13.35,398500,13.15
2012-02-28,13.61,13.65,13.49,13.49,418000,13.28
2012-02-27,13.87,13.87,13.65,13.78,573400,13.57
2012-02-24,14.29,14.36,14.24,14.25,224900,14.03
2012-02-23,14.03,14.30,14.03,14.29,310700,14.07
2012-02-22,14.20,14.21,13.93,14.07,539000,13.85
2012-02-21,14.58,14.77,14.56,14.61,218400,14.39
2012-02-17,14.46,14.63,14.46,14.53,156000,14.31
2012-02-16,14.30,14.64,14.21,14.52,280400,14.30
2012-02-15,14.85,14.87,14.56,14.60,295000,14.38
2012-02-14,15.20,15.23,14.91,15.01,175200,14.78
2012-02-13,15.15,15.28,15.14,15.23,200400,15.00
2012-02-10,15.22,15.24,15.05,15.15,176100,14.92
2012-02-09,15.45,15.46,15.32,15.35,187100,15.11
2012-02-08,15.20,15.50,15.19,15.37,367500,15.13
2012-02-07,15.12,15.19,15.02,15.09,180400,14.86
2012-02-06,15.15,15.20,15.02,15.10,212100,14.87
2012-02-03,14.99,15.20,14.89,15.13,238500,14.90
2012-02-02,14.79,15.00,14.77,14.90,237200,14.67
2012-02-01,14.80,14.93,14.74,14.79,396800,14.56
2012-01-31,14.47,14.70,14.47,14.54,291800,14.32
2012-01-30,14.30,14.61,14.20,14.47,361300,14.25
2012-01-27,14.78,14.83,14.62,14.62,336000,14.40
2012-01-26,14.99,15.34,14.77,14.82,394300,14.59
2012-01-25,14.67,15.04,14.29,14.99,1049500,14.76
2012-01-24,15.40,15.40,15.12,15.21,428200,14.98
2012-01-23,15.83,15.91,15.68,15.68,272000,15.44
2012-01-20,15.74,16.04,15.70,15.96,264000,15.72
2012-01-19,15.85,16.15,15.63,15.83,510100,15.59
2012-01-18,15.92,16.47,15.92,16.38,259000,16.13
2012-01-17,15.90,15.98,15.80,15.92,242900,15.68
2012-01-13,15.70,15.73,15.47,15.71,238700,15.47
2012-01-12,15.88,15.90,15.68,15.75,345700,15.51
2012-01-11,15.85,15.85,15.67,15.84,221500,15.60
2012-01-10,15.82,15.94,15.79,15.91,221600,15.67
2012-01-09,15.60,15.62,15.45,15.57,403400,15.33
2012-01-06,15.57,15.62,15.41,15.51,408100,15.27
2012-01-05,15.90,15.91,15.57,15.65,335200,15.41
2012-01-04,16.30,16.35,15.80,15.92,449200,15.68
2012-01-03,16.63,16.78,16.34,16.44,540600,16.19
2011-12-30,16.81,16.97,16.75,16.90,522600,16.14
2011-12-29,16.78,16.86,16.60,16.82,291800,16.06
2011-12-28,17.16,17.18,16.72,16.80,329400,16.04
2011-12-27,16.99,17.21,16.90,17.07,284500,16.30
2011-12-23,16.78,16.89,16.74,16.85,201400,16.09
2011-12-22,16.70,16.88,16.56,16.78,377300,16.02
2011-12-21,16.71,16.81,16.55,16.76,204800,16.01
2011-12-20,16.75,16.89,16.65,16.88,302700,16.12
2011-12-19,16.52,16.78,16.35,16.38,275200,15.64
2011-12-16,16.74,16.77,16.62,16.76,242300,16.01
2011-12-15,16.82,16.86,16.66,16.67,266900,15.92
2011-12-14,16.62,16.62,16.23,16.41,295700,15.67
2011-12-13,16.66,16.87,16.52,16.59,386700,15.84
2011-12-12,16.30,16.38,16.18,16.36,283900,15.62
2011-12-09,16.08,16.37,16.08,16.32,217000,15.58
2011-12-08,16.32,16.45,16.07,16.14,337900,15.41
2011-12-07,16.20,16.52,16.16,16.51,347500,15.77
2011-12-06,16.50,16.59,16.20,16.30,408000,15.57
2011-12-05,16.95,17.03,16.51,16.59,407800,15.84
2011-12-02,16.91,17.07,16.87,16.93,230200,16.17
2011-12-01,17.06,17.24,16.87,16.87,219200,16.11
2011-11-30,17.00,17.72,16.90,17.16,345500,16.39
2011-11-29,16.75,16.84,16.52,16.62,331800,15.87
2011-11-28,17.20,17.20,16.72,16.99,489100,16.22
2011-11-25,16.43,17.06,16.43,16.64,193900,15.89
2011-11-23,17.51,17.53,16.81,16.93,459900,16.17
2011-11-22,17.90,17.98,17.54,17.63,480500,16.84
2011-11-21,18.68,18.68,17.98,17.99,426000,17.18
2011-11-18,19.01,19.12,18.78,18.91,254400,18.06
2011-11-17,19.12,19.37,18.86,18.95,418200,18.10
2011-11-16,19.61,19.61,18.73,18.86,857800,18.01
2011-11-15,20.45,20.49,19.69,19.77,537500,18.88
2011-11-14,21.18,21.18,20.73,20.87,277900,19.93
2011-11-11,21.35,21.54,21.26,21.37,217000,20.41
2011-11-10,20.98,21.18,20.84,21.10,238500,20.15
2011-11-09,20.80,21.06,20.46,20.53,341700,19.61
2011-11-08,21.46,21.54,21.31,21.40,246200,20.44
2011-11-07,21.50,21.75,21.40,21.71,131300,20.73
2011-11-04,21.11,21.60,21.11,21.47,146400,20.50
2011-11-03,21.65,21.78,21.34,21.67,183900,20.69
2011-11-02,21.60,21.66,21.34,21.58,140700,20.61
2011-11-01,21.31,21.59,21.16,21.30,288000,20.34
2011-10-31,22.50,22.50,22.04,22.04,239100,21.05
2011-10-28,22.30,22.83,22.19,22.75,237000,21.73
2011-10-27,22.27,22.56,22.02,22.49,381900,21.48
2011-10-26,21.43,21.66,21.26,21.48,284000,20.51
2011-10-25,22.27,22.27,21.74,21.83,283600,20.85
2011-10-24,22.38,22.50,22.10,22.29,629100,21.29
2011-10-21,21.67,21.84,21.34,21.64,268700,20.67
2011-10-20,21.54,21.70,21.20,21.49,248100,20.52
2011-10-19,21.80,21.99,21.46,21.52,178400,20.55
2011-10-18,21.61,22.09,21.50,21.86,218800,20.88
2011-10-17,21.56,21.69,21.48,21.50,272500,20.53
2011-10-14,20.94,21.20,20.83,21.17,197800,20.22
2011-10-13,20.77,20.84,20.50,20.83,132200,19.89
2011-10-12,20.65,21.10,20.64,20.79,210900,19.85
2011-10-11,20.65,20.68,20.40,20.53,184900,19.61
2011-10-10,20.67,20.82,20.52,20.65,351500,19.72
2011-10-07,20.17,20.30,19.58,19.64,147100,18.76
2011-10-06,20.01,20.16,19.80,20.15,202000,19.24
2011-10-05,19.74,19.89,19.60,19.83,294700,18.94
2011-10-04,19.32,19.49,18.86,19.46,538300,18.58
2011-10-03,19.98,20.26,19.13,19.13,513800,18.27
2011-09-30,21.04,21.18,20.73,20.89,298400,19.31
2011-09-29,21.25,21.40,20.95,21.10,239200,19.50
2011-09-28,20.97,21.21,20.77,20.94,222000,19.36
2011-09-27,21.16,21.49,20.91,20.97,232900,19.38
2011-09-26,20.65,20.78,20.47,20.72,224700,19.15
2011-09-23,20.10,20.53,19.94,20.47,351500,18.92
2011-09-22,19.79,20.28,19.79,20.09,439200,18.57
2011-09-21,21.22,21.30,20.62,20.68,201600,19.12
2011-09-20,20.94,21.39,20.85,21.08,279000,19.48
2011-09-19,20.74,20.84,20.52,20.81,422800,19.24
2011-09-16,21.58,21.75,21.49,21.75,185200,20.10
2011-09-15,21.54,21.68,21.34,21.45,192800,19.83
2011-09-14,20.95,21.50,20.82,21.44,247200,19.82
2011-09-13,20.81,20.90,20.57,20.87,173500,19.29
2011-09-12,20.61,20.73,20.32,20.70,304800,19.13
2011-09-09,21.33,21.33,20.90,20.92,218400,19.34
2011-09-08,21.43,21.60,21.19,21.44,257400,19.82
2011-09-07,21.68,21.90,21.48,21.81,225000,20.16
2011-09-06,20.98,21.25,20.94,21.15,351600,19.55
2011-09-02,21.95,22.02,21.73,21.82,254200,20.17
2011-09-01,22.31,22.52,22.15,22.21,247500,20.53
2011-08-31,22.38,22.38,22.11,22.21,228600,20.53
2011-08-30,22.23,22.37,22.06,22.21,187400,20.53
2011-08-29,21.98,22.29,21.98,22.23,201300,20.55
2011-08-26,21.36,21.76,21.02,21.56,154300,19.93
2011-08-25,21.89,21.98,21.22,21.29,192200,19.68
2011-08-24,22.12,22.45,21.90,22.16,146300,20.48
2011-08-23,21.72,22.15,21.60,22.09,216000,20.42
2011-08-22,22.02,22.10,21.50,21.53,354700,19.90
2011-08-19,21.23,21.56,20.76,20.91,288600,19.33
2011-08-18,21.79,21.79,21.12,21.25,300400,19.64
2011-08-17,22.04,22.46,22.04,22.33,316000,20.64
2011-08-16,22.00,22.18,21.82,21.93,168000,20.27
2011-08-15,21.69,22.28,21.69,22.15,282200,20.47
2011-08-12,21.33,21.61,21.23,21.52,272300,19.89
2011-08-11,21.07,21.42,20.75,21.26,588700,19.65
2011-08-10,21.20,21.45,20.76,20.82,596800,19.24
2011-08-09,21.51,21.94,20.66,21.75,637000,20.10
2011-08-08,21.86,22.00,20.51,21.46,784900,19.84
2011-08-05,24.02,24.17,23.21,23.90,461500,22.09
2011-08-04,24.97,24.97,24.00,24.06,541700,22.24
2011-08-03,25.33,25.52,24.71,25.44,411600,23.52
2011-08-02,25.76,25.80,25.18,25.22,519600,23.31
2011-08-01,26.30,26.35,25.89,26.19,315800,24.21
2011-07-29,26.03,26.44,25.96,26.33,215000,24.34
2011-07-28,26.28,26.48,26.16,26.16,171800,24.18
2011-07-27,26.68,26.70,26.35,26.42,243800,24.42
2011-07-26,26.80,26.88,26.62,26.68,192600,24.66
2011-07-25,26.75,26.83,26.61,26.80,266900,24.77
2011-07-22,26.50,26.74,26.34,26.68,294200,24.66
2011-07-21,26.28,26.50,26.14,26.49,325800,24.49
2011-07-20,26.35,26.39,26.03,26.11,282000,24.13
2011-07-19,26.20,26.39,25.95,26.34,371200,24.35
2011-07-18,26.20,26.20,25.75,25.96,418900,24.00
2011-07-15,26.49,26.64,26.21,26.23,460500,24.25
2011-07-14,26.87,26.98,26.35,26.41,535200,24.41
2011-07-13,26.88,27.06,26.69,26.84,567000,24.81
2011-07-12,27.13,27.13,26.92,26.99,529700,24.95
2011-07-11,27.45,27.51,27.37,27.37,381800,25.30
2011-07-08,27.70,27.86,27.40,27.75,613000,25.65
2011-07-07,27.75,27.96,27.75,27.87,477000,25.76
2011-07-06,27.98,28.12,27.75,28.00,479700,25.88
2011-07-05,28.18,28.32,28.00,28.22,412400,26.08
2011-07-01,27.91,28.24,27.74,28.09,220700,25.96
2011-06-30,27.79,27.98,27.60,27.72,337100,25.62
2011-06-29,27.14,27.55,27.10,27.47,607500,25.39
2011-06-28,26.81,27.04,26.76,27.00,1571900,24.96
2011-06-27,28.03,28.38,27.78,28.18,670600,26.05
2011-06-24,28.39,28.79,28.39,28.55,306100,26.39
2011-06-23,28.29,28.46,27.96,28.40,369000,26.25
2011-06-22,28.77,29.04,28.65,28.87,224100,26.69
2011-06-21,28.24,28.85,28.16,28.79,291100,26.61
2011-06-20,27.98,28.25,27.92,28.06,77800,25.94
2011-06-17,28.84,29.01,28.71,28.79,323400,25.84
2011-06-16,28.68,28.70,28.40,28.53,237200,25.60
2011-06-15,28.68,28.83,28.23,28.76,802500,25.81
2011-06-14,29.34,29.82,29.34,29.59,232700,26.55
2011-06-13,29.63,29.68,29.30,29.33,346800,26.32
2011-06-10,30.10,30.11,29.68,29.80,228700,26.74
2011-06-09,29.90,30.23,29.73,30.22,210200,27.12
2011-06-08,30.05,30.06,29.70,29.76,181300,26.71
2011-06-07,29.58,30.23,29.56,29.98,297000,26.90
2011-06-06,29.81,29.93,29.50,29.55,289300,26.52
2011-06-03,29.54,29.86,29.51,29.68,228400,26.63
2011-06-02,29.90,30.03,29.44,29.64,435300,26.60
2011-06-01,30.09,30.09,29.68,29.71,382700,26.66
2011-05-31,30.25,30.45,30.15,30.34,230900,27.23
2011-05-27,30.05,30.12,29.99,30.07,246900,26.98
2011-05-26,29.67,29.99,29.60,29.99,437700,26.91
2011-05-25,30.26,30.37,29.91,30.23,465000,27.13
2011-05-24,31.11,31.11,30.58,30.67,186700,27.52
2011-05-23,30.70,30.70,30.41,30.63,220900,27.49
2011-05-20,30.99,31.18,30.71,30.99,167700,27.81
2011-05-19,30.83,30.98,30.75,30.81,180400,27.65
2011-05-18,30.59,31.02,30.48,30.90,199300,27.73
2011-05-17,30.62,30.77,30.30,30.40,432300,27.28
2011-05-16,30.99,31.18,30.80,31.00,527700,27.82
2011-05-13,31.98,31.98,31.52,31.58,163200,28.34
2011-05-12,31.50,31.89,31.38,31.86,166000,28.59
2011-05-11,32.00,32.06,31.70,31.78,164800,28.52
2011-05-10,31.90,32.00,31.82,31.88,147400,28.61
2011-05-09,31.42,31.88,31.26,31.82,164000,28.55
2011-05-06,31.65,31.68,31.22,31.23,161400,28.02
2011-05-05,31.52,31.72,31.16,31.24,277500,28.03
2011-05-04,31.72,31.72,31.40,31.59,169000,28.35
2011-05-03,31.95,31.95,31.39,31.57,235000,28.33
2011-05-02,32.20,32.20,31.61,31.70,253000,28.45
2011-04-29,32.30,32.30,32.01,32.10,260000,28.81
2011-04-28,31.71,32.05,31.67,31.99,189700,28.71
2011-04-27,31.66,31.67,31.31,31.62,170800,28.37
2011-04-26,31.32,31.45,31.10,31.22,177300,28.02
2011-04-25,31.50,31.61,31.14,31.20,243300,28.00
2011-04-21,31.48,31.50,31.32,31.45,154900,28.22
2011-04-20,31.35,31.63,31.08,31.10,209300,27.91
2011-04-19,30.79,30.80,30.63,30.77,133500,27.61
2011-04-18,30.85,31.05,30.51,30.80,293000,27.64
2011-04-15,31.26,31.29,31.08,31.10,172200,27.91
2011-04-14,31.44,31.65,31.23,31.26,269600,28.05
2011-04-13,31.61,32.08,31.46,31.56,218500,28.32
2011-04-12,31.45,31.45,30.85,31.20,705100,28.00
2011-04-11,32.37,32.45,32.13,32.37,250900,29.05
2011-04-08,32.83,32.83,32.14,32.16,419600,28.86
2011-04-07,32.78,32.94,32.50,32.80,353600,29.43
2011-04-06,33.89,34.00,33.82,33.92,476500,29.67
2011-04-05,33.79,33.95,33.70,33.84,341200,29.60
2011-04-04,33.31,33.81,33.31,33.56,322600,29.35
2011-04-01,33.20,33.50,33.13,33.39,311200,29.20
2011-03-31,33.14,33.20,32.88,33.12,209600,28.97
2011-03-30,33.13,33.13,32.93,33.08,249300,28.93
2011-03-29,32.39,32.83,32.26,32.80,263000,28.69
2011-03-28,32.10,32.42,32.10,32.33,239800,28.28
2011-03-25,32.22,32.60,32.22,32.34,156900,28.28
2011-03-24,31.89,32.36,31.78,32.28,230200,28.23
2011-03-23,32.63,32.67,32.02,32.36,194300,28.30
2011-03-22,32.44,32.81,32.32,32.62,299500,28.53
2011-03-21,32.16,32.20,31.89,32.09,245400,28.07
2011-03-18,31.44,31.64,31.20,31.47,229900,27.52
2011-03-17,31.28,31.30,30.69,30.96,268900,27.08
2011-03-16,31.29,31.56,30.65,30.72,349700,26.87
2011-03-15,30.48,31.21,30.40,31.06,405300,27.17
2011-03-14,31.38,31.47,31.15,31.39,202500,27.45
2011-03-11,31.25,31.54,31.20,31.53,181900,27.58
2011-03-10,31.43,31.57,31.26,31.35,195800,27.42
2011-03-09,31.30,31.58,31.26,31.52,177200,27.57
2011-03-08,30.84,31.70,30.84,31.42,252900,27.48
2011-03-07,30.92,31.46,30.78,30.78,375200,26.92
2011-03-04,30.99,31.02,30.65,30.85,405500,26.98
2011-03-03,30.43,30.90,30.43,30.88,249900,27.01
2011-03-02,30.18,30.56,30.12,30.53,267000,26.70
2011-03-01,30.43,30.43,30.06,30.14,320300,26.36
2011-02-28,30.72,30.79,30.43,30.62,269700,26.78
2011-02-25,30.62,30.95,30.60,30.75,263800,26.89
2011-02-24,30.04,30.50,29.91,30.49,335900,26.67
2011-02-23,30.88,30.90,30.00,30.35,338300,26.54
2011-02-22,31.37,31.57,30.57,30.92,434300,27.04
2011-02-18,32.09,32.12,31.85,31.96,157000,27.95
2011-02-17,32.04,32.20,31.95,32.05,149100,28.03
2011-02-16,31.72,32.09,31.60,31.92,207600,27.92
2011-02-15,31.87,31.94,31.45,31.57,287600,27.61
2011-02-14,32.03,32.70,31.90,32.32,279900,28.27
2011-02-11,31.70,31.99,31.40,31.94,296500,27.94
2011-02-10,31.47,31.71,31.18,31.71,159300,27.73
2011-02-09,31.75,31.78,31.40,31.40,168000,27.46
2011-02-08,31.36,31.72,31.32,31.65,277900,27.68
2011-02-07,30.92,31.43,30.72,31.10,264800,27.20
2011-02-04,30.65,30.67,30.42,30.59,222300,26.75
2011-02-03,30.51,30.82,30.40,30.77,199100,26.91
2011-02-02,30.48,30.76,30.40,30.48,336600,26.66
2011-02-01,30.25,30.63,30.08,30.46,409900,26.64
2011-01-31,30.59,30.90,29.50,30.54,948900,26.71
2011-01-28,32.30,32.30,31.30,31.32,372200,27.39
2011-01-27,32.35,32.35,32.16,32.24,144900,28.20
2011-01-26,32.20,32.56,32.16,32.44,145100,28.37
2011-01-25,32.25,32.50,32.15,32.45,156400,28.38
2011-01-24,32.51,32.52,32.26,32.31,325700,28.26
2011-01-21,32.44,32.67,32.44,32.47,473900,28.40
2011-01-20,32.35,32.45,31.76,32.42,315700,28.35
2011-01-19,32.40,32.57,32.30,32.40,211100,28.34
2011-01-18,32.98,33.00,32.32,32.38,371600,28.32
2011-01-14,32.70,32.99,32.70,32.92,180300,28.79
2011-01-13,33.26,33.30,32.62,32.65,327700,28.56
2011-01-12,33.14,33.35,32.95,33.30,224000,29.12
2011-01-11,33.29,33.49,33.04,33.07,192400,28.92
2011-01-10,33.14,33.14,32.81,33.08,163200,28.93
2011-01-07,33.24,33.25,32.95,33.20,104800,29.04
2011-01-06,33.75,33.75,33.01,33.19,169000,29.03
2011-01-05,33.38,33.64,33.31,33.60,166700,29.39
2011-01-04,33.30,33.38,33.12,33.23,135200,29.06
2011-01-03,33.12,33.19,33.04,33.15,162400,28.99
2010-12-31,32.61,32.75,32.51,32.69,103800,28.59
2010-12-30,32.36,32.70,32.30,32.61,117800,28.52
2010-12-29,32.00,32.29,31.75,32.23,142000,28.19
2010-12-28,32.17,32.17,31.86,31.96,97400,27.95
2010-12-27,32.00,32.18,31.65,32.08,121000,28.06
2010-12-23,31.75,32.07,31.63,31.92,172000,27.92
2010-12-22,31.68,31.85,31.56,31.71,197500,27.73
2010-12-21,31.85,31.95,31.63,31.86,273200,27.87
2010-12-20,32.07,32.20,30.80,31.71,689000,27.73
2010-12-17,32.33,32.52,32.21,32.48,137200,28.41
2010-12-16,32.51,32.51,32.05,32.36,303900,28.30
2010-12-15,33.00,33.07,32.34,32.52,380000,28.44
2010-12-14,33.25,33.79,33.20,33.24,273500,29.07
2010-12-13,33.88,33.89,33.33,33.33,469000,29.15
2010-12-10,34.98,35.11,34.92,35.04,311000,29.67
2010-12-09,34.73,34.98,34.70,34.91,223700,29.56
2010-12-08,34.87,34.96,34.57,34.89,237200,29.54
2010-12-07,35.11,35.11,34.72,34.77,291800,29.44
2010-12-06,34.80,34.94,34.56,34.85,211100,29.51
2010-12-03,34.00,34.67,34.00,34.54,191600,29.24
2010-12-02,33.65,34.22,33.65,34.14,174600,28.90
2010-12-01,33.58,33.70,33.51,33.65,241300,28.49
2010-11-30,33.23,33.59,33.10,33.35,244100,28.24
2010-11-29,33.61,33.77,33.40,33.56,309300,28.41
2010-11-26,34.00,34.17,33.95,34.06,86300,28.84
2010-11-24,33.85,34.29,33.85,34.25,269400,29.00
2010-11-23,34.37,34.37,33.73,33.80,336400,28.62
2010-11-22,35.08,35.35,34.76,34.80,459700,29.46
2010-11-19,34.30,34.37,34.08,34.36,123500,29.09
2010-11-18,33.97,34.30,33.92,34.23,171800,28.98
2010-11-17,33.29,33.85,33.20,33.64,272700,28.48
2010-11-16,33.34,33.34,32.91,32.91,229100,27.86
2010-11-15,33.43,33.81,33.43,33.58,238500,28.43
2010-11-12,33.47,33.66,33.16,33.39,190900,28.27
2010-11-11,33.60,33.75,33.45,33.67,193900,28.51
2010-11-10,33.36,33.97,33.27,33.97,166000,28.76
2010-11-09,33.43,33.65,33.27,33.27,164800,28.17
2010-11-08,33.08,33.38,32.98,33.30,148000,28.19
2010-11-05,33.06,33.12,32.76,32.95,188400,27.90
2010-11-04,32.82,33.15,32.65,33.15,353900,28.07
2010-11-03,32.61,33.17,32.50,33.14,297700,28.06
2010-11-02,33.39,33.48,32.72,32.84,473700,27.80
2010-11-01,33.46,33.64,33.20,33.51,192000,28.37
2010-10-29,33.94,34.00,33.75,33.79,148700,28.61
2010-10-28,33.68,34.10,33.58,34.03,219200,28.81
2010-10-27,33.30,33.35,33.00,33.29,196100,28.19
2010-10-26,33.51,33.64,33.40,33.50,213000,28.36
2010-10-25,34.04,34.14,33.78,33.88,289300,28.68
2010-10-22,33.29,33.48,33.14,33.41,206000,28.29
2010-10-21,32.83,33.29,32.76,33.20,281600,28.11
2010-10-20,32.47,32.55,32.29,32.43,234600,27.46
2010-10-19,32.21,32.44,32.05,32.16,249900,27.23
2010-10-18,32.31,32.65,32.27,32.38,168600,27.41
2010-10-15,32.49,32.49,32.07,32.33,105800,27.37
2010-10-14,32.09,32.29,32.01,32.21,133400,27.27
2010-10-13,31.73,32.17,31.65,31.98,170900,27.08
2010-10-12,31.37,31.71,31.25,31.63,126800,26.78
2010-10-11,31.62,31.75,31.51,31.74,121800,26.87
2010-10-08,31.25,31.53,31.04,31.47,141100,26.64
2010-10-07,31.36,31.38,31.01,31.32,174700,26.52
2010-10-06,31.65,31.75,31.32,31.54,168400,26.70
2010-10-05,31.33,31.60,31.25,31.52,272700,26.69
2010-10-04,30.92,30.93,30.65,30.78,163900,26.06
2010-10-01,30.51,30.69,30.40,30.62,159900,25.92
2010-09-30,30.38,30.51,30.20,30.37,126100,25.71
2010-09-29,30.18,30.28,30.01,30.16,127800,25.54
2010-09-28,30.05,30.17,29.84,30.06,124000,25.45
2010-09-27,29.76,30.07,29.72,29.99,168500,25.39
2010-09-24,29.38,29.65,29.30,29.53,156400,25.00
2010-09-23,29.03,29.28,29.02,29.22,112500,24.74
2010-09-22,29.26,29.38,29.02,29.20,196300,24.72
2010-09-21,29.22,29.44,29.04,29.34,267700,24.84
2010-09-20,28.41,28.96,28.41,28.81,278200,24.39
2010-09-17,28.62,28.71,28.44,28.60,328000,24.21
2010-09-16,28.75,28.82,28.53,28.62,43400,24.23
2010-09-15,29.01,29.45,28.96,29.45,446100,24.24
2010-09-14,28.85,29.11,28.75,29.01,286600,23.88
2010-09-13,28.71,29.00,28.60,28.95,291300,23.83
2010-09-10,28.32,28.43,28.24,28.43,168500,23.40
2010-09-09,28.22,28.39,28.10,28.31,208100,23.30
2010-09-08,27.99,28.29,27.99,28.20,275400,23.21
2010-09-07,27.76,27.98,27.58,27.97,279900,23.02
2010-09-03,27.40,27.50,27.31,27.49,328500,22.63
2010-09-02,27.48,27.50,27.17,27.25,440000,22.43
2010-09-01,27.85,27.89,27.25,27.50,538800,22.63
2010-08-31,27.93,27.93,27.41,27.44,331800,22.59
2010-08-30,28.20,28.34,28.00,28.06,177600,23.10
2010-08-27,27.75,28.39,27.67,28.39,160400,23.37
2010-08-26,28.35,28.35,27.73,27.73,166500,22.82
2010-08-25,28.19,28.30,27.89,28.23,215300,23.24
2010-08-24,28.71,28.76,28.36,28.49,184500,23.45
2010-08-23,29.06,29.30,28.91,28.94,188300,23.82
2010-08-20,29.05,29.07,28.87,28.87,112200,23.76
2010-08-19,29.20,29.29,29.00,29.07,127500,23.93
2010-08-18,29.14,29.34,29.05,29.27,122600,24.09
2010-08-17,29.31,29.58,29.07,29.22,167800,24.05
2010-08-16,28.81,29.21,28.68,29.05,124200,23.91
2010-08-13,28.68,28.70,28.44,28.52,123200,23.47
2010-08-12,28.24,28.70,28.17,28.70,120300,23.62
2010-08-11,28.51,28.63,28.25,28.35,186600,23.33
2010-08-10,29.17,29.28,28.93,29.04,187200,23.90
2010-08-09,29.10,29.42,29.05,29.36,194000,24.17
2010-08-06,28.75,28.89,28.40,28.86,211200,23.75
2010-08-05,28.91,28.96,28.70,28.75,242200,23.66
2010-08-04,28.47,28.50,28.18,28.34,238700,23.33
2010-08-03,28.15,28.28,27.81,28.02,132700,23.06
2010-08-02,28.19,28.39,28.05,28.25,129000,23.25
2010-07-30,27.40,27.71,27.34,27.60,129100,22.72
2010-07-29,27.55,27.71,27.30,27.51,138400,22.64
2010-07-28,27.38,27.50,27.19,27.31,117400,22.48
2010-07-27,27.54,27.54,27.12,27.20,134700,22.39
2010-07-26,26.95,27.40,26.85,27.40,155800,22.55
2010-07-23,26.70,26.94,26.53,26.85,168700,22.10
2010-07-22,26.53,26.77,26.50,26.58,254400,21.88
2010-07-21,26.23,26.38,26.01,26.07,127400,21.46
2010-07-20,25.38,25.90,25.38,25.80,132000,21.24
2010-07-19,25.63,25.74,25.47,25.59,141300,21.06
