Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,9.68,9.78,9.28,9.33,90000,9.33
2012-05-03,9.31,10.25,9.31,9.71,252100,9.71
2012-05-02,10.48,10.84,10.43,10.79,54200,10.79
2012-05-01,10.62,10.62,10.32,10.48,85000,10.48
2012-04-30,10.75,10.77,10.53,10.58,95000,10.58
2012-04-27,10.82,10.82,10.71,10.75,91100,10.75
2012-04-26,10.89,10.90,10.76,10.81,64400,10.81
2012-04-25,10.89,10.93,10.70,10.89,79500,10.89
2012-04-24,10.59,10.75,10.49,10.75,41000,10.75
2012-04-23,10.41,10.58,10.30,10.58,101300,10.58
2012-04-20,10.38,10.62,10.26,10.60,115200,10.60
2012-04-19,10.30,10.50,10.26,10.38,49100,10.38
2012-04-18,10.42,10.47,10.23,10.30,17700,10.30
2012-04-17,10.35,10.48,10.32,10.45,35600,10.45
2012-04-16,9.96,10.40,9.94,10.25,46500,10.25
2012-04-13,10.28,10.28,10.01,10.05,37200,10.05
2012-04-12,10.05,10.36,10.05,10.28,34500,10.28
2012-04-11,9.95,10.03,9.89,10.01,41200,10.01
2012-04-10,9.85,9.90,9.75,9.88,56500,9.88
2012-04-09,9.74,9.95,9.64,9.90,73200,9.90
2012-04-05,9.63,9.90,9.63,9.89,50300,9.89
2012-04-04,9.45,9.69,9.41,9.61,65700,9.61
2012-04-03,9.36,9.56,9.35,9.54,56900,9.54
2012-04-02,9.38,9.54,9.24,9.39,198100,9.39
2012-03-30,9.20,9.45,9.14,9.41,78600,9.41
2012-03-29,9.04,9.18,9.03,9.11,19800,9.11
2012-03-28,9.13,9.14,9.04,9.08,19500,9.08
2012-03-27,9.25,9.25,9.16,9.17,49100,9.17
2012-03-26,9.21,9.28,9.12,9.22,85700,9.22
2012-03-23,8.91,9.15,8.85,9.13,16400,9.13
2012-03-22,8.88,8.96,8.83,8.96,24200,8.96
2012-03-21,8.97,9.02,8.88,8.88,13400,8.88
2012-03-20,9.00,9.13,8.88,8.92,32400,8.92
2012-03-19,9.02,9.24,9.02,9.04,21100,9.04
2012-03-16,9.19,9.19,8.94,9.03,65500,9.03
