Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,21.94,21.94,21.54,21.75,58400,21.75
2012-05-03,21.99,22.07,21.60,22.00,91000,22.00
2012-05-02,21.65,22.08,21.59,22.05,73200,22.05
2012-05-01,22.03,22.55,21.85,21.87,69000,21.87
2012-04-30,22.67,22.67,21.99,22.07,45000,22.07
2012-04-27,22.29,22.69,21.95,22.68,43600,22.68
2012-04-26,22.40,22.44,22.23,22.29,36200,22.29
2012-04-25,22.34,22.80,22.32,22.52,43400,22.52
2012-04-24,21.67,22.06,21.58,22.05,44000,22.05
2012-04-23,21.79,21.97,21.28,21.70,67900,21.70
2012-04-20,22.36,22.48,21.97,22.25,62500,22.25
2012-04-19,22.06,22.45,21.53,21.83,46700,21.83
2012-04-18,22.52,22.53,21.95,22.06,35500,22.06
2012-04-17,22.06,22.89,22.06,22.66,52800,22.66
2012-04-16,21.54,21.98,21.54,21.78,45500,21.78
2012-04-13,21.93,22.10,21.29,21.34,63000,21.34
2012-04-12,21.74,22.18,21.70,22.10,37100,22.10
2012-04-11,21.57,21.82,21.43,21.81,55900,21.81
2012-04-10,21.95,21.99,21.23,21.34,97800,21.34
2012-04-09,22.00,22.20,21.84,21.91,55800,21.91
2012-04-05,22.46,22.61,22.35,22.53,22300,22.53
2012-04-04,23.01,23.03,22.44,22.63,52500,22.63
2012-04-03,23.71,23.71,23.16,23.36,90800,23.36
2012-04-02,23.31,23.77,23.14,23.76,50200,23.76
2012-03-30,23.62,23.67,23.31,23.44,88700,23.44
2012-03-29,23.18,23.46,22.97,23.36,42800,23.36
2012-03-28,23.22,23.46,22.41,23.42,49000,23.42
2012-03-27,23.38,23.45,23.12,23.17,38300,23.17
2012-03-26,23.12,23.55,23.00,23.42,60500,23.42
2012-03-23,22.61,22.95,22.34,22.90,30900,22.90
2012-03-22,22.67,22.68,22.38,22.64,34000,22.64
2012-03-21,23.18,23.26,22.81,23.00,31100,23.00
2012-03-20,23.32,23.57,22.96,23.18,32000,23.18
2012-03-19,23.18,23.85,22.87,23.53,57500,23.53
2012-03-16,22.65,23.40,22.45,23.19,210000,23.19
2012-03-15,22.63,22.70,22.12,22.46,79000,22.46
2012-03-14,22.70,23.01,22.41,22.57,42200,22.57
2012-03-13,22.11,22.85,21.94,22.76,49900,22.76
2012-03-12,21.98,21.98,21.64,21.84,22700,21.84
2012-03-09,21.60,22.29,21.49,21.95,45900,21.95
2012-03-08,21.49,21.68,21.21,21.60,27700,21.60
2012-03-07,21.24,21.60,21.13,21.42,32900,21.42
2012-03-06,21.64,21.78,21.11,21.18,59700,21.18
2012-03-05,21.06,22.04,21.04,21.97,80000,21.97
2012-03-02,21.93,21.93,21.10,21.18,97000,21.18
2012-03-01,22.24,22.60,21.81,21.93,70700,21.93
2012-02-29,22.64,22.85,22.05,22.06,141200,22.06
2012-02-28,23.24,23.36,22.67,22.85,87100,22.65
2012-02-27,23.15,23.25,22.84,23.17,82300,22.97
2012-02-24,23.79,23.79,23.40,23.45,19600,23.24
2012-02-23,23.16,23.79,23.12,23.74,49500,23.53
2012-02-22,23.71,23.83,23.01,23.14,78600,22.94
2012-02-21,23.83,23.92,23.52,23.78,35600,23.57
2012-02-17,23.98,23.99,23.61,23.85,36300,23.64
2012-02-16,22.92,23.89,22.91,23.86,49200,23.65
2012-02-15,23.06,23.18,22.68,22.98,59700,22.78
2012-02-14,23.15,23.15,22.66,22.98,29900,22.78
2012-02-13,23.01,23.24,22.78,23.22,25400,23.02
2012-02-10,23.01,23.18,22.69,22.72,26300,22.52
2012-02-09,23.81,23.81,23.28,23.29,25800,23.09
2012-02-08,23.71,24.03,23.47,23.78,29100,23.57
2012-02-07,23.64,24.02,23.64,23.71,24500,23.50
2012-02-06,24.00,24.20,23.70,23.81,33400,23.60
2012-02-03,23.78,24.32,23.68,24.19,96800,23.98
2012-02-02,23.41,23.66,23.12,23.51,65500,23.30
2012-02-01,22.75,23.50,22.56,23.44,108700,23.23
2012-01-31,23.01,23.24,22.50,22.63,68900,22.43
2012-01-30,22.28,23.00,22.12,22.95,68400,22.75
2012-01-27,22.03,22.55,22.03,22.44,55300,22.24
2012-01-26,23.00,23.00,21.55,22.16,92100,21.97
