Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,86.75,87.76,86.33,87.07,832800,87.07
2012-05-03,89.76,90.17,86.41,86.91,858300,86.91
2012-05-02,86.06,90.26,86.06,89.89,831400,89.89
2012-05-01,86.27,87.14,86.06,86.77,485900,86.77
2012-04-30,86.88,87.29,86.30,86.37,850900,86.37
2012-04-27,86.97,87.56,86.66,87.07,879600,87.07
2012-04-26,87.74,88.34,87.15,87.21,874900,87.21
2012-04-25,87.27,88.70,87.02,87.85,1190600,87.85
2012-04-24,87.69,87.82,86.68,86.92,1858800,86.92
2012-04-23,88.39,88.96,87.48,87.67,1523600,87.67
2012-04-20,90.13,92.62,89.24,89.61,2559700,89.61
2012-04-19,84.77,90.96,83.63,90.18,5034100,90.18
2012-04-18,83.86,85.30,82.21,85.23,12527800,85.23
2012-04-17,61.64,63.97,61.64,63.54,227500,63.54
2012-04-16,61.76,62.40,60.82,61.20,102200,61.20
2012-04-13,62.24,62.48,61.24,61.46,128400,61.46
2012-04-12,61.46,62.76,61.46,62.32,123400,62.32
2012-04-11,61.28,61.63,60.81,61.27,185700,61.27
2012-04-10,62.29,62.56,60.51,60.79,217800,60.79
2012-04-09,62.91,63.16,62.17,62.21,203100,62.21
2012-04-05,63.76,64.22,63.58,63.70,83900,63.70
2012-04-04,63.76,64.39,63.31,64.05,300300,64.05
2012-04-03,62.86,64.35,62.86,64.25,443200,64.25
2012-04-02,63.56,63.65,62.38,62.81,394800,62.81
2012-03-30,63.65,64.51,63.54,63.73,210700,63.73
2012-03-29,62.51,63.67,61.89,63.38,161100,63.38
2012-03-28,63.82,64.11,62.44,62.99,326700,62.99
2012-03-27,63.97,64.57,63.85,63.90,203700,63.90
2012-03-26,63.00,64.17,63.00,64.01,269500,64.01
2012-03-23,62.86,63.17,62.47,62.70,246600,62.70
2012-03-22,63.52,63.80,62.84,62.96,179700,62.96
2012-03-21,64.50,65.47,63.24,63.89,375800,63.89
2012-03-20,63.52,64.63,62.25,63.45,421000,63.45
2012-03-19,61.65,62.34,61.00,61.09,322200,61.09
2012-03-16,62.38,62.68,61.81,61.99,327900,61.99
2012-03-15,62.95,63.21,62.38,62.43,198300,62.43
2012-03-14,62.95,63.41,62.40,62.80,218700,62.80
2012-03-13,62.49,63.03,62.04,63.01,495700,63.01
2012-03-12,62.95,63.44,61.96,62.08,245500,62.08
2012-03-09,61.85,63.27,61.79,63.23,311200,63.23
2012-03-08,61.45,62.38,61.34,61.64,201200,61.64
2012-03-07,61.32,61.50,59.92,61.12,285500,61.12
2012-03-06,61.41,61.82,60.65,61.10,456700,61.10
2012-03-05,62.04,62.46,61.64,62.06,226000,62.06
