Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,90.41,90.75,89.10,89.36,115000,89.36
2012-05-03,93.26,93.90,91.17,91.18,115900,91.18
2012-05-02,93.23,93.49,92.55,93.12,63000,93.12
2012-05-01,93.36,94.38,92.01,93.81,97400,93.81
2012-04-30,92.96,93.15,92.16,92.93,58000,92.93
2012-04-27,93.37,93.71,93.06,93.24,62600,93.24
2012-04-26,93.29,94.04,93.18,93.37,50600,93.37
2012-04-25,94.37,94.37,92.44,93.47,45600,93.47
2012-04-24,92.65,93.84,91.99,92.84,113800,92.84
2012-04-23,91.45,92.90,91.19,92.65,78800,92.65
2012-04-20,93.93,95.25,92.37,92.64,73600,92.64
2012-04-19,93.64,94.78,93.19,93.88,68800,93.88
2012-04-18,93.86,94.91,93.60,93.78,88300,93.78
2012-04-17,94.53,95.47,93.72,94.25,79200,94.25
2012-04-16,95.01,95.01,93.69,93.77,90100,93.77
2012-04-13,95.61,96.00,94.80,94.83,86400,94.83
2012-04-12,94.22,96.53,94.22,95.97,123500,95.97
2012-04-11,94.41,94.73,94.06,94.25,103600,94.25
2012-04-10,94.73,95.02,92.80,93.67,173900,93.67
2012-04-09,94.03,95.99,94.03,95.07,102700,95.07
2012-04-05,94.58,95.94,94.58,95.36,111600,95.36
2012-04-04,95.15,95.61,94.81,95.01,112200,95.01
2012-04-03,96.06,96.65,95.67,96.05,136100,96.05
2012-04-02,95.41,96.62,95.41,96.25,126700,96.25
2012-03-30,95.75,96.51,95.30,95.78,104100,95.78
2012-03-29,94.64,95.80,94.47,95.56,81700,95.56
2012-03-28,95.45,95.62,94.73,95.09,137700,95.09
2012-03-27,96.28,96.31,95.13,95.64,87100,95.64
2012-03-26,96.52,96.88,95.81,96.22,81100,96.22
2012-03-23,94.94,96.34,94.94,96.04,76200,96.04
2012-03-22,94.28,95.63,94.03,95.14,152100,95.14
2012-03-21,96.33,96.60,94.95,95.24,118500,95.24
2012-03-20,96.66,96.69,95.52,95.96,49000,95.96
2012-03-19,98.43,98.94,97.60,97.76,96200,97.76
2012-03-16,97.18,99.05,97.18,98.43,185700,98.43
2012-03-15,96.05,97.26,95.32,96.69,96500,96.69
2012-03-14,97.35,97.92,96.02,96.03,72300,96.03
2012-03-13,96.63,97.59,96.08,97.57,77500,97.57
2012-03-12,96.87,97.10,95.23,96.01,93800,96.01
2012-03-09,96.58,97.45,96.04,96.85,97400,96.85
2012-03-08,96.45,96.88,95.75,96.59,121900,96.59
2012-03-07,95.49,96.31,94.93,96.10,81600,96.10
2012-03-06,96.44,96.44,94.93,95.50,88400,95.50
2012-03-05,98.23,98.23,96.73,97.55,156400,97.55
2012-03-02,98.56,98.93,97.98,98.34,122900,98.34
2012-03-01,99.06,99.85,98.53,99.06,179000,99.06
2012-02-29,99.33,99.96,98.84,98.88,137400,98.88
2012-02-28,98.99,99.89,98.63,99.02,129700,99.02
2012-02-27,98.16,100.00,97.59,99.22,118400,99.22
2012-02-24,99.18,99.90,98.73,98.85,137500,98.85
2012-02-23,98.41,99.44,98.20,99.31,77100,99.31
2012-02-22,98.93,99.67,98.54,98.77,118600,98.77
2012-02-21,98.50,99.41,98.11,98.84,112000,98.84
2012-02-17,97.80,99.22,96.73,98.49,136900,98.49
2012-02-16,96.16,99.24,96.16,98.90,133700,98.90
2012-02-15,98.50,98.50,96.00,96.31,119200,96.31
2012-02-14,97.80,98.75,97.43,98.58,77100,98.58
2012-02-13,97.00,98.43,96.58,98.18,158500,98.18
2012-02-10,95.19,96.99,95.08,96.98,92100,96.98
