Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,12.63,12.66,12.40,12.55,70400,12.55
2012-05-03,12.75,12.92,12.55,12.71,71900,12.71
2012-05-02,12.61,12.86,12.57,12.79,84000,12.79
2012-05-01,12.97,13.08,12.72,12.75,64000,12.75
2012-04-30,13.22,13.22,12.89,12.92,58100,12.92
2012-04-27,13.08,13.29,12.88,13.28,79000,13.28
2012-04-26,12.93,13.14,12.90,13.07,41000,13.07
2012-04-25,12.97,13.12,12.87,13.01,84700,13.01
2012-04-24,12.75,12.92,12.75,12.87,61600,12.87
2012-04-23,12.79,12.84,12.66,12.76,59000,12.76
2012-04-20,13.24,13.24,13.02,13.09,81400,13.09
2012-04-19,13.16,13.20,12.90,13.07,76200,13.07
2012-04-18,13.00,13.19,12.97,13.15,73600,13.15
2012-04-17,13.14,13.29,13.01,13.13,121400,13.13
2012-04-16,12.92,13.07,12.77,13.03,110700,13.03
2012-04-13,12.98,12.99,12.75,12.84,102700,12.84
2012-04-12,13.01,13.15,12.89,13.03,129000,13.03
2012-04-11,12.71,12.97,12.71,12.97,90900,12.97
2012-04-10,12.91,12.99,12.43,12.55,81600,12.55
2012-04-09,12.69,13.11,12.60,12.89,135900,12.89
2012-04-05,12.86,13.02,12.86,12.98,37700,12.98
2012-04-04,13.00,13.10,12.83,12.90,199300,12.90
2012-04-03,13.26,13.26,13.10,13.17,78100,13.17
2012-04-02,13.09,13.35,13.02,13.30,151800,13.30
2012-03-30,13.24,13.24,13.04,13.11,104100,13.11
2012-03-29,13.10,13.16,13.00,13.12,90200,13.12
2012-03-28,13.00,13.16,12.93,13.12,125200,13.12
2012-03-27,13.03,13.10,12.96,12.98,241200,12.98
2012-03-26,12.92,13.03,12.86,13.00,81700,13.00
2012-03-23,12.75,12.84,12.62,12.76,92900,12.76
2012-03-22,12.77,13.02,12.70,12.85,55700,12.85
2012-03-21,12.96,13.12,12.86,12.94,54500,12.94
2012-03-20,12.93,13.10,12.89,12.93,88700,12.93
2012-03-19,13.00,13.20,12.94,13.06,141400,13.06
2012-03-16,13.08,13.08,12.89,13.00,121900,13.00
2012-03-15,13.03,13.10,12.89,13.06,88800,13.06
2012-03-14,13.08,13.13,12.82,12.99,102900,12.99
2012-03-13,12.80,13.11,12.74,13.11,123300,13.11
2012-03-12,12.74,12.77,12.55,12.71,67100,12.71
2012-03-09,12.40,12.80,12.40,12.72,104700,12.72
2012-03-08,12.18,12.44,11.99,12.38,92500,12.38
2012-03-07,11.97,12.24,11.88,12.11,82200,12.11
2012-03-06,11.98,12.16,11.75,11.85,125200,11.85
2012-03-05,12.00,12.20,11.86,12.15,91800,12.15
2012-03-02,12.36,12.43,12.00,12.03,159500,12.03
2012-03-01,12.30,12.75,12.27,12.36,137300,12.36
2012-02-29,12.50,12.54,12.26,12.26,151900,12.26
2012-02-28,12.41,12.47,12.26,12.44,90600,12.44
2012-02-27,12.30,12.98,12.27,12.37,60600,12.37
2012-02-24,12.72,12.72,12.39,12.39,95000,12.39
2012-02-23,12.34,12.77,12.34,12.75,114600,12.75
2012-02-22,12.67,12.71,12.31,12.35,66400,12.35
2012-02-21,12.50,12.73,12.33,12.62,108400,12.62
2012-02-17,12.45,12.66,12.45,12.50,194000,12.50
2012-02-16,12.21,12.63,12.09,12.44,193600,12.44
2012-02-15,12.59,12.60,12.30,12.30,212400,12.21
2012-02-14,12.80,12.86,12.35,12.59,103000,12.49
2012-02-13,13.08,13.08,12.71,12.86,101400,12.76
2012-02-10,12.77,13.04,12.77,12.87,140400,12.77
2012-02-09,12.88,13.02,12.66,12.93,260400,12.83
2012-02-08,12.28,12.54,12.23,12.52,132900,12.42
2012-02-07,12.72,12.93,12.07,12.26,325600,12.17
2012-02-06,13.13,13.20,12.78,12.98,120000,12.88
2012-02-03,13.55,14.10,13.01,13.26,395800,13.16
2012-02-02,13.22,13.43,13.08,13.24,114000,13.14
2012-02-01,12.61,13.23,12.37,13.16,116500,13.06
2012-01-31,12.63,12.64,12.28,12.49,61200,12.39
2012-01-30,12.43,12.72,12.43,12.51,83300,12.41
2012-01-27,12.29,12.64,12.00,12.53,53600,12.43
2012-01-26,13.07,13.10,12.29,12.35,133800,12.25
2012-01-25,13.21,13.36,12.99,13.01,86700,12.91
2012-01-24,12.83,13.30,12.76,13.24,66000,13.14
2012-01-23,13.07,13.19,12.81,12.97,63600,12.87
2012-01-20,12.70,13.05,12.70,13.01,44100,12.91
2012-01-19,12.72,12.83,12.55,12.76,56900,12.66
2012-01-18,12.15,12.59,11.94,12.56,76100,12.46
2012-01-17,12.24,12.38,12.08,12.16,118800,12.07
2012-01-13,12.09,12.25,12.01,12.18,107100,12.09
2012-01-12,12.04,12.25,11.95,12.24,83300,12.15
2012-01-11,11.76,12.07,11.63,12.06,104400,11.97
2012-01-10,11.98,12.08,11.76,11.81,174400,11.72
2012-01-09,12.24,12.31,11.55,11.77,313000,11.68
2012-01-06,12.77,13.01,12.66,12.77,63100,12.67
2012-01-05,12.60,12.91,12.42,12.77,73200,12.67
2012-01-04,12.73,12.83,12.62,12.65,112000,12.55
2012-01-03,12.86,13.10,12.72,12.84,97200,12.74
2011-12-30,12.78,12.85,12.50,12.51,77400,12.41
2011-12-29,12.73,12.91,12.69,12.80,68500,12.70
2011-12-28,13.10,13.11,12.61,12.65,61400,12.55
2011-12-27,13.04,13.15,12.89,13.10,62000,13.00
2011-12-23,13.26,13.26,12.98,13.07,70500,12.97
2011-12-22,13.27,13.41,13.15,13.19,105400,13.09
2011-12-21,13.02,13.28,12.89,13.17,71100,13.07
2011-12-20,12.68,13.07,12.68,13.05,119200,12.95
2011-12-19,12.74,12.85,12.26,12.33,88900,12.23
2011-12-16,12.87,12.88,12.30,12.65,276100,12.55
2011-12-15,12.99,12.99,12.68,12.76,78700,12.66
2011-12-14,12.51,12.77,12.35,12.74,98100,12.64
2011-12-13,13.05,13.22,12.54,12.64,89400,12.54
2011-12-12,12.72,12.90,12.59,12.86,94600,12.76
2011-12-09,12.62,13.34,12.62,13.00,140200,12.90
2011-12-08,12.79,12.91,12.46,12.49,90500,12.39
2011-12-07,12.55,13.02,12.25,12.98,134400,12.88
2011-12-06,12.52,12.73,12.45,12.64,139300,12.54
2011-12-05,12.25,12.69,11.83,12.51,123000,12.41
2011-12-02,11.97,12.37,11.89,11.96,77600,11.87
2011-12-01,11.82,12.12,11.71,11.81,202900,11.72
2011-11-30,11.72,12.07,11.62,11.83,250600,11.74
2011-11-29,11.23,11.23,10.95,11.04,69000,10.95
2011-11-28,11.11,11.30,10.87,11.27,105200,11.18
2011-11-25,10.77,11.03,10.50,10.60,54500,10.52
2011-11-23,11.12,11.19,10.80,10.82,76000,10.74
2011-11-22,11.70,11.75,11.27,11.30,55800,11.21
2011-11-21,11.57,11.85,11.42,11.68,69300,11.59
2011-11-18,11.68,11.94,11.40,11.88,93900,11.79
2011-11-17,11.79,11.87,11.50,11.65,97800,11.56
2011-11-16,12.23,12.50,11.82,11.83,90900,11.74
2011-11-15,11.97,12.49,11.83,12.42,75900,12.32
2011-11-14,12.45,12.45,11.91,12.07,130200,11.98
2011-11-11,12.29,12.70,12.19,12.59,89700,12.40
2011-11-10,12.20,12.36,11.60,12.07,83900,11.89
2011-11-09,12.03,12.25,11.90,11.91,137800,11.73
2011-11-08,12.38,12.52,11.99,12.48,93500,12.29
2011-11-07,12.31,12.35,11.88,12.28,49300,12.09
2011-11-04,12.69,12.96,12.09,12.39,80800,12.20
2011-11-03,12.17,12.73,11.60,12.66,127200,12.47
2011-11-02,11.90,12.00,11.57,11.95,75000,11.77
2011-11-01,11.79,12.12,11.19,11.60,71200,11.42
2011-10-31,12.62,12.90,12.42,12.49,66500,12.30
2011-10-28,13.01,13.26,12.69,12.91,111300,12.71
2011-10-27,12.63,13.59,12.39,13.09,212100,12.89
2011-10-26,11.73,12.14,11.45,12.02,78400,11.84
2011-10-25,12.01,12.24,11.42,11.45,73000,11.28
2011-10-24,11.75,12.25,11.71,12.15,73900,11.97
2011-10-21,12.04,12.05,11.38,11.70,113500,11.52
2011-10-20,11.94,11.94,11.51,11.77,84100,11.59
2011-10-19,12.29,12.45,11.75,11.89,141800,11.71
2011-10-18,11.90,12.48,11.77,12.37,105300,12.18
2011-10-17,11.79,12.05,11.55,11.76,143600,11.58
2011-10-14,11.85,11.96,11.34,11.93,111900,11.75
2011-10-13,11.41,11.68,11.18,11.66,82600,11.48
2011-10-12,11.47,11.72,11.37,11.55,157200,11.37
2011-10-11,11.34,11.40,10.87,11.31,148400,11.14
2011-10-10,10.79,11.14,10.52,11.01,105900,10.84
2011-10-07,11.02,11.02,10.30,10.47,113500,10.31
2011-10-06,11.01,11.19,10.66,11.01,174600,10.84
2011-10-05,10.86,11.20,10.52,11.04,143900,10.87
2011-10-04,9.40,10.94,9.40,10.89,189500,10.72
2011-10-03,9.87,10.28,9.46,9.48,251400,9.34
2011-09-30,10.37,10.49,9.97,10.01,94800,9.86
2011-09-29,10.52,10.78,10.11,10.62,75700,10.46
2011-09-28,10.72,10.85,10.15,10.17,90900,10.02
2011-09-27,10.49,11.17,10.42,10.68,126700,10.52
2011-09-26,10.24,10.42,9.87,10.17,155100,10.02
2011-09-23,9.94,10.22,9.77,10.12,148600,9.97
2011-09-22,9.72,10.18,9.61,9.91,270200,9.76
2011-09-21,10.70,10.89,10.07,10.10,73200,9.95
2011-09-20,11.09,11.21,10.71,10.71,120300,10.55
2011-09-19,11.39,11.39,10.84,11.01,123400,10.84
2011-09-16,11.73,11.79,11.07,11.73,177400,11.55
2011-09-15,11.69,11.69,11.24,11.63,110700,11.45
2011-09-14,11.60,11.80,11.30,11.59,133000,11.41
2011-09-13,11.31,11.53,11.09,11.44,138800,11.27
2011-09-12,10.89,11.22,10.50,11.19,139600,11.02
2011-09-09,10.87,11.27,10.83,11.02,237400,10.85
2011-09-08,11.08,11.41,10.82,11.00,121600,10.83
2011-09-07,10.81,11.27,10.75,11.21,199000,11.04
2011-09-06,10.27,10.62,10.18,10.52,178600,10.36
2011-09-02,11.05,11.17,10.72,10.74,110900,10.58
2011-09-01,11.89,11.95,11.34,11.44,163800,11.27
2011-08-31,12.15,12.26,11.61,11.78,228400,11.60
2011-08-30,12.14,12.14,11.52,12.03,259800,11.85
2011-08-29,11.83,12.65,11.73,12.64,82900,12.45
2011-08-26,11.25,11.74,10.96,11.65,104500,11.47
2011-08-25,11.70,11.95,11.16,11.39,120800,11.22
2011-08-24,10.96,11.59,10.85,11.56,89700,11.38
2011-08-23,10.52,11.17,10.42,10.99,207900,10.82
2011-08-22,10.56,10.80,10.30,10.51,181900,10.35
2011-08-19,10.49,10.95,10.20,10.29,188500,10.13
2011-08-18,11.17,11.22,10.53,10.74,152800,10.58
2011-08-17,11.96,12.30,11.53,11.70,169900,11.52
2011-08-16,11.88,12.00,11.44,11.84,211200,11.66
2011-08-15,11.80,12.08,11.60,12.04,144300,11.86
2011-08-12,12.42,12.42,11.56,11.66,231200,11.48
2011-08-11,11.93,12.66,11.71,12.38,193400,12.10
2011-08-10,11.93,12.55,11.49,11.79,210000,11.52
2011-08-09,11.84,12.68,10.85,12.49,313500,12.21
2011-08-08,12.04,12.57,11.38,11.39,268500,11.13
2011-08-05,13.43,13.43,12.29,12.67,137700,12.38
2011-08-04,14.14,14.14,13.19,13.22,306100,12.92
2011-08-03,13.42,14.66,13.08,14.41,446600,14.08
2011-08-02,13.50,13.65,12.84,12.88,203900,12.59
2011-08-01,13.88,13.88,13.42,13.49,120600,13.18
2011-07-29,13.27,13.92,13.27,13.62,76200,13.31
2011-07-28,13.53,13.83,13.46,13.50,59100,13.19
2011-07-27,13.94,14.10,13.47,13.53,115700,13.22
