Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,6.01,6.09,5.80,5.86,354400,5.86
2012-05-03,6.21,6.23,5.91,6.09,543400,6.09
2012-05-02,5.98,6.25,5.90,6.24,403700,6.24
2012-05-01,5.89,6.40,5.84,6.08,568500,6.08
2012-04-30,5.86,5.93,5.75,5.81,232000,5.81
2012-04-27,5.84,5.92,5.68,5.85,281100,5.85
2012-04-26,5.40,5.85,5.36,5.79,441100,5.79
2012-04-25,5.45,5.49,5.25,5.40,334000,5.40
2012-04-24,5.20,5.36,5.16,5.34,147800,5.34
2012-04-23,5.07,5.27,5.05,5.18,278300,5.18
2012-04-20,5.19,5.28,5.13,5.21,339800,5.21
2012-04-19,5.33,5.38,5.08,5.10,376900,5.10
2012-04-18,5.42,5.48,5.26,5.31,227100,5.31
2012-04-17,5.43,5.56,5.43,5.49,331700,5.49
2012-04-16,5.62,5.69,5.35,5.35,327500,5.35
2012-04-13,5.71,5.72,5.55,5.56,211200,5.56
2012-04-12,5.57,5.80,5.57,5.77,220400,5.77
2012-04-11,5.61,5.71,5.52,5.59,219800,5.59
2012-04-10,5.72,5.75,5.50,5.52,334400,5.52
2012-04-09,5.76,5.85,5.66,5.75,265600,5.75
2012-04-05,5.97,6.12,5.90,5.93,213200,5.93
2012-04-04,6.25,6.26,6.00,6.00,556700,6.00
2012-04-03,6.43,6.45,6.35,6.39,268000,6.39
2012-04-02,6.28,6.45,6.23,6.43,251600,6.43
2012-03-30,6.39,6.42,6.20,6.29,158200,6.29
2012-03-29,6.28,6.33,6.11,6.30,279400,6.30
2012-03-28,6.48,6.49,6.25,6.36,305100,6.36
2012-03-27,6.77,6.80,6.47,6.51,308000,6.51
2012-03-26,6.89,6.93,6.73,6.81,193400,6.81
2012-03-23,6.79,6.82,6.61,6.77,388900,6.77
2012-03-22,6.80,6.84,6.70,6.78,307200,6.78
2012-03-21,6.99,7.00,6.80,6.95,348400,6.95
2012-03-20,7.06,7.12,6.95,6.99,393700,6.99
2012-03-19,7.23,7.35,7.05,7.17,584800,7.17
2012-03-16,6.99,7.25,6.92,7.23,598600,7.23
2012-03-15,7.32,7.46,6.91,6.94,1300900,6.94
2012-03-14,6.75,6.93,6.58,6.78,571700,6.78
2012-03-13,6.86,6.87,6.63,6.75,406800,6.75
2012-03-12,6.84,6.88,6.70,6.77,209500,6.77
2012-03-09,6.69,6.98,6.67,6.87,299400,6.87
2012-03-08,6.59,6.73,6.49,6.67,223800,6.67
2012-03-07,6.34,6.62,6.34,6.50,371500,6.50
2012-03-06,6.60,6.75,6.24,6.27,583200,6.27
2012-03-05,6.88,7.02,6.66,6.76,327100,6.76
2012-03-02,7.30,7.39,6.85,6.94,436800,6.94
2012-03-01,7.14,7.48,7.06,7.30,290000,7.30
2012-02-29,7.43,7.50,7.06,7.06,496400,7.06
2012-02-28,7.54,7.55,7.31,7.39,319900,7.39
2012-02-27,7.54,7.69,7.42,7.51,319200,7.51
2012-02-24,7.83,7.83,7.57,7.64,304500,7.64
2012-02-23,7.30,7.68,7.18,7.65,424100,7.65
2012-02-22,7.65,7.69,7.11,7.25,614300,7.25
2012-02-21,7.73,7.85,7.57,7.64,740500,7.64
2012-02-17,7.83,7.95,7.63,7.71,772800,7.71
2012-02-16,7.16,7.87,7.10,7.72,813800,7.72
2012-02-15,7.05,7.16,6.95,7.09,318400,7.09
2012-02-14,6.95,7.05,6.86,6.96,252000,6.96
2012-02-13,6.84,6.95,6.75,6.92,318600,6.92
2012-02-10,6.67,6.72,6.58,6.69,306000,6.69
2012-02-09,6.75,6.83,6.65,6.78,180300,6.78
2012-02-08,6.75,6.85,6.57,6.75,281100,6.75
2012-02-07,6.71,6.78,6.50,6.69,266100,6.69
2012-02-06,6.59,6.78,6.42,6.72,361500,6.72
2012-02-03,6.31,6.71,6.24,6.63,501400,6.63
2012-02-02,6.06,6.24,5.96,6.20,366200,6.20
2012-02-01,6.05,6.14,5.97,6.06,329600,6.06
2012-01-31,6.02,6.10,5.90,6.00,236500,6.00
2012-01-30,5.83,6.01,5.83,5.99,191900,5.99
2012-01-27,5.77,5.95,5.75,5.90,169500,5.90
2012-01-26,6.06,6.15,5.75,5.83,462900,5.83
2012-01-25,5.85,6.00,5.77,5.99,211000,5.99
2012-01-24,5.63,5.90,5.62,5.88,335800,5.88
2012-01-23,5.74,5.75,5.60,5.70,132500,5.70
2012-01-20,5.70,5.71,5.50,5.62,257600,5.62
2012-01-19,5.62,5.79,5.61,5.71,323400,5.71
2012-01-18,5.41,5.61,5.40,5.60,341800,5.60
2012-01-17,5.49,5.50,5.30,5.41,295200,5.41
2012-01-13,5.15,5.42,5.09,5.40,422900,5.40
2012-01-12,5.44,5.44,5.16,5.20,351200,5.20
2012-01-11,5.55,5.59,5.39,5.43,252500,5.43
2012-01-10,5.55,5.65,5.50,5.57,466400,5.57
2012-01-09,5.51,5.53,5.36,5.47,384800,5.47
2012-01-06,5.64,5.68,5.45,5.47,240600,5.47
2012-01-05,5.37,5.66,5.28,5.66,297300,5.66
2012-01-04,5.37,5.45,5.24,5.40,252100,5.40
2012-01-03,5.15,5.44,5.14,5.41,457400,5.41
2011-12-30,5.09,5.12,4.95,4.97,340400,4.97
2011-12-29,5.05,5.17,4.99,5.10,161200,5.10
2011-12-28,5.24,5.25,4.96,5.05,211200,5.05
2011-12-27,5.20,5.27,5.19,5.23,130700,5.23
2011-12-23,5.28,5.37,5.20,5.22,114500,5.22
2011-12-22,5.28,5.40,5.26,5.30,266600,5.30
2011-12-21,4.96,5.28,4.96,5.25,397100,5.25
2011-12-20,4.84,5.05,4.78,5.02,305800,5.02
2011-12-19,4.66,4.82,4.62,4.66,323200,4.66
2011-12-16,4.75,4.77,4.57,4.61,421100,4.61
2011-12-15,4.75,4.79,4.63,4.69,263900,4.69
2011-12-14,4.63,4.68,4.40,4.64,499200,4.64
2011-12-13,4.73,4.86,4.50,4.51,311700,4.51
2011-12-12,4.75,4.76,4.56,4.64,423100,4.64
2011-12-09,4.82,4.92,4.77,4.79,417000,4.79
2011-12-08,4.91,5.02,4.75,4.77,332400,4.77
2011-12-07,5.04,5.09,4.94,5.00,368200,5.00
2011-12-06,5.12,5.20,5.03,5.11,262000,5.11
2011-12-05,5.24,5.25,5.05,5.12,286600,5.12
2011-12-02,5.15,5.25,5.04,5.08,281900,5.08
2011-12-01,5.36,5.38,4.99,5.03,492600,5.03
2011-11-30,5.17,5.37,5.12,5.37,436600,5.37
2011-11-29,4.74,5.04,4.71,4.86,548600,4.86
2011-11-28,4.48,4.84,4.48,4.66,366700,4.66
2011-11-25,4.34,4.51,4.27,4.27,147000,4.27
2011-11-23,4.60,4.65,4.37,4.37,343600,4.37
2011-11-22,4.67,4.86,4.67,4.67,194000,4.67
2011-11-21,4.80,4.81,4.50,4.67,380000,4.67
2011-11-18,5.07,5.15,4.90,4.95,199800,4.95
2011-11-17,5.20,5.28,5.00,5.05,378100,5.05
2011-11-16,5.31,5.49,5.23,5.23,318400,5.23
2011-11-15,5.19,5.45,5.14,5.40,266500,5.40
2011-11-14,5.41,5.48,5.16,5.24,284400,5.24
2011-11-11,5.50,5.63,5.44,5.49,339400,5.49
2011-11-10,5.42,5.56,5.24,5.43,299500,5.43
2011-11-09,5.50,5.61,5.28,5.28,413100,5.28
2011-11-08,5.67,5.78,5.52,5.70,351900,5.70
2011-11-07,5.63,5.82,5.43,5.62,539900,5.62
2011-11-04,5.59,5.81,5.46,5.67,648900,5.67
