Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,55.61,55.93,54.81,55.43,702200,55.43
2012-05-03,56.40,56.63,55.36,55.75,656000,55.75
2012-05-02,56.43,56.56,55.83,56.32,455200,56.32
2012-05-01,55.80,57.70,55.74,56.68,808600,56.68
2012-04-30,57.91,58.12,56.91,57.06,463800,57.06
2012-04-27,58.08,58.24,57.66,58.07,353500,58.07
2012-04-26,57.10,58.07,56.75,57.83,250700,57.83
2012-04-25,56.45,57.44,56.39,57.28,345700,57.28
2012-04-24,56.00,56.66,55.68,55.80,382000,55.80
2012-04-23,56.22,56.25,55.48,56.06,267400,56.06
2012-04-20,57.17,57.50,56.42,56.79,398900,56.79
2012-04-19,56.65,57.41,56.38,57.07,507100,57.07
2012-04-18,56.52,56.92,56.26,56.78,403400,56.78
2012-04-17,55.89,56.99,55.86,56.90,308000,56.90
2012-04-16,55.77,55.98,55.31,55.69,250000,55.69
2012-04-13,56.03,56.28,55.55,55.64,243100,55.64
2012-04-12,55.70,56.42,55.47,56.15,699000,56.15
2012-04-11,56.73,56.94,55.63,55.72,832600,55.72
2012-04-10,57.35,57.52,56.11,56.23,480500,56.23
2012-04-09,57.41,57.47,56.89,57.33,320800,57.33
2012-04-05,57.88,58.11,57.60,58.02,294500,58.02
2012-04-04,57.54,58.14,57.26,58.03,459400,58.03
2012-04-03,58.15,58.31,57.54,57.95,393200,57.95
2012-04-02,57.63,58.87,57.39,58.19,657400,58.19
2012-03-30,57.21,57.78,56.76,57.65,518100,57.65
2012-03-29,56.38,57.16,56.33,56.83,456200,56.83
2012-03-28,56.96,56.96,56.20,56.82,332500,56.62
2012-03-27,57.36,57.47,56.91,56.98,438400,56.78
2012-03-26,57.01,57.71,56.88,57.23,403500,57.03
2012-03-23,56.55,56.78,55.78,56.53,242200,56.33
2012-03-22,55.56,56.46,55.42,56.37,563000,56.17
2012-03-21,55.21,56.13,55.00,55.89,547600,55.69
2012-03-20,55.00,55.17,54.48,55.00,833500,54.81
2012-03-19,56.04,56.17,55.19,55.23,719800,55.04
2012-03-16,56.10,56.50,55.93,55.98,881600,55.78
2012-03-15,56.60,56.60,56.09,56.20,389400,56.00
2012-03-14,56.84,56.99,56.43,56.46,389200,56.26
2012-03-13,56.94,57.10,56.72,57.00,677700,56.80
2012-03-12,57.42,57.72,56.88,56.93,255000,56.73
2012-03-09,56.54,57.51,56.34,57.30,268700,57.10
2012-03-08,56.50,56.78,56.00,56.44,317000,56.24
2012-03-07,56.00,56.67,55.90,56.32,400100,56.12
2012-03-06,56.82,57.27,55.69,55.93,303700,55.73
2012-03-05,57.37,57.62,57.19,57.41,291000,57.21
2012-03-02,57.62,58.23,57.09,57.35,216300,57.15
2012-03-01,57.62,58.38,57.54,57.84,399800,57.64
2012-02-29,56.29,58.02,56.19,57.35,714500,57.15
2012-02-28,56.80,57.04,55.97,56.11,511500,55.91
2012-02-27,56.40,57.40,56.34,56.73,341200,56.53
2012-02-24,57.37,57.48,56.79,56.87,235200,56.67
2012-02-23,57.17,57.40,56.78,57.24,294900,57.04
2012-02-22,57.19,57.64,57.00,57.04,294300,56.84
2012-02-21,57.02,57.59,56.94,57.27,284400,57.07
2012-02-17,57.25,57.49,56.75,57.03,286400,56.83
2012-02-16,56.66,57.46,56.56,57.09,245400,56.89
2012-02-15,57.72,58.10,56.60,56.80,433300,56.60
2012-02-14,57.10,57.57,56.83,57.56,535200,57.36
2012-02-13,57.35,58.10,57.05,57.08,671900,56.88
2012-02-10,55.90,57.56,55.77,56.88,513000,56.68
2012-02-09,55.00,57.60,53.30,57.31,886400,57.11
2012-02-08,56.13,56.66,55.93,56.42,442300,56.22
2012-02-07,56.15,56.22,55.67,55.95,516700,55.75
2012-02-06,55.80,56.59,55.65,56.28,459700,56.08
2012-02-03,56.72,56.92,55.98,56.02,463900,55.82
2012-02-02,56.62,56.98,55.96,56.29,334100,56.09
2012-02-01,55.95,56.56,55.60,56.51,536300,56.31
2012-01-31,55.52,55.91,55.13,55.49,594000,55.29
