Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,53.65,53.92,52.36,52.86,511300,52.86
2012-05-03,55.20,55.24,53.74,54.15,558100,54.15
2012-05-02,55.06,55.29,54.56,55.08,287000,55.08
2012-05-01,55.43,56.90,55.43,55.54,412300,55.54
2012-04-30,55.98,56.45,55.66,55.66,524100,55.66
2012-04-27,56.46,56.85,56.07,56.55,474000,56.55
2012-04-26,56.77,56.77,55.86,56.49,719100,56.31
2012-04-25,53.50,57.44,53.50,56.81,1172400,56.63
2012-04-24,52.46,53.40,52.34,52.51,358100,52.34
2012-04-23,51.96,52.59,51.32,52.56,436000,52.39
2012-04-20,53.45,54.05,52.97,53.07,411700,52.90
2012-04-19,53.32,53.89,52.53,52.99,445900,52.82
2012-04-18,53.51,54.06,53.16,53.22,381100,53.05
2012-04-17,53.65,54.79,53.61,53.75,337700,53.58
2012-04-16,53.19,53.57,52.15,53.18,396400,53.01
2012-04-13,52.90,53.22,52.54,52.59,481100,52.42
2012-04-12,51.79,53.53,51.79,53.15,743300,52.98
2012-04-11,51.15,51.98,51.03,51.68,757300,51.52
2012-04-10,50.93,51.40,49.95,50.13,490600,49.97
2012-04-09,50.17,51.30,50.17,51.17,466800,51.01
2012-04-05,51.13,51.83,51.02,51.39,487600,51.23
2012-04-04,50.72,51.53,50.49,51.38,721700,51.22
2012-04-03,52.49,52.65,51.04,51.81,697100,51.64
2012-04-02,52.20,53.20,52.08,52.60,858500,52.43
2012-03-30,52.58,52.84,51.56,52.23,445600,52.06
2012-03-29,50.86,52.24,50.25,52.10,406600,51.93
2012-03-28,52.03,52.03,50.07,51.46,420700,51.30
2012-03-27,52.24,53.31,52.09,52.23,499600,52.06
2012-03-26,51.85,52.42,51.13,52.39,292300,52.22
2012-03-23,50.60,51.49,50.50,51.13,464700,50.97
2012-03-22,51.09,51.20,50.12,50.71,449700,50.55
2012-03-21,51.86,52.25,51.27,51.94,360300,51.77
2012-03-20,52.34,52.34,51.16,51.87,582700,51.70
2012-03-19,51.31,53.49,51.31,52.68,409300,52.51
2012-03-16,51.10,52.19,51.06,51.51,490800,51.35
2012-03-15,50.38,51.26,50.01,50.95,523300,50.79
2012-03-14,51.59,51.92,50.22,50.41,613400,50.25
2012-03-13,51.26,52.10,50.89,51.90,371400,51.73
2012-03-12,51.36,51.93,50.64,50.70,272800,50.54
2012-03-09,50.46,52.05,50.28,51.43,526100,51.27
2012-03-08,50.21,50.70,49.63,50.46,267300,50.30
2012-03-07,49.57,49.84,48.77,49.50,403600,49.34
2012-03-06,50.07,50.42,49.29,49.46,648400,49.30
2012-03-05,51.50,51.75,50.43,50.97,622300,50.81
2012-03-02,52.70,53.11,51.16,51.82,444700,51.65
2012-03-01,51.56,53.23,51.56,52.90,496900,52.73
2012-02-29,51.32,52.06,50.95,51.30,652300,51.14
2012-02-28,51.12,51.39,50.75,51.17,394300,51.01
2012-02-27,51.11,51.39,50.47,51.00,651800,50.84
2012-02-24,51.85,52.26,51.07,51.58,613600,51.42
2012-02-23,52.46,52.46,51.16,51.37,449900,51.21
2012-02-22,53.12,53.60,52.07,52.33,241300,52.16
2012-02-21,53.55,53.92,52.91,53.25,275500,53.08
2012-02-17,54.38,54.76,53.05,53.10,179100,52.93
2012-02-16,52.60,54.13,52.21,54.06,392600,53.89
2012-02-15,54.00,54.26,52.24,52.64,327300,52.47
2012-02-14,54.76,55.32,53.48,53.80,481200,53.63
2012-02-13,54.12,55.59,54.02,55.28,423900,55.10
2012-02-10,54.42,54.42,53.23,53.43,275200,53.26
2012-02-09,55.54,55.63,54.20,55.37,261200,55.19
2012-02-08,56.29,57.18,54.93,55.21,330400,55.03
2012-02-07,56.42,56.89,55.80,55.99,279300,55.81
2012-02-06,56.16,56.93,56.06,56.58,211100,56.40
2012-02-03,57.03,57.04,56.20,56.65,249500,56.47
2012-02-02,54.40,56.01,54.35,55.68,537400,55.50
2012-02-01,53.17,55.18,53.17,54.39,484000,54.22
2012-01-31,54.01,54.93,52.00,52.48,398400,52.31
2012-01-30,53.90,54.06,52.92,53.31,344600,53.14
2012-01-27,54.88,55.51,54.10,54.69,367300,54.52
2012-01-26,57.17,58.00,54.98,55.44,307900,55.08
2012-01-25,54.56,56.69,53.55,56.61,348900,56.25
2012-01-24,55.00,56.35,54.38,56.08,248700,55.72
2012-01-23,55.28,56.69,55.05,55.64,284800,55.28
2012-01-20,54.82,55.22,54.17,55.16,320300,54.81
2012-01-19,55.25,55.83,54.72,54.98,296700,54.63
2012-01-18,55.27,55.91,54.32,55.01,400500,54.66
2012-01-17,55.66,56.30,55.05,55.51,282100,55.15
2012-01-13,54.70,55.35,53.60,55.04,190100,54.69
2012-01-12,56.14,56.63,54.67,55.43,242200,55.07
