Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,46.07,46.58,44.82,45.32,88800,45.32
2012-05-03,46.16,46.53,45.90,46.05,68000,46.05
2012-05-02,45.56,46.11,45.05,46.10,51000,46.10
2012-05-01,46.17,47.45,45.98,46.01,64500,46.01
2012-04-30,46.81,46.81,46.20,46.23,42000,46.23
2012-04-27,46.37,47.24,45.85,46.99,49400,46.99
2012-04-26,46.01,46.36,45.82,46.09,29600,46.09
2012-04-25,45.88,46.61,45.80,46.17,63500,46.17
2012-04-24,44.35,45.33,44.11,45.14,69500,45.14
2012-04-23,44.63,44.79,44.13,44.41,56300,44.41
2012-04-20,45.49,45.93,45.15,45.48,60400,45.48
2012-04-19,45.81,46.10,44.75,44.92,74600,44.92
2012-04-18,46.02,46.36,45.49,45.77,76100,45.77
2012-04-17,45.94,46.78,45.60,46.42,48300,46.42
2012-04-16,45.79,46.20,45.16,45.55,46800,45.55
2012-04-13,46.16,46.28,45.50,45.60,71100,45.60
2012-04-12,45.25,46.65,45.25,46.29,79400,46.29
2012-04-11,44.65,44.91,44.40,44.87,72000,44.87
2012-04-10,44.76,44.97,44.20,44.22,83300,44.22
2012-04-09,45.27,45.57,44.72,44.89,69500,44.89
2012-04-05,46.13,46.25,45.99,46.15,37400,46.15
2012-04-04,46.89,47.16,46.28,46.37,56600,46.37
2012-04-03,48.20,48.51,47.14,47.38,90100,47.38
2012-04-02,46.98,48.25,46.98,48.22,130000,48.22
2012-03-30,47.78,47.78,47.28,47.28,74000,47.28
2012-03-29,46.59,47.47,46.59,47.31,94900,47.31
2012-03-28,47.51,47.78,46.66,46.90,180900,46.90
2012-03-27,49.00,49.22,47.29,47.37,131600,47.37
2012-03-26,49.11,49.42,48.22,49.10,121200,49.10
2012-03-23,46.80,48.02,46.78,47.83,101500,47.83
2012-03-22,45.87,47.04,45.84,46.61,85300,46.61
2012-03-21,46.15,47.24,46.00,46.24,127400,46.24
2012-03-20,46.75,46.81,46.11,46.15,76800,46.15
2012-03-19,45.90,47.59,45.90,47.13,123000,47.13
2012-03-16,46.42,46.59,45.85,45.90,137700,45.90
2012-03-15,46.17,46.30,45.53,46.16,76000,46.16
2012-03-14,46.13,46.46,46.07,46.32,73600,46.32
2012-03-13,46.43,46.43,45.71,46.35,90600,46.35
2012-03-12,47.28,47.54,46.01,46.15,88200,46.15
2012-03-09,46.65,48.11,46.38,47.37,165400,47.37
2012-03-08,45.94,46.76,45.47,46.69,96200,46.69
2012-03-07,44.12,45.65,44.00,45.64,195600,45.64
2012-03-06,45.07,45.33,44.03,44.09,159700,43.97
2012-03-05,45.72,45.83,45.05,45.52,105200,45.40
2012-03-02,47.38,48.11,45.00,46.00,150800,45.87
2012-03-01,47.94,48.20,47.38,47.50,94000,47.37
2012-02-29,48.26,48.97,47.75,47.80,117200,47.67
2012-02-28,49.00,49.25,47.98,48.23,83700,48.10
2012-02-27,49.12,49.26,48.59,48.92,35100,48.79
2012-02-24,49.63,49.86,49.29,49.60,32000,49.47
2012-02-23,49.87,49.87,49.17,49.73,53300,49.59
2012-02-22,49.15,49.90,48.99,49.67,60200,49.53
2012-02-21,49.09,49.68,48.85,49.34,59800,49.21
2012-02-17,49.02,49.33,48.55,49.08,42500,48.95
2012-02-16,47.83,48.94,47.78,48.87,57400,48.74
2012-02-15,48.80,48.99,47.65,47.78,68900,47.65
2012-02-14,48.78,49.22,48.09,48.62,70100,48.49
2012-02-13,49.68,49.74,48.91,49.13,89000,49.00
2012-02-10,49.18,49.41,48.86,49.00,64500,48.87
2012-02-09,50.58,50.86,49.50,49.66,54000,49.52
2012-02-08,50.59,50.77,49.82,50.33,78700,50.19
2012-02-07,50.39,50.99,50.19,50.31,148800,50.17
2012-02-06,51.19,51.86,50.07,50.24,201900,50.10
2012-02-03,48.70,51.38,48.60,51.05,183300,50.91
2012-02-02,47.94,48.22,47.47,47.76,64300,47.63
2012-02-01,46.60,47.80,46.37,47.71,82000,47.58
2012-01-31,46.11,46.37,45.65,46.24,50500,46.11
