Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,28.04,28.35,27.70,28.25,2634100,28.25
2012-05-03,30.83,31.36,27.02,28.07,7769200,28.07
2012-05-02,28.89,29.15,28.75,29.01,1859900,29.01
2012-05-01,28.87,29.23,28.66,28.94,1643800,28.94
2012-04-30,28.96,29.04,28.57,28.89,1274600,28.89
2012-04-27,28.90,29.10,28.81,29.05,1638300,29.05
2012-04-26,28.26,29.00,28.20,28.95,1615200,28.95
2012-04-25,28.27,28.39,27.67,28.25,2308600,28.25
2012-04-24,27.40,28.34,27.02,27.60,7109700,27.60
2012-04-23,31.20,31.24,30.27,30.31,4173200,30.31
2012-04-20,30.54,31.87,30.54,31.50,4292700,31.50
2012-04-19,30.37,30.77,30.18,30.50,916100,30.50
2012-04-18,30.03,30.55,29.84,30.40,1649000,30.40
2012-04-17,29.55,30.40,29.43,30.22,2029900,30.22
2012-04-16,29.17,29.43,28.73,29.29,1464000,29.29
2012-04-13,28.95,29.06,28.69,29.00,1970400,29.00
2012-04-12,28.71,29.26,28.67,29.12,2079800,29.12
2012-04-11,28.66,28.94,28.53,28.70,1097900,28.70
2012-04-10,28.69,28.80,28.05,28.41,1458400,28.41
2012-04-09,28.60,29.25,28.32,28.73,2849600,28.73
2012-04-05,27.43,30.62,27.43,28.99,11618100,28.99
2012-04-04,26.80,27.27,26.80,27.21,767600,27.21
2012-04-03,26.87,27.05,26.73,26.95,603400,26.95
2012-04-02,27.22,27.28,26.74,26.88,1633500,26.88
2012-03-30,27.50,27.64,27.09,27.31,686600,27.31
2012-03-29,26.92,27.42,26.80,27.36,1088200,27.36
2012-03-28,26.45,27.03,26.38,27.02,1084600,27.02
2012-03-27,26.31,26.65,26.14,26.50,1776100,26.50
2012-03-26,26.10,26.35,26.04,26.35,1077100,26.35
2012-03-23,26.06,26.20,25.77,25.87,925800,25.87
2012-03-22,25.85,26.14,25.85,26.07,822000,26.07
2012-03-21,25.55,26.11,25.44,25.89,1025500,25.89
2012-03-20,26.10,26.30,25.85,25.98,873500,25.98
2012-03-19,26.16,26.60,25.97,26.31,429300,26.31
2012-03-16,26.28,26.43,26.07,26.26,1089000,26.26
2012-03-15,25.95,26.24,25.71,26.23,722400,26.23
2012-03-14,25.76,26.12,25.59,25.89,699500,25.89
2012-03-13,25.93,25.98,25.54,25.83,506700,25.83
2012-03-12,25.69,25.98,25.57,25.76,530200,25.76
2012-03-09,25.13,25.98,25.13,25.77,777500,25.77
2012-03-08,25.35,25.44,25.06,25.11,538500,25.11
2012-03-07,25.25,25.33,25.12,25.23,452000,25.23
2012-03-06,25.29,25.35,25.09,25.16,541900,25.16
2012-03-05,25.24,25.54,25.14,25.53,506400,25.53
2012-03-02,25.45,25.48,25.17,25.36,721700,25.36
2012-03-01,25.08,25.66,24.97,25.51,862900,25.51
2012-02-29,24.69,25.15,24.52,25.06,1375900,25.06
2012-02-28,24.80,24.81,24.35,24.71,996500,24.71
2012-02-27,23.73,25.02,23.60,24.77,1111700,24.77
2012-02-24,23.74,23.85,23.61,23.70,172100,23.70
2012-02-23,23.61,23.83,23.44,23.69,1123800,23.69
2012-02-22,23.54,23.80,23.40,23.56,417700,23.56
2012-02-21,24.15,24.15,23.56,23.58,434700,23.58
2012-02-17,23.93,24.32,23.63,24.22,610000,24.22
