Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,22.80,22.95,21.81,22.05,350400,22.05
2012-05-03,24.10,24.25,22.82,22.99,428800,22.99
2012-05-02,24.78,25.08,23.64,23.72,266000,23.72
2012-05-01,23.90,25.05,22.00,24.90,437600,24.90
2012-04-30,25.50,26.10,24.11,24.22,650300,24.22
2012-04-27,24.54,24.65,24.06,24.15,448400,24.15
2012-04-26,24.86,25.04,24.37,24.44,268200,24.44
2012-04-25,24.86,25.25,24.42,24.78,231600,24.78
2012-04-24,24.58,24.88,24.50,24.71,177900,24.71
2012-04-23,25.30,25.62,24.58,24.80,415100,24.80
2012-04-20,26.25,26.27,25.65,25.67,78100,25.67
2012-04-19,26.40,26.66,26.09,26.22,98700,26.22
2012-04-18,26.56,26.87,26.17,26.35,83000,26.35
2012-04-17,26.70,26.95,26.20,26.51,137600,26.51
2012-04-16,27.85,27.87,26.38,26.58,117000,26.58
2012-04-13,27.59,27.90,27.29,27.89,67200,27.89
2012-04-12,27.27,28.05,27.26,27.60,185600,27.60
2012-04-11,26.05,27.45,25.92,27.24,192500,27.24
2012-04-10,26.88,27.03,25.62,25.74,146800,25.74
2012-04-09,26.47,27.27,26.20,26.85,117000,26.85
2012-04-05,27.22,27.22,26.38,26.41,279600,26.41
2012-04-04,28.04,28.45,27.15,27.16,170100,27.16
2012-04-03,28.30,28.87,28.07,28.41,164900,28.41
2012-04-02,27.16,28.50,27.07,28.44,238900,28.44
2012-03-30,27.00,27.44,26.67,27.15,262200,27.15
2012-03-29,28.08,28.08,27.00,27.10,163700,27.10
2012-03-28,28.93,28.93,27.97,28.35,280100,28.35
2012-03-27,29.00,29.39,28.80,29.08,205000,29.08
2012-03-26,27.96,28.99,27.74,28.98,224600,28.98
2012-03-23,26.94,28.17,26.68,28.00,126500,28.00
2012-03-22,26.87,27.35,26.72,27.05,60900,27.05
2012-03-21,27.59,28.02,26.99,26.99,105100,26.99
2012-03-20,27.31,28.19,27.10,27.59,508200,27.59
2012-03-19,27.64,27.91,27.13,27.31,402200,27.31
2012-03-16,25.88,27.61,25.82,27.59,463100,27.59
2012-03-15,26.30,26.45,25.36,25.74,288300,25.74
2012-03-14,26.99,27.15,25.94,26.18,206500,26.18
2012-03-13,26.90,27.27,26.37,26.98,299900,26.98
2012-03-12,26.57,26.91,25.98,26.17,122600,26.17
2012-03-09,25.99,26.47,25.88,26.29,109000,26.29
2012-03-08,26.25,26.25,25.92,26.07,97700,26.07
