Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,28.59,28.63,28.09,28.31,159900,28.31
2012-05-03,29.54,29.62,29.13,29.18,36000,29.18
2012-05-02,29.91,29.91,29.61,29.64,18000,29.64
2012-05-01,29.81,30.09,29.77,30.00,52900,30.00
2012-04-30,29.70,29.93,29.68,29.90,56000,29.90
2012-04-27,29.75,29.82,29.66,29.77,10100,29.77
2012-04-26,29.77,29.92,29.77,29.80,8300,29.80
2012-04-25,29.51,29.69,29.34,29.68,17500,29.68
2012-04-24,29.36,29.56,29.36,29.44,13000,29.44
2012-04-23,29.21,29.53,29.13,29.53,23600,29.53
2012-04-20,29.56,29.66,29.38,29.54,33700,29.54
2012-04-19,29.44,29.50,29.19,29.36,1054400,29.36
2012-04-18,29.45,29.45,29.24,29.38,37200,29.38
2012-04-17,29.67,29.69,29.53,29.58,25700,29.58
2012-04-16,29.69,29.72,29.39,29.47,40100,29.47
2012-04-13,29.84,29.93,29.79,29.90,12200,29.90
2012-04-12,29.56,29.97,29.54,29.92,44900,29.92
2012-04-11,29.46,29.70,29.40,29.56,15400,29.56
2012-04-10,29.81,29.85,29.40,29.40,63400,29.40
2012-04-09,29.77,30.01,29.61,29.98,14400,29.98
2012-04-05,29.82,30.14,29.81,30.11,34900,30.11
2012-04-04,30.33,30.40,29.94,29.99,20000,29.99
2012-04-03,30.71,30.80,30.41,30.52,163900,30.52
2012-04-02,29.85,30.74,29.82,30.70,132300,30.70
2012-03-30,30.11,30.34,30.00,30.05,41800,30.05
2012-03-29,30.49,30.49,29.78,30.01,67400,30.01
2012-03-28,30.51,30.59,30.45,30.59,37400,30.59
2012-03-27,30.91,30.98,30.75,30.82,17000,30.82
2012-03-26,30.84,30.97,30.76,30.91,17500,30.91
2012-03-23,30.57,31.05,30.56,30.79,24300,30.79
2012-03-22,30.43,30.45,30.29,30.42,24800,30.42
2012-03-21,30.83,30.90,30.71,30.75,13000,30.75
2012-03-20,30.85,30.95,30.70,30.79,188600,30.79
2012-03-19,31.17,31.25,31.10,31.18,46100,31.18
2012-03-16,30.80,31.24,30.80,31.23,125300,31.23
2012-03-15,30.83,30.84,30.34,30.53,95400,30.53
2012-03-14,31.13,31.23,30.84,30.89,10200,30.89
2012-03-13,30.80,31.18,30.77,31.13,18800,31.13
2012-03-12,30.75,30.95,30.65,30.92,36300,30.92
2012-03-09,30.88,31.16,30.88,31.12,22400,31.12
2012-03-08,30.81,31.03,30.77,30.98,19700,30.98
2012-03-07,30.51,30.75,30.23,30.71,39500,30.71
2012-03-06,30.31,30.50,30.19,30.32,44300,30.32
2012-03-05,30.75,30.78,30.50,30.75,48100,30.75
2012-03-02,30.97,30.97,30.56,30.71,189500,30.71
2012-03-01,30.72,31.47,30.53,31.28,576700,31.28
2012-02-29,30.52,30.71,30.07,30.68,143300,30.68
2012-02-28,30.85,30.96,30.43,30.50,70700,30.50
2012-02-27,31.17,31.23,30.77,30.89,348700,30.89
2012-02-24,31.10,31.43,31.01,31.41,142600,31.41
2012-02-23,30.98,31.15,30.68,31.11,182900,31.11
2012-02-22,30.63,30.90,30.62,30.83,92800,30.83
2012-02-21,30.44,30.71,30.32,30.61,107800,30.61
2012-02-17,30.16,30.20,30.00,30.19,72900,30.19
2012-02-16,29.91,30.13,29.82,30.11,129400,30.11
2012-02-15,29.83,29.91,29.70,29.90,158800,29.90
2012-02-14,29.69,29.70,29.57,29.70,23300,29.70
2012-02-13,29.64,29.64,29.45,29.58,37200,29.58
2012-02-10,29.28,29.49,29.23,29.47,63800,29.47
2012-02-09,29.56,29.68,29.41,29.65,121600,29.65
2012-02-08,29.24,29.40,29.13,29.40,56700,29.40
2012-02-07,29.21,29.42,29.10,29.21,87400,29.21
2012-02-06,28.91,29.25,28.86,29.21,73900,29.21
2012-02-03,28.64,28.86,28.47,28.85,58100,28.85
2012-02-02,28.24,28.42,28.05,28.40,360400,28.40
2012-02-01,28.50,28.52,28.17,28.22,434200,28.22
2012-01-31,28.74,28.74,28.17,28.26,355200,28.26
2012-01-30,28.49,28.64,28.27,28.35,796300,28.35
2012-01-27,28.48,28.74,28.47,28.70,70400,28.70
2012-01-26,28.75,28.75,28.32,28.50,44900,28.50
2012-01-25,28.14,28.52,28.02,28.51,79200,28.51
2012-01-24,28.15,28.37,28.13,28.24,74200,28.24
2012-01-23,27.84,28.37,27.84,28.30,252000,28.30
2012-01-20,28.10,28.17,27.82,27.99,25400,27.99
2012-01-19,28.37,28.45,28.13,28.34,64800,28.34
2012-01-18,28.43,28.45,28.16,28.38,50600,28.38
2012-01-17,28.40,28.50,28.25,28.42,83500,28.42
2012-01-13,28.18,28.34,28.08,28.33,23900,28.33
2012-01-12,28.97,29.19,28.20,28.29,181200,28.29
2012-01-11,28.77,29.01,28.00,28.75,91800,28.75
2012-01-10,29.04,29.20,28.96,29.03,124100,29.03
2012-01-09,29.05,29.05,28.73,28.94,108800,28.94
2012-01-06,28.82,29.09,28.76,29.09,37100,29.09
2012-01-05,29.00,29.20,28.74,28.85,72300,28.85
2012-01-04,28.71,29.28,28.71,29.23,323800,29.23
2012-01-03,27.95,28.75,26.05,28.74,409800,28.74
2011-12-30,27.66,27.88,27.55,27.62,210100,27.62
