Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,51.80,52.10,51.30,51.47,68100,51.47
2012-05-03,54.04,54.17,53.13,53.26,41400,53.26
2012-05-02,54.60,54.74,53.81,54.71,77400,54.71
2012-05-01,55.57,56.30,55.12,56.00,53700,56.00
2012-04-30,55.46,55.59,55.00,55.17,48100,55.17
2012-04-27,55.68,55.85,55.28,55.58,31000,55.58
2012-04-26,55.37,56.80,55.37,56.40,35600,56.40
2012-04-25,54.59,54.94,54.36,54.72,42200,54.72
2012-04-24,52.54,53.41,52.54,53.08,30000,53.08
2012-04-23,52.31,52.51,51.70,52.20,43000,52.20
2012-04-20,53.88,54.61,53.88,54.10,18200,54.10
2012-04-19,53.79,54.32,53.21,53.60,39200,53.60
2012-04-18,54.82,55.57,54.82,55.15,31200,55.15
2012-04-17,54.98,55.87,54.69,55.86,27100,55.86
2012-04-16,54.00,54.11,52.95,54.02,59000,54.02
2012-04-13,54.00,54.07,52.34,52.61,80600,52.61
2012-04-12,54.27,55.60,54.11,55.45,50300,55.45
2012-04-11,55.12,55.12,53.92,54.33,115300,54.33
2012-04-10,54.49,55.15,50.33,53.25,131300,53.25
2012-04-09,55.60,55.70,54.74,55.27,75700,55.27
2012-04-05,55.57,56.38,55.21,55.70,79700,55.70
2012-04-04,58.88,58.88,58.08,58.69,77500,58.69
2012-04-03,61.22,61.53,60.26,60.59,74900,60.59
2012-04-02,59.74,61.71,59.74,61.40,41600,61.40
2012-03-30,60.21,60.59,59.70,60.51,41200,60.51
2012-03-29,58.69,59.46,58.39,59.45,92700,59.45
2012-03-28,61.53,61.80,60.47,60.71,67800,60.71
2012-03-27,62.56,62.70,62.13,62.13,39600,62.13
2012-03-26,62.35,62.67,62.05,62.44,120000,62.44
2012-03-23,59.59,60.54,59.40,60.54,285700,60.54
2012-03-22,58.80,59.33,58.42,59.00,38100,59.00
2012-03-21,59.54,59.81,59.14,59.65,36600,59.65
2012-03-20,59.72,60.03,59.12,59.80,75800,59.80
2012-03-19,61.72,62.50,61.47,62.31,42900,62.31
2012-03-16,63.00,63.13,62.28,62.34,43100,62.34
2012-03-15,62.85,63.58,62.75,63.47,301500,63.47
2012-03-14,63.66,63.67,62.50,62.69,35000,62.69
2012-03-13,62.18,62.69,61.52,62.66,47700,62.66
2012-03-12,62.46,62.85,62.00,62.70,27400,62.70
2012-03-09,61.23,62.02,60.84,61.71,63500,61.71
2012-03-08,60.09,61.69,59.80,61.48,79800,61.48
2012-03-07,57.46,58.12,57.24,57.96,39700,57.96
2012-03-06,58.32,58.32,56.74,56.86,133000,56.86
2012-03-05,61.09,61.24,60.33,61.10,30900,61.10
2012-03-02,61.41,61.47,60.77,61.02,43600,61.02
2012-03-01,60.83,61.34,60.71,61.30,29800,61.30
2012-02-29,61.94,62.20,60.50,60.56,36500,60.56
2012-02-28,61.77,62.22,61.44,61.90,30200,61.90
2012-02-27,61.02,62.04,60.79,61.77,125600,61.77
2012-02-24,63.17,64.01,63.01,63.78,73900,63.78
2012-02-23,61.40,62.80,60.93,62.69,42800,62.69
2012-02-22,63.41,63.66,63.10,63.40,35900,63.40
2012-02-21,63.61,63.95,63.00,63.43,46400,63.43
2012-02-17,63.13,63.30,62.46,63.01,38600,63.01
2012-02-16,60.20,61.49,59.90,61.42,44300,61.42
2012-02-15,61.58,61.58,60.25,60.61,74700,60.61
2012-02-14,61.33,61.74,60.96,61.39,115300,61.39
2012-02-13,62.24,62.55,61.76,62.45,156000,62.45
2012-02-10,60.48,61.41,60.32,61.21,107800,61.21
2012-02-09,62.41,62.56,61.56,62.56,164900,62.56
2012-02-08,59.90,60.00,58.97,59.75,49700,59.75
2012-02-07,58.52,59.42,58.20,59.40,80200,59.40
2012-02-06,59.57,59.94,59.43,59.65,106300,59.65
2012-02-03,59.46,59.99,59.00,59.98,55600,59.98
2012-02-02,57.90,58.29,57.67,57.97,26200,57.97
2012-02-01,57.40,57.92,57.22,57.65,54000,57.65
2012-01-31,56.67,56.82,55.15,55.63,59500,55.63
2012-01-30,55.13,55.91,54.88,55.70,51000,55.70
2012-01-27,55.87,56.60,55.69,56.50,41800,56.50
2012-01-26,57.00,57.29,56.31,56.41,93500,56.41
2012-01-25,53.59,55.62,53.17,55.50,66000,55.50
2012-01-24,52.86,54.00,52.86,53.85,56500,53.85
2012-01-23,54.89,55.28,53.84,54.47,128900,54.47
2012-01-20,54.01,54.61,54.01,54.61,62200,54.61
2012-01-19,53.53,53.70,52.63,53.69,49400,53.69
2012-01-18,52.53,53.46,52.53,53.35,110800,53.35
2012-01-17,51.40,52.12,51.40,51.65,143700,51.65
2012-01-13,47.78,48.15,46.96,48.08,84000,48.08
2012-01-12,49.53,49.76,48.70,49.41,59600,49.41
2012-01-11,48.59,48.74,48.14,48.70,42100,48.70
2012-01-10,48.90,49.22,48.68,48.88,121100,48.88
2012-01-09,47.58,47.58,46.50,47.16,63800,47.16
2012-01-06,47.08,47.08,45.97,46.32,61700,46.32
2012-01-05,47.49,47.62,47.00,47.52,68900,47.52
2012-01-04,47.10,47.48,46.76,47.25,61600,47.25
2012-01-03,47.38,48.04,47.38,47.70,105800,47.70
2011-12-30,43.69,44.19,43.69,43.86,71800,43.86
2011-12-29,43.00,43.71,42.69,43.71,105200,43.71
2011-12-28,44.06,44.06,42.61,42.83,120000,42.83
2011-12-27,45.23,45.30,44.96,45.17,124900,45.17
2011-12-23,44.74,45.77,44.62,45.00,77300,45.00
2011-12-22,44.37,44.80,44.26,44.69,148200,44.69
2011-12-21,44.42,44.45,43.80,44.13,241800,44.13
2011-12-20,42.70,43.80,42.70,43.74,148800,43.74
2011-12-19,41.70,41.80,40.24,40.38,192100,40.38
2011-12-16,41.54,41.74,41.02,41.39,183100,41.39
2011-12-15,42.15,42.20,41.21,41.71,233900,41.71
2011-12-14,41.54,41.85,41.02,41.26,163700,41.26
2011-12-13,43.47,43.81,42.00,42.25,151100,42.25
2011-12-12,43.88,44.14,43.47,43.84,280900,43.84
2011-12-09,44.70,45.90,43.49,45.80,72900,45.80
2011-12-08,44.05,44.16,43.47,43.47,54700,43.47
2011-12-07,45.30,46.36,44.75,46.19,64200,46.19
2011-12-06,46.07,46.34,45.70,46.17,42400,46.17
2011-12-05,47.15,47.15,46.03,46.39,94100,46.39
2011-12-02,46.46,46.46,45.08,45.38,57900,45.38
2011-12-01,45.39,45.95,44.70,45.01,65900,45.01
2011-11-30,44.80,45.73,44.70,45.51,102300,45.51
2011-11-29,42.21,42.86,41.78,42.39,85400,42.39
2011-11-28,42.85,43.13,42.43,42.76,100900,42.76
2011-11-25,39.35,39.90,39.16,39.27,37400,39.27
2011-11-23,39.95,39.95,38.89,39.00,193200,39.00
2011-11-22,40.69,41.01,40.18,40.45,117200,40.45
2011-11-21,41.42,41.60,40.72,41.33,79900,41.33
2011-11-18,43.11,43.31,42.52,42.55,97400,42.55
2011-11-17,43.09,43.33,41.89,42.00,112000,42.00
2011-11-16,43.20,43.93,42.91,42.91,60800,42.91
2011-11-15,44.41,44.80,43.84,44.22,120400,44.22
2011-11-14,45.80,46.10,45.14,45.45,59000,45.45
2011-11-11,45.94,46.95,45.48,46.79,57200,46.79
2011-11-10,46.24,46.24,44.63,45.35,71600,45.35
2011-11-09,45.32,46.06,44.50,44.76,194100,44.76
2011-11-08,48.71,48.98,47.00,48.44,153500,48.44
2011-11-07,48.36,48.76,47.21,48.25,73300,48.25
2011-11-04,48.79,49.03,47.71,48.22,60800,48.22
2011-11-03,49.93,50.75,48.61,50.60,240400,50.60
2011-11-02,48.27,48.91,47.85,48.65,61800,48.65
2011-11-01,47.23,48.47,46.97,47.89,110600,47.89
2011-10-31,53.21,53.29,50.84,50.84,90400,50.84
2011-10-28,55.01,55.58,55.00,55.40,43300,55.40
2011-10-27,54.89,56.24,54.49,55.78,306500,55.78
2011-10-26,54.28,54.40,51.84,52.72,40700,52.72
2011-10-25,52.94,53.00,51.40,52.00,54800,52.00
2011-10-24,51.05,52.30,50.80,51.91,74100,51.91
2011-10-21,50.14,51.30,50.11,51.10,95200,51.10
2011-10-20,49.03,49.14,47.70,48.53,91300,48.53
2011-10-19,50.06,50.32,48.91,49.20,73400,49.20
2011-10-18,49.62,51.40,48.98,51.00,37000,51.00
2011-10-17,51.34,51.35,49.51,49.62,65000,49.62
2011-10-14,52.96,53.18,52.21,52.69,62000,52.69
2011-10-13,51.75,51.93,50.76,51.67,50700,51.67
2011-10-12,51.87,52.76,51.63,52.00,67000,52.00
2011-10-11,47.92,49.10,47.73,49.00,34600,49.00
2011-10-10,46.48,48.72,46.48,48.35,46000,48.35
2011-10-07,46.18,46.32,45.06,45.30,188100,45.30
2011-10-06,43.45,45.55,43.24,45.55,164800,45.55
2011-10-05,43.17,44.14,42.53,44.14,215700,44.14
2011-10-04,40.85,42.35,40.39,42.35,398100,42.35
2011-10-03,43.13,44.22,42.44,42.48,77500,42.48
2011-09-30,44.76,45.76,44.35,44.35,95000,44.35
2011-09-29,47.78,48.22,46.31,47.20,89200,47.20
2011-09-28,47.65,47.77,45.78,46.00,80400,46.00
2011-09-27,46.64,47.50,46.10,46.13,69900,46.13
2011-09-26,43.40,44.25,42.19,44.23,187600,44.23
2011-09-23,42.70,44.70,42.25,44.14,184000,44.14
2011-09-22,44.42,44.59,43.45,44.21,95900,44.21
2011-09-21,49.01,49.27,47.14,47.14,55700,47.14
2011-09-20,49.66,50.45,48.99,49.59,101700,49.59
2011-09-19,48.09,49.29,47.68,48.95,91700,48.95
2011-09-16,50.05,50.90,49.56,50.30,100900,50.30
2011-09-15,49.18,49.68,48.50,49.58,134500,49.58
2011-09-14,46.82,48.30,45.40,47.84,95800,47.84
2011-09-13,44.50,45.09,44.04,44.79,93500,44.79
2011-09-12,42.65,44.05,42.54,44.05,124200,44.05
2011-09-09,45.19,45.20,43.60,44.00,92600,44.00
2011-09-08,46.68,47.57,46.13,46.20,94200,46.20
2011-09-07,47.76,48.84,47.72,48.79,62300,48.79
2011-09-06,45.87,46.59,45.00,46.50,174300,46.50
