Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,56.60,56.71,55.92,56.03,928200,56.03
2012-05-03,57.05,57.08,56.48,56.61,679000,56.61
2012-05-02,56.80,57.00,56.61,56.92,614400,56.92
2012-05-01,56.77,57.35,56.65,56.99,609200,56.99
2012-04-30,56.80,56.95,56.54,56.70,305000,56.70
2012-04-27,56.87,56.90,56.50,56.79,636600,56.79
2012-04-26,56.34,56.73,56.20,56.64,634700,56.64
2012-04-25,56.41,56.46,56.12,56.40,416400,56.40
2012-04-24,55.79,56.07,55.71,55.86,467900,55.86
2012-04-23,55.51,55.62,55.04,55.56,496800,55.56
2012-04-20,56.14,56.45,56.10,56.22,326600,56.22
2012-04-19,56.07,56.19,55.54,55.88,392200,55.88
2012-04-18,56.09,56.28,55.87,56.02,579500,56.02
2012-04-17,56.23,56.64,56.08,56.49,775900,56.49
2012-04-16,56.59,56.61,55.78,55.89,1218200,55.89
2012-04-13,56.77,56.81,56.15,56.28,480300,56.28
2012-04-12,56.24,57.05,56.24,57.02,596400,57.02
2012-04-11,56.18,56.31,55.90,55.97,583900,55.97
2012-04-10,56.24,56.30,55.32,55.50,548800,55.50
2012-04-09,56.24,56.47,56.05,56.26,822100,56.26
2012-04-05,56.58,56.96,56.50,56.80,594300,56.80
2012-04-04,56.95,56.95,56.47,56.63,940300,56.63
2012-04-03,58.03,58.07,57.31,57.54,575900,57.54
2012-04-02,57.52,58.23,57.38,58.07,444400,58.07
2012-03-30,57.52,57.67,57.30,57.61,637700,57.61
2012-03-29,56.86,57.20,56.48,57.11,642200,57.11
2012-03-28,57.83,57.98,57.17,57.41,686400,57.41
2012-03-27,58.37,58.42,58.01,58.06,544600,58.06
2012-03-26,57.90,58.40,57.83,58.39,699500,58.39
2012-03-23,57.38,57.75,57.10,57.67,1053500,57.47
2012-03-22,57.44,57.44,57.12,57.24,692500,57.04
2012-03-21,57.90,57.96,57.58,57.83,839200,57.63
2012-03-20,57.59,57.85,57.40,57.82,528000,57.62
2012-03-19,58.24,58.60,58.13,58.42,351500,58.22
2012-03-16,58.55,58.63,58.39,58.43,494900,58.23
