Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,104.06,104.22,102.70,102.91,377000,102.91
2012-05-03,104.33,104.67,103.34,103.74,729000,103.74
2012-05-02,101.72,104.25,101.69,104.01,1092700,104.01
2012-05-01,101.90,102.32,101.68,102.22,674200,102.22
2012-04-30,101.10,101.24,100.58,101.12,471600,101.12
2012-04-27,101.75,102.59,101.62,102.20,348400,102.20
2012-04-26,101.38,101.88,101.25,101.77,404300,101.77
2012-04-25,101.20,101.69,101.04,101.50,772300,101.50
2012-04-24,100.42,101.15,100.31,100.75,483400,100.75
2012-04-23,100.69,100.74,99.64,100.64,475100,100.64
2012-04-20,102.28,102.28,101.44,101.77,880400,101.77
2012-04-19,101.83,102.19,101.14,101.72,678900,101.72
2012-04-18,100.98,101.23,100.46,101.05,673800,101.05
2012-04-17,99.97,100.24,99.18,99.73,806100,99.73
2012-04-16,98.16,98.34,97.53,97.95,687300,97.95
2012-04-13,97.04,97.08,96.30,96.84,532500,96.84
2012-04-12,97.03,98.35,96.94,97.79,536600,97.79
2012-04-11,95.56,96.25,95.50,96.13,517200,96.13
2012-04-10,96.76,96.84,94.83,95.10,656700,95.10
2012-04-09,96.00,96.52,95.71,96.27,243400,96.27
2012-04-05,96.41,96.75,96.08,96.58,617300,96.58
2012-04-04,97.02,97.49,95.92,96.83,1046400,96.83
2012-04-03,98.60,99.02,97.53,97.99,460000,97.99
2012-04-02,97.39,99.51,97.20,99.28,753100,99.28
2012-03-30,96.45,96.67,96.05,96.50,569100,96.50
2012-03-29,96.20,96.88,96.00,96.87,359800,96.87
2012-03-28,97.62,97.67,96.49,96.88,337900,96.88
2012-03-27,97.87,98.00,97.50,97.76,327600,97.76
2012-03-26,97.95,98.30,97.78,98.13,537100,98.13
2012-03-23,95.80,96.29,95.23,96.20,455700,96.20
2012-03-22,96.12,96.63,96.07,96.43,369600,96.43
2012-03-21,96.39,96.97,96.25,96.80,344400,96.80
2012-03-20,95.54,96.41,95.45,96.26,373500,96.26
2012-03-19,96.21,96.46,96.09,96.18,505600,96.18
2012-03-16,96.84,97.05,96.06,96.27,566000,96.27
2012-03-15,96.13,96.26,95.58,96.06,655800,96.06
2012-03-14,96.90,97.01,96.26,96.68,803200,96.68
2012-03-13,96.52,97.76,96.50,97.76,447300,97.76
2012-03-12,96.72,97.34,96.53,96.88,463200,96.88
2012-03-09,96.66,96.91,96.18,96.87,319100,96.87
2012-03-08,95.91,96.48,95.85,96.44,473200,96.44
2012-03-07,94.93,95.31,94.77,95.01,587200,95.01
2012-03-06,95.64,95.70,94.60,94.72,876200,94.72
2012-03-05,97.04,97.30,96.49,97.08,921200,97.08
2012-03-02,95.67,95.75,95.09,95.66,410200,95.66
2012-03-01,96.14,96.91,96.12,96.63,581800,96.63
2012-02-29,95.79,96.01,95.40,95.56,787600,95.56
2012-02-28,95.03,95.76,94.87,95.75,470400,94.70
2012-02-27,94.07,95.16,93.93,94.80,352500,93.76
2012-02-24,94.73,94.90,94.46,94.60,563100,93.56
2012-02-23,93.93,94.38,93.61,94.20,326000,93.17
2012-02-22,93.68,94.21,93.62,94.00,374700,92.97
2012-02-21,94.01,94.07,93.53,93.58,497600,92.56
2012-02-17,94.71,95.02,94.40,94.97,412100,93.93
2012-02-16,94.05,95.26,93.96,95.26,579200,94.22
2012-02-15,94.61,94.65,93.51,93.90,1052300,92.87
2012-02-14,94.58,94.69,93.87,94.69,649200,93.65
2012-02-13,94.20,94.76,94.04,94.55,793300,93.52
2012-02-10,93.38,93.44,93.02,93.40,588000,92.38
2012-02-09,93.02,93.08,92.29,93.02,473800,92.00
2012-02-08,92.99,93.15,92.18,92.66,487600,91.65
2012-02-07,93.04,93.74,92.85,93.65,615700,92.62
2012-02-06,92.79,93.25,92.65,93.02,581200,92.00
2012-02-03,91.68,92.99,91.43,92.86,1132800,91.84
2012-02-02,90.20,90.67,90.01,90.59,360400,89.60
2012-02-01,90.39,91.10,90.34,90.80,810000,89.81
2012-01-31,89.05,89.12,88.24,88.59,391200,87.62
2012-01-30,88.50,89.17,88.47,89.00,675900,88.03
2012-01-27,88.94,89.35,88.30,89.15,925900,88.17
2012-01-26,89.62,89.65,88.55,88.93,1204700,87.96
2012-01-25,88.27,89.00,87.78,88.96,1112000,87.99
2012-01-24,87.56,88.00,87.39,87.98,580300,87.02
2012-01-23,86.62,86.84,85.92,86.44,751700,85.49
2012-01-20,86.81,86.81,86.03,86.34,867300,85.39
2012-01-19,85.23,85.74,85.15,85.64,794100,84.70
2012-01-18,86.08,86.58,85.91,86.53,677500,85.58
2012-01-17,86.26,86.40,85.64,85.83,566200,84.89
2012-01-13,84.89,85.44,84.44,85.32,842500,84.39
2012-01-12,86.03,86.33,85.64,86.12,868900,85.18
2012-01-11,85.50,86.44,85.30,86.22,679500,85.28
2012-01-10,87.99,88.09,87.43,87.67,509500,86.71
2012-01-09,87.90,87.90,87.18,87.63,302600,86.67
2012-01-06,87.56,87.58,86.65,86.96,308700,86.01
2012-01-05,87.86,88.01,87.37,88.01,373400,87.05
2012-01-04,88.22,88.49,87.83,88.26,404900,87.29
2012-01-03,88.11,89.43,87.95,88.60,843100,87.63
2011-12-30,87.02,87.49,86.86,87.42,289900,86.46
2011-12-29,86.28,87.17,86.16,87.15,457700,86.20
2011-12-28,86.87,86.99,86.29,86.35,233200,85.40
2011-12-27,86.24,86.80,86.07,86.65,212700,85.70
2011-12-23,85.84,86.19,85.65,86.19,237500,85.25
2011-12-22,84.86,85.83,84.61,85.63,551700,84.69
2011-12-21,84.39,84.82,83.90,84.70,563700,83.77
2011-12-20,84.57,85.00,84.48,84.86,449400,83.93
2011-12-19,84.16,84.38,83.55,83.76,699900,82.84
2011-12-16,84.44,84.68,83.52,83.90,655500,82.98
2011-12-15,84.61,84.70,83.92,84.51,360300,83.59
2011-12-14,84.95,85.04,84.07,84.14,789400,83.22
2011-12-13,86.30,86.78,85.20,85.42,466100,84.49
2011-12-12,85.95,86.05,85.49,85.93,508100,84.99
2011-12-09,85.00,85.59,84.80,85.32,712500,84.39
2011-12-08,86.21,86.42,85.46,85.60,565300,84.66
2011-12-07,85.25,86.30,85.06,86.03,470800,85.09
2011-12-06,84.96,85.48,84.61,85.12,362600,84.19
2011-12-05,85.26,85.29,84.16,84.68,317200,83.75
2011-12-02,84.66,84.83,84.08,84.42,391000,83.50
2011-12-01,85.62,86.09,84.64,84.89,476500,83.96
2011-11-30,85.22,85.89,84.98,85.61,570100,84.67
2011-11-29,82.00,83.30,81.86,82.72,820600,81.81
2011-11-28,82.24,82.48,81.76,82.05,470700,81.15
2011-11-25,80.32,81.11,79.96,80.01,356900,79.13
2011-11-23,80.20,80.38,79.45,79.56,844500,78.69
2011-11-22,81.74,82.46,81.36,81.91,545200,81.01
2011-11-21,80.99,81.30,80.44,80.98,689300,80.09
2011-11-18,83.33,83.51,82.44,82.79,406400,81.88
2011-11-17,83.90,84.46,83.16,83.58,612500,82.67
2011-11-16,82.90,83.95,82.78,82.95,537400,82.04
2011-11-15,84.78,85.28,84.35,85.01,412500,84.08
2011-11-14,84.19,84.27,83.38,83.66,607400,82.74
2011-11-11,84.30,85.41,84.23,85.38,355600,84.45
2011-11-10,83.83,83.83,82.25,83.21,448500,82.30
2011-11-09,83.90,84.30,82.82,83.31,454400,82.40
2011-11-08,85.00,85.82,84.79,85.71,410100,84.77
2011-11-07,83.60,84.64,83.53,84.58,344300,83.65
2011-11-04,83.99,84.31,83.01,83.98,429000,83.06
2011-11-03,83.44,84.63,82.52,84.54,609100,83.61
2011-11-02,82.18,82.48,81.64,82.14,394000,81.24
2011-11-01,81.46,83.10,81.15,82.20,796800,81.30
2011-10-31,84.56,84.74,82.84,82.88,630800,81.97
2011-10-28,85.75,86.00,84.63,84.75,683800,83.82
2011-10-27,84.81,85.71,84.00,85.26,565300,84.33
2011-10-26,84.44,84.50,82.93,84.34,403500,83.42
2011-10-25,84.25,84.34,83.09,83.28,653800,82.37
2011-10-24,85.20,85.88,85.10,85.61,564600,84.67
2011-10-21,84.95,85.22,84.24,84.73,632900,83.80
2011-10-20,83.54,83.86,82.84,83.57,551000,82.66
2011-10-19,83.57,84.39,83.02,83.29,777300,82.38
2011-10-18,79.81,81.90,79.39,81.17,540600,80.28
2011-10-17,81.07,81.22,79.52,79.72,891700,78.85
2011-10-14,81.84,82.37,81.46,82.21,1439800,81.31
2011-10-13,80.89,81.75,80.65,81.62,501900,80.73
2011-10-12,80.44,81.92,80.35,81.65,776800,80.76
2011-10-11,79.55,79.88,79.31,79.78,424400,78.91
2011-10-10,79.18,80.06,79.18,79.59,383900,78.72
2011-10-07,79.67,79.68,78.44,78.57,645600,77.71
2011-10-06,76.50,78.49,76.06,78.46,688700,77.60
2011-10-05,75.90,76.59,75.41,76.54,558900,75.70
2011-10-04,74.22,75.65,73.23,75.58,821700,74.75
2011-10-03,75.53,76.76,75.15,75.15,815300,74.33
2011-09-30,76.26,76.94,75.75,75.93,923200,75.10
2011-09-29,78.35,78.41,76.43,77.37,1025600,76.52
2011-09-28,79.29,79.55,77.38,77.41,683000,76.56
2011-09-27,79.15,80.00,78.87,79.10,771500,78.23
2011-09-26,76.46,77.43,75.75,77.34,941600,76.49
2011-09-23,74.18,75.30,74.07,75.16,618000,74.34
2011-09-22,73.77,74.37,73.27,74.11,996100,73.30
2011-09-21,77.55,77.90,75.89,75.89,622500,75.06
2011-09-20,77.29,78.63,76.96,77.98,448900,77.13
2011-09-19,76.01,76.65,75.53,76.23,705300,75.40
2011-09-16,77.94,78.66,77.76,78.53,708900,77.67
2011-09-15,77.89,78.18,77.09,78.12,596500,77.26
2011-09-14,77.01,78.19,76.21,77.67,754200,76.82
2011-09-13,75.89,76.37,75.19,76.14,689600,75.31
2011-09-12,74.50,75.62,74.49,75.54,907700,74.71
2011-09-09,76.62,76.92,75.71,75.97,587400,75.14
2011-09-08,78.04,78.85,77.55,77.61,477400,76.76
2011-09-07,77.70,78.69,77.46,78.69,514800,77.83
2011-09-06,78.03,78.75,77.20,78.47,1305600,76.00
2011-09-02,79.95,80.82,79.66,80.54,895800,78.00
2011-09-01,80.58,80.96,80.14,80.21,593000,77.68
2011-08-31,79.81,80.83,79.71,80.26,745800,77.73
2011-08-30,78.16,78.91,77.27,78.44,672800,75.97
2011-08-29,78.46,79.81,78.42,79.78,631200,77.27
2011-08-26,77.34,78.20,76.16,77.85,1040100,75.40
2011-08-25,76.48,76.96,75.57,75.93,1661600,73.54
2011-08-24,72.40,73.99,72.33,73.72,1180900,71.40
2011-08-23,74.16,75.33,73.64,75.26,1262400,72.89
2011-08-22,75.18,75.18,73.74,73.83,593400,71.50
2011-08-19,73.76,74.98,73.05,73.15,1158900,70.85
2011-08-18,76.20,76.28,74.95,75.78,726700,73.39
2011-08-17,78.22,78.65,77.67,77.87,668200,75.42
2011-08-16,77.12,78.87,77.12,78.02,934600,75.56
