Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,26.66,27.51,26.57,27.41,52400,27.41
2012-05-03,25.73,26.36,25.66,26.22,41000,26.22
2012-05-02,25.92,26.21,25.56,25.58,32000,25.58
2012-05-01,25.57,25.57,24.69,25.06,39100,25.06
2012-04-30,25.20,25.62,25.09,25.33,39000,25.33
2012-04-27,25.00,25.28,24.80,24.90,78800,24.90
2012-04-26,25.97,25.99,25.08,25.20,37400,25.20
2012-04-25,25.78,26.12,25.58,25.68,23600,25.68
2012-04-24,27.11,27.11,26.40,26.75,25000,26.75
2012-04-23,27.40,27.89,27.29,27.38,44700,27.38
2012-04-20,26.08,26.08,25.59,25.89,35400,25.89
2012-04-19,26.24,27.00,25.89,26.66,46500,26.66
2012-04-18,26.33,26.45,25.84,26.19,15600,26.19
2012-04-17,26.35,26.56,25.60,25.74,31800,25.74
2012-04-16,27.04,27.65,26.73,27.10,59300,27.10
2012-04-13,26.89,27.76,26.89,27.64,141100,27.64
2012-04-12,27.32,27.32,26.07,26.17,43400,26.17
2012-04-11,27.24,27.80,27.12,27.70,29800,27.70
2012-04-10,27.37,28.86,27.23,28.85,87400,28.85
2012-04-09,27.64,27.70,26.89,27.14,52500,27.14
2012-04-05,27.05,27.05,26.44,26.80,22900,26.80
2012-04-04,26.13,26.72,26.00,26.36,42500,26.36
2012-04-03,23.90,25.03,23.84,24.71,28700,24.71
2012-04-02,24.63,24.73,23.30,23.47,32200,23.47
2012-03-30,24.36,24.86,24.27,24.33,27300,24.33
2012-03-29,25.22,25.50,24.91,24.91,32400,24.91
2012-03-28,24.01,24.90,23.95,24.52,54700,24.52
2012-03-27,23.52,24.02,23.52,24.00,11800,24.00
2012-03-26,23.92,23.98,23.55,23.57,15200,23.57
2012-03-23,25.27,25.49,24.51,24.51,12900,24.51
2012-03-22,25.31,25.35,24.92,25.06,27400,25.06
2012-03-21,24.33,24.83,24.31,24.53,25000,24.53
2012-03-20,24.27,24.42,23.99,24.07,75900,24.07
2012-03-19,23.84,23.84,23.13,23.28,25900,23.28
2012-03-16,23.61,23.69,23.40,23.64,20900,23.64
