Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,14.90,14.96,14.73,14.80,1834000,14.80
2012-05-03,14.94,15.17,14.91,15.04,2280400,15.04
2012-05-02,14.85,14.96,14.64,14.92,1920500,14.92
2012-05-01,14.63,15.10,14.49,14.98,3109000,14.98
2012-04-30,14.74,14.84,14.59,14.82,1697700,14.82
2012-04-27,14.79,14.82,14.56,14.73,3501800,14.73
2012-04-26,14.46,14.98,14.43,14.79,3364800,14.79
2012-04-25,15.26,15.31,14.86,14.93,3674300,14.93
2012-04-24,14.44,14.80,14.39,14.80,2623200,14.80
2012-04-23,14.36,14.47,14.21,14.39,3941200,14.39
2012-04-20,14.40,14.57,14.38,14.51,2455300,14.51
2012-04-19,14.41,14.49,14.30,14.36,2374900,14.36
2012-04-18,14.48,14.48,14.32,14.40,2321500,14.40
2012-04-17,14.47,14.55,14.34,14.51,1700700,14.51
2012-04-16,14.30,14.50,14.18,14.36,3157400,14.36
2012-04-13,14.13,14.25,13.99,14.20,3180200,14.20
2012-04-12,13.85,14.18,13.77,14.18,1579100,14.18
2012-04-11,13.88,13.91,13.69,13.87,4259100,13.87
2012-04-10,14.02,14.11,13.58,13.73,5651400,13.73
2012-04-09,14.05,14.12,13.94,14.00,2719400,14.00
2012-04-05,14.24,14.31,14.17,14.24,2580200,14.24
2012-04-04,14.31,14.37,14.16,14.27,2088700,14.27
2012-04-03,14.41,14.50,14.34,14.40,4088300,14.40
2012-04-02,14.36,14.51,14.28,14.42,2931700,14.42
2012-03-30,14.36,14.55,14.34,14.34,4222500,14.34
2012-03-29,14.22,14.32,14.09,14.31,2139300,14.31
2012-03-28,14.32,14.41,14.17,14.32,2035800,14.32
2012-03-27,14.31,14.50,14.25,14.33,2546900,14.33
2012-03-26,14.37,14.41,14.18,14.28,2893200,14.28
2012-03-23,14.22,14.29,14.05,14.18,2698400,14.18
2012-03-22,14.39,14.41,14.06,14.20,2081800,14.20
2012-03-21,14.63,14.67,14.46,14.50,2395500,14.50
2012-03-20,14.65,14.75,14.56,14.62,1902300,14.62
