Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,81.48,81.88,80.93,81.10,304800,81.10
2012-05-03,82.00,82.28,81.38,81.97,405600,81.97
2012-05-02,80.92,81.80,80.42,81.75,223000,81.75
2012-05-01,81.78,82.24,81.25,81.25,290800,81.25
2012-04-30,82.23,82.23,80.66,80.86,187000,80.86
2012-04-27,81.45,82.24,81.10,81.93,212900,81.93
2012-04-26,80.99,81.87,80.37,81.41,598900,81.41
2012-04-25,80.28,81.24,80.28,81.10,343200,81.10
2012-04-24,79.75,80.48,79.53,79.94,211200,79.94
2012-04-23,79.09,79.73,78.61,79.45,296400,79.45
2012-04-20,79.48,81.01,79.10,79.11,548500,79.11
2012-04-19,79.87,80.04,78.27,78.67,288400,78.67
2012-04-18,79.43,79.99,79.27,79.71,244300,79.71
2012-04-17,78.36,79.99,78.36,79.55,288800,79.55
2012-04-16,79.43,79.53,77.86,77.92,574600,77.92
2012-04-13,79.14,79.75,79.10,79.31,204400,79.31
2012-04-12,79.52,79.83,78.99,79.36,254400,79.36
2012-04-11,79.56,79.74,78.96,79.23,430300,79.23
2012-04-10,80.52,80.69,79.00,79.08,703600,79.08
2012-04-09,80.38,81.06,80.38,80.65,394300,80.65
2012-04-05,80.88,81.93,80.80,81.21,159300,81.21
2012-04-04,81.45,81.50,80.33,81.22,220000,81.22
2012-04-03,82.00,82.24,81.43,81.89,147000,81.89
2012-04-02,80.59,82.06,80.59,82.04,311100,82.04
2012-03-30,81.73,81.80,80.55,80.91,189000,80.91
2012-03-29,80.91,81.58,80.45,81.21,209300,81.21
2012-03-28,81.24,81.36,80.39,81.24,213900,81.24
2012-03-27,83.88,83.88,81.10,81.12,211900,81.12
2012-03-26,81.50,81.88,81.11,81.79,252800,81.79
2012-03-23,80.54,81.25,80.39,81.09,131100,81.09
2012-03-22,80.82,81.06,80.45,80.61,101000,80.61
2012-03-21,81.19,81.60,80.83,81.28,139900,81.28
2012-03-20,81.18,81.35,80.64,80.87,130700,80.87
2012-03-19,80.48,82.04,80.27,81.68,290300,81.68
2012-03-16,80.09,80.70,79.97,80.54,627100,80.54
2012-03-15,79.62,80.24,79.42,80.10,261200,80.10
2012-03-14,79.95,80.58,79.26,79.48,155300,79.48
2012-03-13,79.80,80.11,79.44,79.95,262800,79.95
2012-03-12,79.50,80.03,78.39,79.26,153300,79.26
2012-03-09,78.93,80.16,78.48,79.48,271800,79.48
2012-03-08,78.48,78.86,77.72,78.73,356000,78.73
2012-03-07,76.03,78.49,75.93,78.18,816800,78.18
2012-03-06,76.26,76.39,75.49,75.92,206500,75.92
2012-03-05,76.33,77.00,76.00,76.73,205000,76.73
2012-03-02,76.92,77.16,75.85,76.42,277800,76.42
2012-03-01,76.33,77.24,76.20,76.93,213000,76.93
2012-02-29,76.28,76.54,75.78,75.91,255300,75.91
2012-02-28,76.80,76.80,75.59,76.17,155800,76.17
2012-02-27,77.20,77.46,76.75,76.87,592100,76.87
2012-02-24,76.26,76.76,76.07,76.23,372500,76.23
2012-02-23,75.75,76.60,75.41,76.21,537900,76.21
2012-02-22,75.15,76.07,74.86,75.69,345800,75.69
2012-02-21,74.96,75.72,73.30,75.14,660800,75.14
2012-02-17,73.42,73.99,73.33,73.36,317900,73.36
2012-02-16,74.30,74.30,73.07,73.38,490300,73.38
2012-02-15,74.66,75.03,74.11,74.86,243100,74.86
2012-02-14,75.30,75.36,73.76,74.41,176000,74.41
2012-02-13,75.68,75.77,75.10,75.65,172300,75.65
2012-02-10,74.45,75.64,74.45,75.02,250200,75.02
2012-02-09,75.39,76.39,74.88,75.33,232600,75.33
2012-02-08,74.99,75.22,74.19,75.00,138100,75.00
2012-02-07,74.63,75.06,73.57,74.87,233800,74.87
2012-02-06,74.79,75.16,74.38,74.89,101400,74.89
2012-02-03,75.21,75.35,74.39,74.89,197100,74.89
2012-02-02,74.05,74.49,73.76,74.49,139600,74.49
2012-02-01,73.89,74.25,73.69,74.23,253300,74.23
2012-01-31,74.40,74.40,73.24,73.65,207700,73.65
2012-01-30,73.58,74.23,73.23,73.89,119500,73.89
2012-01-27,73.60,74.04,73.56,74.00,162500,74.00
2012-01-26,73.75,74.15,73.36,73.59,205100,73.59
2012-01-25,73.24,73.62,72.77,73.42,164200,73.42
2012-01-24,72.05,73.39,71.79,73.05,254300,73.05
2012-01-23,72.87,73.00,71.89,72.10,385300,72.10
2012-01-20,72.99,73.25,72.26,72.89,377200,72.89
2012-01-19,73.15,73.49,72.91,73.22,188200,73.22
2012-01-18,72.80,73.44,72.59,73.18,229200,73.18
2012-01-17,72.78,73.35,71.78,72.79,230700,72.79
2012-01-13,72.21,72.74,72.16,72.42,323300,72.42
2012-01-12,71.69,72.72,71.38,72.61,316500,72.61
2012-01-11,70.85,71.73,70.85,71.48,142400,71.48
2012-01-10,71.24,71.49,70.83,71.30,185100,71.30
2012-01-09,71.24,71.24,70.37,70.89,182900,70.89
