Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,17.13,17.18,16.85,17.06,75300,17.06
2012-05-03,17.01,17.14,16.98,17.12,71200,17.12
2012-05-02,17.15,17.24,16.89,17.08,57000,17.08
2012-05-01,17.01,17.43,17.01,17.19,107000,17.19
2012-04-30,17.15,17.16,17.01,17.03,90700,17.03
2012-04-27,16.87,17.27,16.64,17.20,92000,17.20
2012-04-26,16.87,16.93,16.73,16.85,77300,16.85
2012-04-25,16.72,16.97,16.71,16.95,45100,16.95
2012-04-24,16.65,16.73,16.49,16.62,61200,16.62
2012-04-23,16.51,16.80,16.47,16.69,94300,16.69
2012-04-20,16.65,16.72,16.36,16.68,106500,16.68
2012-04-19,16.61,16.71,16.39,16.47,75200,16.47
2012-04-18,16.36,16.61,16.21,16.58,54900,16.58
2012-04-17,16.28,16.44,16.28,16.38,36500,16.38
2012-04-16,16.20,16.40,15.96,16.22,24600,16.22
2012-04-13,16.41,16.41,16.11,16.17,23000,16.17
2012-04-12,16.26,16.52,16.19,16.42,72500,16.42
2012-04-11,16.53,16.53,16.12,16.30,82700,16.30
2012-04-10,16.38,16.59,16.25,16.35,105200,16.35
2012-04-09,16.12,16.53,16.10,16.36,55500,16.36
2012-04-05,17.09,17.09,16.31,16.32,89900,16.32
2012-04-04,16.32,16.32,16.01,16.24,41400,16.24
2012-04-03,16.46,16.64,16.23,16.48,65700,16.48
2012-04-02,16.10,16.66,16.06,16.51,114000,16.51
2012-03-30,16.19,16.32,15.91,16.10,192200,16.10
2012-03-29,16.03,16.38,15.90,16.17,162900,16.17
2012-03-28,16.81,16.87,16.05,16.13,83000,16.13
2012-03-27,16.90,17.04,16.64,16.74,84400,16.74
2012-03-26,17.16,17.40,16.83,16.95,86700,16.95
2012-03-23,16.74,17.13,16.55,17.03,175000,17.03
2012-03-22,17.08,17.28,16.74,16.84,99800,16.84
2012-03-21,17.39,17.55,17.06,17.29,53600,17.29
2012-03-20,18.00,18.04,17.20,17.31,108900,17.31
2012-03-19,18.26,18.42,17.96,18.22,44700,18.22
2012-03-16,18.39,18.50,18.12,18.27,89700,18.27
2012-03-15,17.85,18.50,17.73,18.41,104000,18.41
2012-03-14,17.97,18.00,17.72,17.79,43700,17.79
2012-03-13,18.10,18.21,17.85,17.92,71600,17.92
2012-03-12,18.17,18.32,17.79,17.95,39100,17.95
2012-03-09,17.96,18.29,17.96,18.16,60800,18.16
2012-03-08,18.05,18.11,17.85,18.01,77300,18.01
2012-03-07,18.17,18.34,17.80,17.90,44900,17.90
2012-03-06,17.76,18.24,17.45,18.20,186500,18.20
2012-03-05,18.40,18.44,17.81,18.05,275200,18.05
2012-03-02,18.64,19.00,18.50,18.72,161600,18.72
2012-03-01,18.77,18.81,18.46,18.60,134500,18.60
2012-02-29,18.76,18.92,18.34,18.60,341500,18.60
2012-02-28,18.75,19.31,18.54,19.07,118200,19.07
2012-02-27,18.67,18.86,18.60,18.70,49500,18.70
2012-02-24,18.80,18.95,18.68,18.77,40500,18.77
2012-02-23,18.51,18.94,18.32,18.78,78000,18.78
2012-02-22,18.55,18.74,18.31,18.50,79500,18.50
2012-02-21,18.89,19.11,18.57,18.66,84300,18.66
2012-02-17,19.11,19.30,18.79,18.86,100500,18.86
2012-02-16,18.62,19.38,18.57,19.02,113200,19.02
2012-02-15,17.90,19.14,17.67,18.55,252000,18.55
2012-02-14,17.74,17.92,17.70,17.86,49300,17.86
2012-02-13,17.72,18.02,17.46,17.76,64800,17.76
2012-02-10,17.49,17.73,17.48,17.60,42100,17.60
2012-02-09,17.81,17.95,17.56,17.60,51100,17.60
2012-02-08,17.69,18.00,17.64,17.83,42500,17.83
2012-02-07,17.34,17.66,17.29,17.59,54500,17.59
2012-02-06,17.27,17.48,17.14,17.32,75100,17.32
2012-02-03,17.02,17.43,16.92,17.28,102100,17.28
2012-02-02,16.80,17.18,16.73,16.77,100800,16.77
2012-02-01,16.81,17.12,16.70,16.78,68900,16.78
2012-01-31,16.94,16.94,16.70,16.75,83800,16.75
2012-01-30,17.10,17.16,16.76,16.85,38900,16.85
2012-01-27,17.23,17.33,17.16,17.21,51700,17.21
2012-01-26,17.34,17.40,17.19,17.25,26600,17.25
2012-01-25,17.38,17.44,17.28,17.32,43200,17.32
2012-01-24,17.19,17.57,17.15,17.39,45600,17.39
2012-01-23,17.43,17.43,17.09,17.33,22200,17.33
2012-01-20,16.84,17.33,16.84,17.31,27200,17.31
2012-01-19,16.98,17.10,16.65,16.90,70900,16.90
2012-01-18,16.38,16.96,16.38,16.95,65100,16.95
