Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,28.06,28.80,28.06,28.68,1484600,28.68
2012-05-03,28.70,28.85,28.05,28.50,1494100,28.50
2012-05-02,27.37,28.87,27.37,28.82,1288000,28.82
2012-05-01,26.91,27.63,26.81,27.52,1063800,27.52
2012-04-30,26.89,26.94,26.28,26.73,723300,26.73
2012-04-27,26.32,27.00,26.00,26.90,1044500,26.90
2012-04-26,25.78,26.35,25.66,26.16,2084200,26.16
2012-04-25,26.08,26.16,25.62,25.77,516700,25.77
2012-04-24,25.93,26.12,25.60,25.78,708800,25.78
2012-04-23,26.60,26.82,25.33,25.90,1317500,25.90
2012-04-20,27.55,27.62,26.99,27.09,719800,27.09
2012-04-19,27.57,27.99,27.18,27.39,669000,27.39
2012-04-18,27.50,27.79,27.36,27.43,538800,27.43
2012-04-17,27.80,29.19,27.39,27.87,1839000,27.87
2012-04-16,27.55,27.72,26.27,26.91,1263200,26.91
2012-04-13,27.70,27.94,27.10,27.57,844100,27.57
2012-04-12,27.69,28.49,27.53,27.87,930400,27.87
2012-04-11,27.77,28.00,27.43,27.79,609500,27.79
2012-04-10,27.12,27.35,26.70,27.04,703000,27.04
2012-04-09,27.13,27.47,27.01,27.26,450700,27.26
2012-04-05,27.47,28.01,27.40,27.78,784100,27.78
2012-04-04,28.00,28.09,27.47,27.75,660000,27.75
2012-04-03,28.16,28.80,28.16,28.31,537700,28.31
2012-04-02,27.50,28.49,27.48,28.35,813900,28.35
2012-03-30,26.88,27.62,26.74,27.46,1040400,27.46
2012-03-29,26.20,26.87,26.00,26.62,1490800,26.62
2012-03-28,27.22,27.22,26.05,26.40,996000,26.40
2012-03-27,27.33,27.54,26.55,26.91,736000,26.91
2012-03-26,27.22,27.52,26.96,27.30,593700,27.30
2012-03-23,27.00,27.01,26.17,26.97,701800,26.97
2012-03-22,27.59,27.60,26.76,27.00,1895300,27.00
2012-03-21,28.58,28.62,27.95,28.06,1351400,28.06
2012-03-20,28.04,28.75,28.03,28.60,1596400,28.60
2012-03-19,27.74,28.38,27.51,28.19,661000,28.19
2012-03-16,27.95,28.29,27.49,27.68,1045600,27.68
2012-03-15,26.10,27.99,25.99,27.89,998300,27.89
2012-03-14,26.89,26.93,25.98,26.03,1818900,26.03
2012-03-13,27.07,27.31,26.46,26.79,803900,26.79
2012-03-12,27.43,27.90,26.88,27.01,779900,27.01
2012-03-09,28.01,28.03,27.35,27.40,1029000,27.40
2012-03-08,27.03,28.12,26.95,28.04,932300,28.04
2012-03-07,25.83,27.05,25.83,26.72,810100,26.72
2012-03-06,26.69,26.69,25.82,25.82,1474100,25.82
2012-03-05,27.14,27.62,26.96,26.98,1382800,26.98
2012-03-02,26.28,27.76,26.25,27.04,1013700,27.04
2012-03-01,26.41,26.81,25.96,26.15,535400,26.15
2012-02-29,26.45,26.60,26.25,26.51,757700,26.51
2012-02-28,25.92,26.50,25.66,26.34,829100,26.34
2012-02-27,25.80,26.15,25.49,26.00,525200,26.00
2012-02-24,25.81,26.25,25.47,26.15,771300,26.15
2012-02-23,26.30,26.45,25.98,26.08,549000,26.08
2012-02-22,26.46,26.89,26.07,26.22,886700,26.22
2012-02-21,27.00,27.38,25.94,26.16,1498800,26.16
2012-02-17,27.00,27.31,26.94,27.05,645600,27.05
2012-02-16,26.50,27.15,26.38,26.87,987500,26.87
2012-02-15,26.50,26.69,26.24,26.57,805000,26.57
2012-02-14,25.68,26.87,25.66,26.38,1021800,26.38
2012-02-13,25.51,25.97,25.44,25.69,944600,25.69
2012-02-10,25.00,25.65,24.96,25.39,974800,25.39
2012-02-09,25.24,25.86,25.23,25.63,839100,25.63
2012-02-08,25.00,25.80,24.96,25.29,1652800,25.29
2012-02-07,25.18,25.86,24.97,25.02,899500,25.02
2012-02-06,25.54,26.21,24.50,25.33,3060000,25.33
2012-02-03,25.22,25.92,25.00,25.86,1203900,25.86
2012-02-02,24.30,25.59,24.29,25.00,1977500,25.00
