Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,47.62,48.11,47.58,48.09,111400,48.09
2012-05-03,47.04,47.44,47.00,47.34,106000,47.34
2012-05-02,47.21,47.30,46.90,46.95,103000,46.95
2012-05-01,46.86,46.86,46.39,46.59,93700,46.59
2012-04-30,46.73,46.95,46.72,46.77,102000,46.77
2012-04-27,46.58,46.80,46.43,46.51,121400,46.51
2012-04-26,47.18,47.19,46.62,46.69,238700,46.69
2012-04-25,47.08,47.27,46.96,47.01,86900,47.01
2012-04-24,47.85,47.85,47.48,47.62,329700,47.62
2012-04-23,48.02,48.31,47.95,48.02,88600,48.02
2012-04-20,47.20,47.20,46.94,47.11,49100,47.11
2012-04-19,47.34,47.73,47.05,47.56,83500,47.56
2012-04-18,47.39,47.42,47.06,47.25,147800,47.25
2012-04-17,47.36,47.44,46.90,47.03,102800,47.03
2012-04-16,47.77,48.12,47.63,47.81,111800,47.81
2012-04-13,47.65,48.19,47.65,48.15,89800,48.15
2012-04-12,47.88,47.88,47.18,47.24,30000,47.24
2012-04-11,47.87,48.17,47.79,48.15,191000,48.15
2012-04-10,47.95,48.82,47.84,48.82,349600,48.82
2012-04-09,48.03,48.07,47.66,47.78,27500,47.78
2012-04-05,47.70,47.70,47.35,47.57,28800,47.57
2012-04-04,47.19,47.53,47.09,47.31,47300,47.31
2012-04-03,45.71,46.50,45.69,46.24,138300,46.24
2012-04-02,46.19,46.26,45.34,45.48,36100,45.48
2012-03-30,46.06,46.30,45.98,46.02,26200,46.02
2012-03-29,46.62,46.80,46.38,46.40,58400,46.40
2012-03-28,45.85,46.34,45.85,46.16,80600,46.16
2012-03-27,45.47,45.82,45.47,45.82,132200,45.82
2012-03-26,45.74,45.79,45.51,45.51,60000,45.51
2012-03-23,46.53,46.66,46.13,46.15,51500,46.15
2012-03-22,46.65,46.67,46.40,46.46,309800,46.46
2012-03-21,46.03,46.28,46.01,46.12,66000,46.12
2012-03-20,45.96,46.12,45.79,45.84,45700,45.84
2012-03-19,45.65,45.68,45.21,45.30,127700,45.30
2012-03-16,45.50,45.58,45.38,45.55,24800,45.55
2012-03-15,46.12,46.22,45.80,45.85,132400,45.85
2012-03-14,46.00,46.42,45.93,46.31,74700,46.31
2012-03-13,46.47,46.51,45.88,45.89,148600,45.89
2012-03-12,46.67,46.92,46.59,46.64,146200,46.64
2012-03-09,46.64,46.72,46.43,46.56,80400,46.56
2012-03-08,46.64,46.77,46.19,46.39,139800,46.39
2012-03-07,47.64,47.80,47.35,47.42,95600,47.42
2012-03-06,47.63,48.14,47.58,48.02,229700,48.02
2012-03-05,46.39,46.63,46.38,46.50,28900,46.50
2012-03-02,46.17,46.42,46.15,46.29,51200,46.29
2012-03-01,46.10,46.15,45.79,45.84,136000,45.84
2012-02-29,45.69,46.38,45.60,46.35,94400,46.35
2012-02-28,46.10,46.21,45.40,45.79,83400,45.79
2012-02-27,46.59,46.67,46.09,46.20,1150000,46.20
2012-02-24,46.08,46.08,45.85,45.97,122800,45.97
2012-02-23,46.62,46.80,46.24,46.27,22100,46.27
2012-02-22,46.62,46.75,46.49,46.68,91600,46.68
2012-02-21,46.36,46.59,46.21,46.52,83100,46.52
2012-02-17,46.46,46.77,46.46,46.54,227900,46.54
2012-02-16,47.50,47.53,46.70,46.73,154800,46.73
2012-02-15,47.06,47.47,47.04,47.40,120200,47.40
2012-02-14,47.31,47.78,47.29,47.47,193600,47.47
2012-02-13,47.09,47.25,47.01,47.10,36900,47.10
2012-02-10,47.63,47.80,47.52,47.65,142800,47.65
2012-02-09,46.69,47.00,46.68,46.79,106800,46.79
2012-02-08,46.96,47.16,46.78,46.89,55400,46.89
2012-02-07,47.33,47.50,47.03,47.08,77900,47.08
2012-02-06,47.58,47.62,47.30,47.32,71800,47.32
2012-02-03,47.51,47.58,47.04,47.13,441000,47.13
2012-02-02,47.88,47.97,47.68,47.86,91100,47.86
2012-02-01,48.08,48.13,47.72,47.97,157500,47.97
2012-01-31,48.49,49.00,48.49,48.71,94100,48.71
2012-01-30,49.21,49.30,48.91,48.99,177700,48.99
2012-01-27,48.64,48.64,48.32,48.44,81000,48.44
2012-01-26,48.07,48.60,48.00,48.49,160200,48.49
2012-01-25,49.26,49.45,48.43,48.55,103700,48.55
2012-01-24,49.34,49.44,48.98,49.04,79500,49.04
2012-01-23,48.90,48.95,48.59,48.77,96800,48.77
2012-01-20,49.29,49.33,48.99,48.99,48000,48.99
2012-01-19,49.48,49.68,49.21,49.21,149400,49.21
2012-01-18,50.42,50.43,49.83,49.88,158700,49.88
2012-01-17,50.64,50.78,50.41,50.72,92600,50.72
2012-01-13,51.46,51.86,51.30,51.34,285200,51.34
2012-01-12,50.72,51.16,50.67,50.76,304900,50.76
2012-01-11,51.22,51.40,50.97,50.98,171900,50.98
2012-01-10,50.74,50.95,50.70,50.79,716400,50.79
2012-01-09,51.58,52.00,51.57,51.63,37400,51.63
2012-01-06,51.33,51.92,51.33,51.81,265600,51.81
2012-01-05,51.18,51.49,51.06,51.14,217600,51.14
2012-01-04,50.42,50.74,50.33,50.35,102600,50.35
2012-01-03,50.48,50.48,49.97,50.11,458800,50.11
2011-12-30,51.81,51.81,51.44,51.50,79200,51.50
2011-12-29,52.61,52.61,51.71,51.74,80300,51.74
2011-12-28,51.91,52.75,51.91,52.68,77900,52.68
2011-12-27,51.73,51.85,51.70,51.82,64000,51.82
2011-12-23,51.95,51.95,51.57,51.57,34400,51.57
2011-12-22,52.39,52.44,51.91,51.94,138100,51.94
2011-12-21,52.51,52.84,52.35,52.38,305700,52.38
2011-12-20,52.76,52.77,52.08,52.15,159800,52.15
2011-12-19,53.29,54.12,53.19,54.02,111700,54.02
2011-12-16,53.18,53.78,53.02,53.57,123400,53.57
2011-12-15,52.96,53.46,52.91,53.33,161500,53.33
2011-12-14,53.30,53.77,53.08,53.63,302000,53.63
2011-12-13,52.02,53.22,51.66,53.01,155900,53.01
2011-12-12,51.90,52.55,51.87,52.27,110400,52.27
2011-12-09,51.61,51.61,50.77,50.81,77700,50.81
2011-12-08,51.16,52.14,51.05,52.03,653800,52.03
2011-12-07,51.13,51.34,50.25,50.46,97000,50.46
2011-12-06,50.86,50.97,50.47,50.77,96800,50.77
2011-12-05,50.11,50.84,50.11,50.57,257000,50.57
2011-12-02,50.44,51.14,50.44,51.12,202800,51.12
2011-12-01,50.96,51.29,50.57,51.12,293800,51.12
2011-11-30,51.30,51.42,50.65,50.67,440300,50.67
2011-11-29,53.53,53.67,53.19,53.44,596900,53.44
2011-11-28,53.77,54.10,53.51,53.78,553500,53.78
2011-11-25,56.02,56.17,55.44,56.17,332200,56.17
2011-11-23,55.14,55.93,55.04,55.91,348200,55.91
2011-11-22,54.38,54.72,54.11,54.46,131100,54.46
2011-11-21,54.07,54.62,53.97,54.32,315000,54.32
2011-11-18,52.52,53.06,52.52,52.96,140700,52.96
