Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,13.16,13.59,13.00,13.19,3912900,13.19
2012-05-03,13.64,13.67,12.91,13.11,5488700,13.11
2012-05-02,13.94,14.00,13.73,13.80,2611900,13.80
2012-05-01,14.25,14.28,13.92,14.10,2718800,14.10
2012-04-30,14.22,14.32,14.00,14.18,3232600,14.18
2012-04-27,14.37,14.39,14.18,14.34,2925500,14.34
2012-04-26,14.15,14.30,14.03,14.21,4052100,14.21
2012-04-25,13.43,14.05,13.37,13.98,4824600,13.98
2012-04-24,13.30,13.43,13.17,13.31,4248500,13.31
2012-04-23,13.64,13.67,13.02,13.16,6638400,13.16
2012-04-20,14.33,14.47,13.92,13.96,2553600,13.96
2012-04-19,14.28,14.52,14.16,14.25,3419800,14.25
2012-04-18,14.39,14.42,14.06,14.22,3309100,14.22
2012-04-17,14.35,14.72,14.27,14.49,3455500,14.49
2012-04-16,14.50,14.60,14.06,14.23,3868000,14.23
2012-04-13,14.46,14.71,14.11,14.45,7880600,14.45
2012-04-12,13.09,14.50,13.03,14.40,11418200,14.40
2012-04-11,13.01,13.04,12.79,12.85,2889100,12.85
2012-04-10,12.72,12.85,12.44,12.81,4067900,12.81
2012-04-09,12.89,12.94,12.65,12.75,3006900,12.75
2012-04-05,13.14,13.43,12.79,12.84,3822500,12.84
2012-04-04,13.30,13.37,12.79,13.02,5212600,13.02
2012-04-03,14.07,14.07,13.63,13.71,6694300,13.71
2012-04-02,13.73,14.06,13.65,14.05,3272500,14.05
2012-03-30,13.49,13.78,13.49,13.74,3027000,13.74
2012-03-29,13.16,13.43,12.93,13.40,3446100,13.40
2012-03-28,13.40,13.52,13.07,13.24,2418000,13.24
2012-03-27,13.74,13.74,13.47,13.50,4275200,13.50
2012-03-26,13.70,13.92,13.59,13.62,4180700,13.62
2012-03-23,12.95,13.55,12.83,13.40,4439600,13.40
2012-03-22,12.80,13.03,12.75,12.88,3462500,12.88
2012-03-21,13.23,13.30,13.06,13.11,3896500,13.11
2012-03-20,13.03,13.29,12.83,13.12,4530000,13.12
2012-03-19,13.49,13.53,13.20,13.21,2883900,13.21
