Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,49.90,50.41,49.57,50.21,250100,50.21
2012-05-03,50.42,50.43,50.05,50.21,185400,50.21
2012-05-02,50.31,50.46,49.95,50.35,194000,50.35
2012-05-01,50.41,50.92,50.07,50.64,372500,50.64
2012-04-30,50.62,50.62,50.04,50.30,197000,50.30
2012-04-27,50.88,50.88,50.07,50.59,129900,50.59
2012-04-26,50.16,50.71,49.75,50.59,141100,50.59
2012-04-25,50.13,50.50,49.86,50.21,193600,50.21
2012-04-24,49.11,49.82,49.11,49.82,206300,49.82
2012-04-23,49.57,49.57,48.79,48.96,165300,48.96
2012-04-20,51.86,51.88,49.26,49.69,331000,49.69
2012-04-19,49.04,49.76,48.46,49.66,213600,49.66
2012-04-18,49.44,49.60,49.15,49.54,172800,49.54
2012-04-17,49.27,49.88,48.89,49.54,123800,49.54
2012-04-16,48.82,49.04,48.35,48.94,287600,48.94
2012-04-13,48.59,48.77,48.20,48.44,105700,48.44
2012-04-12,47.74,48.68,47.52,48.61,204800,48.61
2012-04-11,47.87,48.46,47.50,48.25,494500,48.25
2012-04-10,49.39,49.39,47.35,47.61,345800,47.61
2012-04-09,49.33,49.65,49.12,49.24,105700,49.24
2012-04-05,49.72,50.12,49.69,50.04,133700,50.04
2012-04-04,49.97,50.19,49.75,49.81,185900,49.81
2012-04-03,50.56,51.10,50.52,50.56,399900,50.56
2012-04-02,50.20,50.73,50.03,50.65,212000,50.65
2012-03-30,50.22,50.30,49.96,50.22,150200,50.22
2012-03-29,49.50,49.98,49.22,49.89,76200,49.89
2012-03-28,49.98,50.03,49.32,49.73,167900,49.73
2012-03-27,49.99,50.12,49.66,49.98,135500,49.98
2012-03-26,49.56,50.01,49.48,49.78,205500,49.78
2012-03-23,48.86,49.29,48.58,49.07,162000,49.07
2012-03-22,49.09,49.29,48.62,48.83,288600,48.83
2012-03-21,49.67,49.67,49.27,49.34,153500,49.34
2012-03-20,49.48,49.91,49.34,49.53,196600,49.53
2012-03-19,49.53,50.13,49.30,49.85,202100,49.85
2012-03-16,49.60,49.71,49.28,49.53,306500,49.53
2012-03-15,50.08,50.35,49.20,49.72,213400,49.72
2012-03-14,50.13,50.39,49.66,50.33,363600,49.81
2012-03-13,49.68,50.03,49.33,50.00,199500,49.48
2012-03-12,49.37,49.55,49.18,49.34,130300,48.83
2012-03-09,48.82,49.52,48.64,49.41,127100,48.90
2012-03-08,49.08,49.08,48.49,48.67,209700,48.17
2012-03-07,48.78,49.34,48.16,48.89,124100,48.38
2012-03-06,48.82,49.40,48.50,48.62,143000,48.12
2012-03-05,48.38,49.30,48.02,49.30,118700,48.79
2012-03-02,49.09,49.25,48.17,48.36,178100,47.86
2012-03-01,48.36,49.50,48.27,49.07,219000,48.56
2012-02-29,48.50,48.97,48.16,48.19,217300,47.69
2012-02-28,48.96,49.22,48.25,48.28,335400,47.78
2012-02-27,48.93,49.21,48.13,48.84,293300,48.34
2012-02-24,49.43,49.43,48.83,49.23,229600,48.72
2012-02-23,48.99,49.62,48.73,49.61,132400,49.10
2012-02-22,49.14,49.23,48.53,48.84,164100,48.34
2012-02-21,50.42,50.42,49.02,49.18,196100,48.67
2012-02-17,50.71,50.94,50.01,50.25,242900,49.73
2012-02-16,48.58,50.56,48.58,50.56,443600,50.04
2012-02-15,49.33,49.44,47.48,49.24,368700,48.73
2012-02-14,49.93,50.02,49.47,49.71,324500,49.20
2012-02-13,49.26,49.98,49.26,49.81,122300,49.30
2012-02-10,48.93,49.56,48.85,49.13,155800,48.62
2012-02-09,50.39,50.42,49.26,49.29,129500,48.78
2012-02-08,49.26,50.40,49.09,50.30,311400,49.78
2012-02-07,49.18,49.40,49.00,49.17,159000,48.66
2012-02-06,49.05,49.43,48.77,49.27,283900,48.76
2012-02-03,48.99,49.34,48.53,49.13,319600,48.62
2012-02-02,48.60,49.12,48.21,48.29,161400,47.79
2012-02-01,48.32,49.15,47.86,48.51,428000,48.01
2012-01-31,47.71,47.85,47.22,47.50,322400,47.01
2012-01-30,47.68,47.89,47.24,47.48,222200,46.99
2012-01-27,47.64,48.22,47.27,48.15,345200,47.65
