Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,51.89,51.96,51.74,51.81,217600,51.81
2012-05-03,51.92,52.00,51.83,51.87,182000,51.87
2012-05-02,51.81,51.97,51.66,51.91,252000,51.91
2012-05-01,51.86,51.95,51.81,51.92,172400,51.92
2012-04-30,51.90,51.93,51.79,51.83,167000,51.83
2012-04-27,51.77,51.93,51.75,51.81,213900,51.81
2012-04-26,51.63,51.78,51.62,51.77,171800,51.77
2012-04-25,51.64,51.67,51.51,51.67,202000,51.67
2012-04-24,51.44,51.53,51.38,51.40,191900,51.40
2012-04-23,51.34,51.40,51.27,51.36,160200,51.36
2012-04-20,51.53,51.71,51.53,51.63,90000,51.50
2012-04-19,51.46,51.51,51.39,51.42,177200,51.29
2012-04-18,51.41,51.60,51.41,51.48,327700,51.35
2012-04-17,51.48,51.68,51.48,51.63,240800,51.50
2012-04-16,51.47,51.47,51.30,51.45,223400,51.32
2012-04-13,51.61,51.66,51.32,51.40,305900,51.27
2012-04-12,51.46,51.73,51.46,51.60,122400,51.47
2012-04-11,51.30,51.57,51.27,51.27,537900,51.14
2012-04-10,51.44,51.46,51.17,51.25,247100,51.12
2012-04-09,51.55,51.69,51.50,51.59,181300,51.46
2012-04-05,51.73,51.80,51.68,51.80,136700,51.67
2012-04-04,51.68,51.93,51.68,51.88,494700,51.75
2012-04-03,51.97,52.20,51.92,52.00,320900,51.87
2012-04-02,51.76,52.08,51.76,51.98,198800,51.85
2012-03-30,51.85,51.92,51.66,51.89,156500,51.76
2012-03-29,51.55,51.80,51.51,51.79,255800,51.66
2012-03-28,51.83,51.92,51.71,51.76,227600,51.63
2012-03-27,51.95,52.02,51.92,51.99,311900,51.86
2012-03-26,51.96,52.03,51.91,52.03,218600,51.90
2012-03-23,51.66,51.92,51.65,51.92,168700,51.66
2012-03-22,51.64,51.68,51.52,51.62,174600,51.36
2012-03-21,51.82,51.91,51.72,51.72,177400,51.46
2012-03-20,51.83,51.92,51.72,51.90,305300,51.64
2012-03-19,52.03,52.24,52.03,52.21,178100,51.95
2012-03-16,51.87,52.12,51.86,52.04,131300,51.78
2012-03-15,51.85,51.97,51.81,51.88,369800,51.62
2012-03-14,52.00,52.02,51.73,51.73,270500,51.47
2012-03-13,52.09,52.32,52.04,52.27,133700,52.01
2012-03-12,52.23,52.27,52.11,52.24,106500,51.98
2012-03-09,52.58,52.58,52.47,52.53,182700,52.27
2012-03-08,52.38,52.64,52.30,52.62,129900,52.36
2012-03-07,51.85,52.21,51.85,52.18,205000,51.92
2012-03-06,51.95,52.05,51.85,51.90,258400,51.64
2012-03-05,52.48,52.54,52.40,52.41,700500,52.15
2012-03-02,52.65,52.65,52.47,52.59,774900,52.33
2012-03-01,52.61,52.77,52.55,52.76,753900,52.50
2012-02-29,52.76,52.92,52.49,52.58,457300,52.32
2012-02-28,52.59,52.62,52.46,52.54,452200,52.28
2012-02-27,52.33,52.56,52.32,52.46,328800,52.20
2012-02-24,52.54,52.64,52.48,52.51,429100,52.25
2012-02-23,52.51,52.60,52.42,52.60,466100,52.34
2012-02-22,52.38,52.46,52.25,52.25,379000,51.99
2012-02-21,52.45,52.52,52.39,52.42,543600,52.16
2012-02-17,52.51,52.58,52.40,52.55,230300,52.16
2012-02-16,51.99,52.37,51.96,52.34,158000,51.95
2012-02-15,52.40,52.48,52.19,52.25,132300,51.86
2012-02-14,52.21,52.39,52.21,52.34,256600,51.95
2012-02-13,52.52,52.56,52.27,52.48,339400,52.09
2012-02-10,52.45,52.45,52.15,52.27,140900,51.88
2012-02-09,52.63,52.82,52.63,52.67,236900,52.28
2012-02-08,52.70,52.87,52.61,52.66,286600,52.27
2012-02-07,52.60,52.72,52.50,52.68,146800,52.29
2012-02-06,52.39,52.59,52.21,52.52,189900,52.13
2012-02-03,52.20,52.91,52.20,52.47,387800,52.08
2012-02-02,52.10,52.25,52.02,52.16,352600,51.77
2012-02-01,51.94,52.14,51.92,52.06,193600,51.67
2012-01-31,51.59,51.65,51.31,51.63,386500,51.24
2012-01-30,51.18,51.28,51.12,51.16,179500,50.78
2012-01-27,51.43,51.60,51.36,51.46,332900,51.08
2012-01-26,51.29,51.49,51.29,51.42,295000,51.04
2012-01-25,50.58,50.96,50.45,50.88,97700,50.50
2012-01-24,50.52,50.71,50.35,50.55,189000,50.17
2012-01-23,50.77,50.85,50.61,50.70,194400,50.32
2012-01-20,50.66,50.72,50.56,50.70,229900,50.18
2012-01-19,50.49,50.70,50.43,50.70,281500,50.18
2012-01-18,50.07,50.34,50.01,50.33,146900,49.82
2012-01-17,49.87,49.91,49.42,49.73,277900,49.22
2012-01-13,49.30,49.36,49.12,49.35,536500,48.85
2012-01-12,49.40,49.51,49.32,49.45,369500,48.94
2012-01-11,49.12,49.29,49.05,49.21,95400,48.71
2012-01-10,49.06,49.28,49.06,49.27,180500,48.77
2012-01-09,48.81,48.83,48.69,48.78,100900,48.28
2012-01-06,49.10,49.10,48.67,48.70,222900,48.20
2012-01-05,48.83,48.95,48.64,48.83,135400,48.33
2012-01-04,48.93,49.16,48.92,49.10,126500,48.60
2012-01-03,49.00,49.32,48.97,49.12,229700,48.62
2011-12-30,48.94,48.94,48.60,48.64,345800,48.14
2011-12-29,48.58,48.79,48.56,48.67,255100,48.17
2011-12-28,48.63,48.80,48.54,48.76,392900,48.26
2011-12-27,48.78,48.98,48.75,48.80,264500,48.30
2011-12-23,48.80,49.03,48.80,48.99,367400,48.49
2011-12-22,48.85,49.08,48.65,48.76,595800,48.26
2011-12-21,48.90,49.00,48.66,48.85,181500,48.35
2011-12-20,48.84,49.10,48.80,49.05,137800,48.38
2011-12-19,48.60,48.73,48.50,48.59,213200,47.93
2011-12-16,48.77,48.82,48.50,48.73,217700,48.06
2011-12-15,48.66,48.78,48.49,48.55,266100,47.89
2011-12-14,48.56,48.62,48.31,48.54,218500,47.88
2011-12-13,49.05,49.21,48.76,48.79,244300,48.12
2011-12-12,49.22,49.22,48.97,49.09,214800,48.42
2011-12-09,49.43,49.70,49.43,49.67,191000,48.99
2011-12-08,49.69,49.69,49.45,49.49,106500,48.81
2011-12-07,49.56,49.95,49.56,49.95,142500,49.27
2011-12-06,49.76,49.84,49.66,49.78,186500,49.10
2011-12-05,50.01,50.06,49.76,49.89,150600,49.21
2011-12-02,49.97,50.06,49.63,49.69,267300,49.01
2011-12-01,49.55,49.70,49.51,49.61,147700,48.93
2011-11-30,49.30,49.48,49.16,49.30,363300,48.63
2011-11-29,48.38,48.58,48.31,48.56,247600,47.90
2011-11-28,48.47,48.47,48.15,48.23,320100,47.57
2011-11-25,48.08,48.14,47.76,47.81,82200,47.16
2011-11-23,48.57,48.57,48.12,48.27,174100,47.61
2011-11-22,49.00,49.03,48.76,48.91,124500,48.24
2011-11-21,49.16,49.16,48.80,48.86,117700,48.19
2011-11-18,49.72,49.74,49.51,49.62,187000,48.76
2011-11-17,49.73,49.73,49.34,49.34,356200,48.48
2011-11-16,49.91,49.98,49.70,49.70,205700,48.84
2011-11-15,50.06,50.14,49.85,49.85,350700,48.98
2011-11-14,50.55,50.56,50.21,50.24,153700,49.37
2011-11-11,50.53,50.71,50.48,50.67,174200,49.79
2011-11-10,50.30,50.57,50.13,50.23,197200,49.36
2011-11-09,50.56,50.56,50.24,50.29,207500,49.42
2011-11-08,50.74,51.00,50.71,51.00,121400,50.11
2011-11-07,50.62,50.71,50.50,50.61,99500,49.73
2011-11-04,50.59,50.67,50.43,50.64,70900,49.76
