Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,13.22,13.25,12.82,12.82,2974500,12.82
2012-05-03,13.98,14.00,13.22,13.31,3647000,13.31
2012-05-02,13.80,14.00,13.73,13.97,1369200,13.97
2012-05-01,13.98,14.14,13.78,13.93,3205100,13.93
2012-04-30,13.79,13.91,13.73,13.79,1886200,13.79
2012-04-27,14.11,14.16,13.89,13.90,2118900,13.90
2012-04-26,14.30,14.58,13.78,13.85,5062000,13.85
2012-04-25,13.72,14.20,13.43,14.15,4079200,14.15
2012-04-24,13.55,13.57,13.34,13.57,1461300,13.57
2012-04-23,13.64,13.66,13.27,13.50,1828600,13.50
2012-04-20,13.86,14.00,13.72,13.76,2232900,13.76
2012-04-19,13.88,13.95,13.62,13.80,2038200,13.80
2012-04-18,13.60,13.77,13.14,13.69,1993500,13.69
2012-04-17,13.76,14.00,13.55,13.55,2117300,13.55
2012-04-16,13.72,13.83,13.35,13.63,1669500,13.63
2012-04-13,13.56,14.00,13.54,13.66,1961200,13.66
2012-04-12,14.07,14.07,13.62,13.62,1616300,13.62
2012-04-11,13.76,14.08,13.68,13.87,2724100,13.87
2012-04-10,14.25,14.38,13.51,13.54,3533200,13.54
2012-04-09,14.41,14.41,14.12,14.16,1795600,14.16
2012-04-05,14.59,14.65,14.50,14.51,1756500,14.51
2012-04-04,14.60,14.72,14.50,14.61,1651600,14.61
2012-04-03,14.97,15.00,14.61,14.76,2204200,14.76
2012-04-02,14.83,15.12,14.81,14.96,2727000,14.96
2012-03-30,14.71,15.25,14.71,15.01,3255800,15.01
2012-03-29,14.81,14.90,14.55,14.80,2905500,14.80
2012-03-28,14.70,15.03,14.69,15.02,3074100,15.02
2012-03-27,15.06,15.10,14.64,14.68,1764600,14.68
2012-03-26,14.89,15.09,14.83,14.99,2299200,14.99
2012-03-23,14.75,14.95,14.66,14.77,1765600,14.77
2012-03-22,14.64,14.88,14.49,14.87,2639400,14.87
2012-03-21,14.61,15.27,14.54,14.93,5186800,14.93
2012-03-20,14.55,14.66,14.45,14.59,1722300,14.59
2012-03-19,14.61,14.82,14.41,14.67,2790900,14.67
2012-03-16,13.67,15.04,13.61,14.54,8655400,14.54
2012-03-15,12.86,13.99,12.67,13.79,6736900,13.79
2012-03-14,12.88,12.89,12.72,12.86,868700,12.86
2012-03-13,12.77,12.89,12.73,12.79,759000,12.79
2012-03-12,12.82,12.95,12.74,12.82,1009400,12.82
2012-03-09,13.12,13.15,12.76,12.89,1905200,12.89
2012-03-08,12.70,13.20,12.68,12.99,3803700,12.99
2012-03-07,12.31,12.60,12.26,12.51,1622300,12.51
2012-03-06,12.17,12.36,11.98,12.32,2648700,12.32
2012-03-05,12.55,12.75,12.39,12.40,2776000,12.40
2012-03-02,12.76,12.92,12.70,12.79,1952200,12.79
2012-03-01,12.49,12.88,12.44,12.82,3385200,12.82
2012-02-29,12.62,12.76,12.48,12.50,2131100,12.50
2012-02-28,12.72,12.80,12.50,12.54,1983000,12.54
2012-02-27,12.47,12.91,12.37,12.82,2915300,12.82
2012-02-24,12.51,12.65,12.41,12.54,2104000,12.54
2012-02-23,12.18,12.52,12.00,12.51,3424900,12.51
2012-02-22,12.07,12.25,11.93,12.12,2526400,12.12
2012-02-21,12.59,12.62,11.93,12.09,5640300,12.09
2012-02-17,13.04,13.07,12.40,12.50,3722100,12.50
2012-02-16,12.83,12.97,12.75,12.93,1837900,12.93
2012-02-15,13.04,13.22,12.77,12.86,2206600,12.86
2012-02-14,13.18,13.27,12.97,13.05,2842800,13.05
2012-02-13,13.05,13.28,12.88,13.26,3209900,13.26
2012-02-10,13.00,13.06,12.67,12.85,4653600,12.85
2012-02-09,13.41,13.61,13.00,13.17,4225300,13.17
2012-02-08,13.48,14.19,13.38,13.44,3749400,13.44
2012-02-07,14.00,14.02,13.63,13.67,2007300,13.67
2012-02-06,14.03,14.05,13.84,13.88,1446400,13.88
2012-02-03,13.80,14.03,13.67,13.98,2829200,13.98
2012-02-02,14.27,14.34,13.56,13.65,3536800,13.65
2012-02-01,13.58,14.40,13.55,14.28,6429000,14.28
2012-01-31,13.50,13.70,13.13,13.61,4435300,13.61
2012-01-30,13.67,13.76,13.36,13.46,1455700,13.46
2012-01-27,13.91,13.96,13.62,13.80,2132600,13.80
2012-01-26,14.02,14.18,13.74,13.92,3861300,13.92
2012-01-25,13.02,13.92,12.93,13.88,4618500,13.88
2012-01-24,13.30,13.48,13.23,13.24,2392500,13.24
2012-01-23,13.23,13.44,13.16,13.34,3031600,13.34
2012-01-20,13.36,13.51,12.97,13.17,4339600,13.17
2012-01-19,13.37,13.51,13.18,13.36,2864000,13.36
2012-01-18,13.67,13.67,13.36,13.38,2601300,13.38
2012-01-17,13.92,14.10,13.47,13.57,3952400,13.57
2012-01-13,13.64,14.04,13.51,13.90,2895600,13.90
2012-01-12,13.78,13.89,13.48,13.86,2797600,13.86
2012-01-11,13.68,13.85,13.56,13.72,2260400,13.72
2012-01-10,14.02,14.02,13.53,13.78,3182000,13.78
2012-01-09,13.17,14.09,13.12,13.88,9430200,13.88
2012-01-06,13.46,13.46,12.95,13.01,5098100,13.01
2012-01-05,13.27,13.35,13.21,13.29,2406800,13.29
2012-01-04,13.63,13.63,13.14,13.30,2547900,13.30
2012-01-03,13.97,14.10,13.24,13.46,4857600,13.46
2011-12-30,13.54,13.80,13.15,13.74,4952700,13.74
2011-12-29,13.12,14.02,13.05,13.85,5952400,13.85
2011-12-28,13.32,13.32,13.05,13.12,2742700,13.12
