Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,8.98,8.98,8.20,8.25,1933700,8.25
2012-05-03,9.69,9.69,9.00,9.17,2937800,9.17
2012-05-02,11.70,11.70,9.51,9.77,3873900,9.77
2012-05-01,12.79,13.21,12.67,12.82,586700,12.82
2012-04-30,12.46,12.50,12.09,12.48,452700,12.48
2012-04-27,12.22,12.50,12.06,12.49,226500,12.49
2012-04-26,11.87,12.25,11.76,12.23,278300,12.23
2012-04-25,11.71,11.94,11.63,11.90,307900,11.90
2012-04-24,11.66,11.71,11.36,11.53,256600,11.53
2012-04-23,11.61,11.76,11.27,11.66,306800,11.66
2012-04-20,12.03,12.05,11.65,11.91,440800,11.91
2012-04-19,11.98,12.14,11.67,11.82,205500,11.82
2012-04-18,12.38,12.43,11.90,11.95,356000,11.95
2012-04-17,12.25,12.71,12.21,12.51,353500,12.51
2012-04-16,12.08,12.23,11.79,12.11,630500,12.11
2012-04-13,11.82,12.09,11.72,11.99,262000,11.99
2012-04-12,11.68,12.10,11.67,11.93,384400,11.93
2012-04-11,11.36,11.72,11.34,11.66,462500,11.66
2012-04-10,11.53,11.72,10.94,11.18,530400,11.18
2012-04-09,11.88,11.96,11.51,11.60,223400,11.60
2012-04-05,11.74,12.17,11.74,12.15,398600,12.15
2012-04-04,11.93,12.08,11.70,11.85,435800,11.85
2012-04-03,12.18,12.38,11.93,12.19,401000,12.19
2012-04-02,11.80,12.31,11.70,12.24,389900,12.24
2012-03-30,11.61,11.94,11.59,11.85,604700,11.85
2012-03-29,11.32,11.50,11.11,11.46,465700,11.46
2012-03-28,12.01,12.01,11.35,11.39,522700,11.39
2012-03-27,12.52,12.64,11.91,11.95,446900,11.95
2012-03-26,12.65,12.74,12.47,12.60,366600,12.60
2012-03-23,12.09,12.60,12.09,12.48,336400,12.48
2012-03-22,12.68,12.70,11.67,12.09,542700,12.09
2012-03-21,12.91,13.23,12.65,12.88,330100,12.88
2012-03-20,13.19,13.19,12.79,12.92,388100,12.92
2012-03-19,12.85,13.48,12.72,13.29,544100,13.29
2012-03-16,12.47,12.90,12.38,12.89,688100,12.89
2012-03-15,12.41,12.49,12.08,12.40,551400,12.40
2012-03-14,12.83,12.89,12.20,12.38,369500,12.38
2012-03-13,12.21,12.74,11.87,12.74,1032900,12.74
2012-03-12,11.97,12.20,11.80,12.10,466400,12.10
