Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,33.70,34.07,33.48,33.55,1013200,33.55
2012-05-03,34.21,34.33,33.81,34.13,1438700,34.13
2012-05-02,34.41,34.57,33.91,34.03,1336800,34.03
2012-05-01,34.75,35.00,34.30,34.55,847200,34.55
2012-04-30,35.08,35.14,34.32,34.64,889500,34.64
2012-04-27,34.20,35.31,34.16,35.02,2831600,35.02
2012-04-26,34.86,35.23,34.66,34.70,2074400,34.70
2012-04-25,35.43,35.55,34.80,34.94,1385100,34.94
2012-04-24,34.19,35.02,34.07,34.95,1372400,34.95
2012-04-23,33.81,34.37,33.69,34.11,1636500,34.11
2012-04-20,34.40,34.90,34.30,34.58,2751200,34.58
2012-04-19,34.69,35.30,34.50,35.29,1208600,35.29
2012-04-18,34.18,34.58,34.17,34.45,2631200,34.45
2012-04-17,35.20,35.21,34.57,34.85,1609900,34.85
2012-04-16,35.13,35.29,34.50,34.84,1062700,34.84
2012-04-13,34.60,34.83,34.40,34.63,1328000,34.63
2012-04-12,34.36,35.15,34.36,34.72,1804300,34.72
2012-04-11,33.85,34.68,33.80,34.45,1476300,34.45
2012-04-10,33.69,33.77,33.15,33.35,2186800,33.35
2012-04-09,33.17,33.85,32.87,33.81,1452800,33.81
2012-04-05,33.66,33.90,33.27,33.68,1531100,33.68
2012-04-04,33.02,34.20,32.90,33.52,3189700,33.52
2012-04-03,32.25,32.69,31.75,32.11,1618100,32.11
2012-04-02,32.50,32.50,31.62,32.25,1669900,32.25
2012-03-30,32.17,32.17,31.76,31.98,918400,31.98
2012-03-29,31.32,32.13,31.32,32.09,1216500,32.09
2012-03-28,31.71,32.04,31.63,31.85,1081900,31.85
2012-03-27,32.28,32.28,31.94,32.02,825600,32.02
2012-03-26,31.50,32.31,31.49,32.28,920400,32.28
2012-03-23,31.29,31.45,30.97,31.40,869100,31.40
2012-03-22,30.84,31.12,30.37,31.05,1995200,31.05
2012-03-21,30.70,31.68,30.70,31.39,2429800,31.39
2012-03-20,30.08,30.31,29.83,30.16,674800,30.16
2012-03-19,30.55,30.97,30.55,30.81,650200,30.81
2012-03-16,30.80,31.06,30.25,30.88,1285600,30.88
2012-03-15,30.80,31.08,30.54,30.80,1303200,30.80
2012-03-14,29.70,30.67,29.57,30.63,1646900,30.63
2012-03-13,29.46,30.04,29.20,30.01,638600,30.01
2012-03-12,28.97,29.48,28.97,29.30,940300,29.30
2012-03-09,29.04,29.50,28.96,29.31,459800,29.31
2012-03-08,28.91,29.44,28.78,29.24,436900,29.24
2012-03-07,28.32,28.65,28.20,28.60,1268300,28.60
2012-03-06,29.07,29.08,28.07,28.42,1612500,28.42
2012-03-05,30.19,30.20,29.48,29.61,714500,29.61
2012-03-02,30.59,30.85,30.12,30.26,662900,30.26
2012-03-01,30.09,30.60,30.08,30.47,924700,30.47
2012-02-29,29.67,30.24,29.57,30.06,1224500,30.06
2012-02-28,30.30,30.39,29.78,29.95,1060700,29.95
2012-02-27,30.32,30.46,30.15,30.29,1045200,30.29
2012-02-24,30.88,30.88,30.50,30.71,1392900,30.71
2012-02-23,30.75,30.83,30.32,30.66,679000,30.66
2012-02-22,30.41,31.01,30.40,30.92,517600,30.92
2012-02-21,30.55,30.87,30.43,30.63,340500,30.63
2012-02-17,30.53,30.63,30.40,30.55,847500,30.55
2012-02-16,30.55,30.61,30.30,30.60,1743400,30.60
2012-02-15,30.24,31.20,30.11,30.51,2182200,30.51
2012-02-14,29.59,29.61,29.19,29.31,782700,29.31
2012-02-13,28.76,29.29,28.71,29.26,682600,29.26
2012-02-10,28.01,28.55,28.00,28.53,1065600,28.53
