Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,7.89,7.90,7.89,7.89,380800,7.89
2012-05-03,7.91,7.92,7.89,7.89,766800,7.89
2012-05-02,7.90,7.93,7.90,7.91,427200,7.91
2012-05-01,7.89,7.95,7.89,7.90,603500,7.90
2012-04-30,7.91,7.92,7.90,7.90,974000,7.90
2012-04-27,7.91,7.93,7.90,7.92,673900,7.92
2012-04-26,7.91,7.91,7.90,7.91,5117300,7.91
2012-04-25,7.92,7.95,7.89,7.89,4032900,7.89
2012-04-24,7.91,7.93,7.90,7.91,632700,7.91
2012-04-23,7.91,7.92,7.90,7.91,487700,7.91
2012-04-20,7.91,7.92,7.90,7.92,362700,7.92
2012-04-19,7.91,7.92,7.90,7.91,505500,7.91
2012-04-18,7.90,7.91,7.90,7.90,524200,7.90
2012-04-17,7.91,7.93,7.89,7.91,710700,7.91
2012-04-16,7.89,7.93,7.89,7.92,786600,7.92
2012-04-13,7.92,7.93,7.88,7.91,2712900,7.91
2012-04-12,7.93,7.94,7.91,7.92,798800,7.92
2012-04-11,7.91,7.94,7.89,7.92,3820700,7.92
2012-04-10,7.99,8.00,7.90,7.90,11852700,7.90
2012-04-09,7.91,8.02,7.80,7.84,389000,7.84
2012-04-05,7.94,8.00,7.93,7.97,249000,7.97
2012-04-04,8.06,8.09,7.93,7.98,312400,7.98
2012-04-03,8.07,8.15,8.02,8.11,408300,8.11
2012-04-02,7.82,8.06,7.82,8.06,385300,8.06
2012-03-30,7.91,7.95,7.75,7.82,145100,7.82
2012-03-29,7.79,7.86,7.68,7.83,135800,7.83
2012-03-28,7.96,7.96,7.71,7.84,475400,7.84
2012-03-27,7.86,7.96,7.86,7.90,306800,7.90
2012-03-26,7.78,7.83,7.68,7.83,372900,7.83
2012-03-23,7.33,7.74,7.26,7.65,328000,7.65
2012-03-22,7.25,7.39,7.20,7.31,139400,7.31
2012-03-21,7.31,7.42,7.28,7.30,204400,7.30
2012-03-20,7.32,7.38,7.20,7.27,223000,7.27
2012-03-19,6.92,7.43,6.84,7.37,393200,7.37
2012-03-16,6.92,6.94,6.76,6.90,215800,6.90
2012-03-15,6.82,6.90,6.70,6.90,85000,6.90
2012-03-14,6.89,6.91,6.77,6.82,139200,6.82
2012-03-13,6.86,6.95,6.81,6.90,203700,6.90
2012-03-12,6.82,6.93,6.76,6.87,143600,6.87
2012-03-09,6.61,6.84,6.56,6.77,190100,6.77
2012-03-08,6.60,6.64,6.48,6.62,284100,6.62
2012-03-07,6.56,6.60,6.50,6.58,162100,6.58
2012-03-06,6.14,6.56,6.14,6.52,402100,6.52
2012-03-05,6.09,6.25,6.09,6.21,205000,6.21
2012-03-02,6.33,6.43,6.08,6.08,203600,6.08
2012-03-01,6.43,6.55,6.33,6.34,184300,6.34
2012-02-29,6.48,6.57,6.35,6.38,499800,6.38
2012-02-28,6.69,6.81,6.40,6.49,1734600,6.49
2012-02-27,5.75,5.75,5.54,5.56,347800,5.56
2012-02-24,5.60,5.82,5.59,5.79,70900,5.79
2012-02-23,5.61,5.71,5.56,5.61,135600,5.61
2012-02-22,5.70,5.73,5.56,5.61,67900,5.61
2012-02-21,5.99,6.05,5.72,5.72,68700,5.72
2012-02-17,5.96,6.03,5.87,5.99,74200,5.99
2012-02-16,5.62,5.94,5.62,5.92,94900,5.92
2012-02-15,5.71,5.71,5.58,5.62,76700,5.62
2012-02-14,5.70,5.76,5.62,5.67,60100,5.67
2012-02-13,5.65,5.75,5.57,5.74,60800,5.74
2012-02-10,5.60,5.62,5.51,5.58,116600,5.58
2012-02-09,5.83,5.83,5.68,5.68,50400,5.68
2012-02-08,5.80,5.87,5.74,5.82,48400,5.82
2012-02-07,5.93,5.95,5.76,5.79,88400,5.79
2012-02-06,6.02,6.02,5.88,5.96,62700,5.96
2012-02-03,6.00,6.08,5.98,6.08,159200,6.08
2012-02-02,5.89,5.98,5.75,5.97,164300,5.97
2012-02-01,5.60,5.91,5.48,5.89,298000,5.89
2012-01-31,5.49,5.59,5.26,5.54,104400,5.54
2012-01-30,5.47,5.51,5.35,5.44,112500,5.44
2012-01-27,5.46,5.58,5.34,5.55,117400,5.55
2012-01-26,5.48,5.53,5.44,5.50,168100,5.50
2012-01-25,5.47,5.47,5.33,5.45,117500,5.45
2012-01-24,5.38,5.53,5.35,5.46,217100,5.46
2012-01-23,5.46,5.57,5.39,5.48,88700,5.48
2012-01-20,5.33,5.70,5.32,5.49,419300,5.49
2012-01-19,4.86,5.39,4.76,5.35,1117500,5.35
2012-01-18,4.78,4.85,4.74,4.85,115900,4.85
2012-01-17,4.84,4.84,4.70,4.82,168000,4.82
2012-01-13,4.75,4.82,4.75,4.78,137700,4.78
2012-01-12,4.83,4.86,4.76,4.82,154300,4.82
2012-01-11,4.86,4.86,4.75,4.82,179700,4.82
2012-01-10,4.98,4.98,4.86,4.88,154000,4.88
2012-01-09,5.00,5.00,4.85,4.91,153500,4.91
2012-01-06,4.84,5.00,4.81,4.96,115500,4.96
2012-01-05,4.77,4.90,4.69,4.86,231000,4.86
2012-01-04,4.88,4.96,4.80,4.80,87500,4.80
2012-01-03,4.83,4.97,4.74,4.92,205900,4.92
2011-12-30,4.75,4.75,4.65,4.69,246600,4.69
2011-12-29,4.75,4.83,4.73,4.77,101300,4.77
2011-12-28,4.81,4.82,4.67,4.71,214800,4.71
2011-12-27,4.75,4.83,4.71,4.82,132800,4.82
2011-12-23,4.98,4.98,4.77,4.78,122200,4.78
2011-12-22,4.86,4.98,4.79,4.93,82200,4.93
2011-12-21,4.83,4.87,4.76,4.84,121100,4.84
2011-12-20,4.69,4.90,4.67,4.88,161400,4.88
2011-12-19,4.71,4.80,4.55,4.56,114800,4.56
2011-12-16,4.61,4.71,4.55,4.65,379200,4.65
