Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,53.97,54.14,51.12,51.50,4137900,51.50
2012-05-03,54.49,55.41,52.93,54.22,3452600,54.22
2012-05-02,54.40,55.11,54.06,54.69,1900400,54.69
2012-05-01,54.81,55.66,54.29,54.88,2065800,54.88
2012-04-30,54.20,54.92,53.67,54.65,1749800,54.65
2012-04-27,54.66,54.80,54.10,54.37,1488800,54.37
2012-04-26,53.01,54.83,52.96,54.50,2298600,54.50
2012-04-25,53.22,53.88,52.65,53.32,2171600,53.32
2012-04-24,52.91,52.95,52.20,52.74,1325800,52.74
2012-04-23,52.08,52.61,51.32,52.51,1620300,52.51
2012-04-20,53.61,54.34,52.88,52.95,1853700,52.95
2012-04-19,52.23,53.59,52.15,52.99,2332100,52.99
2012-04-18,52.69,53.85,52.01,52.10,2845200,52.10
2012-04-17,52.17,53.76,51.85,52.96,1841900,52.96
2012-04-16,52.81,52.81,51.11,51.46,2414800,51.46
2012-04-13,53.45,53.53,51.31,51.52,3048600,51.52
2012-04-12,52.23,54.08,52.12,53.53,2786600,53.53
2012-04-11,51.88,52.65,51.52,51.72,3133400,51.72
2012-04-10,52.18,52.51,50.59,51.46,2582600,51.46
2012-04-09,51.63,52.48,51.44,51.94,1632000,51.94
2012-04-05,52.10,53.30,52.10,52.52,2497900,52.52
2012-04-04,51.79,52.36,51.13,52.16,2307700,52.16
2012-04-03,53.12,53.47,51.95,52.50,1789300,52.50
2012-04-02,53.35,54.05,52.50,53.29,1499700,53.29
2012-03-30,52.99,53.32,52.43,52.93,1832700,52.93
2012-03-29,52.52,53.25,51.69,52.69,2172300,52.69
2012-03-28,52.68,53.08,51.56,52.96,3157900,52.96
2012-03-27,54.20,54.20,52.83,52.95,2055400,52.95
2012-03-26,54.64,55.20,53.61,53.98,1847900,53.98
2012-03-23,53.73,54.62,53.45,54.45,2021800,54.45
2012-03-22,53.99,54.00,53.03,53.37,2849500,53.37
2012-03-21,55.19,55.26,54.26,54.44,3297000,54.44
2012-03-20,56.27,56.27,54.88,55.39,2845000,55.39
2012-03-19,58.28,58.40,56.42,57.00,2428900,57.00
2012-03-16,57.49,58.09,57.30,57.65,4218600,57.65
2012-03-15,55.90,57.06,55.49,56.99,2407800,56.99
2012-03-14,56.30,56.32,55.25,55.63,1814300,55.63
2012-03-13,55.81,56.45,55.06,56.41,2387500,56.41
2012-03-12,56.00,56.04,55.13,55.50,2460500,55.50
2012-03-09,55.91,56.70,55.66,56.07,1746900,56.07
2012-03-08,56.15,56.76,55.90,56.51,1299600,56.51
2012-03-07,55.01,57.17,54.66,56.18,2356400,55.81
2012-03-06,55.04,55.18,54.23,54.61,3073100,54.25
2012-03-05,56.99,57.10,55.59,56.28,2624700,55.90
2012-03-02,57.90,58.32,56.78,57.12,2968600,56.74
2012-03-01,58.79,58.92,58.06,58.47,2245400,58.08
2012-02-29,58.93,59.11,57.84,58.30,2505800,57.91
2012-02-28,58.26,59.19,58.06,58.34,3274500,57.95
2012-02-27,58.97,59.61,58.46,58.70,3195700,58.31
2012-02-24,58.91,59.90,58.68,59.40,3494500,59.00
2012-02-23,57.40,59.62,57.06,59.05,5279500,58.66
2012-02-22,55.19,56.84,55.19,56.53,2435600,56.15
2012-02-21,55.61,56.12,55.21,55.55,3300600,55.18
2012-02-17,55.89,56.18,55.03,55.17,3251500,54.80
2012-02-16,54.40,55.55,54.26,55.38,2540200,55.01
2012-02-15,55.45,55.54,54.02,54.55,2546600,54.19
2012-02-14,56.24,56.38,55.15,55.50,1935900,55.13
2012-02-13,56.80,56.95,55.64,56.61,4062300,56.23
2012-02-10,53.90,56.70,53.37,55.80,4033100,55.43
2012-02-09,55.62,55.65,54.30,54.62,2689300,54.26
2012-02-08,55.37,55.90,55.00,55.63,3299500,55.26
2012-02-07,55.72,55.72,54.54,55.00,2443600,54.63
2012-02-06,55.03,55.75,54.90,55.60,2938400,55.23
2012-02-03,55.20,56.05,55.08,55.65,4344600,55.28
2012-02-02,53.56,55.37,53.22,55.01,3423100,54.64
2012-02-01,53.00,53.67,52.33,53.31,2606500,52.95
2012-01-31,52.80,53.50,52.41,52.64,2331600,52.29
2012-01-30,52.30,52.43,51.41,52.17,1647000,51.82
2012-01-27,53.13,53.88,52.85,53.05,2195200,52.70
2012-01-26,53.76,54.93,53.12,53.60,4775700,53.24
2012-01-25,51.64,53.50,51.00,53.43,3253800,53.07
2012-01-24,51.22,51.89,50.96,51.69,2374700,51.34
2012-01-23,51.40,52.24,50.79,51.76,2031500,51.41
2012-01-20,51.66,52.24,50.85,51.28,2434100,50.94
2012-01-19,52.70,52.71,51.81,51.94,2277400,51.59
2012-01-18,49.99,52.52,49.98,52.38,3200900,52.03
2012-01-17,48.11,50.14,47.74,50.01,3950600,49.68
2012-01-13,46.68,47.55,46.28,47.55,3476200,47.23
2012-01-12,47.35,47.62,46.70,47.12,2386200,46.81
2012-01-11,47.84,47.96,47.03,47.32,1944500,47.00
2012-01-10,48.75,49.04,47.89,48.06,3125000,47.74
2012-01-09,47.77,48.38,47.40,48.00,2252500,47.68
2012-01-06,48.53,48.53,47.16,47.72,3437800,47.40
2012-01-05,48.20,48.84,47.75,48.50,2020200,48.18
2012-01-04,48.81,48.92,47.90,48.42,2010500,48.10
2012-01-03,48.19,49.31,47.94,49.09,1751600,48.76
2011-12-30,47.50,47.50,46.92,46.92,1657000,46.61
2011-12-29,47.86,48.27,47.36,47.54,1089700,47.22
2011-12-28,48.61,48.75,47.63,47.82,1088000,47.50
2011-12-27,48.95,48.96,48.24,48.79,1075100,48.46
2011-12-23,48.29,48.90,48.27,48.79,849300,48.46
2011-12-22,48.10,48.82,48.09,48.51,1036100,48.19
2011-12-21,47.87,48.40,47.03,48.08,2411700,47.76
2011-12-20,46.48,48.42,46.43,47.96,3212000,47.64
2011-12-19,46.23,46.65,45.65,45.74,1813500,45.43
2011-12-16,46.66,46.73,46.05,46.23,1972300,45.92
2011-12-15,47.92,47.92,46.20,46.29,2622800,45.98
2011-12-14,47.75,47.82,46.74,47.24,3023500,46.92
2011-12-13,49.11,49.71,47.90,48.13,3048600,47.81
2011-12-12,49.19,49.31,48.58,48.99,2294100,48.66
2011-12-09,49.35,50.24,49.03,50.04,1734100,49.71
2011-12-08,49.77,50.14,48.47,48.76,2531600,48.43
2011-12-07,51.19,51.21,49.39,49.95,2806300,49.62
2011-12-06,51.69,52.00,51.12,51.34,1449900,51.00
