Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,39.75,39.81,39.20,39.50,2481700,39.50
2012-05-03,40.61,40.93,39.84,40.01,2747800,40.01
2012-05-02,41.13,41.13,40.18,40.74,2006500,40.74
2012-05-01,40.07,41.04,39.95,40.62,2728800,40.62
2012-04-30,40.00,40.31,39.91,40.00,3566400,40.00
2012-04-27,40.58,40.67,39.77,39.90,3174900,39.90
2012-04-26,40.59,40.65,40.00,40.33,2942600,40.33
2012-04-25,41.48,41.55,40.81,40.89,2652200,40.89
2012-04-24,41.15,41.64,41.06,41.25,1983500,41.25
2012-04-23,41.52,41.68,40.73,40.95,3292100,40.95
2012-04-20,42.16,42.98,41.90,41.96,8189000,41.96
2012-04-19,46.37,46.71,45.53,45.74,1174200,45.74
2012-04-18,46.30,46.85,46.18,46.49,1382600,46.49
2012-04-17,46.33,46.86,46.15,46.61,1368300,46.61
2012-04-16,46.43,46.43,45.65,46.02,1450300,46.02
2012-04-13,46.72,46.83,46.28,46.33,1063100,46.33
2012-04-12,46.16,47.48,46.05,46.99,1702800,46.99
2012-04-11,45.61,46.12,45.39,46.04,1240000,46.04
2012-04-10,45.66,45.69,44.96,45.06,1641300,45.06
2012-04-09,45.93,46.14,45.57,45.85,1126900,45.85
2012-04-05,46.17,46.91,46.16,46.73,1415100,46.73
2012-04-04,45.87,46.51,45.72,46.43,1035200,46.43
2012-04-03,46.38,46.57,45.83,46.24,990500,46.24
2012-04-02,46.36,47.04,46.24,46.58,1252100,46.58
2012-03-30,46.59,46.81,46.14,46.51,1168000,46.51
2012-03-29,46.10,46.32,45.52,46.29,1180900,46.29
2012-03-28,46.57,46.67,45.80,46.35,847200,46.35
2012-03-27,46.87,46.90,46.47,46.58,926300,46.58
2012-03-26,46.58,46.90,46.40,46.90,1218100,46.90
2012-03-23,46.52,46.52,45.76,46.26,1129000,46.26
2012-03-22,46.48,46.76,46.08,46.39,1685900,46.39
2012-03-21,45.18,47.20,44.99,46.98,2673900,46.98
2012-03-20,45.74,45.81,45.10,45.29,1197800,45.29
2012-03-19,45.50,46.27,45.50,46.10,2422800,46.10
2012-03-16,44.48,46.16,44.48,45.81,3496700,45.81
2012-03-15,44.09,44.73,43.99,44.55,1552200,44.55
2012-03-14,44.96,44.99,43.88,44.17,1557700,44.17
2012-03-13,44.33,44.98,44.26,44.97,1886800,44.97
2012-03-12,44.22,44.35,43.69,44.05,996300,44.05
2012-03-09,43.86,44.39,43.35,44.33,1147100,44.33
2012-03-08,43.86,43.99,43.37,43.83,1194300,43.83
2012-03-07,43.61,43.67,43.29,43.47,1644500,43.47
2012-03-06,43.82,44.05,43.38,43.51,1795100,43.51
2012-03-05,44.12,44.61,44.06,44.22,1949500,44.22
2012-03-02,44.12,44.48,44.00,44.32,2005100,44.32
2012-03-01,43.82,44.47,43.43,44.27,2143300,44.27
2012-02-29,42.56,43.69,42.49,43.68,2956000,43.68
2012-02-28,43.16,43.22,42.29,42.50,2138900,42.50
2012-02-27,42.99,43.49,42.82,43.13,1377000,43.13
2012-02-24,44.04,44.04,43.22,43.34,1250300,43.34
2012-02-23,43.51,44.07,43.47,43.83,1274500,43.83
2012-02-22,44.00,44.07,43.50,43.58,1563000,43.58
2012-02-21,43.90,44.28,43.00,44.03,2106700,44.03
2012-02-17,44.68,44.89,44.01,44.32,1671600,44.32
2012-02-16,43.91,45.00,43.65,44.68,2455200,44.68
2012-02-15,43.81,43.81,42.42,42.48,2437900,42.48
2012-02-14,43.71,43.94,43.50,43.72,1500000,43.72
2012-02-13,43.31,43.77,42.97,43.75,1195200,43.75
2012-02-10,42.60,43.11,42.54,43.03,1251800,43.03
2012-02-09,42.74,43.27,42.74,43.07,1027200,43.07
2012-02-08,42.86,43.08,42.42,42.65,1414100,42.65
2012-02-07,43.35,43.35,42.75,42.99,1820300,42.99
2012-02-06,44.22,44.36,43.38,43.47,1269800,43.47
2012-02-03,44.02,44.59,43.68,44.56,1851700,44.56
2012-02-02,44.25,44.54,43.26,43.46,1538300,43.46
2012-02-01,44.50,44.50,43.85,44.14,1683900,44.14
2012-01-31,44.60,44.92,43.75,44.65,3694300,44.65
2012-01-30,43.87,44.70,43.71,44.51,1352300,44.51
2012-01-27,44.51,44.71,44.18,44.50,937800,44.50
2012-01-26,44.61,45.00,44.34,44.72,1063000,44.72
2012-01-25,44.00,44.35,43.65,44.24,1719700,44.24
2012-01-24,43.96,44.17,43.61,43.86,1017400,43.86
2012-01-23,44.21,44.73,43.92,44.23,1176400,44.23
2012-01-20,44.50,44.59,44.15,44.41,1523700,44.41
2012-01-19,43.44,44.61,43.44,44.42,1507800,44.42
2012-01-18,42.68,43.36,42.63,43.30,1198400,43.30
2012-01-17,43.12,43.21,42.46,42.59,1040700,42.59
2012-01-13,42.36,42.82,41.84,42.69,1495800,42.69
2012-01-12,42.65,43.21,42.52,42.60,1634400,42.60
2012-01-11,42.34,42.63,42.11,42.50,1892000,42.50
2012-01-10,42.30,43.34,42.22,42.51,1478500,42.51
2012-01-09,41.55,41.85,41.42,41.72,1156300,41.72
2012-01-06,41.00,41.84,41.00,41.66,1421200,41.66
2012-01-05,41.29,41.32,40.80,41.02,1295700,41.02
2012-01-04,41.22,41.50,40.80,41.39,994500,41.39
2012-01-03,41.83,42.08,41.30,41.32,1574000,41.32
2011-12-30,41.10,41.26,40.89,40.96,766800,40.96
2011-12-29,40.49,41.18,40.49,41.15,813000,41.15
2011-12-28,41.38,41.65,40.26,40.52,899200,40.52
2011-12-27,41.01,41.82,40.75,41.56,930500,41.56
2011-12-23,40.69,41.07,40.40,41.07,873900,41.07
2011-12-22,40.27,40.82,40.01,40.73,1293100,40.73
2011-12-21,40.60,40.66,39.76,40.11,2046100,40.11
2011-12-20,40.03,40.92,39.84,40.48,2666500,40.48
2011-12-19,40.58,40.84,39.13,39.28,1539400,39.28
2011-12-16,40.63,41.29,40.21,40.37,1943500,40.37
2011-12-15,40.79,40.94,40.20,40.36,1639800,40.36
2011-12-14,40.20,40.46,39.78,40.04,1977800,40.04
2011-12-13,41.31,41.60,40.15,40.43,1804500,40.43
2011-12-12,41.34,41.34,40.55,41.11,1550200,41.11
2011-12-09,41.21,42.06,40.95,41.73,1960700,41.73
2011-12-08,41.55,42.11,40.75,40.87,2293100,40.87
2011-12-07,42.25,42.50,41.76,41.99,1820400,41.99
2011-12-06,42.95,43.04,42.34,42.52,1519700,42.52
2011-12-05,42.90,43.28,42.47,42.80,1323900,42.80
2011-12-02,42.78,43.24,42.04,42.11,1035600,42.11
2011-12-01,43.28,43.32,42.06,42.20,1742200,42.20
2011-11-30,42.32,43.56,42.27,43.51,2041500,43.51
2011-11-29,41.00,41.66,40.73,41.02,1335400,41.02
2011-11-28,41.41,41.97,40.71,41.11,1453400,40.86
2011-11-25,40.00,40.60,39.88,40.00,588300,39.76
2011-11-23,40.85,40.89,40.00,40.11,1534900,39.87
2011-11-22,41.91,42.02,41.00,41.19,1682500,40.94
2011-11-21,42.33,42.33,41.35,42.02,1075200,41.76
2011-11-18,42.76,43.23,42.44,42.82,1365100,42.56
2011-11-17,43.98,44.10,42.42,42.75,1840200,42.49
2011-11-16,44.72,45.67,44.11,44.19,1117700,43.92
2011-11-15,45.00,45.61,44.73,45.29,1309100,45.01
2011-11-14,45.27,45.76,44.88,45.09,874100,44.82
2011-11-11,45.13,45.81,45.13,45.53,1039300,45.25
2011-11-10,44.63,44.88,44.12,44.56,1429100,44.29
2011-11-09,44.89,45.13,43.68,44.01,2056400,43.74
2011-11-08,44.54,45.95,44.39,45.87,1827600,45.59
2011-11-07,44.06,44.42,43.28,44.40,1520300,44.13
2011-11-04,43.56,44.40,43.33,44.21,1628700,43.94
2011-11-03,43.31,44.67,43.01,44.44,2660400,44.17
2011-11-02,43.80,44.25,42.51,43.35,3124700,43.09
2011-11-01,44.33,44.85,43.47,43.80,3060600,43.53
2011-10-31,46.69,46.82,45.50,45.60,2463000,45.32
2011-10-28,46.99,47.49,46.45,47.22,1503000,46.93
2011-10-27,45.87,47.73,45.87,47.21,2301600,46.92
2011-10-26,44.94,45.60,43.90,44.73,2635700,44.46
2011-10-25,46.17,46.29,45.19,45.38,2036000,45.10
2011-10-24,45.71,47.04,45.60,46.73,1905500,46.45
