Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,99.28,100.04,96.35,97.00,6388400,97.00
2012-05-03,104.56,104.82,100.72,101.41,5900000,101.41
2012-05-02,104.30,105.15,102.00,104.12,6632800,104.12
2012-05-01,103.37,108.95,103.30,106.57,5528700,106.57
2012-04-30,104.64,104.80,101.88,103.36,3618700,103.36
2012-04-27,106.12,106.27,103.17,105.27,5352700,105.27
2012-04-26,101.31,105.37,101.27,105.09,6003800,105.09
2012-04-25,101.42,102.88,99.90,102.40,6652300,102.40
2012-04-24,96.60,99.38,96.60,99.24,5690100,99.24
2012-04-23,94.32,96.53,93.66,96.31,9148100,96.31
2012-04-20,101.28,101.35,98.73,98.82,6491800,98.82
2012-04-19,102.36,102.53,97.79,99.80,9273300,99.80
2012-04-18,100.98,103.20,100.59,100.85,5984300,100.85
2012-04-17,101.49,103.91,100.20,103.18,6755200,103.18
2012-04-16,99.70,100.91,96.80,99.09,10211500,99.09
2012-04-13,102.74,102.80,97.00,97.17,11952700,97.17
2012-04-12,98.66,103.65,98.10,103.37,10569800,103.37
2012-04-11,97.50,98.98,96.90,98.03,8867700,98.03
2012-04-10,100.11,101.23,93.85,93.98,14352500,93.98
2012-04-09,99.37,101.85,98.68,100.38,8874600,100.38
2012-04-05,104.03,106.45,103.50,104.81,6961500,104.81
2012-04-04,106.94,107.63,104.20,105.50,8327600,105.50
2012-04-03,110.76,111.49,107.67,110.35,7328800,110.35
2012-04-02,108.36,112.85,107.55,111.60,8736700,111.60
2012-03-30,109.58,109.80,106.64,109.15,6627000,109.15
2012-03-29,108.50,109.15,105.18,107.95,9041200,107.95
2012-03-28,110.21,111.66,107.45,110.96,9085800,110.96
2012-03-27,112.75,113.49,110.00,110.12,7269100,110.12
2012-03-26,110.80,112.95,109.96,112.87,8732000,112.87
2012-03-23,104.92,108.30,104.30,108.00,7982600,108.00
2012-03-22,106.60,107.54,104.34,105.33,8608200,105.33
2012-03-21,111.90,112.18,108.80,109.41,7948700,109.41
2012-03-20,108.27,111.49,107.28,110.67,9153700,110.67
2012-03-19,108.00,112.79,107.01,109.93,8627600,109.93
2012-03-16,108.36,108.90,106.72,108.20,7767300,108.20
2012-03-15,103.95,107.84,101.61,107.40,11017600,107.40
2012-03-14,102.94,104.09,100.16,102.73,8275900,102.73
2012-03-13,95.26,102.87,94.89,102.67,13700700,102.67
2012-03-12,93.68,93.68,91.50,93.23,6406900,93.23
2012-03-09,92.40,94.87,91.74,93.64,7739300,93.64
2012-03-08,90.81,91.95,89.58,91.59,6350600,91.59
2012-03-07,87.46,89.54,86.73,89.24,6683400,89.24
2012-03-06,88.67,89.17,85.62,86.20,11088100,86.20
2012-03-05,92.38,92.66,91.00,92.37,6141700,92.37
2012-03-02,94.26,94.85,92.80,93.02,6979500,93.02
2012-03-01,92.25,94.97,92.20,94.41,7533800,94.41
2012-02-29,93.17,95.00,91.00,91.38,9626000,91.38
2012-02-28,92.53,93.39,91.02,92.55,8796700,92.55
2012-02-27,88.52,92.73,87.40,92.42,6258000,92.42
2012-02-24,91.51,91.86,89.94,90.53,3891400,90.53
2012-02-23,88.65,91.33,88.00,91.00,7181100,91.00
2012-02-22,90.69,91.30,88.58,88.60,6995100,88.60
2012-02-21,92.08,93.00,90.46,91.55,8547400,91.55
2012-02-17,90.94,92.18,90.61,91.86,6406600,91.86
2012-02-16,86.39,90.46,85.87,90.35,11036900,90.35
2012-02-15,89.08,90.03,86.38,86.84,9999600,86.84
2012-02-14,89.24,89.29,86.08,88.15,8497800,88.15
2012-02-13,91.25,91.32,89.57,90.32,6794500,90.32
2012-02-10,87.76,88.60,86.94,88.09,7449300,88.09
2012-02-09,92.28,92.98,89.18,90.42,9755600,90.42
2012-02-08,90.19,91.15,88.85,90.95,8708100,90.95
2012-02-07,88.53,90.29,87.85,89.50,8135700,89.50
2012-02-06,89.53,89.80,88.25,89.72,7563800,89.72
2012-02-03,88.41,90.81,88.19,90.80,11267100,90.80
2012-02-02,83.90,85.45,83.00,84.59,8173800,84.59
2012-02-01,81.18,84.34,81.13,83.06,12785300,83.06
2012-01-31,80.14,80.40,77.97,79.36,7715600,79.36
2012-01-30,78.20,78.92,76.81,78.45,11073400,78.45
2012-01-27,78.69,81.26,78.42,80.64,10636700,80.64
2012-01-26,82.81,83.76,78.82,80.00,14176300,80.00
2012-01-25,79.43,82.02,78.91,81.54,12253300,81.54
2012-01-24,78.52,81.07,77.60,80.70,9589000,80.70
2012-01-23,80.35,82.57,79.54,80.86,12511300,80.86
2012-01-20,78.16,80.45,77.66,80.40,10044100,80.40
2012-01-19,79.49,79.66,78.06,79.07,14151400,79.07
2012-01-18,73.81,77.33,72.87,77.17,13224000,77.17
2012-01-17,75.33,77.45,73.29,74.07,11747400,74.07
2012-01-13,72.63,75.34,71.84,75.25,14902700,75.25
2012-01-12,76.99,77.63,74.20,76.81,14187100,76.81
2012-01-11,72.91,76.06,72.23,75.83,11564100,75.83
2012-01-10,73.51,74.50,72.68,74.12,14086800,74.12
2012-01-09,70.47,71.28,69.30,70.39,11734400,70.39
2012-01-06,70.88,70.96,68.26,69.49,12138900,69.49
2012-01-05,66.58,71.60,65.63,70.67,13224500,70.67
2012-01-04,67.68,68.88,66.28,68.25,8641100,68.25
2012-01-03,68.98,71.17,68.76,69.25,13564500,69.25
2011-12-30,65.30,65.97,64.84,64.87,5006000,64.87
2011-12-29,63.87,66.00,63.63,65.90,7245000,65.90
2011-12-28,66.36,66.40,63.15,63.27,8803100,63.27
2011-12-27,66.28,67.86,66.04,66.21,5585700,66.21
2011-12-23,66.64,67.17,65.50,67.13,7126400,67.13
2011-12-22,63.32,66.08,62.90,65.75,10483700,65.75
2011-12-21,61.09,62.68,59.91,62.30,12185900,62.30
2011-12-20,58.37,61.93,58.30,61.49,14434100,61.49
2011-12-19,59.20,59.66,55.00,55.40,14291600,55.40
2011-12-16,59.31,61.22,58.36,58.98,14779700,58.98
2011-12-15,60.57,60.66,57.91,58.13,14047000,58.13
2011-12-14,56.59,59.68,56.58,57.88,21623800,57.88
2011-12-13,62.41,62.97,56.57,58.34,17688200,58.34
2011-12-12,62.09,62.24,59.52,61.04,16256300,61.04
2011-12-09,63.15,65.84,62.57,65.12,10724800,65.12
2011-12-08,66.28,66.40,60.70,61.42,22498300,61.42
2011-12-07,64.44,68.84,63.20,68.30,19894200,68.30
2011-12-06,65.00,67.14,64.07,65.95,12908500,65.95
2011-12-05,66.25,68.32,64.65,66.07,19799600,66.07
2011-12-02,62.61,66.00,62.48,62.82,22400200,62.82
2011-12-01,60.59,61.60,58.96,60.89,14247400,60.89
2011-11-30,58.23,62.35,57.50,62.04,25152200,62.04
2011-11-29,53.29,54.33,52.27,52.72,13487200,52.72
2011-11-28,54.54,54.79,52.09,53.59,19221500,53.59
2011-11-25,48.86,51.24,48.65,49.38,8649800,49.38
2011-11-23,51.33,51.42,48.67,48.69,23735000,48.69
2011-11-22,54.51,55.09,52.75,53.12,18263200,53.12
2011-11-21,55.11,55.60,53.13,54.41,18231800,54.41
2011-11-18,58.71,59.25,57.26,58.49,17518700,58.49
2011-11-17,61.48,61.89,56.73,57.60,25052300,57.60
2011-11-16,63.75,65.39,61.00,61.35,14764600,61.35
2011-11-15,63.26,67.00,62.98,65.65,14306000,65.65
2011-11-14,67.21,67.47,63.57,64.86,12420200,64.86
2011-11-11,67.06,69.37,66.95,68.64,14355000,68.64
2011-11-10,66.60,66.71,63.00,64.40,10207900,64.40
2011-11-09,13.76,13.83,12.61,12.72,2724200,63.60
2011-11-08,14.55,15.06,14.04,14.94,14324000,74.70
2011-11-07,13.86,14.25,13.49,14.17,10657800,70.85
2011-11-04,14.05,14.13,13.47,13.97,11142600,69.85
2011-11-03,14.27,14.61,13.11,14.48,16652400,72.40
2011-11-02,13.56,13.92,13.17,13.75,11343900,68.75
2011-11-01,12.82,13.76,12.72,12.76,18831500,63.80
2011-10-31,15.37,15.65,14.67,14.67,10757900,73.35
2011-10-28,16.00,16.51,15.78,16.33,12643600,81.65
2011-10-27,15.86,16.73,15.30,16.37,22559700,81.85
2011-10-26,14.07,14.26,13.25,14.05,15036800,70.25
2011-10-25,14.13,14.14,13.21,13.36,12011000,66.80
2011-10-24,13.82,14.66,13.75,14.57,13809100,72.85
2011-10-21,13.22,13.69,13.11,13.67,14989600,68.35
2011-10-20,12.23,12.87,11.80,12.76,15465800,63.80
2011-10-19,12.79,13.32,12.10,12.21,16464600,61.05
2011-10-18,11.52,13.17,11.33,12.83,22542000,64.15
2011-10-17,12.11,12.20,11.25,11.33,10931900,56.65
2011-10-14,12.45,12.63,11.85,12.43,11526700,62.15
2011-10-13,12.19,12.28,11.45,11.98,14752100,59.90
2011-10-12,12.22,13.22,12.17,12.65,15844900,63.25
2011-10-11,11.45,12.16,11.36,11.83,13708000,59.15
2011-10-10,11.09,11.89,11.07,11.89,13577300,59.45
2011-10-07,11.70,11.70,10.36,10.41,19032300,52.05
2011-10-06,10.43,11.57,10.10,11.51,18688600,57.55
2011-10-05,10.14,10.77,9.55,10.56,20515600,52.80
2011-10-04,8.89,10.30,8.43,10.20,21620000,51.00
2011-10-03,10.38,10.89,9.34,9.35,17704500,46.75
2011-09-30,11.13,11.37,10.60,10.62,12329300,53.10
2011-09-29,11.73,11.91,10.88,11.73,14422600,58.65
2011-09-28,11.99,12.14,10.87,10.94,13394200,54.70
2011-09-27,12.41,12.75,11.64,11.90,16413700,59.50
2011-09-26,10.93,11.78,10.61,11.67,14121200,58.35
2011-09-23,10.04,10.63,10.00,10.53,10382800,52.65
2011-09-22,10.48,10.66,9.75,10.20,16248400,51.00
2011-09-21,13.10,13.15,11.50,11.50,13142400,57.50
2011-09-20,13.24,13.62,13.00,13.02,9406400,65.10
2011-09-19,13.29,13.42,12.72,13.06,10969800,65.30
2011-09-16,14.13,14.48,13.46,14.09,10202300,70.45
2011-09-15,13.58,14.02,13.24,14.00,11873100,70.00
2011-09-14,12.95,13.50,12.19,13.11,12542100,65.55
2011-09-13,12.62,12.94,12.20,12.61,11801500,63.05
2011-09-12,11.42,12.43,11.37,12.40,10264400,62.00
2011-09-09,12.82,13.01,11.88,12.09,15246900,60.45
2011-09-08,13.51,13.99,13.10,13.21,11470400,66.05
2011-09-07,13.18,14.08,12.84,14.05,7147600,70.25
2011-09-06,11.78,12.46,11.66,12.38,8622900,61.90
2011-09-02,13.49,13.68,12.94,13.09,9644200,65.45
2011-09-01,15.57,15.75,14.58,14.63,10008900,73.15
2011-08-31,15.50,15.95,15.17,15.61,11826300,78.05
2011-08-30,15.02,15.47,14.45,15.13,12201700,75.65
2011-08-29,14.44,15.37,14.42,15.36,9688600,76.80
2011-08-26,12.90,14.00,12.32,13.74,18334400,68.70
2011-08-25,14.75,15.28,12.87,13.31,19495600,66.55
2011-08-24,12.64,13.69,12.52,13.62,13466000,68.10
2011-08-23,11.72,12.71,11.20,12.68,15019200,63.40
2011-08-22,12.89,12.90,11.51,11.59,10078300,57.95
2011-08-19,12.01,13.18,12.00,12.01,9173900,60.05
2011-08-18,13.22,13.31,12.31,12.64,11505100,63.20
2011-08-17,14.94,15.36,14.46,14.77,8116100,73.85
2011-08-16,14.68,15.27,14.25,14.65,9601400,73.25
2011-08-15,14.67,15.38,14.57,15.36,10117200,76.80
2011-08-12,15.25,15.66,13.81,14.07,16960800,70.35
2011-08-11,12.90,15.07,12.54,14.43,17344100,72.15
2011-08-10,14.16,14.36,12.36,12.48,19269800,62.40
2011-08-09,13.50,15.20,12.08,15.12,20704400,75.60
2011-08-08,15.54,16.47,12.08,12.46,18895600,62.30
2011-08-05,18.65,18.94,16.15,17.22,13199100,86.10
2011-08-04,20.64,20.70,18.08,18.31,10322400,91.55
2011-08-03,21.07,21.39,19.95,21.33,10077800,106.65
2011-08-02,22.32,22.51,20.83,20.89,7573600,104.45
2011-08-01,24.03,24.07,22.24,22.66,9187800,113.30
2011-07-29,22.43,23.52,22.15,22.94,6823900,114.70
2011-07-28,23.29,23.95,23.01,23.16,4871300,115.80
2011-07-27,24.49,24.54,23.05,23.13,6024800,115.65
2011-07-26,24.91,25.28,24.50,24.88,3798900,124.40
2011-07-25,24.77,25.22,24.38,24.90,3561000,124.50
2011-07-22,25.72,25.76,25.16,25.51,2978800,127.55
2011-07-21,24.78,25.85,24.75,25.64,7616900,128.20
2011-07-20,23.80,24.41,23.76,24.12,4065900,120.60
2011-07-19,22.85,23.60,22.72,23.50,5385800,117.50
2011-07-18,23.21,23.27,21.95,22.63,6177600,113.15
2011-07-15,24.17,24.17,23.04,23.58,4209800,117.90
2011-07-14,24.79,24.84,23.57,23.68,5843600,118.40
2011-07-13,24.60,25.17,24.15,24.23,4549400,121.15
2011-07-12,24.08,25.08,24.01,24.15,4418700,120.75
2011-07-11,25.43,25.45,24.12,24.37,4418000,121.85
2011-07-08,26.12,26.45,25.90,26.39,3643100,131.95
2011-07-07,27.03,27.52,26.97,27.31,3605100,136.55
2011-07-06,25.98,26.22,25.55,26.20,3084100,131.00
2011-07-05,26.83,26.87,26.08,26.45,3282700,132.25
2011-07-01,25.62,27.14,25.58,26.99,3911600,134.95
2011-06-30,25.63,25.89,25.12,25.64,3441500,128.20
2011-06-29,24.45,25.52,24.25,25.43,5202900,127.15
2011-06-28,23.71,23.80,23.38,23.79,3181900,118.95
2011-06-27,22.73,23.63,22.73,23.44,4036000,117.20
2011-06-24,23.35,23.48,22.55,22.79,3958700,113.95
2011-06-23,23.22,23.48,22.50,23.29,7081500,116.45
2011-06-22,24.16,24.83,23.93,23.98,3909800,119.90
2011-06-21,23.93,24.55,23.59,24.42,3629100,122.10
2011-06-20,23.18,23.91,23.03,23.53,3429900,117.65
2011-06-17,23.71,23.78,23.20,23.50,4762800,117.50
2011-06-16,22.62,23.37,22.28,22.98,6571200,114.90
2011-06-15,23.43,23.66,22.28,22.65,5505100,113.25
2011-06-14,24.22,24.57,24.00,24.13,4785900,120.65
2011-06-13,23.38,23.80,22.99,23.63,4778200,118.15
2011-06-10,23.35,23.63,22.26,23.05,6673600,115.25
2011-06-09,23.33,23.97,23.01,23.70,2996100,118.50
2011-06-08,23.52,23.90,22.99,23.10,4294900,115.50
2011-06-07,24.26,24.45,23.72,23.75,3223100,118.75
2011-06-06,24.80,24.93,23.66,23.77,4701900,118.85
2011-06-03,24.77,25.88,24.71,25.11,4499500,125.55
2011-06-02,25.70,26.10,25.14,25.66,5719900,128.30
2011-06-01,27.91,27.94,25.50,25.53,5471100,127.65
2011-05-31,28.16,28.35,27.68,28.22,2535400,141.10
2011-05-27,27.04,27.62,27.02,27.42,2490600,137.10
2011-05-26,26.22,27.06,26.02,26.83,3251100,134.15
2011-05-25,25.95,26.75,25.89,26.37,3126600,131.85
2011-05-24,26.63,26.68,25.88,26.30,3186700,131.50
2011-05-23,26.59,26.89,26.38,26.41,3799100,132.05
2011-05-20,28.39,28.65,27.43,27.52,3036200,137.60
2011-05-19,28.83,28.86,28.26,28.61,2256300,143.05
2011-05-18,28.05,28.60,27.80,28.55,2566700,142.75
2011-05-17,27.36,28.12,27.27,28.07,3464600,140.35
2011-05-16,27.39,28.51,27.27,27.63,3028600,138.15
2011-05-13,28.85,28.98,27.65,27.71,3698700,138.55
2011-05-12,28.57,28.98,27.94,28.88,3114200,144.40
2011-05-11,29.79,29.83,28.68,28.87,3313000,144.35
2011-05-10,29.24,30.05,29.24,29.92,2733500,149.60
2011-05-09,28.99,29.29,28.69,29.10,2467400,145.50
2011-05-06,29.75,29.99,28.92,29.15,3707000,145.75
2011-05-05,29.40,29.67,28.60,28.94,4308500,144.70
2011-05-04,30.70,30.72,29.67,29.88,3335800,149.40
2011-05-03,30.14,30.87,30.03,30.65,3059900,153.25
2011-05-02,30.95,31.06,30.22,30.40,2473400,152.00
2011-04-29,30.69,30.76,30.29,30.68,1704100,153.40
2011-04-28,30.07,30.90,30.02,30.78,2706600,153.90
2011-04-27,29.82,30.32,29.45,30.19,2751700,150.95
2011-04-26,29.41,29.85,29.22,29.65,2878300,148.25
2011-04-25,29.01,29.38,29.01,29.15,1948000,145.75
2011-04-21,29.03,29.32,28.60,29.21,2684900,146.05
2011-04-20,29.08,29.09,28.46,28.74,3434000,143.70
2011-04-19,28.48,28.55,27.86,28.34,3181200,141.70
2011-04-18,28.39,28.42,27.67,28.13,4860200,140.65
2011-04-15,29.48,29.65,29.02,29.28,2906200,146.40
2011-04-14,29.17,29.35,28.71,29.14,3778100,145.70
2011-04-13,30.95,30.98,29.50,29.71,4212800,148.55
2011-04-12,30.15,30.75,29.80,30.25,3371500,151.25
2011-04-11,30.75,31.29,30.48,30.67,2476600,153.35
2011-04-08,31.85,31.98,30.45,30.62,3497900,153.10
2011-04-07,31.88,32.15,31.19,31.47,4163500,157.35
2011-04-06,31.36,31.96,31.11,31.86,3753500,159.30
2011-04-05,30.84,31.17,30.64,30.93,2677400,154.65
2011-04-04,31.16,31.40,30.69,30.99,2500200,154.95
2011-04-01,30.85,31.36,30.66,30.96,3775500,154.80
2011-03-31,30.08,30.46,29.96,30.28,2673800,151.40
2011-03-30,30.12,30.73,29.95,30.47,3890600,152.35
2011-03-29,29.35,29.67,28.89,29.67,2810200,148.35
2011-03-28,29.75,30.07,29.45,29.46,2472200,147.30
2011-03-25,29.63,30.05,29.31,29.68,3352000,148.40
2011-03-24,29.32,29.55,28.55,29.45,3390200,147.25
2011-03-23,29.00,29.30,28.15,29.06,4213800,145.30
2011-03-22,29.70,29.80,29.27,29.28,3171500,146.40
2011-03-21,30.04,30.05,29.35,29.68,4217900,148.40
2011-03-18,29.07,29.65,28.82,28.97,6456900,144.85
2011-03-17,28.21,28.38,27.26,28.16,6181200,140.80
2011-03-16,28.85,28.89,26.78,27.25,9893000,136.25
2011-03-15,27.67,29.13,27.19,28.65,7133100,143.25
2011-03-14,29.78,30.01,29.01,29.80,5192100,149.00
2011-03-11,29.42,30.65,29.39,30.47,4878400,152.35
2011-03-10,30.72,30.75,27.92,29.92,6578700,149.60
2011-03-09,31.67,32.24,31.13,31.73,5046500,158.65
2011-03-08,30.49,32.00,30.39,31.84,5600100,159.20
2011-03-07,30.94,31.33,29.73,30.13,5395500,150.65
2011-03-04,31.71,31.73,30.10,30.72,6260100,153.60
2011-03-03,31.02,31.97,31.01,31.88,5002300,159.40
2011-03-02,30.49,30.85,29.79,30.13,5167100,150.65
2011-03-01,32.73,32.76,30.56,30.60,6895100,153.00
