Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,8.18,8.22,7.95,8.07,4189800,8.07
2012-05-03,7.95,8.20,7.90,8.08,6052300,8.08
2012-05-02,7.89,7.92,7.80,7.84,2095300,7.84
2012-05-01,7.92,8.15,7.86,7.91,1502400,7.91
2012-04-30,7.94,8.00,7.86,7.94,2470600,7.94
2012-04-27,7.82,8.03,7.72,7.98,4387900,7.98
2012-04-26,7.90,7.96,7.71,7.78,4236900,7.78
2012-04-25,8.40,8.42,7.88,7.94,12607400,7.94
2012-04-24,8.38,8.53,8.28,8.43,6961400,8.43
2012-04-23,8.28,8.37,7.91,7.94,1858500,7.94
2012-04-20,8.34,8.50,8.32,8.43,2102700,8.43
2012-04-19,8.17,8.24,8.09,8.18,648900,8.18
2012-04-18,8.12,8.30,8.11,8.18,2121000,8.18
2012-04-17,8.31,8.32,8.01,8.17,1759700,8.17
2012-04-16,8.25,8.30,8.02,8.21,1009500,8.21
2012-04-13,8.12,8.22,8.06,8.17,1995500,8.17
2012-04-12,8.15,8.43,8.06,8.35,1586500,8.35
2012-04-11,8.18,8.19,8.00,8.08,1250500,8.08
2012-04-10,8.21,8.21,7.97,8.01,951500,8.01
2012-04-09,8.18,8.41,8.17,8.26,997400,8.26
2012-04-05,8.39,8.49,8.24,8.34,1104500,8.34
2012-04-04,8.38,8.48,8.30,8.40,1284700,8.40
2012-04-03,8.70,8.82,8.55,8.59,1672300,8.59
2012-04-02,8.33,8.70,8.27,8.64,2250400,8.64
2012-03-30,8.28,8.39,8.12,8.39,1837400,8.39
2012-03-29,7.91,8.21,7.90,8.15,751500,8.15
2012-03-28,8.05,8.07,7.95,8.03,1425800,8.03
2012-03-27,8.21,8.28,8.10,8.11,313700,8.11
2012-03-26,8.26,8.26,8.13,8.23,536500,8.23
2012-03-23,8.15,8.20,8.07,8.18,491600,8.18
2012-03-22,8.13,8.19,8.05,8.15,1375000,8.15
2012-03-21,8.24,8.26,8.17,8.23,754200,8.23
2012-03-20,8.20,8.40,8.20,8.21,1730700,8.21
2012-03-19,8.36,8.60,8.34,8.47,770900,8.47
2012-03-16,8.44,8.51,8.29,8.36,1734800,8.36
2012-03-15,8.58,8.58,8.43,8.50,2055100,8.50
2012-03-14,8.62,8.77,8.57,8.62,1587300,8.62
2012-03-13,8.69,8.89,8.51,8.85,1733200,8.85
2012-03-12,8.73,8.83,8.59,8.68,702000,8.68
2012-03-09,8.75,8.92,8.68,8.87,1400000,8.87
2012-03-08,8.50,8.77,8.37,8.73,4783900,8.73
2012-03-07,8.75,8.80,8.52,8.78,1636200,8.78
2012-03-06,9.06,9.06,8.70,8.78,1459500,8.78
2012-03-05,9.37,9.42,9.13,9.16,1674100,9.16
2012-03-02,9.01,9.36,9.01,9.35,2061600,9.35
2012-03-01,9.19,9.27,9.00,9.09,2403900,9.09
2012-02-29,9.65,9.72,9.17,9.21,3011900,9.21
2012-02-28,9.58,9.63,9.34,9.44,2612900,9.44
2012-02-27,9.06,9.28,8.90,9.23,1928000,9.23
2012-02-24,9.35,9.40,9.01,9.12,2354800,9.12
2012-02-23,9.64,9.73,9.45,9.48,841900,9.48
2012-02-22,9.55,9.76,9.39,9.65,1134700,9.65
2012-02-21,9.70,9.79,9.48,9.56,442000,9.56
2012-02-17,9.66,9.76,9.66,9.69,1067000,9.69
2012-02-16,9.21,9.65,9.10,9.62,1222700,9.62
2012-02-15,9.43,9.44,9.23,9.24,1309900,9.24
2012-02-14,9.36,9.37,9.14,9.28,1140000,9.28
2012-02-13,9.22,9.44,9.16,9.43,2197200,9.43
2012-02-10,9.00,9.27,8.98,9.05,1886400,9.05
2012-02-09,9.30,9.42,9.12,9.31,2721600,9.31
2012-02-08,9.16,9.33,9.12,9.30,2267200,9.30
2012-02-07,8.87,9.19,8.81,9.14,2653300,9.14
2012-02-06,8.82,9.04,8.80,8.92,2141000,8.92
2012-02-03,8.51,8.89,8.45,8.85,1988200,8.85
2012-02-02,8.30,8.66,8.15,8.40,2363500,8.40
2012-02-01,8.21,8.28,8.10,8.19,3180300,8.19
2012-01-31,8.40,8.42,7.85,7.99,4127200,7.99
2012-01-30,8.36,8.47,8.25,8.38,1029200,8.38
2012-01-27,8.50,8.61,8.39,8.57,1822900,8.57
2012-01-26,8.95,8.97,8.48,8.58,1810600,8.58
2012-01-25,8.67,8.91,8.56,8.73,1307100,8.73
2012-01-24,8.61,9.00,8.50,8.77,1983300,8.77
2012-01-23,8.76,8.88,8.65,8.66,2429300,8.66
2012-01-20,8.63,8.86,8.62,8.85,2231100,8.85
2012-01-19,8.51,8.64,8.50,8.62,1801200,8.62
2012-01-18,8.54,8.65,8.48,8.63,1653000,8.63
2012-01-17,8.54,8.69,8.40,8.53,3239900,8.53
2012-01-13,8.25,8.35,8.05,8.20,1067800,8.20
2012-01-12,8.21,8.41,8.16,8.38,1257400,8.38
2012-01-11,8.09,8.27,8.00,8.15,1373900,8.15
2012-01-10,8.11,8.25,8.11,8.23,1379100,8.23
2012-01-09,7.87,7.93,7.70,7.73,1085900,7.73
2012-01-06,7.82,7.86,7.65,7.79,1170700,7.79
2012-01-05,8.00,8.00,7.72,7.81,1400100,7.81
2012-01-04,8.14,8.27,8.04,8.08,2126700,8.08
2012-01-03,7.91,8.31,7.91,8.20,2270200,8.20
2011-12-30,7.52,7.84,7.52,7.77,834000,7.77
2011-12-29,7.50,7.58,7.38,7.51,592700,7.51
2011-12-28,7.68,7.74,7.41,7.45,511900,7.45
2011-12-27,7.81,7.87,7.71,7.71,495200,7.71
2011-12-23,7.58,7.81,7.57,7.78,889900,7.78
2011-12-22,7.22,7.52,7.19,7.47,1226100,7.47
2011-12-21,7.02,7.37,6.99,7.30,1779500,7.30
2011-12-20,6.85,7.10,6.85,6.99,1347900,6.99
2011-12-19,6.91,6.94,6.65,6.68,1279400,6.68
2011-12-16,7.07,7.12,6.93,7.02,1069200,7.02
2011-12-15,7.17,7.24,6.98,7.02,848000,7.02
2011-12-14,7.30,7.40,6.99,7.09,2184600,7.09
2011-12-13,7.45,7.54,7.21,7.32,1830500,7.32
2011-12-12,7.35,7.41,7.18,7.36,1062100,7.36
2011-12-09,7.32,7.53,7.32,7.51,525200,7.51
2011-12-08,7.71,7.76,7.24,7.28,1604300,7.28
2011-12-07,7.72,7.96,7.69,7.84,1051700,7.84
