Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,13.35,13.49,13.15,13.21,90500,13.21
2012-05-03,13.28,13.47,13.23,13.43,125400,13.43
2012-05-02,12.88,13.26,12.88,13.26,99900,13.26
2012-05-01,13.00,13.09,12.83,13.00,168000,13.00
2012-04-30,13.16,13.17,12.98,13.03,57000,13.03
2012-04-27,13.06,13.15,12.93,13.13,64900,13.13
2012-04-26,13.09,13.16,13.00,13.07,33800,13.07
2012-04-25,12.79,13.13,12.61,13.13,229700,13.13
2012-04-24,12.56,12.89,12.56,12.88,60500,12.88
2012-04-23,12.50,12.65,12.37,12.57,74500,12.57
2012-04-20,12.89,12.89,12.57,12.64,73900,12.64
2012-04-19,12.74,12.78,12.51,12.57,55300,12.57
2012-04-18,12.89,12.91,12.52,12.69,54700,12.69
2012-04-17,12.85,13.00,12.84,12.92,111900,12.92
2012-04-16,12.67,12.95,12.66,12.86,59600,12.86
2012-04-13,12.88,12.91,12.60,12.63,129700,12.63
2012-04-12,12.93,13.00,12.84,12.97,95900,12.97
2012-04-11,12.91,12.95,12.76,12.94,56600,12.94
2012-04-10,12.85,12.90,12.70,12.75,124800,12.75
2012-04-09,12.84,13.00,12.78,12.84,138200,12.84
2012-04-05,13.05,13.12,12.84,13.02,305800,13.02
2012-04-04,13.44,13.48,13.13,13.15,86500,13.15
2012-04-03,13.74,13.83,13.56,13.60,84000,13.60
2012-04-02,13.47,13.74,13.35,13.74,110900,13.74
2012-03-30,13.81,13.81,13.45,13.46,79000,13.46
2012-03-29,13.61,13.73,13.44,13.70,53500,13.70
2012-03-28,13.82,13.82,13.60,13.70,95000,13.70
2012-03-27,13.95,14.01,13.73,13.76,61100,13.76
2012-03-26,13.96,14.03,13.85,13.92,79700,13.92
2012-03-23,13.72,14.12,13.61,13.89,121000,13.89
2012-03-22,13.65,13.78,13.57,13.71,31300,13.71
2012-03-21,14.10,14.10,13.78,13.79,56700,13.79
2012-03-20,14.17,14.26,13.88,14.04,58400,14.04
2012-03-19,13.87,14.48,13.70,14.25,81300,14.25
2012-03-16,14.01,14.24,13.75,13.97,118000,13.97
2012-03-15,13.60,13.99,13.55,13.95,82300,13.95
2012-03-14,13.69,13.89,13.54,13.67,48400,13.67
2012-03-13,13.53,13.73,13.40,13.68,79300,13.68
2012-03-12,13.35,13.51,13.13,13.41,65900,13.41
2012-03-09,13.19,13.46,13.01,13.31,119800,13.31
2012-03-08,13.04,13.15,12.83,13.15,81000,13.15
2012-03-07,13.00,13.15,12.95,13.13,56700,13.00
2012-03-06,12.88,13.10,12.88,12.91,61000,12.78
2012-03-05,12.89,13.13,12.89,13.04,51900,12.91
2012-03-02,13.01,13.19,12.88,12.94,104200,12.81
2012-03-01,13.02,13.31,12.96,12.99,113800,12.86
2012-02-29,13.24,13.35,12.92,12.95,87200,12.82
2012-02-28,13.22,13.30,13.10,13.20,68800,13.07
2012-02-27,13.17,13.33,13.03,13.27,50400,13.14
2012-02-24,13.32,13.33,13.00,13.22,100000,13.09
2012-02-23,12.89,13.30,12.73,13.28,59300,13.15
2012-02-22,13.09,13.13,12.80,12.82,66300,12.69
2012-02-21,13.45,13.45,13.12,13.17,50200,13.04
2012-02-17,13.52,13.52,13.40,13.45,87600,13.32
2012-02-16,13.39,13.45,13.36,13.45,147200,13.32
2012-02-15,13.39,13.46,13.20,13.37,113100,13.24
2012-02-14,13.22,13.39,13.16,13.39,113900,13.26
2012-02-13,13.35,13.54,13.30,13.43,42700,13.30
2012-02-10,13.26,13.36,13.17,13.19,46200,13.06
2012-02-09,13.46,13.52,13.27,13.34,63300,13.21
2012-02-08,13.35,13.51,13.25,13.41,93000,13.28
2012-02-07,13.36,13.48,13.12,13.27,61800,13.14
2012-02-06,13.44,13.52,13.29,13.36,114300,13.23
2012-02-03,13.28,13.62,13.09,13.46,207100,13.33
2012-02-02,13.21,13.21,12.92,13.04,161500,12.91
2012-02-01,12.50,13.36,12.36,13.17,235700,13.04
2012-01-31,13.40,13.41,13.10,13.10,73400,12.97
2012-01-30,13.40,13.44,13.13,13.29,64900,13.16
2012-01-27,13.07,13.47,13.03,13.47,57800,13.34
2012-01-26,13.06,13.20,12.86,13.14,70800,13.01
2012-01-25,13.23,13.28,12.99,13.03,87600,12.90
2012-01-24,13.31,13.31,13.07,13.20,132700,13.07
2012-01-23,13.42,13.49,13.24,13.34,43800,13.21
2012-01-20,13.09,13.50,13.00,13.39,121200,13.26
2012-01-19,13.20,13.20,12.98,13.10,79300,12.97
2012-01-18,13.03,13.13,12.95,13.13,108500,13.00
2012-01-17,13.00,13.09,12.87,13.01,104100,12.88
2012-01-13,12.84,12.98,12.81,12.89,65500,12.76
2012-01-12,13.03,13.03,12.90,13.00,86400,12.87
2012-01-11,12.96,13.05,12.81,13.03,96300,12.90
2012-01-10,13.08,13.21,12.91,13.00,110600,12.87
2012-01-09,12.99,12.99,12.83,12.89,41600,12.76
2012-01-06,13.03,13.03,12.81,12.94,69100,12.81
2012-01-05,12.98,13.13,12.77,13.00,64500,12.87
2012-01-04,12.79,13.10,12.79,13.02,88800,12.89
2012-01-03,12.93,13.04,12.76,12.83,102000,12.70
2011-12-30,12.81,12.84,12.60,12.63,86800,12.50
2011-12-29,12.55,12.95,12.48,12.86,101100,12.73
2011-12-28,12.95,13.03,12.45,12.53,82200,12.41
2011-12-27,12.84,13.12,12.75,12.96,68200,12.83
2011-12-23,13.03,13.10,12.82,12.84,37000,12.71
2011-12-22,12.88,13.05,12.77,12.96,136000,12.83
2011-12-21,12.89,12.89,12.64,12.83,69900,12.70
2011-12-20,12.78,12.90,12.56,12.88,118400,12.75
2011-12-19,12.75,12.94,12.49,12.51,90100,12.39
2011-12-16,12.81,12.97,12.56,12.64,338000,12.51
2011-12-15,12.68,12.89,12.38,12.68,132300,12.55
2011-12-14,12.13,12.54,12.13,12.48,111300,12.36
2011-12-13,12.47,12.65,12.16,12.21,78500,12.09
2011-12-12,12.21,12.37,12.00,12.35,76200,12.23
2011-12-09,12.08,12.51,12.01,12.37,130600,12.25
2011-12-08,12.48,12.48,11.97,11.98,69100,11.86
2011-12-07,12.53,12.62,12.21,12.55,48600,12.43
2011-12-06,12.70,12.78,12.58,12.68,93400,12.43
2011-12-05,12.78,12.78,12.45,12.73,113000,12.47
2011-12-02,12.69,12.85,12.47,12.60,86100,12.35
2011-12-01,12.90,12.95,12.47,12.49,92900,12.24
2011-11-30,12.32,12.98,12.31,12.94,274600,12.68
2011-11-29,11.95,11.95,11.73,11.90,59300,11.66
2011-11-28,11.78,12.02,11.66,11.94,153200,11.70
2011-11-25,11.46,11.63,11.23,11.23,28400,11.00
2011-11-23,11.86,11.86,11.46,11.47,89100,11.24
2011-11-22,12.07,12.26,11.95,11.95,70800,11.71
2011-11-21,12.11,12.30,12.00,12.04,87200,11.80
2011-11-18,12.17,12.38,12.07,12.31,46500,12.06
2011-11-17,12.19,12.36,12.11,12.17,105400,11.93
2011-11-16,12.02,12.40,12.00,12.16,100300,11.92
2011-11-15,11.83,12.20,11.83,12.17,92100,11.93
2011-11-14,12.27,12.38,11.80,11.93,84800,11.69
2011-11-11,12.33,12.47,12.24,12.31,82700,12.06
2011-11-10,12.39,12.39,12.05,12.18,50700,11.94
2011-11-09,12.16,12.46,12.09,12.20,171800,11.96
2011-11-08,12.30,12.59,12.11,12.49,163800,12.24
2011-11-07,11.99,12.30,11.96,12.23,80200,11.98
2011-11-04,12.09,12.10,11.86,11.97,53100,11.73
2011-11-03,12.01,12.32,11.65,12.25,78400,12.00
2011-11-02,11.76,11.91,11.52,11.89,120500,11.65
2011-11-01,11.84,12.16,11.46,11.54,110500,11.31
2011-10-31,12.24,12.55,12.08,12.26,138200,12.01
2011-10-28,12.93,12.93,12.29,12.42,298100,12.17
2011-10-27,13.11,13.72,12.40,13.43,221000,13.16
2011-10-26,12.90,12.99,12.49,12.70,115100,12.45
2011-10-25,12.85,12.96,12.52,12.68,111000,12.43
2011-10-24,12.82,13.09,12.59,12.93,190500,12.67
2011-10-21,12.76,12.80,12.52,12.75,307700,12.49
2011-10-20,12.17,12.59,11.95,12.54,76500,12.29
2011-10-19,12.39,12.43,12.03,12.13,134200,11.89
2011-10-18,11.80,12.57,11.80,12.46,93500,12.21
2011-10-17,11.95,12.13,11.70,11.71,128500,11.48
2011-10-14,12.19,12.20,11.96,12.09,152600,11.85
2011-10-13,12.09,12.20,11.85,12.18,44500,11.94
2011-10-12,12.24,12.34,12.01,12.19,105200,11.95
2011-10-11,11.82,12.20,11.77,12.19,90600,11.95
2011-10-10,11.87,11.97,11.63,11.96,105700,11.72
2011-10-07,11.99,12.00,11.50,11.64,162900,11.41
2011-10-06,11.49,12.06,11.17,11.99,344000,11.75
2011-10-05,12.07,12.07,11.35,11.56,172300,11.33
2011-10-04,10.78,12.16,10.78,12.12,253300,11.88
2011-10-03,10.70,11.10,10.70,10.82,253900,10.60
