Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,32.73,32.80,32.18,32.44,90900,32.44
2012-05-03,33.39,33.39,32.80,33.00,53000,33.00
2012-05-02,33.11,33.61,32.95,33.45,58000,33.45
2012-05-01,33.82,34.51,33.48,33.48,87000,33.48
2012-04-30,34.78,34.78,33.78,33.84,60000,33.84
2012-04-27,34.50,34.72,33.97,34.68,68500,34.68
2012-04-26,34.31,34.63,34.12,34.34,61500,34.34
2012-04-25,34.23,34.87,33.97,34.43,99900,34.43
2012-04-24,32.88,33.94,32.74,33.71,79200,33.71
2012-04-23,32.83,33.42,32.51,32.73,62100,32.73
2012-04-20,34.35,34.36,33.28,33.39,62900,33.39
2012-04-19,33.37,33.71,32.80,33.01,57400,33.01
2012-04-18,34.05,34.05,33.13,33.33,51700,33.33
2012-04-17,33.93,34.49,33.89,34.10,60600,34.10
2012-04-16,33.15,33.79,33.05,33.55,52500,33.55
2012-04-13,33.93,33.99,33.03,33.05,86800,33.05
2012-04-12,34.07,34.31,33.85,34.16,48100,34.16
2012-04-11,33.64,33.96,33.53,33.96,74300,33.96
2012-04-10,33.99,34.19,33.27,33.33,87400,33.33
2012-04-09,34.00,34.27,33.77,33.98,87200,33.98
2012-04-05,34.82,35.16,34.41,34.52,70500,34.52
2012-04-04,35.32,35.51,34.92,35.06,61100,35.06
2012-04-03,35.73,36.18,35.49,35.85,104100,35.85
2012-04-02,35.20,35.90,35.04,35.80,113200,35.80
2012-03-30,35.99,36.36,35.21,35.21,65100,35.21
2012-03-29,35.54,35.77,35.08,35.62,62100,35.62
2012-03-28,35.62,36.01,35.50,35.87,88700,35.87
2012-03-27,35.80,35.85,35.44,35.49,53400,35.49
2012-03-26,35.24,35.87,35.24,35.79,67000,35.79
2012-03-23,34.60,34.90,34.35,34.90,83300,34.90
2012-03-22,34.90,35.00,34.36,34.65,51800,34.65
2012-03-21,35.76,35.86,35.15,35.35,58900,35.35
2012-03-20,35.62,36.02,35.53,35.58,69600,35.58
2012-03-19,35.58,36.49,35.19,35.94,123800,35.94
2012-03-16,35.53,36.61,34.97,35.64,443700,35.64
2012-03-15,35.12,35.54,34.79,35.43,63800,35.43
2012-03-14,35.05,35.49,34.73,35.03,56800,35.03
2012-03-13,33.99,35.20,33.94,35.17,145800,35.17
2012-03-12,34.20,34.20,33.84,33.98,59300,33.74
2012-03-09,33.67,34.37,33.67,34.16,62600,33.92
2012-03-08,33.79,33.84,33.39,33.63,105100,33.39
2012-03-07,33.31,33.83,33.14,33.62,57900,33.38
2012-03-06,33.58,33.73,33.07,33.25,104500,33.02
2012-03-05,33.52,34.14,33.43,33.99,51000,33.75
2012-03-02,34.61,34.61,33.25,33.58,125000,33.34
2012-03-01,34.53,34.94,34.47,34.51,100200,34.27
2012-02-29,34.66,34.90,34.17,34.26,73700,34.02
2012-02-28,34.65,34.90,34.18,34.46,50000,34.22
2012-02-27,34.20,34.93,33.87,34.78,66800,34.53
2012-02-24,34.98,35.12,34.36,34.49,53200,34.25
2012-02-23,34.26,35.18,34.22,35.03,58500,34.78
2012-02-22,35.00,35.00,34.26,34.26,68100,34.02
2012-02-21,35.49,35.50,34.77,35.13,75200,34.88
2012-02-17,35.77,35.86,35.34,35.53,71600,35.28
2012-02-16,34.63,35.68,34.63,35.52,103900,35.27
2012-02-15,34.99,35.03,34.45,34.59,65400,34.35
2012-02-14,35.34,35.34,34.43,34.77,51600,34.52
2012-02-13,35.01,35.40,34.82,35.31,72200,35.06
2012-02-10,35.01,35.14,34.60,34.60,79900,34.36
2012-02-09,35.69,35.97,35.21,35.48,105900,35.23
2012-02-08,35.95,36.46,35.37,35.63,146800,35.38
2012-02-07,36.09,36.78,35.87,35.88,101000,35.63
2012-02-06,36.41,36.79,36.08,36.24,79400,35.98
2012-02-03,36.65,37.25,36.23,36.72,247200,36.46
2012-02-02,35.50,36.27,35.16,35.93,138400,35.68
2012-02-01,34.26,35.57,34.11,35.55,270300,35.30
2012-01-31,34.29,34.30,33.61,34.08,119900,33.84
2012-01-30,33.92,34.29,33.67,34.05,130800,33.81
2012-01-27,34.46,34.46,33.53,34.09,82200,33.85
2012-01-26,35.36,35.43,34.20,34.79,113700,34.54
2012-01-25,35.02,35.33,34.40,35.24,74000,34.99
2012-01-24,34.56,35.14,34.28,35.11,110900,34.86
2012-01-23,35.23,35.32,34.51,34.88,48100,34.63
2012-01-20,34.71,35.36,34.51,35.17,103700,34.92
2012-01-19,34.75,34.75,34.24,34.71,47800,34.46
2012-01-18,34.30,34.71,34.23,34.67,46100,34.43
2012-01-17,34.84,35.20,34.28,34.35,110300,34.11
