Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,7.96,7.99,7.91,7.99,10400,7.99
2012-05-03,7.97,8.00,7.96,7.99,14800,7.99
2012-05-02,7.95,8.00,7.88,8.00,19000,8.00
2012-05-01,7.96,7.99,7.77,7.96,8200,7.96
2012-04-30,7.95,7.96,7.79,7.95,15700,7.95
2012-04-27,7.96,8.00,7.93,7.99,9300,7.99
2012-04-26,7.94,8.00,7.94,8.00,6800,8.00
2012-04-25,7.99,8.00,7.88,7.99,20600,7.99
2012-04-24,7.96,8.00,7.87,8.00,13400,8.00
2012-04-23,7.94,7.96,7.81,7.96,6700,7.96
2012-04-20,8.03,8.04,8.00,8.00,6100,8.00
2012-04-19,7.98,8.06,7.97,8.03,9200,8.03
2012-04-18,7.89,8.15,7.89,8.00,42300,8.00
2012-04-17,7.90,7.90,7.79,7.89,8600,7.89
2012-04-16,7.84,7.94,7.76,7.91,5700,7.91
2012-04-13,7.82,7.85,7.75,7.83,5600,7.83
2012-04-12,7.65,7.89,7.63,7.84,8300,7.84
2012-04-11,7.33,7.71,7.33,7.70,7400,7.70
2012-04-10,7.68,7.80,7.51,7.64,7300,7.64
2012-04-09,7.77,7.80,7.48,7.74,1900,7.74
2012-04-05,7.80,7.92,7.80,7.85,6700,7.85
2012-04-04,7.95,7.95,7.62,7.80,11400,7.80
2012-04-03,7.97,8.00,7.90,7.95,4900,7.95
2012-04-02,7.81,8.00,7.41,8.00,68000,8.00
2012-03-30,7.79,7.82,7.72,7.72,4100,7.72
2012-03-29,7.88,7.90,7.70,7.82,10800,7.82
2012-03-28,7.75,7.95,7.59,7.94,3800,7.94
2012-03-27,7.62,7.81,7.61,7.80,6400,7.80
2012-03-26,7.45,7.66,7.45,7.59,5200,7.59
2012-03-23,7.68,7.69,7.39,7.39,2900,7.39
2012-03-22,7.61,7.86,7.61,7.66,3600,7.66
2012-03-21,7.55,7.71,7.51,7.69,6500,7.69
2012-03-20,7.51,7.61,7.50,7.59,7500,7.59
2012-03-19,7.47,7.58,7.40,7.58,13500,7.58
2012-03-16,7.26,7.39,7.26,7.36,9500,7.36
2012-03-15,7.31,7.35,7.08,7.31,8500,7.31
2012-03-14,7.24,7.32,7.23,7.32,12600,7.32
2012-03-13,7.25,7.29,7.17,7.22,4300,7.22
2012-03-12,7.22,7.26,7.01,7.24,13300,7.24
2012-03-09,7.30,7.34,7.24,7.29,24100,7.29
2012-03-08,7.42,7.42,7.29,7.32,7800,7.32
2012-03-07,7.17,7.48,7.17,7.48,2000,7.48
2012-03-06,7.15,7.20,7.15,7.19,4400,7.19
2012-03-05,7.02,7.27,7.02,7.20,7300,7.20
2012-03-02,7.17,7.36,7.16,7.33,7000,7.33
