Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,11.15,11.18,10.93,10.97,632100,10.97
2012-05-03,11.26,11.32,11.15,11.23,661600,11.23
2012-05-02,11.28,11.28,11.09,11.26,727800,11.26
2012-05-01,11.32,11.65,11.32,11.33,880200,11.33
2012-04-30,11.56,11.61,11.33,11.35,732000,11.35
2012-04-27,11.49,11.65,11.35,11.61,487300,11.61
2012-04-26,11.45,11.54,11.37,11.49,474200,11.49
2012-04-25,11.45,11.60,11.33,11.45,680500,11.45
2012-04-24,11.24,11.36,10.96,11.36,1073800,11.36
2012-04-23,11.53,11.56,11.38,11.52,820100,11.52
2012-04-20,11.73,11.85,11.63,11.70,585700,11.70
2012-04-19,11.59,11.70,11.40,11.53,567800,11.53
2012-04-18,11.66,11.74,11.56,11.57,532700,11.57
2012-04-17,11.68,11.90,11.68,11.79,467500,11.79
2012-04-16,11.46,11.70,11.35,11.62,687200,11.62
2012-04-13,11.69,11.69,11.39,11.39,710000,11.39
2012-04-12,11.64,11.78,11.62,11.72,628200,11.72
2012-04-11,11.54,11.67,11.43,11.64,767500,11.64
2012-04-10,11.62,11.67,11.39,11.41,885800,11.41
2012-04-09,11.71,11.73,11.52,11.61,840200,11.61
2012-04-05,11.89,11.96,11.81,11.89,648000,11.89
2012-04-04,12.13,12.16,11.91,11.96,826500,11.96
2012-04-03,12.33,12.36,12.14,12.29,582300,12.29
2012-04-02,12.08,12.35,11.94,12.32,1140600,12.32
2012-03-30,12.37,12.38,12.08,12.08,795600,12.08
2012-03-29,12.30,12.30,12.02,12.25,728100,12.25
2012-03-28,12.20,12.46,12.19,12.40,1599000,12.40
2012-03-27,12.39,12.39,12.21,12.21,512100,12.21
2012-03-26,12.34,12.43,12.26,12.34,720200,12.34
2012-03-23,12.08,12.21,12.02,12.19,743500,12.19
2012-03-22,12.20,12.20,12.01,12.10,727800,12.10
2012-03-21,12.30,12.42,12.25,12.29,645600,12.29
2012-03-20,12.33,12.39,12.20,12.27,588200,12.27
2012-03-19,12.30,12.50,12.11,12.44,592700,12.44
2012-03-16,12.37,12.47,12.21,12.35,920800,12.35
2012-03-15,12.18,12.35,12.08,12.33,640800,12.33
2012-03-14,12.18,12.29,11.97,12.13,488000,12.13
2012-03-13,11.94,12.15,11.90,12.15,1168100,12.15
2012-03-12,11.81,11.94,11.73,11.85,435600,11.85
2012-03-09,11.64,11.94,11.62,11.78,616000,11.78
2012-03-08,11.54,11.66,11.45,11.64,541200,11.64
2012-03-07,11.39,11.51,11.33,11.48,534200,11.48
2012-03-06,11.49,11.50,11.31,11.36,735000,11.36
2012-03-05,11.51,11.71,11.46,11.60,455700,11.60
2012-03-02,11.77,11.82,11.49,11.54,929200,11.54
2012-03-01,11.87,12.00,11.75,11.76,740900,11.76
2012-02-29,11.95,12.03,11.73,11.79,965800,11.79
2012-02-28,12.06,12.06,11.83,11.90,520600,11.90
2012-02-27,11.83,12.21,11.70,12.13,564400,12.01
2012-02-24,12.18,12.18,11.91,11.95,437800,11.83
2012-02-23,11.80,12.13,11.75,12.09,697800,11.97
2012-02-22,12.08,12.13,11.78,11.78,704900,11.66
2012-02-21,12.24,12.27,12.00,12.16,587400,12.04
2012-02-17,12.20,12.35,12.16,12.25,512300,12.13
2012-02-16,11.91,12.24,11.89,12.18,757600,12.06
2012-02-15,11.91,12.01,11.80,11.93,740900,11.81
2012-02-14,11.89,11.92,11.68,11.87,523900,11.75
2012-02-13,11.98,12.02,11.85,11.99,477400,11.87
2012-02-10,12.00,12.00,11.79,11.82,586100,11.70
2012-02-09,12.17,12.25,12.00,12.11,397700,11.99
2012-02-08,12.12,12.28,11.95,12.16,474000,12.04
2012-02-07,12.09,12.22,12.02,12.12,375700,12.00
2012-02-06,12.14,12.22,12.07,12.12,411000,12.00
2012-02-03,12.15,12.27,12.10,12.21,991300,12.09
2012-02-02,12.00,12.12,11.93,11.98,831400,11.86
2012-02-01,11.80,12.07,11.78,11.97,1224900,11.85
2012-01-31,11.79,11.85,11.61,11.72,830900,11.60
2012-01-30,11.44,11.75,11.41,11.69,838300,11.57
2012-01-27,11.51,11.63,11.32,11.53,1390300,11.42
2012-01-26,11.89,11.91,11.40,11.57,2106300,11.46
2012-01-25,11.83,11.96,11.71,11.84,1579600,11.72
2012-01-24,12.21,12.30,12.00,12.11,1115500,11.99
2012-01-23,12.40,12.56,12.28,12.33,860200,12.21
2012-01-20,12.20,12.45,12.12,12.43,755500,12.31
2012-01-19,12.50,12.50,12.17,12.20,845100,12.08
2012-01-18,12.30,12.49,12.26,12.43,1139800,12.31
2012-01-17,12.39,12.50,12.26,12.36,1434600,12.24
2012-01-13,12.13,12.34,12.05,12.30,906400,12.18
2012-01-12,12.23,12.33,12.08,12.32,904800,12.20
2012-01-11,12.20,12.25,12.11,12.20,923200,12.08
2012-01-10,12.29,12.33,12.17,12.25,1137200,12.13
2012-01-09,12.01,12.25,11.96,12.15,1125400,12.03
2012-01-06,11.87,12.07,11.69,12.01,1699700,11.89
2012-01-05,11.76,12.20,11.61,12.00,2109900,11.88
2012-01-04,11.63,11.84,11.45,11.81,1378900,11.69
2012-01-03,11.50,11.72,11.48,11.69,2251000,11.57
2011-12-30,11.38,11.39,11.23,11.31,1992900,11.20
2011-12-29,11.22,11.40,11.19,11.38,520100,11.27
2011-12-28,11.45,11.45,11.15,11.20,762600,11.09
2011-12-27,11.25,11.48,11.23,11.46,793800,11.35
2011-12-23,11.31,11.37,11.25,11.30,580800,11.19
2011-12-22,11.25,11.50,11.23,11.27,1105600,11.16
2011-12-21,10.98,11.19,10.91,11.19,1364300,11.08
2011-12-20,10.93,11.20,10.93,11.15,1040500,11.04
2011-12-19,11.01,11.14,10.69,10.73,643500,10.62
2011-12-16,11.02,11.24,10.88,10.96,2455600,10.85
2011-12-15,10.91,10.93,10.71,10.84,969600,10.73
2011-12-14,10.70,10.95,10.65,10.75,818000,10.64
2011-12-13,11.08,11.20,10.75,10.83,832000,10.72
2011-12-12,10.85,11.06,10.80,11.01,962100,10.90
2011-12-09,10.67,11.13,10.65,11.06,820300,10.95
2011-12-08,11.00,11.00,10.58,10.60,807900,10.50
