Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,21.69,21.81,21.31,21.63,183200,21.63
2012-05-03,22.21,22.21,21.63,21.89,151000,21.89
2012-05-02,22.44,22.44,21.80,22.25,168000,22.25
2012-05-01,22.79,23.00,22.56,22.69,391400,22.69
2012-04-30,22.85,23.15,22.69,22.84,213100,22.84
2012-04-27,22.46,22.92,22.22,22.83,180000,22.83
2012-04-26,21.41,22.44,21.41,22.42,228600,22.42
2012-04-25,21.17,21.42,20.99,21.42,233900,21.42
2012-04-24,20.59,20.96,20.38,20.90,140700,20.90
2012-04-23,20.76,21.07,20.46,20.66,102600,20.66
2012-04-20,21.68,21.68,20.98,21.18,216300,21.18
2012-04-19,21.79,21.93,21.10,21.29,201000,21.29
2012-04-18,22.03,22.03,21.61,21.79,238700,21.79
2012-04-17,22.16,22.44,22.12,22.19,245600,22.19
2012-04-16,21.86,22.15,21.61,21.96,247300,21.96
2012-04-13,22.10,22.20,21.68,21.78,219300,21.78
2012-04-12,21.82,22.36,21.28,22.26,278100,22.26
2012-04-11,21.61,21.88,21.30,21.85,314000,21.85
2012-04-10,21.51,21.61,21.27,21.29,439500,21.29
2012-04-09,21.48,21.72,21.38,21.53,247400,21.53
2012-04-05,21.51,22.05,21.51,22.00,203100,22.00
2012-04-04,21.83,22.11,21.45,21.67,158200,21.67
2012-04-03,22.09,22.14,21.78,22.13,173100,22.13
2012-04-02,22.22,22.36,21.97,22.21,296700,22.21
2012-03-30,22.48,22.74,22.07,22.36,383200,22.36
2012-03-29,21.96,22.36,21.72,22.26,232700,22.26
2012-03-28,22.44,22.70,21.94,22.09,263000,22.09
2012-03-27,22.69,22.77,22.37,22.47,317300,22.47
2012-03-26,22.59,22.84,22.52,22.69,171300,22.69
2012-03-23,22.33,22.66,22.15,22.58,146800,22.58
2012-03-22,22.26,22.32,21.82,22.30,189300,22.30
2012-03-21,22.49,22.81,22.26,22.52,114200,22.52
2012-03-20,22.39,22.57,22.09,22.46,246200,22.46
2012-03-19,21.99,22.83,21.58,22.62,694100,22.62
2012-03-16,22.79,22.79,21.95,22.11,358000,22.11
2012-03-15,22.09,22.86,21.90,22.65,352400,22.65
2012-03-14,22.26,22.31,21.44,22.10,538900,22.10
2012-03-13,22.08,22.40,21.59,22.37,254900,22.37
2012-03-12,22.01,22.02,21.55,21.87,248300,21.87
2012-03-09,21.45,22.21,21.08,21.97,328300,21.97
2012-03-08,21.38,21.69,21.20,21.49,221300,21.49
