Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,25.16,25.23,24.90,24.91,87300,24.91
2012-05-03,25.08,25.31,24.94,25.31,129800,25.31
2012-05-02,24.78,25.28,24.73,25.28,98000,25.28
2012-05-01,24.70,25.03,24.50,25.00,129000,25.00
2012-04-30,25.05,25.10,24.83,24.90,95700,24.90
2012-04-27,25.05,25.11,24.75,25.08,47000,25.08
2012-04-26,24.64,25.07,24.64,24.97,60100,24.97
2012-04-25,25.00,25.12,24.69,24.80,47800,24.80
2012-04-24,24.29,24.85,24.29,24.85,67000,24.85
2012-04-23,24.00,24.47,24.00,24.34,100800,24.34
2012-04-20,25.04,25.04,24.25,24.39,111200,24.39
2012-04-19,24.55,24.66,24.44,24.44,63300,24.44
2012-04-18,24.61,24.68,24.45,24.47,60400,24.47
2012-04-17,24.97,25.20,24.67,24.75,91100,24.75
2012-04-16,24.59,24.92,24.54,24.73,42700,24.73
2012-04-13,24.92,24.99,24.52,24.56,97200,24.56
2012-04-12,24.62,25.19,24.54,25.08,72600,25.08
2012-04-11,24.89,24.89,24.52,24.69,96500,24.69
2012-04-10,24.47,24.82,24.27,24.70,153800,24.70
2012-04-09,23.95,24.43,23.92,24.34,102700,24.34
2012-04-05,24.38,24.47,24.16,24.22,136100,24.22
2012-04-04,24.50,24.80,24.45,24.51,82700,24.51
2012-04-03,25.00,25.14,24.71,24.78,123500,24.78
2012-04-02,24.51,25.00,24.51,24.99,135900,24.99
2012-03-30,24.74,24.74,24.42,24.63,106000,24.63
2012-03-29,24.64,24.70,24.36,24.56,44700,24.56
2012-03-28,24.87,24.92,24.65,24.74,62300,24.74
2012-03-27,24.93,24.95,24.72,24.79,69400,24.79
2012-03-26,24.59,24.95,24.31,24.95,110800,24.95
2012-03-23,23.81,24.44,23.77,24.44,82100,24.44
2012-03-22,23.58,23.89,23.55,23.86,201400,23.86
2012-03-21,23.92,24.09,23.72,23.75,87400,23.75
2012-03-20,24.03,24.23,23.77,23.90,93500,23.90
2012-03-19,24.23,24.39,24.05,24.10,101000,24.10
2012-03-16,24.41,24.41,24.21,24.24,141700,24.24
2012-03-15,24.40,24.51,24.09,24.37,118600,24.37
2012-03-14,24.48,24.48,24.26,24.36,123300,24.36
2012-03-13,24.40,24.53,24.20,24.48,137700,24.48
2012-03-12,24.36,24.39,24.09,24.20,61200,24.20
2012-03-09,23.80,24.55,23.69,24.42,109800,24.42
2012-03-08,23.91,24.01,23.57,23.84,181100,23.84
2012-03-07,23.83,24.06,23.68,23.79,534200,23.79
2012-03-06,23.85,24.04,23.56,23.68,179000,23.68
2012-03-05,23.85,24.13,23.61,24.08,101800,24.08
2012-03-02,23.89,24.17,23.85,23.93,201700,23.93
2012-03-01,23.64,23.98,23.55,23.83,175000,23.83
2012-02-29,23.98,24.20,23.55,23.55,105000,23.55
2012-02-28,23.84,24.06,23.78,23.88,100200,23.88
2012-02-27,23.61,23.89,23.54,23.86,135300,23.86
2012-02-24,24.11,24.11,23.68,23.84,96400,23.84
2012-02-23,23.69,24.24,23.50,24.16,155000,24.16
2012-02-22,25.71,25.71,23.60,23.60,263300,23.60
2012-02-21,25.60,25.60,25.16,25.41,76600,25.41
2012-02-17,25.38,25.50,25.11,25.27,129900,25.27
2012-02-16,25.01,25.35,24.99,25.27,109700,25.27
2012-02-15,25.41,25.49,25.00,25.10,94000,25.10
2012-02-14,25.42,25.42,25.00,25.32,82700,25.32
2012-02-13,25.53,25.83,25.30,25.60,66000,25.60
2012-02-10,25.89,26.08,25.40,25.48,62800,25.48
2012-02-09,26.01,26.12,25.65,26.02,65500,26.02
2012-02-08,25.99,26.04,25.64,25.97,54500,25.97
2012-02-07,25.90,26.14,25.75,25.96,70700,25.96
2012-02-06,26.30,26.30,25.78,25.98,58800,25.98
2012-02-03,26.32,26.40,25.98,26.35,124000,26.35
2012-02-02,26.15,26.15,25.76,25.86,67600,25.86
2012-02-01,25.92,26.24,25.88,25.98,118400,25.98
2012-01-31,25.43,25.89,25.33,25.67,56500,25.67
2012-01-30,25.49,25.68,25.26,25.34,60100,25.34
2012-01-27,25.74,25.91,25.39,25.68,49300,25.68
2012-01-26,25.58,25.94,25.11,25.91,136800,25.91
2012-01-25,25.00,25.59,24.72,25.39,152200,25.39
2012-01-24,25.31,25.35,25.14,25.18,100100,25.18
2012-01-23,25.77,25.96,25.40,25.46,71300,25.46
2012-01-20,25.37,25.99,25.10,25.70,100100,25.70
2012-01-19,25.21,25.54,24.90,25.50,113100,25.50
2012-01-18,24.80,25.27,24.75,25.23,56500,25.23
2012-01-17,25.17,25.17,24.53,24.89,99700,24.89
2012-01-13,24.95,25.10,24.80,25.05,60500,25.05
2012-01-12,24.78,25.25,24.54,25.15,140300,25.15
2012-01-11,24.94,24.97,24.67,24.74,95900,24.74
2012-01-10,24.97,25.12,24.80,24.97,53800,24.97
2012-01-09,24.95,24.95,24.44,24.71,80400,24.71
2012-01-06,24.67,25.01,24.35,24.78,97000,24.78
2012-01-05,24.38,24.63,24.01,24.56,79700,24.56
2012-01-04,24.27,24.49,24.02,24.43,119800,24.43
2012-01-03,24.33,24.69,24.25,24.27,168200,24.27
2011-12-30,23.65,23.77,23.50,23.67,137000,23.67
2011-12-29,23.59,23.69,23.27,23.65,138200,23.65
2011-12-28,23.60,23.60,23.23,23.46,83400,23.46
2011-12-27,23.70,23.70,23.50,23.51,90100,23.51
2011-12-23,23.75,23.77,23.45,23.72,76700,23.72
2011-12-22,23.60,23.70,23.39,23.63,121600,23.63
2011-12-21,23.56,23.68,23.22,23.54,101100,23.54
2011-12-20,23.16,23.59,23.09,23.49,157900,23.49
2011-12-19,23.21,23.40,22.60,22.63,114600,22.63
2011-12-16,23.74,23.94,22.91,22.97,226800,22.97
2011-12-15,23.03,23.68,22.95,23.54,148200,23.54
2011-12-14,23.25,23.62,22.73,22.78,178000,22.78
2011-12-13,24.33,24.50,23.29,23.38,151000,23.38
2011-12-12,24.58,24.60,24.01,24.20,96300,24.20
2011-12-09,23.97,24.79,23.97,24.71,96600,24.71
2011-12-08,24.50,24.52,23.73,23.80,139000,23.80
2011-12-07,24.57,24.77,24.25,24.65,80000,24.65
2011-12-06,24.40,24.80,24.25,24.62,108400,24.62
2011-12-05,24.62,24.84,24.10,24.24,181600,24.24
2011-12-02,23.98,24.34,23.57,24.09,273500,24.09
2011-12-01,23.73,23.73,23.04,23.09,106400,23.09
2011-11-30,23.01,23.87,22.98,23.84,235900,23.84
2011-11-29,22.49,22.53,22.09,22.35,93400,22.35
2011-11-28,22.57,23.22,22.24,22.53,92800,22.53
2011-11-25,22.00,22.20,21.91,21.91,46200,21.91
2011-11-23,22.30,22.34,22.00,22.00,128700,22.00
2011-11-22,22.40,22.65,22.27,22.44,70100,22.44
2011-11-21,22.51,22.66,22.29,22.32,113500,22.32
2011-11-18,22.49,22.93,22.22,22.91,156100,22.91
2011-11-17,22.32,22.62,22.05,22.07,114400,22.07
2011-11-16,22.48,22.65,22.30,22.31,109400,22.31
2011-11-15,22.50,22.84,22.35,22.65,136800,22.65
2011-11-14,23.28,23.40,22.19,22.51,236300,22.51
2011-11-11,22.99,23.47,22.80,23.46,89600,23.46
2011-11-10,22.51,23.75,22.51,22.81,185900,22.81
2011-11-09,22.66,22.66,22.10,22.17,103300,22.17
2011-11-08,23.14,23.30,22.75,23.15,98600,23.15
2011-11-07,22.93,23.11,22.47,22.93,46800,22.93
2011-11-04,23.02,23.29,22.79,22.93,63100,22.93
2011-11-03,23.08,23.34,22.50,23.21,92200,23.21
2011-11-02,22.26,22.87,22.05,22.81,154300,22.81
2011-11-01,22.02,22.50,21.61,21.91,271400,21.91
2011-10-31,22.92,23.39,22.00,22.53,127700,22.53
2011-10-28,23.31,23.70,23.10,23.21,121000,23.21
2011-10-27,22.73,23.40,22.73,23.38,215500,23.38
2011-10-26,22.51,22.63,22.13,22.55,104900,22.55
2011-10-25,22.11,22.24,21.75,22.16,123800,22.16
2011-10-24,21.88,22.29,21.75,22.24,183400,22.24
2011-10-21,21.75,21.96,21.48,21.80,156800,21.80
2011-10-20,21.08,21.50,20.86,21.48,75900,21.48
2011-10-19,21.45,21.52,21.04,21.12,100200,21.12
2011-10-18,20.89,21.59,20.73,21.48,105700,21.48
2011-10-17,21.43,21.47,20.68,20.73,122400,20.73
2011-10-14,21.86,22.05,21.49,21.67,120300,21.67
2011-10-13,21.81,21.91,21.59,21.68,95600,21.68
2011-10-12,22.01,22.09,21.80,21.96,198600,21.96
2011-10-11,21.77,22.18,21.74,21.78,157500,21.78
2011-10-10,21.57,21.86,21.32,21.77,116600,21.77
2011-10-07,22.08,22.12,21.11,21.21,87300,21.21
2011-10-06,21.58,22.21,21.50,22.02,81600,22.02
2011-10-05,21.35,21.85,21.24,21.60,112400,21.60
2011-10-04,20.10,21.45,20.01,21.36,254600,21.36
2011-10-03,20.65,21.05,20.23,20.30,267500,20.30
2011-09-30,21.00,21.22,20.74,20.74,154900,20.74
2011-09-29,20.66,21.24,20.53,21.22,151100,21.22
2011-09-28,21.06,21.06,20.22,20.23,139000,20.23
2011-09-27,21.02,21.31,20.79,21.00,360300,21.00
2011-09-26,21.01,21.26,20.38,20.84,215300,20.84
2011-09-23,20.88,21.12,20.69,20.83,158500,20.83
2011-09-22,20.73,21.35,20.73,20.88,133700,20.88
2011-09-21,21.52,21.84,21.00,21.02,77100,21.02
2011-09-20,21.79,22.23,21.50,21.50,76400,21.50
2011-09-19,22.15,22.15,21.57,21.62,73600,21.62
2011-09-16,22.06,22.56,21.79,22.51,158400,22.51
2011-09-15,22.14,22.14,21.68,21.93,54200,21.93
2011-09-14,21.78,22.13,21.24,21.92,65800,21.92
2011-09-13,21.57,21.69,21.25,21.59,88100,21.59
2011-09-12,21.54,21.98,21.10,21.53,97200,21.53
2011-09-09,22.36,22.45,21.77,21.89,146600,21.89
