Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,42.19,42.44,41.45,41.57,261000,41.57
2012-05-03,43.07,43.28,42.33,42.45,348200,42.45
2012-05-02,42.29,43.12,42.20,42.98,264000,42.98
2012-05-01,42.85,43.64,42.58,42.70,262500,42.70
2012-04-30,43.56,43.69,42.63,42.87,383200,42.87
2012-04-27,42.67,43.84,42.61,43.68,454800,43.68
2012-04-26,42.50,42.98,41.88,42.61,426200,42.61
2012-04-25,42.84,43.18,42.31,43.17,390500,43.17
2012-04-24,41.84,42.39,41.74,42.39,264300,42.39
2012-04-23,41.83,41.95,41.37,41.85,221500,41.85
2012-04-20,42.71,42.99,42.10,42.47,332100,42.47
2012-04-19,42.35,42.80,41.60,42.06,359500,42.06
2012-04-18,41.84,42.55,41.46,42.46,328500,42.46
2012-04-17,41.59,42.46,41.48,42.04,216200,42.04
2012-04-16,40.95,41.71,40.57,41.19,289400,41.19
2012-04-13,40.62,41.01,40.41,40.75,284600,40.75
2012-04-12,40.02,41.15,40.02,40.87,304800,40.87
2012-04-11,40.35,40.46,39.89,39.99,414300,39.99
2012-04-10,40.47,40.82,39.59,39.80,460800,39.80
2012-04-09,40.01,40.84,40.01,40.55,368000,40.55
2012-04-05,40.74,41.11,40.44,40.93,312400,40.93
2012-04-04,40.90,41.20,40.50,40.96,290500,40.96
2012-04-03,41.34,41.48,40.86,41.38,339700,41.38
2012-04-02,40.27,41.80,40.07,41.33,310800,41.33
2012-03-30,40.99,41.02,40.28,40.30,369400,40.30
2012-03-29,40.55,40.76,39.86,40.63,712500,40.63
2012-03-28,41.85,41.85,40.51,40.82,719600,40.82
2012-03-27,42.65,42.74,41.73,41.75,340100,41.75
2012-03-26,42.64,42.84,42.39,42.72,216800,42.72
2012-03-23,41.54,42.14,41.17,42.06,228400,42.06
2012-03-22,42.11,42.37,41.11,41.57,371500,41.57
2012-03-21,42.81,42.81,42.12,42.61,607500,42.61
2012-03-20,43.37,43.37,42.62,42.66,389400,42.66
2012-03-19,44.16,44.16,43.55,43.64,320300,43.64
2012-03-16,44.11,44.46,43.98,44.18,322200,44.18
2012-03-15,43.04,44.58,42.98,44.06,572800,44.06
2012-03-14,44.19,44.27,43.02,43.02,489100,43.02
2012-03-13,43.43,44.33,43.19,44.33,282700,44.33
2012-03-12,43.56,43.58,43.05,43.19,241200,43.19
2012-03-09,43.53,44.14,43.29,43.58,229800,43.58
2012-03-08,43.11,43.63,42.57,43.55,218200,43.55
2012-03-07,42.80,43.14,42.47,42.67,166800,42.67
2012-03-06,42.65,42.86,42.35,42.59,428000,42.59
2012-03-05,42.52,43.44,42.43,43.37,254500,43.37
2012-03-02,43.62,43.74,42.35,42.71,266400,42.71
2012-03-01,43.73,44.34,43.42,43.81,237000,43.81
2012-02-29,43.69,44.48,43.12,43.49,448000,43.49
2012-02-28,43.77,44.28,43.52,43.78,296400,43.48
2012-02-27,42.66,44.15,42.48,43.83,221800,43.53
2012-02-24,43.06,43.82,42.92,43.12,194200,42.82
2012-02-23,43.00,43.19,42.46,43.17,186000,42.87
2012-02-22,43.28,43.76,42.73,43.11,299800,42.81
2012-02-21,43.62,43.62,43.02,43.40,245900,43.10
2012-02-17,44.29,44.47,43.57,43.63,153900,43.33
2012-02-16,42.94,44.00,42.86,43.98,265600,43.68
2012-02-15,43.81,44.28,42.62,42.80,228000,42.51
2012-02-14,43.58,44.09,43.51,43.76,264400,43.46
2012-02-13,43.35,44.04,43.29,43.91,257600,43.61
2012-02-10,43.38,43.46,42.52,42.87,200200,42.58
2012-02-09,44.07,44.15,43.50,43.84,337600,43.54
2012-02-08,43.20,43.73,42.94,43.73,298000,43.43
2012-02-07,42.77,43.46,42.43,43.22,301300,42.92
2012-02-06,43.24,43.45,42.70,42.81,315300,42.52
2012-02-03,42.88,43.60,42.88,43.40,462700,43.10
2012-02-02,43.57,43.57,42.25,42.29,362500,42.00
2012-02-01,43.34,44.09,43.24,43.61,390100,43.31
2012-01-31,43.62,43.62,42.61,42.94,413000,42.65
2012-01-30,43.50,43.57,42.95,43.25,220000,42.95
2012-01-27,43.31,44.22,43.18,44.01,302400,43.71
2012-01-26,44.24,44.73,43.30,43.42,287300,43.12
2012-01-25,43.22,44.13,42.91,43.93,327000,43.63
2012-01-24,42.71,43.35,42.40,43.23,317900,42.93
2012-01-23,42.95,43.69,42.72,42.88,393100,42.59
2012-01-20,42.94,43.25,42.30,42.75,548900,42.46
2012-01-19,45.00,45.50,43.17,43.28,606800,42.98
2012-01-18,44.23,44.99,43.91,44.90,263800,44.59
2012-01-17,44.98,44.99,44.16,44.41,132900,44.11
2012-01-13,44.39,44.87,43.46,44.63,237600,44.32
2012-01-12,44.60,44.74,43.85,44.66,328000,44.35
2012-01-11,44.03,44.81,43.77,44.66,282700,44.35
2012-01-10,44.22,44.77,44.19,44.35,271600,44.05
2012-01-09,43.35,43.65,42.98,43.62,294500,43.32
2012-01-06,43.53,43.86,42.29,43.07,942100,42.77
2012-01-05,42.97,43.68,42.01,43.57,300600,43.27
2012-01-04,43.32,43.57,42.56,43.09,410400,42.79
2012-01-03,44.90,45.14,43.61,43.67,253200,43.37
2011-12-30,44.33,44.98,43.65,43.66,267200,43.36
2011-12-29,43.38,44.39,43.24,44.33,220500,44.03
2011-12-28,43.65,43.88,42.77,43.16,158000,42.86
2011-12-27,43.78,44.29,43.62,43.77,155200,43.47
2011-12-23,44.10,44.39,43.76,44.06,183700,43.76
2011-12-22,43.94,44.39,43.55,44.03,248600,43.73
2011-12-21,42.83,43.91,42.60,43.80,234900,43.50
2011-12-20,42.15,43.49,41.93,43.08,267000,42.78
2011-12-19,42.39,42.76,41.21,41.37,269600,41.09
2011-12-16,41.80,42.83,41.54,42.08,627300,41.79
2011-12-15,41.29,41.40,40.54,41.16,201400,40.88
2011-12-14,41.19,41.49,40.60,40.63,408900,40.35
2011-12-13,41.82,42.49,41.25,41.66,454000,41.37
2011-12-12,41.49,41.94,41.28,41.82,202400,41.25
2011-12-09,40.72,42.61,40.68,42.23,229100,41.65
2011-12-08,41.42,41.42,40.20,40.59,445400,40.03
2011-12-07,41.93,42.17,40.95,41.87,202600,41.29
2011-12-06,41.85,42.09,40.64,41.93,326800,41.35
2011-12-05,41.48,42.11,41.12,41.85,592900,41.28
2011-12-02,41.49,41.82,40.45,40.62,432100,40.06
2011-12-01,42.35,43.12,40.96,41.02,530200,40.46
2011-11-30,40.61,42.76,40.61,42.69,609700,42.10
2011-11-29,38.73,39.10,37.97,39.04,157400,38.50
2011-11-28,38.60,39.14,38.00,38.53,212700,38.00
2011-11-25,37.08,37.53,36.86,37.19,143800,36.68
2011-11-23,38.54,38.54,37.20,37.32,163600,36.81
2011-11-22,38.78,39.49,38.60,39.04,282700,38.50
2011-11-21,38.92,39.22,38.18,38.96,195100,38.42
2011-11-18,40.01,40.09,39.38,39.71,142400,39.16
2011-11-17,40.84,40.91,39.47,39.67,332600,39.12
2011-11-16,41.20,42.02,40.75,40.81,261100,40.25
2011-11-15,40.84,42.01,40.49,41.80,170700,41.23
2011-11-14,41.66,42.25,41.00,41.18,249400,40.61
2011-11-11,41.04,42.24,40.94,41.77,424100,41.20
2011-11-10,40.28,40.68,39.77,40.40,287400,39.84
2011-11-09,40.03,40.57,39.39,39.65,269700,39.11
2011-11-08,40.78,41.14,39.63,41.04,257200,40.48
2011-11-07,40.34,40.49,39.09,40.34,205200,39.79
2011-11-04,39.17,40.58,38.46,40.50,378600,39.94
2011-11-03,38.62,39.90,38.11,39.58,313500,39.04
2011-11-02,37.74,38.65,37.38,38.13,373900,37.61
2011-11-01,36.41,38.68,35.89,36.91,398800,36.40
2011-10-31,38.50,39.66,37.96,37.98,316700,37.46
2011-10-28,39.67,39.84,38.92,39.25,248000,38.71
2011-10-27,39.91,40.44,39.08,39.70,306200,39.15
