Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,40.60,40.78,40.42,40.71,2068300,40.71
2012-05-03,40.97,41.14,40.77,40.77,1923000,40.77
2012-05-02,41.36,41.62,41.16,41.47,1981300,40.97
2012-05-01,41.26,41.90,41.09,41.50,2227400,41.00
2012-04-30,41.32,41.49,41.00,41.45,2469800,40.95
2012-04-27,41.64,41.66,41.16,41.33,1988100,40.83
2012-04-26,40.71,41.37,40.61,41.36,2892000,40.86
2012-04-25,40.36,40.76,40.27,40.75,2780100,40.26
2012-04-24,39.57,40.10,39.57,40.04,2639200,39.56
2012-04-23,39.31,39.54,39.23,39.48,2345600,39.00
2012-04-20,39.18,39.75,39.16,39.60,1762900,39.12
2012-04-19,39.37,39.41,38.87,39.07,1633000,38.60
2012-04-18,39.35,39.58,39.24,39.26,1631700,38.79
2012-04-17,39.57,39.68,39.13,39.58,1774200,39.10
2012-04-16,39.13,39.58,39.10,39.33,1903900,38.86
2012-04-13,39.08,39.22,38.71,38.93,1984200,38.46
2012-04-12,38.52,39.08,38.33,39.08,2246300,38.61
2012-04-11,38.21,38.53,38.03,38.50,2836900,38.04
2012-04-10,38.29,38.47,37.81,37.87,3634700,37.41
2012-04-09,38.17,38.52,38.12,38.34,2424900,37.88
2012-04-05,38.66,38.87,38.42,38.62,1882800,38.15
2012-04-04,39.00,39.09,38.72,38.83,2288700,38.36
2012-04-03,39.65,39.89,39.21,39.29,2037400,38.82
2012-04-02,39.45,39.82,39.37,39.79,2432500,39.31
2012-03-30,39.75,39.82,39.37,39.46,2947700,38.98
2012-03-29,39.52,39.65,39.27,39.56,2028700,39.08
2012-03-28,39.80,39.91,39.35,39.82,2521900,39.34
2012-03-27,39.85,40.09,39.69,39.90,2938000,39.42
2012-03-26,39.93,39.96,39.43,39.69,2178200,39.21
2012-03-23,39.61,39.73,39.26,39.53,2549600,39.05
2012-03-22,39.80,39.94,39.48,39.50,5110900,39.02
2012-03-21,40.49,40.65,40.27,40.44,1720000,39.95
2012-03-20,40.53,40.79,40.35,40.49,1773700,40.00
2012-03-19,40.31,40.88,40.13,40.66,3030900,40.17
2012-03-16,40.34,40.65,40.21,40.21,3711700,39.73
2012-03-15,40.57,40.76,40.12,40.32,2580100,39.83
2012-03-14,40.77,41.08,40.47,40.58,2171500,40.09
2012-03-13,40.11,40.92,40.04,40.83,2878500,40.34
2012-03-12,39.13,40.01,39.07,39.88,3202500,39.40
2012-03-09,39.05,39.27,38.94,39.03,4460400,38.56
2012-03-08,39.69,39.69,38.92,39.05,2176900,38.58
2012-03-07,39.25,39.51,38.84,39.43,3186100,38.95
2012-03-06,39.19,39.65,39.07,39.16,2092000,38.69
2012-03-05,39.49,39.70,39.30,39.59,1468600,39.11
2012-03-02,39.78,39.99,39.41,39.63,1701700,39.15
2012-03-01,39.44,39.84,39.34,39.78,2198800,39.30
2012-02-29,39.50,39.88,39.35,39.50,2759300,39.02
2012-02-28,39.60,40.00,39.37,39.47,3007400,38.99
2012-02-27,38.93,39.53,38.72,39.48,2534500,39.00
2012-02-24,39.61,39.67,38.77,39.08,4027600,38.61
2012-02-23,39.03,39.62,38.93,39.62,3450000,39.14
2012-02-22,39.15,39.27,38.75,38.99,4851700,38.52
2012-02-21,40.35,40.35,39.21,39.31,4297400,38.84
2012-02-17,40.27,40.45,39.86,40.38,2316900,39.89
2012-02-16,40.00,40.63,39.97,40.07,3187800,39.59
2012-02-15,40.27,40.55,39.89,40.13,3733200,39.65
