Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,26.44,26.72,26.38,26.56,430200,26.56
2012-05-03,26.54,26.68,26.42,26.46,396400,26.46
2012-05-02,26.66,26.66,26.45,26.57,306600,26.57
2012-05-01,26.60,27.00,26.57,26.75,346900,26.75
2012-04-30,26.59,26.64,26.46,26.54,360700,26.54
2012-04-27,26.65,26.65,26.48,26.56,394900,26.56
2012-04-26,26.35,26.64,26.22,26.55,367600,26.55
2012-04-25,26.28,26.50,26.17,26.34,682800,26.34
2012-04-24,25.84,26.16,25.79,26.16,372800,26.16
2012-04-23,25.62,25.82,25.53,25.78,504200,25.78
2012-04-20,25.40,25.84,25.40,25.76,370700,25.76
2012-04-19,25.37,25.57,25.24,25.35,562200,25.35
2012-04-18,25.28,25.36,25.16,25.33,467500,25.33
2012-04-17,25.26,25.43,25.11,25.37,346400,25.37
2012-04-16,24.94,25.26,24.87,25.18,410900,25.18
2012-04-13,24.81,25.09,24.75,24.81,360200,24.81
2012-04-12,24.70,24.93,24.65,24.86,191800,24.86
2012-04-11,24.92,24.93,24.69,24.73,343200,24.73
2012-04-10,25.10,25.11,24.70,24.72,573000,24.72
2012-04-09,25.04,25.13,24.98,25.11,318800,25.11
2012-04-05,25.31,25.36,25.03,25.11,274400,25.11
2012-04-04,25.39,25.59,25.23,25.41,629500,25.41
2012-04-03,25.30,25.60,25.27,25.60,574300,25.60
2012-04-02,25.39,25.49,25.20,25.27,495500,25.27
2012-03-30,25.48,25.49,25.35,25.35,275200,25.35
2012-03-29,25.24,25.44,25.05,25.40,229600,25.40
2012-03-28,25.41,25.47,25.15,25.33,279600,25.33
2012-03-27,25.38,25.46,25.24,25.46,457900,25.46
2012-03-26,25.32,25.49,25.17,25.34,341100,25.34
2012-03-23,25.12,25.16,25.00,25.14,176800,25.14
2012-03-22,25.18,25.18,24.95,25.09,287900,25.09
2012-03-21,25.34,25.37,25.06,25.18,390400,25.18
2012-03-20,25.40,25.51,25.31,25.32,189600,25.32
2012-03-19,25.29,25.61,25.23,25.48,391700,25.48
2012-03-16,25.32,25.39,25.14,25.30,566200,25.30
2012-03-15,25.40,25.49,25.12,25.34,359700,25.34
2012-03-14,25.77,25.86,25.47,25.47,356400,25.47
2012-03-13,25.67,25.73,25.56,25.72,416400,25.72
2012-03-12,25.41,25.59,25.41,25.54,377400,25.54
2012-03-09,25.28,25.45,25.14,25.35,261700,25.35
2012-03-08,25.23,25.30,24.99,25.26,323300,25.26
2012-03-07,25.11,25.14,24.86,25.14,244700,25.14
2012-03-06,25.12,25.18,24.92,25.02,314500,25.02
2012-03-05,25.10,25.28,24.91,25.26,273300,25.26
2012-03-02,25.07,25.16,24.95,25.08,245400,25.08
2012-03-01,25.12,25.30,25.01,25.12,280000,25.12
2012-02-29,25.16,25.23,24.92,25.05,356600,25.05
2012-02-28,25.34,25.40,25.00,25.10,463600,25.10
2012-02-27,25.32,25.45,25.16,25.32,397700,25.32
2012-02-24,25.44,25.54,25.35,25.38,749100,25.38
2012-02-23,25.44,25.48,25.31,25.34,305300,25.34
2012-02-22,25.38,25.50,25.28,25.40,337200,25.40
2012-02-21,25.49,25.53,25.27,25.38,403800,25.38
2012-02-17,25.57,25.68,25.38,25.40,381400,25.40
2012-02-16,25.50,25.71,25.44,25.55,658200,25.55
2012-02-15,26.31,26.32,25.78,25.82,597000,25.51
2012-02-14,26.18,26.30,26.02,26.28,359100,25.96
2012-02-13,26.24,26.26,26.01,26.25,497800,25.93
2012-02-10,26.04,26.31,25.98,26.14,405500,25.83
2012-02-09,25.97,26.45,25.91,26.20,693600,25.89
2012-02-08,26.32,26.32,26.01,26.11,289900,25.80
2012-02-07,25.99,26.39,25.97,26.32,394200,26.00
2012-02-06,26.01,26.15,25.99,26.11,469600,25.80
2012-02-03,26.15,26.15,25.89,25.98,387300,25.67
2012-02-02,25.95,26.00,25.85,25.95,322700,25.64
2012-02-01,26.00,26.09,25.87,25.97,484800,25.66
2012-01-31,25.93,26.01,25.83,25.95,512100,25.64
2012-01-30,25.79,25.87,25.54,25.80,596100,25.49
2012-01-27,26.05,26.05,25.86,25.93,286800,25.62
2012-01-26,25.94,26.11,25.83,26.10,531000,25.79
2012-01-25,25.44,25.92,25.28,25.86,474400,25.55
2012-01-24,25.52,25.61,25.43,25.50,297400,25.19
2012-01-23,25.54,25.73,25.42,25.56,329500,25.25
2012-01-20,25.41,25.53,25.33,25.43,503900,25.12
2012-01-19,25.78,25.79,25.40,25.49,444800,25.18
2012-01-18,25.75,25.81,25.56,25.76,391600,25.45
2012-01-17,25.86,25.95,25.67,25.73,325300,25.42
2012-01-13,25.98,25.98,25.65,25.73,401200,25.42
2012-01-12,26.01,26.01,25.80,25.95,320600,25.64
2012-01-11,26.01,26.13,25.84,25.91,340900,25.60
2012-01-10,26.12,26.39,25.97,26.00,459100,25.69
2012-01-09,25.95,26.02,25.83,25.87,978200,25.56
2012-01-06,26.00,26.08,25.82,25.87,280800,25.56
2012-01-05,25.75,26.08,25.52,25.96,321200,25.65
2012-01-04,26.11,26.12,25.81,25.84,215300,25.53
2012-01-03,26.79,26.79,26.04,26.11,437200,25.80
2011-12-30,26.66,26.73,26.48,26.48,286400,26.16
2011-12-29,26.47,26.67,26.47,26.62,167100,26.30
2011-12-28,26.53,26.60,26.34,26.38,222700,26.06
2011-12-27,26.46,26.65,26.37,26.49,239400,26.17
2011-12-23,26.33,26.57,26.33,26.46,167900,26.14
2011-12-22,26.18,26.40,26.15,26.27,380300,25.95
2011-12-21,26.00,26.25,25.91,26.17,603000,25.86
2011-12-20,25.86,25.99,25.74,25.97,516000,25.66
2011-12-19,25.83,26.03,25.48,25.51,545300,25.20
2011-12-16,25.95,26.11,25.57,25.72,1225700,25.41
2011-12-15,26.03,26.24,25.89,25.93,686500,25.62
2011-12-14,25.91,26.06,25.72,25.74,501800,25.43
2011-12-13,25.99,26.30,25.83,25.91,592200,25.60
2011-12-12,25.68,25.79,25.27,25.75,616400,25.44
2011-12-09,26.02,26.15,25.82,25.88,510600,25.57
2011-12-08,25.68,26.17,25.66,25.88,917800,25.57
2011-12-07,25.70,25.87,25.43,25.75,331100,25.44
2011-12-06,25.78,26.03,25.70,25.85,353200,25.54
2011-12-05,25.99,26.09,25.67,25.82,353600,25.51
2011-12-02,26.01,26.02,25.62,25.66,330300,25.35
2011-12-01,25.92,26.08,25.73,25.85,362300,25.54
2011-11-30,25.63,25.91,25.51,25.91,640300,25.60
2011-11-29,24.76,25.17,24.71,25.10,406300,24.80
2011-11-28,24.82,25.06,24.49,24.64,386500,24.34
2011-11-25,24.18,24.41,24.14,24.25,125500,23.96
2011-11-23,24.69,24.72,24.03,24.20,458000,23.91
2011-11-22,25.24,25.30,24.72,24.76,434600,24.46
2011-11-21,25.43,25.45,24.99,25.22,502900,24.92
2011-11-18,25.61,25.74,25.40,25.64,684700,25.33
2011-11-17,25.73,25.97,25.41,25.51,752000,25.20
2011-11-16,26.24,26.60,26.08,26.12,544500,25.50
2011-11-15,26.10,26.48,26.04,26.35,490400,25.72
2011-11-14,26.49,26.58,26.11,26.18,397400,25.56
2011-11-11,26.02,26.65,26.00,26.62,595100,25.99
2011-11-10,26.08,26.20,25.70,25.76,739500,25.15
2011-11-09,26.32,26.36,25.65,25.81,834800,25.20
2011-11-08,26.07,26.75,25.79,26.75,770600,26.12
2011-11-07,26.58,26.68,25.77,25.91,942900,25.30
2011-11-04,26.06,26.79,25.74,26.68,753700,26.05
2011-11-03,25.40,26.45,25.35,26.13,1165600,25.51
2011-11-02,24.91,25.48,24.89,25.36,645500,24.76
2011-11-01,24.89,25.09,24.49,24.57,607600,23.99
2011-10-31,25.41,25.70,25.29,25.33,421700,24.73
2011-10-28,25.72,25.72,25.38,25.64,263500,25.03
2011-10-27,25.76,25.91,25.59,25.78,466100,25.17
2011-10-26,25.30,25.34,25.00,25.19,483900,24.59
2011-10-25,25.49,25.49,24.95,24.96,535300,24.37
2011-10-24,25.47,25.62,25.28,25.49,336300,24.89
2011-10-21,25.25,25.43,25.15,25.32,358400,24.72
2011-10-20,24.94,25.13,24.73,25.07,408600,24.48
2011-10-19,24.89,25.27,24.83,24.94,300000,24.35
2011-10-18,24.82,25.09,24.56,24.98,373400,24.39
2011-10-17,25.05,25.14,24.68,24.70,498700,24.11
2011-10-14,25.01,25.10,24.82,25.08,302500,24.48
2011-10-13,24.53,24.90,24.45,24.85,374000,24.26
2011-10-12,24.78,24.88,24.66,24.72,360700,24.13
2011-10-11,24.81,24.86,24.53,24.75,351100,24.16
2011-10-10,24.67,24.89,24.62,24.88,302100,24.29
2011-10-07,24.66,24.75,24.36,24.40,596000,23.82
2011-10-06,24.02,24.56,23.93,24.53,443800,23.95
2011-10-05,23.85,24.07,23.44,24.02,629300,23.45
2011-10-04,23.22,23.75,22.91,23.75,1007700,23.19
2011-10-03,24.22,24.49,23.34,23.35,914100,22.80
2011-09-30,24.16,24.67,24.16,24.28,872600,23.70
2011-09-29,24.25,24.40,24.01,24.40,1004700,23.82
2011-09-28,24.49,24.54,23.83,23.88,655000,23.31
2011-09-27,24.65,24.72,24.26,24.41,617300,23.83
2011-09-26,24.67,24.67,24.21,24.33,812600,23.75
2011-09-23,23.70,24.67,23.61,24.65,828800,24.07
2011-09-22,23.58,23.77,23.41,23.64,649900,23.08
2011-09-21,24.60,24.65,24.07,24.09,514800,23.52
2011-09-20,24.63,24.95,24.49,24.57,458900,23.99
2011-09-19,24.33,24.58,24.27,24.47,358100,23.89
2011-09-16,24.52,24.79,24.43,24.67,541600,24.08
2011-09-15,24.21,24.48,24.06,24.48,366000,23.90
2011-09-14,24.12,24.32,23.72,24.12,450800,23.55
2011-09-13,23.70,24.00,23.46,23.91,620700,23.34
2011-09-12,23.05,23.50,23.02,23.50,458600,22.94
2011-09-09,23.42,23.48,23.10,23.30,710500,22.75
2011-09-08,23.14,23.82,23.06,23.62,913800,23.06
2011-09-07,23.18,23.29,22.98,23.26,356000,22.71
2011-09-06,22.75,22.88,22.49,22.85,602800,22.31
2011-09-02,23.32,23.49,23.14,23.19,375000,22.64
2011-09-01,24.00,24.17,23.65,23.69,364900,23.13
2011-08-31,24.12,24.23,23.95,24.02,469100,23.45
2011-08-30,23.97,24.17,23.92,24.03,450000,23.46
2011-08-29,23.70,24.12,23.57,24.08,285500,23.51
2011-08-26,23.22,23.56,22.71,23.45,277600,22.89
2011-08-25,23.88,23.88,23.21,23.33,296000,22.78
2011-08-24,23.08,23.82,23.05,23.75,395900,23.19
2011-08-23,22.77,23.15,22.59,23.15,481000,22.60
2011-08-22,23.04,23.17,22.55,22.67,333200,22.13
2011-08-19,22.70,22.97,22.63,22.64,339400,22.10
2011-08-18,22.86,23.00,22.64,22.91,431900,22.37
2011-08-17,23.29,23.55,23.22,23.29,258800,22.74
2011-08-16,22.99,23.25,22.86,23.19,467400,22.64
2011-08-15,22.61,23.36,22.61,23.34,310400,22.79
2011-08-12,22.78,22.85,22.31,22.43,452700,21.90
2011-08-11,21.47,22.88,21.33,22.59,758500,22.05
2011-08-10,21.65,22.09,21.37,21.50,733600,20.69
2011-08-09,21.35,21.95,20.59,21.95,1380400,21.12
2011-08-08,22.07,22.39,21.02,21.06,1889400,20.26
2011-08-05,22.49,22.86,22.13,22.54,998400,21.69
2011-08-04,23.06,23.06,22.20,22.31,772000,21.47
2011-08-03,23.23,23.27,22.64,23.07,401700,22.20
2011-08-02,23.30,23.52,23.11,23.11,376900,22.24
2011-08-01,23.66,23.70,23.26,23.36,447400,22.48
2011-07-29,23.60,23.74,23.40,23.40,431200,22.52
2011-07-28,24.09,24.11,23.73,23.75,331100,22.85
2011-07-27,24.37,24.43,24.04,24.06,399900,23.15
2011-07-26,24.65,24.71,24.45,24.48,215600,23.55
2011-07-25,24.56,24.86,24.56,24.69,224400,23.76
2011-07-22,24.88,24.89,24.68,24.71,181900,23.78
2011-07-21,24.58,24.93,24.58,24.90,322100,23.96
2011-07-20,24.08,24.59,24.01,24.56,363200,23.63
2011-07-19,23.90,24.04,23.72,24.00,294400,23.09
2011-07-18,24.04,24.13,23.74,23.82,279100,22.92
2011-07-15,24.15,24.23,24.00,24.11,199700,23.20
2011-07-14,24.38,24.46,24.05,24.16,339700,23.25
2011-07-13,24.52,24.60,24.35,24.38,350200,23.46
2011-07-12,24.21,24.56,24.12,24.40,328600,23.48
2011-07-11,24.50,24.56,24.18,24.26,436100,23.34
2011-07-08,24.51,24.73,24.51,24.71,330500,23.78
2011-07-07,24.75,24.76,24.54,24.69,221100,23.76
2011-07-06,24.42,24.67,24.26,24.62,253100,23.69
2011-07-05,24.53,24.60,24.35,24.40,300000,23.48
2011-07-01,24.15,24.55,24.08,24.52,331500,23.59
2011-06-30,24.13,24.14,23.91,24.06,356100,23.15
2011-06-29,23.75,24.13,23.65,24.05,415100,23.14
2011-06-28,23.65,23.75,23.57,23.70,227600,22.80
2011-06-27,23.59,23.69,23.56,23.57,233300,22.68
2011-06-24,23.51,23.68,23.46,23.55,396900,22.66
2011-06-23,23.45,23.54,23.25,23.45,392300,22.56
2011-06-22,23.82,23.82,23.57,23.58,391100,22.69
2011-06-21,24.03,24.03,23.73,23.87,450000,22.97
2011-06-20,23.75,23.98,23.58,23.94,274800,23.03
2011-06-17,23.75,23.80,23.54,23.75,693000,22.85
2011-06-16,23.53,23.72,23.47,23.60,383400,22.71
2011-06-15,23.79,23.97,23.41,23.47,429500,22.58
2011-06-14,23.75,23.96,23.58,23.84,425400,22.94
2011-06-13,23.54,23.63,23.40,23.54,296100,22.65
2011-06-10,23.54,23.62,23.39,23.40,414900,22.52
2011-06-09,23.80,23.87,23.60,23.66,297900,22.77
2011-06-08,23.74,23.86,23.63,23.73,425800,22.83
2011-06-07,23.85,23.93,23.72,23.72,294000,22.82
2011-06-06,23.94,23.94,23.71,23.76,303000,22.86
2011-06-03,24.10,24.17,23.90,23.90,401900,23.00
2011-06-02,24.37,24.46,24.12,24.26,375400,23.34
2011-06-01,24.80,24.89,24.36,24.37,453200,23.45
2011-05-31,24.71,24.91,24.66,24.83,536900,23.89
2011-05-27,24.54,24.69,24.49,24.61,199000,23.68
2011-05-26,24.41,24.54,24.22,24.52,473900,23.59
2011-05-25,24.51,24.59,24.23,24.52,333300,23.59
2011-05-24,24.97,25.03,24.51,24.58,577600,23.65
2011-05-23,25.37,25.48,24.94,24.97,439400,24.03
2011-05-20,25.42,25.72,25.36,25.59,418700,24.62
2011-05-19,25.49,25.70,25.26,25.42,615700,24.46
2011-05-18,25.73,25.73,25.21,25.45,479800,24.49
2011-05-17,25.86,26.00,25.81,25.96,384300,24.68
2011-05-16,25.93,26.14,25.82,26.01,279200,24.73
2011-05-13,26.35,26.35,25.90,26.03,362200,24.75
2011-05-12,25.87,26.28,25.86,26.25,289000,24.96
